Name=Covert Ops: Desert Storm
Author=Adrenaline
MinLevel=10
JoinCost=2500

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=203.752441,1862.432129,12.801003

TeamCount=2
RunTime=600
WinXP=500000
WinCash=600000
KillXP=10000

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
; Bounds=2242.2410,-2276.7014,13.5545,60.0

BoundPolyPoint=243.4004,1969.6853
BoundPolyPoint=276.3279,1830.2073
BoundPolyPoint=249.6329,1748.6925
BoundPolyPoint=127.7055,1807.7360
BoundPolyPoint=124.8724,1862.3372
BoundPolyPoint=96.0678,1853.9055
BoundPolyPoint=7.2357,1761.7006
BoundPolyPoint=-47.9900,1793.8655
BoundPolyPoint=-134.6746,1811.8600
BoundPolyPoint=-142.5355,1955.5093
BoundPolyPoint=-110.3046,2005.6677
BoundPolyPoint=33.2766,2017.4663
BoundPolyPoint=55.0968,1946.8367
BoundPolyPoint=111.9681,1941.3348
BoundPolyPoint=136.1544,1954.6641

; Weapon spawns information.
; W#=weaponid,ammo
WPN=4,1
WPN=23,120
WPN=31,500
WPN=34,8
WPN=16,3

; Spawn locations within the deathmatch.
; Spawn#=team,spawnx,spawny,spawnz,spawnrot
SPAWN=0,203.752441,1862.432129,12.801003,360.0
SPAWN=0,209.674484,1864.337646,12.801003,360.0
SPAWN=0,214.922882,1864.472412,12.801003,360.0
SPAWN=0,219.965820,1864.717163,12.801003,360.0
SPAWN=0,204.279190,1873.419678,12.801003,360.0
SPAWN=0,209.425522,1872.725708,12.801003,360.0
SPAWN=0,213.305756,1872.884155,12.801003,360.0
SPAWN=0,217.301971,1872.606323,12.801003,360.0
SPAWN=0,165.250229,1848.795166,33.558815,360.0
SPAWN=0,181.700439,1880.322388,19.493019,360.0
SPAWN=1,-103.057755,1846.364014,40.457996,360.0
SPAWN=1,-65.190689,1827.709473,16.886940,360.0
SPAWN=1,-45.150764,1859.001587,17.301003,221.0
SPAWN=1,-93.653130,1849.449097,17.687845,360.0
SPAWN=1,-99.578552,1881.793213,16.060051,360.0
SPAWN=1,-52.934593,1896.314209,17.600998,360.0
SPAWN=1,-65.279984,1962.316895,37.539997,360.0
SPAWN=1,-78.869125,1913.326416,19.364128,360.0
SPAWN=1,-60.511398,1932.107178,17.188423,360.0
SPAWN=1,-54.123871,1964.790161,17.301003,199.0

VEHICLE=470,200.5008,1880.0742,17.6374,357.6855,43,0
VEHICLE=470,206.3578,1879.8593,17.6363,355.3800,43,0
VEHICLE=470,172.6200,1874.7903,20.8037,280.7443,43,0
VEHICLE=468,-11.6653,1965.3636,17.3092,181.9629,53,53
VEHICLE=468,-15.1467,1965.5226,17.3094,183.7599,6,6
VEHICLE=468,-50.8564,1896.7351,17.2265,33.8087,53,53
VEHICLE=468,-54.6670,1895.1173,17.2305,34.9305,53,53
VEHICLE=468,-66.7704,1838.4655,16.8958,5.1756,6,6
VEHICLE=468,-32.9682,1822.9891,17.2321,21.2171,6,6

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=3330,236.6781,1872.5482,6.1168,0.0000,0.0000,0.0000,1000.0
OBJECT=16124,229.4366,1924.9269,23.5176,0.0000,50.7067,188.9717,1000.0
OBJECT=16124,237.7052,1895.6554,24.4270,8.5944,12.0321,225.9277,1000.0
OBJECT=16124,253.1235,1870.0387,24.5875,8.5944,12.0321,225.9275,1000.0
OBJECT=16124,258.9247,1837.5247,24.1345,8.5944,12.0321,184.6745,1000.0
OBJECT=16124,243.8757,1811.3029,24.2020,8.5944,12.0321,124.5136,1000.0
OBJECT=16123,180.3129,1786.7057,12.6453,0.0000,0.0000,97.9757,1000.0
OBJECT=16123,137.4613,1813.6981,13.8953,0.0000,0.0000,59.3011,1000.0
OBJECT=16123,154.3949,1865.6243,6.9508,0.0000,0.0000,314.4499,1000.0
OBJECT=16127,148.6136,1890.1691,36.1678,354.8434,354.8434,326.4820,1000.0
OBJECT=16130,138.4586,1881.7286,25.8032,0.0000,0.0000,344.5301,1000.0
OBJECT=16252,74.6826,1821.9653,26.8397,0.0000,0.0000,354.8434,1000.0
OBJECT=16252,158.5713,1801.0601,62.6754,0.0000,355.7028,235.4860,1000.0
OBJECT=16252,155.2544,1951.8921,52.6913,0.0000,0.0000,72.1927,1000.0
OBJECT=16124,214.8012,1939.8386,28.4278,0.0000,50.7067,253.4298,1000.0
OBJECT=16124,176.9151,1954.7538,19.6232,0.0000,8.5944,237.9599,1000.0
OBJECT=16124,196.9443,1950.1669,38.9117,0.0000,36.0963,255.1487,1000.0
OBJECT=16252,60.0069,2055.7473,55.0105,0.0000,0.0000,358.2811,1000.0
OBJECT=11556,51.6783,1948.0571,24.4005,348.8273,0.0000,296.4017,1000.0
OBJECT=16111,83.7037,1965.8342,51.0687,35.2369,350.5462,6.0161,1000.0
OBJECT=16258,7.9642,1918.9844,22.8441,0.0000,0.0000,54.1445,1000.0
OBJECT=16774,55.0005,1921.0471,18.2344,0.0000,0.0000,314.4499,1000.0
OBJECT=16770,33.3148,1925.5278,17.5561,0.0000,3.4377,225.0684,1000.0
OBJECT=16386,-10.1066,1912.6333,20.1191,0.0000,0.0000,311.8716,1000.0
OBJECT=16138,3.1643,1964.4302,16.6336,0.0000,0.0000,95.3976,1000.0
OBJECT=13295,29.0346,1899.5111,22.9657,0.0000,0.0000,307.5744,1000.0
OBJECT=12959,-23.3772,1922.8159,16.5603,0.0000,0.0000,42.1124,1000.0
OBJECT=3268,212.6344,1881.1356,16.5673,0.0000,0.0000,269.7591,1000.0
OBJECT=1457,49.3904,1911.2145,18.3000,0.0000,0.0000,0.0000,1000.0
OBJECT=1457,16.4954,1923.7178,18.3000,0.0000,0.0000,0.0000,1000.0
OBJECT=17063,90.3773,1926.8165,16.6512,0.0000,0.0000,1.7189,1000.0
OBJECT=3399,83.3294,1926.8462,19.0748,0.0000,0.0000,92.8192,1000.0
OBJECT=1410,165.8044,1854.6718,32.8927,270.6186,0.0000,93.6786,1000.0
OBJECT=16127,167.1580,1890.4689,18.2337,354.8434,0.0000,298.1206,1000.0
OBJECT=755,123.7809,1930.9717,18.3307,0.0000,0.0000,0.0000,1000.0
