
Name=Four Dragons Casino
Author=KillFrenzy
MinLevel=2
JoinCost=2500

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz,waitinterior
WaitLocation=2031.9698,998.7454,10.8131

Interior=10
TeamCount=2
RunTime=300
WinXP=180000
WinCash=200000
KillXP=1500

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
Bounds=1952.2157,1018.0479,992.4688,200.0

; Weapon spawns information.
; W#=weaponid,ammo
WPN=4,1
WPN=23,100
WPN=25,30
WPN=31,400
WPN=16,1

; Spawn locations within the deathmatch.
; Spawn#=team,spawnx,spawny,spawnz,spawnrot
SPAWN=0,1965.4965,990.8978,992.4688,2.7806
SPAWN=0,1962.4574,987.1879,992.4688,3.7206
SPAWN=0,1957.5762,984.0473,992.4688,2.4672
SPAWN=0,1940.5156,981.5057,992.4688,0.9006
SPAWN=0,1936.0641,985.9623,992.4745,359.3339
SPAWN=0,1937.9436,994.4702,992.4609,307.6334
SPAWN=0,1950.4381,982.6704,992.4688,357.4538
SPAWN=0,1976.0051,998.6982,994.4750,0.2739
SPAWN=0,1965.7435,980.3559,994.1342,348.6804
SPAWN=0,1952.3540,975.2027,994.4688,4.3472
SPAWN=0,1933.6425,974.3049,994.4688,0.2739
SPAWN=0,1932.1497,999.9352,994.4750,0.2739
SPAWN=1,1931.6671,1036.3279,994.4750,182.2988
SPAWN=1,1933.6487,1061.2050,994.4688,181.6721
SPAWN=1,1951.8131,1060.9752,994.4688,179.1655
SPAWN=1,1965.6246,1054.6663,993.9041,170.0787
SPAWN=1,1975.9312,1037.0029,994.4688,182.6122
SPAWN=1,1964.5215,1044.7427,992.4688,181.0455
SPAWN=1,1962.0364,1048.5345,992.4688,180.7322
SPAWN=1,1957.2762,1052.9860,992.4688,182.9255
SPAWN=1,1945.0775,1053.5710,992.4688,179.7921
SPAWN=1,1937.9788,1052.7247,992.4688,182.2989
SPAWN=1,1938.6798,1041.5042,992.4609,227.7326
SPAWN=1,1950.7006,1054.7222,992.4688,180.7556

