
Name=Zero's Battlezone!
Author=KillFrenzy
MinLevel=3
JoinCost=5000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz,waitinterior
WaitLocation=-2271.1387,128.2159,35.1641

Interior=10
TeamCount=2
RunTime=300
WinXP=180000
WinCash=200000
KillXP=1500

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
BoundRectangle=-1150.6025,1000.1824,1200.0,-944.0507,1122.0847,1500.0

; Weapon spawns information.
; W#=weaponid,ammo
WPN=9,1
WPN=24,50
WPN=27,60
WPN=31,300
WPN=34,20
WPN=16,1

; Spawn locations within the deathmatch.
; Spawn#=team,spawnx,spawny,spawnz,spawnrot
SPAWN=0,-1129.3083,1098.0291,1345.7798,271.9291
SPAWN=0,-1129.5969,1092.4890,1345.7747,269.1091
SPAWN=0,-1133.6492,1094.5168,1345.8025,268.1457
SPAWN=0,-1128.8385,1063.3312,1345.7412,269.7124
SPAWN=0,-1133.3237,1063.5299,1345.7710,270.9657
SPAWN=0,-1130.0731,1061.2311,1345.7512,268.4590
SPAWN=0,-1135.5339,1057.8220,1345.7804,270.0257
SPAWN=0,-1130.9615,1057.7743,1346.4141,268.4590
SPAWN=0,-1128.5209,1052.0352,1345.7264,267.8325
SPAWN=0,-1129.0656,1047.5619,1345.7289,268.1458
SPAWN=0,-1130.1383,1042.7623,1345.7288,269.7125
SPAWN=0,-1129.2244,1037.4641,1345.7156,271.9059
SPAWN=0,-1127.2332,1034.4595,1345.6979,269.0859
SPAWN=0,-1127.2332,1034.4595,1345.6979,269.0859
SPAWN=0,-1132.0994,1029.1482,1345.7330,273.4724
SPAWN=1,-978.2202,1093.9161,1344.9645,91.4473
SPAWN=1,-975.3351,1089.8866,1344.9722,93.9540
SPAWN=1,-978.4351,1084.8446,1344.9556,94.5807
SPAWN=1,-977.3443,1080.3479,1344.9655,92.0740
SPAWN=1,-977.2277,1074.7700,1344.9767,92.7007
SPAWN=1,-977.7952,1070.4347,1344.9736,91.4473
SPAWN=1,-978.3777,1066.9050,1344.9742,91.1340
SPAWN=1,-969.9762,1061.0753,1345.0392,91.4473
SPAWN=1,-973.8151,1061.0553,1345.6740,92.3873
SPAWN=1,-975.7861,1055.4485,1345.0031,92.3873
SPAWN=1,-972.3193,1055.3427,1345.0270,90.1939
SPAWN=1,-974.3000,1057.7781,1345.0106,88.6272
SPAWN=1,-977.9711,1020.7130,1345.0221,91.4473
SPAWN=1,-977.2949,1026.7101,1345.0209,88.6272
SPAWN=1,-973.1488,1024.4553,1345.0514,89.5673
