; Converted Sun, 27 Jun 10 19:17:09 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=486.1000,1410.0818,4.2999
Interior=1
MinLevel=0
JoinCost=7500
WinMultiplierXP=1000
WinMultiplierCash=2000

Name=RawArena
Author=Slick
RunTime=600
Weather=4
Time=6:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=504

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
Bounds=2278.44853788,-1120.99270499,479.472676869,2349.018799

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2349.018799,-1140.443848,594.509583,89
SPAWN=2349.116699,-1136.588013,594.509583,89
SPAWN=2348.849854,-1156.982178,595.759583,89
SPAWN=2348.78125,-1161.364624,596.009583,89
SPAWN=2349.27124,-1167.438965,596.009583,89
SPAWN=2349.864746,-1146.270142,595.009583,89
SPAWN=2348.9104,-1150.917358,595.009583,89

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=17137,2232.809326,-1134.424316,560.500061,0,0,0
OBJECT=987,2303.162842,-1242.582031,577.689331,0,0,168.750076274
OBJECT=987,2291.5271,-1240.378052,576.401123,0,0,168.750076274
OBJECT=987,2279.779541,-1238.141235,575.095398,0,0,157.500111094
OBJECT=987,2268.702637,-1233.718018,572.876953,0,0,157.500111094
OBJECT=987,2246.258789,-1227.53418,569.979309,0,0,168.750076274
OBJECT=987,2257.987793,-1229.759644,571.18396,0,0,168.750076274
OBJECT=18446,2224.440186,-1219.78418,570.071411,0,0,348.750175024
OBJECT=18446,2213.584229,-1212.021484,567.956482,0,0,337.500152548
OBJECT=18446,2202.936279,-1201.79541,565.522705,0,0,337.500152548
OBJECT=18446,2186.502441,-1186.423584,563.774353,0,355.702818,336.640716148
OBJECT=18446,2173.56958,-1171.412476,561.931152,357.4216908,356.5622544,323.594471596
OBJECT=18446,2167.644531,-1159.224243,560.026428,0,0,315.000164892
OBJECT=18434,2309.616455,-1072.106689,565.227966,0,0,180.00009875
OBJECT=18434,2309.392822,-1072.188354,566.994995,0,0,180.00009875
OBJECT=18444,2343.083252,-1095.233765,579.590942,0,347.9678904,312.421575283
OBJECT=18444,2348.123047,-1118.009155,586.049011,0,343.6707084,312.421575283
OBJECT=11500,2343.094238,-1080.825195,575.49469,17.188728,351.405636,272.578358575
OBJECT=3568,2310.016846,-1056.818848,565.456421,15.4698552,0,270.000189579
OBJECT=3620,2178.164551,-1173.430054,574.437134,358.2811272,11.1726732,102.109352205
OBJECT=13591,2284.386475,-1140.040405,565.593201,352.2650724,345.3895812,6.0160548
OBJECT=13591,2299.579834,-1172.132202,572.461182,12.0321096,356.5622544,260.391607719
OBJECT=12957,2265.281006,-1186.172119,566.199646,0,0,0
OBJECT=12957,2262.031006,-1185.796387,565.603882,323.0442348,0,89.999950625
OBJECT=14826,2331.059814,-1061.984985,569.344299,356.5622544,347.108454,0
OBJECT=3627,2352.734863,-1148.362061,594.474854,353.9839452,349.6867632,0
OBJECT=1503,2289.640625,-1152.988281,568.397766,342.811272,0,67.4999629687
OBJECT=1503,2299.515869,-1206.468872,575.192566,5.1566184,13.7509824,197.266035822
OBJECT=2931,2263.603027,-1107.051636,556.488159,353.9839452,346.2490176,355.702818
OBJECT=3270,2322.041992,-1090.793701,568.293823,21.48591,6.8754912,224.999876562
OBJECT=745,2247.658447,-1073.469604,551.821167,0,0,0
OBJECT=745,2172.030029,-1164.217163,557.084167,0,0,0
OBJECT=2780,2333.018066,-1100.026611,576.089233,0,0,0
OBJECT=2780,2263.485107,-1185.269409,563.588074,0,0,0
OBJECT=849,2276.988525,-1194.386108,569.252136,345.3895812,356.5622544,33.7501503366
OBJECT=918,2288.799561,-1140.715698,567.064514,358.2811272,339.3735264,0
OBJECT=1218,2291.442383,-1153.714478,569.030762,83.3652735042,0,22.4999876562
OBJECT=1225,2302.524414,-1214.149536,576.573547,277.4941056,0,0
OBJECT=1225,2301.252197,-1213.749268,576.210571,277.4941056,0,236.250096539
OBJECT=3864,2286.704834,-1242.357666,583.516846,6.8754912,357.4216908,263.906645299
OBJECT=3461,2288.872803,-1140.637573,565.466797,0,0,0
OBJECT=3461,2277.098633,-1194.16272,567.62384,0,0,0
OBJECT=10397,2284.224609,-1163.642334,570.76709,10.3132368,350.5461996,286.406690251
OBJECT=1736,2247.374023,-1075.686768,553.851074,331.6385988,0,0
