; Converted Sun, 27 Jun 10 19:25:13 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-97.8385,-377.6785,1.4297
Interior=1
MinLevel=0
JoinCost=7500
WinMultiplierXP=1000
WinMultiplierCash=2000

Name=Red Pike Arena 32
Author=Laggy
Description=Replica of the Red Pike Arena bowl from the game called Destruction Derby 2 by Phil Baxter
RunTime=1000
Weather=1
Time=10:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=424

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
Bounds=-1770.91253328,720.608902336,189.276591352,1901.910522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-1901.910522,723.480286,181.113464,304
SPAWN=-1889.551147,711.018433,181.113464,329
SPAWN=-1869.836304,704.442017,181.113464,424
SPAWN=-1851.041016,709.804932,181.113464,28
SPAWN=-1835.868652,723.951599,181.113464,58
SPAWN=-1828.727539,744.563354,181.113464,90
SPAWN=-1833.542603,764.060059,181.113464,118
SPAWN=-1849.330933,779.713867,181.113464,149
SPAWN=-1868.891235,784.623169,181.113464,178
SPAWN=-1888.077026,779.366821,181.113464,207
SPAWN=-1902.917603,764.865906,181.113464,238
SPAWN=-1907.819458,745.357544,181.113464,270
SPAWN=-1884.150269,753.39093,181.113464,57
SPAWN=-1877.600586,759.048523,181.113464,25
SPAWN=-1920.901001,745.58252,179.215027,270
SPAWN=-1915.025269,717.229919,179.215027,304
SPAWN=-1895.597168,700.416016,179.215027,329
SPAWN=-1846.45105,699.076538,179.215027,28
SPAWN=-1871.459961,692.769653,179.215027,424
SPAWN=-1826.227295,718.436584,179.215027,58
SPAWN=-1816.189819,746.619873,179.215027,90
SPAWN=-1823.498047,771.405884,179.215027,118
SPAWN=-1843.131226,791.516357,179.215027,149
SPAWN=-1869.098022,799.965942,179.215027,178
SPAWN=-1896.54126,792.022034,179.215027,207
SPAWN=-1913.609253,774.306458,179.219055,238
SPAWN=-1934.682617,782.108643,183.713043,244
SPAWN=-1794.805786,727.234192,179.607224,353
SPAWN=-1792.495728,746.66095,179.455414,172
SPAWN=-1784.385132,734.851868,180.100555,81
SPAWN=-1801.408936,737.513489,179.215027,262
SPAWN=-1794.008057,737.227539,187.066086,81

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13608,-1868.688232,744.699524,193.836548,0,0,0
OBJECT=1634,-1869.557495,733.512573,181.513565,0,0,0
OBJECT=1634,-1869.622803,754.669067,181.538559,0,0,178.658862304
OBJECT=1634,-1880.576416,744.440857,181.513565,0,0,268.040247904
OBJECT=1634,-1858.536133,744.192444,181.463577,0,0,90.1369131042
OBJECT=1634,-1875.028809,735.041565,181.513565,0,0,329.060232304
OBJECT=1634,-1878.997559,738.80835,181.513565,0,0,303.277140304
OBJECT=1634,-1864.225708,734.870789,181.513565,0,0,28.3613439042
OBJECT=1634,-1860.139038,738.723389,181.488571,0,0,58.4416752
OBJECT=1634,-1860.054443,749.386169,181.563553,0,0,118.498314304
OBJECT=1634,-1864.202393,753.247925,181.563553,0,0,151.156840208
OBJECT=1634,-1874.900146,753.438171,181.488571,0,0,205.301390704
OBJECT=1634,-1878.974243,749.858032,181.488571,0,0,237.960145792
OBJECT=3790,-1843.777222,737.00293,203.975586,0,0,0
OBJECT=3790,-1846.290039,737.01001,203.972672,0,0,0
OBJECT=3790,-1845.029297,737.06958,202.482147,0,88.5218919042,0
OBJECT=3790,-1844.971313,737.097839,199.926941,0,88.5218919042,0
OBJECT=3790,-1849.504395,736.965576,202.526352,0,88.5218919042,0
OBJECT=3790,-1849.466675,736.917969,200.073746,0,88.5218919042,0
OBJECT=3790,-1850.986816,737.02417,201.276215,0,0,0
OBJECT=3790,-1852.197266,736.949158,199.966843,0,89.3813283042,0
OBJECT=3790,-1852.188843,736.957947,202.626358,0,89.3813283042,0
OBJECT=3790,-1854.289063,737.015076,202.630554,0,89.3813283042,0
OBJECT=3790,-1854.256104,737.14447,200.094543,0,89.3813283042,0
OBJECT=3790,-1855.7323,737.075378,203.965958,0,0.85932180848,0
OBJECT=3790,-1855.727783,737.176575,201.37532,0,0.85932180848,0
OBJECT=3790,-1855.600586,737.144348,198.841599,0,0.85932180848,0
OBJECT=3790,-1862.224243,737.13031,201.50087,0,0.85932180848,0
OBJECT=3790,-1861.615479,737.059204,202.648285,0,59.3010543042,0
OBJECT=3790,-1862.90271,737.045044,202.786758,0,59.3010543042,174.361623008
OBJECT=3790,-1860.197876,737.166382,200.292465,0,59.3010543042,0
OBJECT=3790,-1864.290161,737.221619,200.353088,0,59.3010543042,174.361623008
OBJECT=3790,-1867.058472,736.964722,203.991287,0,0,0
OBJECT=3790,-1865.762939,736.977112,202.766968,0,89.3813283042,0
OBJECT=3790,-1865.744751,736.992065,200.111893,0,89.3813283042,0
OBJECT=3790,-1866.748413,737.06134,200.394409,0,39.5340744,174.361623008
OBJECT=3790,-1868.412842,736.94519,202.650818,0,269.759235296,0
OBJECT=3790,-1867.124146,736.979858,201.34584,0,0,0
OBJECT=3790,-1867.640503,737.130554,199.655777,0,140.088190496,358.2811272
OBJECT=3790,-1871.001953,737.028992,203.977936,0,0,0
OBJECT=3790,-1869.759644,737.105408,202.702881,0,269.759235296,0
OBJECT=3790,-1869.747925,737.14801,200.078232,0,269.759235296,0
OBJECT=3790,-1871.082397,737.205139,201.363876,0,0,0
OBJECT=3790,-1871.083252,737.150757,198.736694,0,0,0
OBJECT=3790,-1873.732666,737.082764,200.030106,0,72.1926003042,0
OBJECT=3790,-1874.579468,737.077942,202.689438,0,72.1926003042,0
OBJECT=3790,-1875.203979,737.05658,202.710464,0,280.175922625,0
OBJECT=3790,-1875.683594,737.038635,200.04895,0,280.175922625,0
OBJECT=3790,-1876.202393,736.992676,200.15921,0,77.3492187042,0
OBJECT=3790,-1876.758423,736.974731,202.732697,0,77.3492187042,0
OBJECT=3790,-1880.162231,737.134155,201.311951,0,0,0
OBJECT=3790,-1878.189941,737.121948,200.231537,0,59.3010543042,0
OBJECT=3790,-1879.526367,737.205933,202.489426,0,59.3010543042,0
OBJECT=3790,-1880.873657,737.157104,202.472855,0,119.4616596,4.297182
OBJECT=3790,-1882.160522,737.043396,200.202927,0,119.4616596,4.297182
OBJECT=16302,-1869.50708,743.892761,183.126251,0.8594364,0,241.398005983
OBJECT=8263,-1867.693481,673.863525,188.492798,0,0,179.518298704
OBJECT=8263,-1835.683838,676.459595,189.285339,0,0,189.8315928
OBJECT=8263,-1935.5271,685.915344,189.598175,0,0,160.610526017
OBJECT=8263,-1979.916016,714.716919,189.619324,0,0,124.514082625
OBJECT=8263,-1904.280029,677.138977,189.671646,0,0,170.064441008
OBJECT=8263,-1962.998657,699.169739,190.227325,0,0,147.718922721
OBJECT=8263,-1990.581543,745.364014,190.003845,0,0,92.7152223042
OBJECT=8263,-1985.375,767.191284,189.978699,0,0,67.7917385915
OBJECT=8263,-1948.276123,799.354919,188.67511,0,0,29.1174443661
OBJECT=8263,-1886.795776,816.023621,189.70108,0,0,12.7883246534
OBJECT=8263,-1834.579102,812.748108,190.151917,0,0,353.880895741
OBJECT=8263,-1757.710083,775.402161,190.007889,0,0,319.503726219
OBJECT=8263,-1797.169434,802.711365,190.096191,0,0,331.535721228
OBJECT=8263,-1746.373901,744.328308,190.241043,0,0,274.81343449
OBJECT=8263,-1757.456787,713.119202,189.871643,0,0,244.732931307
OBJECT=8263,-1774.531494,699.572144,188.555038,0,0,217.230336253

; Format:
; 	PICKUPREPAIR=x,y,z
; 	PICKUPNITRO=x,y,z
; 	PICKUPVEHICLE=vehicletype,x,y,z
PICKUPVEHICLE=556,-1869.227417,743.541809,190.022766
PICKUPREPAIR=-1759.824951,747.358521,184.861725
PICKUPREPAIR=-1977.743164,746.764343,184.897934
PICKUPVEHICLE=556,-1793.511475,736.483215,180.187592
