; Converted Fri, 25 Jun 10 08:26:45 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=871.7360,2206.7537,10.8203
MinLevel=0
JoinCost=1500
WinMultiplierXP=1000
WinMultiplierCash=2000

Name=SanZoR VS Ukkeli TeamDD
Author=SanZoR
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=534

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
Bounds=4420.63735537,-1601.25811909,17.4113933959,4244.877441

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=4244.877441,-1661.823608,37.69899,271
SPAWN=4258.055176,-1661.765747,37.69899,271,480
SPAWN=4273.948242,-1661.723267,37.69899,271
SPAWN=4289.878906,-1661.988525,37.69899,271,480
SPAWN=4311.475586,-1651.326416,37.69899,1
SPAWN=4239.201172,-1543.605713,37.69899,269,480
SPAWN=4255.515137,-1543.451538,37.69899,269
SPAWN=4274.918945,-1543.603882,37.69899,269,480
SPAWN=4295.184082,-1543.333008,37.69899,269
SPAWN=4313.189453,-1556.749634,37.69899,181,480
SPAWN=4304.15332,-1587.947998,27.948986,89
SPAWN=4289.098145,-1592.540283,27.948986,89,480
SPAWN=4269.998047,-1587.653076,27.948986,89
SPAWN=4251.026855,-1592.681152,27.948986,89,480
SPAWN=4306.92041,-1618.352905,27.948986,89
SPAWN=4290.620605,-1613.128174,27.948986,89,480
SPAWN=4273.626953,-1618.076294,27.948986,89
SPAWN=4252.347656,-1613.087769,27.948986,89,480
SPAWN=4202.293945,-1610.848999,8.948986,269
SPAWN=4202.805176,-1595.321655,8.948986,269,480
SPAWN=4334.922363,-1590.678833,8.948986,133
SPAWN=4337.916504,-1617.707153,8.948986,52,480
SPAWN=4371.013184,-1603.291504,8.948986,89
SPAWN=4224.062988,-1602.82605,21.372871,89,480

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3458,4294.566895,-1592.703613,25.218422,0,0,0
OBJECT=3458,4294.582031,-1598.134521,26.243425,338.51409,0,0
OBJECT=3458,4294.595215,-1612.934692,25.218418,0,0,0
OBJECT=3458,4294.631348,-1607.686279,26.238174,338.51409,0,179.518241408
OBJECT=3458,4294.62207,-1602.966553,23.993038,0,0,0
OBJECT=3458,4254.273438,-1602.974731,23.993038,0,0,0
OBJECT=3458,4254.408691,-1598.191895,26.246889,338.51409,0,0
OBJECT=3458,4254.473633,-1607.639648,26.232862,338.51409,0,180.377677808
OBJECT=3458,4254.46582,-1612.955566,25.218418,0,0,0
OBJECT=3458,4254.310059,-1592.705933,25.218418,0,0,0
OBJECT=1225,4309.591309,-1603.101563,27.652254,0,0,0
OBJECT=3458,4294.624023,-1617.997314,25.218414,0,0,0
OBJECT=3458,4254.462402,-1618.050903,25.243422,0,0,0
OBJECT=3458,4254.224121,-1587.676514,25.218422,0,0,0
OBJECT=3458,4294.550293,-1587.701416,25.218418,0,0,0
OBJECT=1225,4312.919922,-1603.136108,27.677265,0,0,0
OBJECT=1225,4306.376953,-1602.834106,27.677265,0,0,0
OBJECT=1225,4303.283691,-1602.912354,27.677265,0,0,0
OBJECT=1225,4300.037109,-1602.843262,27.677265,0,0,0
OBJECT=1225,4296.553223,-1602.816406,27.677265,0,0,0
OBJECT=1225,4293.258789,-1602.815918,27.677265,0,0,0
OBJECT=1225,4289.55957,-1602.815308,27.677265,0,0,0
OBJECT=1225,4286.321289,-1602.761841,27.677265,0,0,0
OBJECT=1225,4282.777832,-1602.73999,27.677265,0,0,0
OBJECT=1225,4279.22168,-1602.703613,27.677265,0,0,0
OBJECT=1225,4275.282715,-1602.739624,27.552267,0,0,0
OBJECT=1225,4272.288086,-1602.789917,27.552267,0,0,0
OBJECT=1225,4268.835938,-1602.740112,27.552267,0,0,0
OBJECT=1225,4264.95752,-1602.816772,27.552267,0,0,0
OBJECT=1225,4260.561523,-1602.801758,27.552267,0,0,0
