; Converted Thu, 24 Jun 10 09:55:21 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=968.2006,1589.8290,10.8203
MinLevel=0
JoinCost=1600
WinMultiplierXP=1000
WinMultiplierCash=2000

Name=Slickville
Author=Slick
RunTime=600
Weather=4
Time=0:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=439

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
Bounds=544.203469208,-2841.40016381,13.2828594998,2768.043457

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=503.535706,-2768.043457,5.330941,360
SPAWN=503.264252,-2788.021484,5.330941,181
SPAWN=512.345215,-2762.17041,5.330941,360
SPAWN=512.587769,-2804.177002,5.330941,181
SPAWN=512.42688,-2820.950439,5.330941,179
SPAWN=512.394836,-2786.26123,5.330941,360
SPAWN=503.568481,-2833.884521,5.330941,360
SPAWN=512.542358,-2837.382324,5.330941,181
SPAWN=503.40094,-2852.938965,5.330941,360
SPAWN=530.24939,-2744.52124,5.338753,271
SPAWN=539.597839,-2735.820068,5.338753,89
SPAWN=545.172607,-2744.495117,5.330958,271
SPAWN=584.766907,-2744.476807,5.330957,89
SPAWN=556.176636,-2735.568359,5.330958,271
SPAWN=573.768921,-2735.668213,5.330958,271
SPAWN=600.942322,-2735.935303,5.330958,89
SPAWN=606.94989,-2756.261719,5.327919,181
SPAWN=615.883667,-2765.277832,5.327919,360
SPAWN=606.988464,-2791.102295,5.335714,179
SPAWN=615.914063,-2789.900391,5.335714,360
SPAWN=615.868469,-2806.512939,5.335712,179
SPAWN=607.149231,-2819.882568,5.327919,360
SPAWN=606.950317,-2837.873047,5.327919,179
SPAWN=615.768921,-2831.395752,5.327919,360
SPAWN=615.756226,-2863.234619,5.327919,181
SPAWN=596.116516,-2885.712646,5.355226,89
SPAWN=579.531677,-2876.63208,5.361425,89
SPAWN=578.125916,-2885.330566,5.368535,89
SPAWN=537.773132,-2885.286865,5.47027,271
SPAWN=558.452393,-2876.383057,5.510882,89
SPAWN=542.622803,-2876.27002,5.510882,89
SPAWN=516.269531,-2876.518066,5.346819,271

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=4165,550.998535,-2740.209717,4.409083,0,0,0
OBJECT=4165,611.314575,-2820.624756,4.406044,0,0,270.000304171
OBJECT=4233,537.189209,-2880.811035,4.510882,0,0,0.000140204399997
OBJECT=4808,493.121399,-2809.424072,4.409066,0,0,89.999950625
OBJECT=4004,628.785522,-2830.641357,16.561991,0,0,270.000049375
OBJECT=4048,592.39447,-2815.378906,16.448893,0,0,89.999950625
OBJECT=4555,563.367676,-2904.617676,14.834931,0,0,89.999950625
OBJECT=4593,571.034668,-2721.376465,4.474644,0,0,270.000049375
OBJECT=5179,635.396729,-2740.035645,7.742134,0,0,0
OBJECT=5726,627.204407,-2863.719971,9.991493,0,0,89.999950625
OBJECT=5729,489.108826,-2784.138916,8.248091,0,0,0
OBJECT=13022,481.112915,-2853.34668,8.982699,0,0,0
OBJECT=12953,595.969482,-2755.415527,8.83661,0,0.8594364,89.999950625
OBJECT=3522,619.572205,-2743.123047,4.409375,0,0,180.00009875
OBJECT=3522,619.573547,-2738.075439,4.409375,0,0,180.00009875
OBJECT=18552,513.4151,-2722.859375,4.415554,0,0,0
OBJECT=10606,543.229736,-2770.254395,13.265274,0,0,89.999950625
OBJECT=17859,579.553589,-2857.975586,6.582156,0,0,0
OBJECT=1408,575.521973,-2870.910156,5.137922,0,0,0
OBJECT=17841,537.158325,-2820.05957,6.59958,0,0,89.999950625
OBJECT=5189,546.925232,-2859.162842,9.960237,0,0,89.999950625
OBJECT=9907,461.516327,-2818.723633,93.415123,0,0,0.000140204399997
OBJECT=4099,496.145752,-2812.738525,6.358171,0,0,49.2972402211
OBJECT=808,494.637665,-2826.71875,5.949948,0,0,326.249989868
OBJECT=823,492.432495,-2825.397705,7.197785,0,0,0
OBJECT=826,491.333649,-2821.518066,6.455413,0,0,0
OBJECT=827,492.508209,-2818.712402,8.054394,0,0,0
OBJECT=877,490.604645,-2815.155762,5.907304,0,0,348.749977524
OBJECT=1597,494.784088,-2818.75415,6.996119,0,0,0
OBJECT=3802,498.65036,-2828.974365,9.76662,0,0,0
OBJECT=3810,498.64328,-2836.621338,7.334319,0,0,0
OBJECT=669,493.660278,-2810.537109,4.542987,0,0,225.000074063
OBJECT=754,491.510071,-2812.10791,4.202314,0,0,0
OBJECT=760,492.254822,-2814.159668,4.028929,0,0,0
OBJECT=800,489.22467,-2813.478516,6.856088,0,0,0
OBJECT=8395,719.483765,-2700.279785,45.183456,0,0,33.7500101322
OBJECT=4690,659.278137,-2974.403564,2.535378,0,0,0
OBJECT=4690,585.814392,-2976.632568,3.470306,0,0,146.250088618
OBJECT=9076,669.11853,-2732.059326,16.396515,0,0,33.7500101322
OBJECT=17511,412.449158,-2672.912598,16.553936,0,0,0
OBJECT=18240,578.487122,-2754.378906,4.462227,0,0,179.99990125
OBJECT=18270,449.267731,-2761.80835,17.119804,0,0,348.749977524
OBJECT=955,498.527527,-2760.06665,4.848051,0,0,89.999950625
OBJECT=956,498.375214,-2761.365723,4.849017,0,0,89.999950625
OBJECT=1209,498.226868,-2762.5896,4.445004,0,0,89.999950625
OBJECT=1977,497.957611,-2763.765137,4.468551,0,0,89.999950625
OBJECT=3776,471.324707,-2739.004395,13.061598,0,0,0
OBJECT=5177,480.682983,-2716.532959,8.851654,0,0,0
OBJECT=4112,444.974091,-2760.072998,14.252525,0,0,269.999851875
OBJECT=17864,482.059875,-2770.158936,4.507545,359.1405636,0,89.999950625
OBJECT=3506,496.717072,-2759.140625,4.49314,332.4980352,336.7952172,279.453849775
OBJECT=647,497.301147,-2758.645996,5.096287,0,0,0
OBJECT=17543,593.344543,-2848.266602,5.950188,0,0,180.00009875
OBJECT=17864,581.428589,-2855.39624,4.355569,359.1405636,0,0
OBJECT=17536,629.973328,-2891.038574,15.963104,0,0,0
OBJECT=804,601.967834,-2870.412842,5.671457,0,0,0
OBJECT=806,598.638916,-2868.357178,8.106902,0,0,0
OBJECT=806,599.491333,-2867.824463,8.125387,0,0,0
OBJECT=808,600.735657,-2869.359863,6.148601,0,0,326.249989868
OBJECT=809,598.906494,-2870.374756,4.333931,0,0,0
OBJECT=810,599.902588,-2870.337402,4.333364,0,0,0
OBJECT=3707,480.930542,-2896.713379,12.109676,0,0,0
OBJECT=17864,537.48175,-2856.419922,4.490217,359.1405636,0,0
OBJECT=3381,425.676025,-2878.162354,21.030098,0,0,326.249989868
OBJECT=16644,507.590149,-2869.416504,4.31836,355.702818,0,0
OBJECT=1228,499.426544,-2868.249023,4.916131,0,0,89.999950625
OBJECT=1228,499.370636,-2871.364746,4.932009,0,0,270.000049375
OBJECT=1228,500.855011,-2869.766846,4.760077,355.702818,0,0
OBJECT=1423,500.493713,-2867.050781,5.205941,0,0,326.249989868
OBJECT=1423,500.740601,-2872.375488,5.221819,0,0,44.9999753125
OBJECT=1423,502.092163,-2869.48877,5.155795,358.2811272,357.4216908,89.999950625
OBJECT=1425,502.658478,-2866.773438,4.947501,0,0,179.999958546
OBJECT=1425,502.195557,-2874.345459,4.963379,0,0,89.999950625
OBJECT=994,497.799805,-2864.859863,4.46928,0,0,0
OBJECT=994,504.34726,-2865.087891,4.431259,0,0,270.000049375
OBJECT=994,504.354095,-2877.878906,4.422137,0,0,89.999950625
OBJECT=994,497.926056,-2878.053467,4.422137,0,0,0
OBJECT=17523,588.660034,-2778.41626,6.741646,0,0,180.00009875
OBJECT=3873,572.052612,-2669.154053,17.552935,0,0,0
OBJECT=17950,597.361694,-2765.980713,6.535177,0,0,269.999851875
OBJECT=969,535.983276,-2815.137451,4.053491,0,0.8594364,179.99990125
OBJECT=969,518.070618,-2823.375244,2.986965,0,0,89.999950625
OBJECT=1503,520.408813,-2818.500488,4.559756,0,0,89.999950625
OBJECT=1225,556.83374,-2906.036865,4.773977,0,0,0
OBJECT=1225,555.710266,-2905.236572,4.770803,0,0,0
OBJECT=1225,554.771606,-2906.010742,4.769917,0,0,0
OBJECT=1225,553.661438,-2905.351318,4.766942,0,0,0
OBJECT=1225,552.638977,-2905.86792,4.765575,0,0,0
OBJECT=1225,551.609741,-2905.178467,4.762722,0,0,0
OBJECT=1225,550.693298,-2906.147949,4.762116,0,0,0
OBJECT=1225,549.792847,-2905.406006,4.759451,0,0,0
OBJECT=1225,548.660828,-2906.124023,4.758116,0,0,0
OBJECT=1225,548.002869,-2905.126465,4.755612,0,0,0
OBJECT=1225,546.437805,-2906.108154,4.750073,0,0,0
OBJECT=1225,554.572754,-2893.482422,4.753108,0,0,0
OBJECT=1225,548.354614,-2893.45752,4.737908,0,0,0
OBJECT=1225,548.199829,-2899.293457,4.744767,0,0,0
OBJECT=1225,554.399292,-2899.476318,4.761209,0,0,0
OBJECT=1225,548.160583,-2896.415039,4.741185,0,0,0
OBJECT=1225,554.471313,-2896.369873,4.757558,0,0,0
OBJECT=13562,619.77478,-2745.865479,11.963928,0,0,0
OBJECT=7392,593.388306,-2735.182861,18.957302,0,0,213.750051587
OBJECT=7073,604.687439,-2793.068359,28.258732,0,0,270.000049375
OBJECT=16778,591.916504,-2867.218994,9.10568,0,0,0
OBJECT=16777,493.855103,-2856.349121,11.533764,0,0,22.4999876562

; Format:
; 	PICKUPREPAIR=x,y,z
; 	PICKUPNITRO=x,y,z
; 	PICKUPVEHICLE=vehicletype,x,y,z
PICKUPVEHICLE=473,596.709961,-2766.090576,-0.258018
PICKUPVEHICLE=495,552.871033,-2845.768799,1.1669
