; Converted Wed, 23 Jun 10 07:47:05 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2896.0991,-1632.3914,11.0469
MinLevel=0
JoinCost=7500
WinMultiplierXP=1000
WinMultiplierCash=2000

Name=Wankenstein DD
Author=Wankenstein
RunTime=6000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=549

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
Bounds=3446.86880689,-1739.2094367,2.70454659228,3394.321045

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3394.321045,-1721.418701,2.425721,270
SPAWN=3340.755371,-1733.294312,2.452526,271
SPAWN=3377.749756,-1755.168335,2.425721,360
SPAWN=3375.629395,-1672.612915,19.479525,182
SPAWN=3410.790039,-1672.286987,19.029531,182
SPAWN=3417.344971,-1745.411377,2.405988,360
SPAWN=3416.765137,-1682.985596,2.423799,182
SPAWN=3492.278809,-1727.3396,1.863085,360
SPAWN=3454.078125,-1711.904053,1.888085,360
SPAWN=3375.436523,-1677.598633,2.428444,182
SPAWN=3353.681885,-1688.053345,2.453444,271
SPAWN=3495.421631,-1722.381348,19.366682,90
SPAWN=3453.586426,-1737.23291,1.888085,360
SPAWN=3361.226074,-1740.761475,2.346418,360
SPAWN=3369.479492,-1721.983887,2.353871,276
SPAWN=3329.194336,-1709.701172,2.452526,271
SPAWN=3436.046875,-1745.30188,1.794725,360
SPAWN=3479.539551,-1688.366699,19.191685,250
SPAWN=3491.550049,-1668.411987,1.853512,187
SPAWN=3461.601563,-1675.425781,1.831556,90
SPAWN=3410.788574,-1704.510498,18.958849,276
SPAWN=3416.336914,-1658.91394,2.446904,182
SPAWN=3375.562012,-1646.49585,2.403444,178
SPAWN=3395.805908,-1658.025146,2.362057,276

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1479,3349.371582,-1687.116943,0.101492,0,0,0
OBJECT=3458,3371.245117,-1688.125,0.063498,0,0,0
OBJECT=1479,3349.410156,-1689.129761,0.098768,0,0,180.481815887
OBJECT=3458,3348.629639,-1710.807495,0.08758,0,0,90.240822
OBJECT=3458,3417.206543,-1688.134033,0.063498,0,0,0
OBJECT=1479,3391.094482,-1688.082642,0.146962,10.3132368,0,269.759178
OBJECT=1479,3397.295166,-1688.150513,0.146961,10.3132368,0,91.1002584
OBJECT=3458,3421.459473,-1722.936646,34.113487,0,0,90.240822
OBJECT=1479,3420.551758,-1746.500244,34.146843,0,0,90.240822
OBJECT=1479,3422.584229,-1746.474243,34.121967,0,0,270.722294113
OBJECT=1479,3421.952393,-1752.762451,34.094223,0,0,257.830862704
OBJECT=1479,3421.059814,-1752.925903,34.141487,0,0,98.9388913256
OBJECT=3458,3455.736572,-1688.120361,8.613508,0,335.0763444,0
OBJECT=3458,3482.561768,-1705.768311,16.976736,0,0,269.759178
OBJECT=1479,3476.774902,-1687.124023,17.060226,0,0,0
OBJECT=1479,3476.792236,-1689.112427,17.082514,0,0,180.481873183
OBJECT=3458,3470.670654,-1720.928223,16.976748,0,0,269.759178
OBJECT=1479,3476.695557,-1705.000244,17.035223,0,0,180.481873183
OBJECT=1479,3476.658447,-1702.290039,17.035219,0,0,0.1039918044
OBJECT=3458,3376.379883,-1688.588867,0.038498,0,0,91.1002584
OBJECT=1479,3375.782471,-1713.109619,0.071962,0,0,91.1002584
OBJECT=1479,3377.849609,-1713.066528,0.069239,0,0,270.722351408
OBJECT=3458,3377.318115,-1737.741699,0.035775,0,0,91.1002584
OBJECT=3458,3386.680176,-1729.029297,8.61078,0,335.0763444,91.9596948
OBJECT=1479,3383.38208,-1749.678345,0.069238,0,0,1.82240623832
OBJECT=1479,3383.47998,-1752.236206,0.091514,0,0,181.44472843
OBJECT=1479,3388.169434,-1750.290894,0.088791,0,0,271.685435838
OBJECT=3458,3443.677734,-1738.582153,24.926771,0,335.0763444,180.481815887
OBJECT=3458,3488.453613,-1738.450562,16.951748,0,0,0
OBJECT=3458,3354.468994,-1733.560181,0.062579,0,0,0
OBJECT=1479,3488.421143,-1721.245361,17.010212,0,0,0.1039918044
OBJECT=1479,3488.467773,-1724.321899,17.010201,0,0,180.481873183
OBJECT=3458,3474.287842,-1729.289917,8.201756,0.8594364,334.216908,0
OBJECT=1479,3495.165771,-1730.437012,16.982489,0,0,180.481873183
OBJECT=1479,3495.137207,-1727.362671,16.97978,0,0,0.1039918044
OBJECT=1479,3495.060547,-1724.273804,17.002071,0,0,180.481873183
OBJECT=1479,3495.104248,-1721.236938,17.007504,0,0,0.1039918044
OBJECT=1479,3421.512695,-1759.405518,34.138729,0,0,90.240822
OBJECT=1479,3421.526611,-1766.089844,34.135971,0,0,90.240822
OBJECT=1479,3421.556885,-1772.763794,34.133183,0,0,90.240822
OBJECT=1479,3421.576172,-1779.446411,34.130455,0,0,90.240822
OBJECT=2931,3420.497803,-1782.05542,35.031113,358.2811272,0,180.481815887
OBJECT=1479,3417.79248,-1738.728394,34.171867,0,0,90.240822
OBJECT=1479,3414.863281,-1738.738159,34.144123,0,0,90.240822
OBJECT=1383,3423.640381,-1794.993164,31.703035,0,179.622436783,0
OBJECT=1383,3419.193115,-1795.052979,31.715538,0,179.622436783,0
OBJECT=1383,3416.53833,-1795.012817,31.715727,0,179.622436783,0
OBJECT=1383,3426.298828,-1795.005371,31.730721,0,179.622436783,0
OBJECT=3458,3399.71582,-1721.55188,0.035774,0,0,0.8594364
OBJECT=3458,3416.996582,-1698.637207,0.033853,0,0,91.1002584
OBJECT=1479,3423.38916,-1720.96228,0.069238,357.4216908,0,91.1002584
OBJECT=1479,3428.679932,-1720.901611,0.049755,357.4216908,0,91.1002584
OBJECT=1479,3433.897217,-1720.917114,0.065231,357.4216908,0,91.1002584
OBJECT=1479,3439.138916,-1720.908081,0.077908,357.4216908,0,91.1002584
OBJECT=1479,3444.609863,-1720.907104,0.072463,357.4216908,0,91.1002584
OBJECT=3458,3470.018555,-1720.549194,-0.476861,0,0,0.8594364
OBJECT=1238,3450.136963,-1723.046387,1.369789,0,0,0
OBJECT=1238,3450.203369,-1718.645874,1.369789,0,0,0
OBJECT=3458,3453.441895,-1721.187134,-0.501861,0,0,91.1002584
OBJECT=3458,3431.688477,-1704.042358,8.166225,0,335.0763444,181.341194992
OBJECT=3458,3393.831543,-1705.046631,16.823233,0,0.8594364,1.7188728
OBJECT=3458,3393.42627,-1679.784912,16.725197,0,0.8594364,1.7188728
OBJECT=3458,3375.922852,-1687.929199,17.089417,0.8594364,0,91.1002584
OBJECT=3458,3411.047852,-1686.868164,16.534084,0.8594364,0,91.1002584
OBJECT=1479,3385.961914,-1709.126953,16.998329,0,0,181.340908513
OBJECT=1479,3385.954346,-1709.846191,17.020613,0,0,181.340908513
OBJECT=3458,3395.556641,-1700.080078,8.481467,0.8594364,335.9357808,91.9596948
OBJECT=3458,3492.661621,-1716.395264,-0.526861,0,0,91.1002584
