; Converted Mon, 28 Jun 10 20:17:11 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=423.7529,608.4600,18.9378
Interior=1
MinLevel=0
JoinCost=0
WinMultiplierXP=1000
WinMultiplierCash=2000

Name=glasssmasher
Author=ramrod
Description=glass battle
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=496

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
Bounds=3313.19478426,-1234.89989468,394.815445376,3272.381592

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3272.381592,-1255.806641,396.430847,360
SPAWN=3347.5979,-1289.956543,393.580719,360
SPAWN=3341.765869,-1290.280273,393.581055,360
SPAWN=3336.233398,-1289.890015,393.582245,360
SPAWN=3331.208008,-1290.078979,393.580261,360
SPAWN=3326.30127,-1289.83252,393.578796,360
SPAWN=3321.218994,-1290.081787,393.578094,360
SPAWN=3355.82251,-1278.592896,393.578949,89
SPAWN=3355.777588,-1271.46814,393.580536,89
SPAWN=3356.618408,-1265.245972,393.580414,89
SPAWN=3356.463867,-1259.211548,393.577423,89
SPAWN=3357.369873,-1252.28479,393.581299,89
SPAWN=3357.181396,-1245.726196,393.579987,89
SPAWN=3357.611816,-1238.980225,393.580475,89
SPAWN=3357.491455,-1233.519165,393.58075,89
SPAWN=3357.439453,-1228.209229,393.579193,89
SPAWN=3336.86377,-1217.094604,393.578857,178
SPAWN=3325.187744,-1217.11731,393.579498,178
SPAWN=3330.722656,-1216.648682,393.580414,178
SPAWN=3299.567383,-1265.613037,393.581543,178
SPAWN=3304.739258,-1265.511597,393.581116,178
SPAWN=3291.022705,-1250.27063,393.582947,270
SPAWN=3291.176025,-1244.383179,393.574921,270
SPAWN=3323.768066,-1263.651978,393.584503,270
SPAWN=3322.717285,-1271.932739,393.588928,270
SPAWN=3277.415527,-1228.723877,393.575409,178
SPAWN=3266.489014,-1239.355469,393.588318,270
SPAWN=3314.48291,-1228.969116,393.574219,178
SPAWN=3291.779297,-1228.756714,393.573334,178
SPAWN=3307.449463,-1229.217407,389.039551,178
SPAWN=3304.463867,-1232.483398,389.03949,270
SPAWN=3330.63916,-1273.390503,384.142548,360

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3851,3335.223145,-1254.513916,388.252136,0,90.240822,89.999950625
OBJECT=3851,3335.223145,-1258.439331,388.252136,0,90.240822,89.999950625
OBJECT=3851,3335.223145,-1262.364746,388.252136,0,90.240822,89.999950625
OBJECT=3851,3335.223145,-1266.340454,388.252136,0,90.240822,89.999950625
OBJECT=3851,3335.223145,-1268.141479,388.252136,0,110.8672956,89.999950625
OBJECT=3851,3335.223145,-1271.81665,388.252136,0,110.8672956,270.000049375
OBJECT=3851,3335.223145,-1273.839233,388.252136,0,90.240822,89.999950625
OBJECT=3851,3335.223145,-1277.814453,388.252136,0,90.240822,89.999950625
OBJECT=3851,3335.223145,-1281.764893,388.252136,0,90.240822,89.999950625
OBJECT=3851,3323.974121,-1266.340454,388.252136,0,90.240822,89.999950625
OBJECT=3851,3323.974121,-1262.389771,388.252136,0,90.240822,89.999950625
OBJECT=3851,3323.974121,-1258.415039,388.252136,0,90.240822,89.999950625
OBJECT=3851,3323.974121,-1254.514893,388.252136,0,90.240822,89.999950625
OBJECT=3851,3323.974121,-1270.290649,388.252136,0,90.240822,89.999950625
OBJECT=3851,3323.974121,-1278.16626,388.252136,0,90.240822,89.999950625
OBJECT=3851,3323.974121,-1281.791382,388.252136,0,90.240822,89.999950625
OBJECT=3851,3335.223145,-1283.514893,388.252136,0,113.445547504,89.999950625
OBJECT=3851,3323.947266,-1283.514893,388.252136,0,113.445547504,89.999950625
OBJECT=3851,3340.771973,-1277.915039,388.252136,0,113.445547504,180.240887216
OBJECT=3851,3340.771973,-1258.239868,388.252136,0,113.445547504,180.240887216
OBJECT=3851,3340.771973,-1266.989868,388.252136,0,113.445547504,180.240887216
OBJECT=3851,3317.027832,-1259.789917,388.877167,0,113.4456048,0
OBJECT=3851,3317.027832,-1276.264648,388.877167,0,113.4456048,0
OBJECT=3851,3337.240479,-1247.280762,388.25116,0,90.240822,0
OBJECT=3851,3337.240479,-1236.280762,388.25116,0,90.240822,0
OBJECT=3851,3329.740479,-1232.630615,388.25116,0,90.240822,270.000049375
OBJECT=3851,3318.54126,-1232.630615,388.25116,0,90.240822,270.000049375
OBJECT=3851,3307.29126,-1232.630615,388.25116,0,90.240822,270.000049375
OBJECT=3851,3307.29126,-1232.630615,388.25116,0,90.240822,180.00009875
OBJECT=3851,3307.29126,-1243.855835,388.25116,0,90.240822,180.00009875
