
Name=4 Wheel Driving
Author=m0rgZ
MinLevel=0
JoinCost=4000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=423.783997,2085.258057,17.136934

RunTime=99999
WinBaseXP=1000000
WinBaseCash=15000000
Weather=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=579

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=424.035126,2079.190918,16.226563,0,0.0
CP=424.092041,1902.273071,16.226563,0,0.0
CP=371.767578,1858.472412,16.226563,0,0.0
CP=368.815704,1791.901978,16.226563,0,0.0
CP=318.632751,1748.018433,16.226563,0,0.0
CP=316.710449,1680.953491,16.226563,0,0.0
CP=271.672485,1649.192261,16.233984,0,0.0
CP=-25.258976,1650.113037,16.226563,0,0.0
CP=-66.084496,1721.915039,16.231941,0,0.0
CP=-62.006477,1969.449585,16.233139,0,0.0
CP=-15.505894,2007.894653,16.226563,0,0.0
CP=-12.459801,2050.787109,16.671297,0,0.0
CP=-25.126160,2063.257813,16.445313,0,0.0
CP=-149.461960,2057.416260,16.092903,0,0.0
CP=-171.760147,2003.093872,14.024734,0,0.0
CP=-71.009125,1278.853760,10.799746,0,0.0
CP=-92.244843,1258.083740,13.188681,0,0.0
CP=-118.163704,1242.780029,16.546192,0,0.0
CP=-133.400345,1198.699951,18.593750,0,0.0
CP=-265.145294,1198.020630,18.593750,0,0.0
CP=-339.013672,1198.180664,18.742188,0,0.0
CP=-406.244415,1200.588623,4.647612,0,0.0
CP=-482.365479,1187.330688,-0.042230,0,0.0
CP=-613.780945,1188.297607,8.753288,0,0.0
CP=-634.822083,1218.417847,10.846712,0,0.0
CP=-730.112305,1237.059326,12.414063,0,0.0
CP=-849.540833,1464.379272,14.789217,0,0.0
CP=-862.160950,1492.149048,18.481014,0,0.0
CP=-881.785156,1490.625000,22.996822,0,0.0
CP=-914.246521,1445.227417,27.939793,0,0.0
CP=-927.820862,1411.904785,28.820313,0,0.0
CP=-972.596069,1415.249512,30.450626,0,0.0
CP=-981.925781,1451.943237,36.602650,0,0.0
CP=-1004.731873,1402.454468,40.708359,0,0.0
CP=-1034.996338,1421.112915,37.560158,0,0.0
CP=-1025.807007,1448.826538,37.986935,0,0.0
CP=-1054.848755,1491.527710,34.001232,0,0.0
CP=-1059.502441,1528.018433,32.663506,0,0.0
CP=-1021.558838,1572.468262,33.555534,0,0.0
CP=-1019.558105,1627.171265,30.671967,0,0.0
CP=-1112.169312,1733.904297,33.697433,0,0.0
CP=-1139.936646,1749.840820,37.939392,0,0.0
CP=-1162.305542,1735.749268,43.643776,0,0.0
CP=-1216.009399,1685.069458,18.587791,0,0.0
CP=-1245.786255,1647.495483,8.676927,0,0.0
CP=-1325.653320,1458.242432,0.005136,0,0.0
CP=-1502.221802,1380.474731,2.023590,0,0.0
CP=-1574.460205,1346.793823,4.029015,0,0.0
CP=-1593.834473,1348.946167,4.492188,0,0.0
CP=-1603.313232,1332.752319,3.038929,0,0.0
CP=-1595.247070,1320.782837,3.306395,0,0.0
CP=-1604.024536,1308.579468,4.021107,0,0.0
CP=-1624.577515,1313.757324,4.662775,0,0.0
CP=-1661.336426,1300.336548,6.039066,0,0.0
CP=-1717.404541,1301.733032,6.039063,0,0.0
CP=-1815.503174,1360.958984,6.039063,0,0.0
CP=-1917.230835,1292.638062,6.039063,0,0.0
CP=-2028.890625,1291.205444,6.095370,0,0.0
CP=-2085.269775,1321.833130,6.039063,0,0.0
CP=-2271.077637,1331.681396,6.039063,0,0.0
CP=-2350.791260,1372.032471,6.077126,0,0.0
CP=-2559.829346,1362.936890,6.039063,0,0.0
CP=-2649.717285,1289.307739,6.039063,0,0.0
CP=-2799.542480,1277.019775,4.470322,0,0.0
CP=-2860.074951,1218.206543,4.525124,0,0.0
CP=-2887.565674,1204.449951,4.640415,0,0.0
CP=-2943.629395,1188.986206,3.561771,0,0.0
CP=-2939.101807,1041.119141,5.108109,0,0.0
CP=-2900.165527,922.663574,5.169483,0,0.0
CP=-2929.791504,807.295593,5.049253,0,0.0
CP=-2921.439697,688.637085,4.860996,0,0.0
CP=-2873.595459,634.580078,4.851521,0,0.0
CP=-2823.787842,574.228577,4.442810,0,0.0
