; Converted Sun, 17 Jan 10 13:22:39 +1100

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1482.904297,1833.827637,10.482718
MinLevel=0
JoinCost=4000
WinBaseXP=700000
WinBaseCash=700000

Name=Stuntmare Woozie's art
Author=Woozie
Description=Funny Faggio Stuntmare
RunTime=10000
Weather=8
Time=11:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=448

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1482.904297,1833.827637,10.482718,178
SPAWN=1481.234863,1833.873291,10.482719,178
SPAWN=1479.582275,1833.84082,10.482719,182
SPAWN=1477.880127,1833.89624,10.482718,182
SPAWN=1476.100708,1833.72876,10.482719,182
SPAWN=1477.041992,1836.681885,10.482719,192
SPAWN=1478.676514,1836.803833,10.482719,192
SPAWN=1480.401001,1836.803467,10.482719,192
SPAWN=1481.998901,1836.580566,10.482719,192

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1473.294678,1778.607422,15.320604,0,0.4
CP=1473.231567,1752.418213,11.972534,0,0.4
CP=1473.035645,1725.645264,15.785035,0,0.4
CP=1477.741089,1569.216797,9.8125,0,8
CP=1459.904175,1467.025391,9.820313,0,8
CP=1436.916138,1478.771484,17.432592,0,2
CP=1427.804565,1491.349731,24.6668,1,6.4
CP=1416.644653,1463.178467,18.900232,1,6
CP=1416.143799,1372.3125,9.812979,0,8
CP=1462.983887,1176.805664,9.820313,0,8
CP=1480.079224,1154.849121,9.820313,0,8
CP=1475.759888,1190.395264,9.820313,0,8
CP=1512.754028,1169.87915,9.805155,0,8
CP=1610.260742,1149.563477,9.8125,0,8
CP=1632.593384,1203.685913,9.812499,0,8
CP=1621.559692,1282.588623,9.8125,0,8
CP=1620.127686,1331.284546,27.872122,0,0.4
CP=1612.10083,1391.16748,20.535299,0,8
CP=1667.062866,1447.234741,25.908714,0,10
CP=1758.214722,1445.87146,27.531971,1,2.4
CP=1801.899902,1444.446655,28.727966,1,4.4
CP=1855.782959,1416.325439,18.904577,0,10
CP=1872.945557,1397.63855,25.093294,0,10
CP=1899.781494,1341.959229,33.473896,1,2.4
CP=1928.901001,1283.84436,34.215317,1,4.4
CP=1974.013794,1256.585693,23.012581,0,8
CP=1993.817383,1158.039917,21.518578,0,10
CP=1903.15918,1073.079346,20.850372,0,8
CP=1930.703735,1012.913147,27.150372,1,16
CP=1949.914673,1022.977539,20.850372,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13647,1473.310669,1769.701416,9.816284,0,0,270.000049375
OBJECT=973,1468.691772,1783.845459,10.65272,0,0,0
OBJECT=973,1476.839844,1783.79541,10.65272,0,0,0
OBJECT=973,1484.688843,1783.738037,10.652719,0,0,0
OBJECT=973,1493.996948,1783.773438,10.65272,0,0,0
OBJECT=973,1464.722412,1784.152222,10.91647,0,0,0
OBJECT=973,1456.25647,1783.714111,10.660533,0,0,0
OBJECT=13647,1473.132202,1731.328369,9.808473,0,0,89.3813856
OBJECT=972,1495.149414,1769.73999,9.809381,0,0,0
OBJECT=972,1495.411011,1747.561401,9.817186,0,0,0
OBJECT=972,1495.496094,1727.944214,9.809381,0,0,0
OBJECT=972,1495.525269,1704.660767,9.809381,0,0,0
OBJECT=972,1448.407959,1770.116211,9.80987,0,0,0
OBJECT=972,1448.312256,1748.963989,9.817194,0,0,0
OBJECT=972,1448.374146,1729.500122,9.817194,0,0,0
OBJECT=972,1448.447998,1707.55896,9.817194,0,0,0
OBJECT=973,1472.272827,1716.0448,10.65272,0,0,0
OBJECT=973,1464.337036,1715.985718,10.65272,0,0,0
OBJECT=973,1456.55542,1716.096558,10.660533,0,0,0
OBJECT=973,1479.679688,1716.050415,10.65272,0,0,0
OBJECT=973,1487.056519,1716.056519,10.65272,0,0,0
OBJECT=973,1494.216797,1715.997681,10.65272,0,0,0
OBJECT=973,1459.31189,1478.524536,10.660533,0,0,44.9999753125
OBJECT=973,1464.285889,1485.956543,10.660533,0,0,67.4999629687
OBJECT=973,1465.513306,1462.824951,10.668342,0,0,44.9999753125
OBJECT=973,1470.439087,1470.348755,10.668344,0,0,67.4999629687
OBJECT=973,1451.669556,1475.334839,10.660533,0,0,0
OBJECT=973,1457.535278,1459.503174,10.660533,0,0,0
OBJECT=973,1449.905273,1459.504517,10.660533,0,0,0
OBJECT=13638,1440.002197,1471.869385,11.676487,0,1.7188728,0.8594364
OBJECT=13638,1431.657959,1485.484619,17.742737,0,0,0
OBJECT=13638,1422.790649,1488.539795,17.742737,0,0,270.000049375
OBJECT=13643,1416.893799,1471.737549,16.784721,0,357.4216908,271.091476307
OBJECT=13645,1416.053223,1472.802612,17.553442,0,358.2811272,176.56235315
OBJECT=13647,1416.636353,1458.183838,9.816284,0,17.188728,269.759120704
OBJECT=13647,1619.500488,1338.287598,25.425671,0,1.7188728,274.9157964
OBJECT=13645,1626.306885,1398.568604,21.166401,0,0,326.249989868
OBJECT=13645,1632.625977,1410.541016,23.570984,0,0,22.4999876562
OBJECT=13645,1624.597168,1423.581543,25.453796,0,0,348.749977524
OBJECT=13593,1646.314575,1432.475342,27.031921,0,0,315.000024688
OBJECT=13593,1648.914917,1435.202026,28.43243,0,0,315.000024688
OBJECT=13593,1651.479004,1437.932007,29.867998,0,0,315.000024688
OBJECT=13647,1616.064697,1370.269775,26.233534,0,0,276.6346692
OBJECT=972,1425.579102,1459.863525,9.817194,0,0,89.999950625
OBJECT=972,1407.62793,1473.471191,9.817194,0,0,0
OBJECT=972,1407.666992,1497.207275,9.817194,0,0,0
OBJECT=972,1421.15979,1509.072021,9.817194,0,0,236.250096539
OBJECT=972,1439.463867,1485.811646,9.817194,0,0,44.9999753125
OBJECT=973,1440.761597,1461.250366,10.660533,0,0,338.43679802
OBJECT=13647,1621.485229,1302.205933,17.818148,0,151.260863696,91.1002584
OBJECT=13647,1692.644775,1446.993774,24.875195,0,0,0
OBJECT=13647,1736.293335,1446.929443,25.026773,0,0,0
OBJECT=13647,1775.198975,1445.765015,25.420265,0,0.8594364,179.518298704
OBJECT=13647,1810.310181,1444.551514,25.813223,0,0,180.377735104
OBJECT=13647,1843.234619,1439.800171,15.918314,0,33.5180196,341.9518356
OBJECT=16304,1863.932495,1423.13147,21.107624,0,0,0
OBJECT=16304,1845.239502,1421.201294,21.107624,0,0,0
OBJECT=16304,1855.252075,1406.674072,21.107624,0,0,0
OBJECT=16304,1843.35022,1401.169067,21.165203,0,0,0
OBJECT=16304,1867.903931,1404.198853,21.45245,0,0,0
OBJECT=16304,1874.776733,1395.877686,23.333023,0,0,0
OBJECT=16304,1877.684937,1386.489868,25.982224,0,0,0
OBJECT=16304,1885.003052,1376.123901,28.90403,0,0,0
OBJECT=18367,1885.155518,1375.869873,30.814199,0,0.8594364,22.3453464
OBJECT=13648,1905.287109,1330.518921,33.272449,0,180.481701296,205.301448
OBJECT=13647,1922.298584,1296.424805,31.362225,0,0.8594364,117.638877904
OBJECT=13647,1938.580811,1269.387939,23.008553,0,30.9397104,304.9960704
OBJECT=13645,1942.574829,1263.623901,25.689913,0,311.871618896,8.594364
OBJECT=1655,1998.374756,1192.215454,18.386049,0,0,179.99990125
OBJECT=987,1753.763062,1449.619141,10.827246,0,0,0
OBJECT=987,1761.945068,1453.642822,11.397771,0,0,270.000049375
OBJECT=987,1754.091187,1452.196045,10.85054,0,0,270.000049375
OBJECT=987,1753.621094,1444.427734,10.966007,0,0,0
OBJECT=987,1805.122314,1449.219116,12.758392,0,0,270.000049375
OBJECT=987,1795.312378,1448.525757,11.641286,0,0,0
OBJECT=987,1799.617065,1449.207153,12.90362,0,0,270.000049375
OBJECT=987,1798.017456,1443.490723,14.262917,0,0,0
OBJECT=987,1799.785889,1453.575195,5.724938,0,0,0
OBJECT=987,1801.062744,1454.419067,5.741994,0,0,270.000049375
OBJECT=987,1810.217773,1455.918335,5.734375,0,0,270.000049375
