; Converted Thu, 03 Jun 10 03:19:40 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1925.9806,1987.7681,7.5938,0
MinLevel=0
JoinCost=1000
WinBaseXP=2000000
WinBaseCash=2000000

Name=Chets i put my troll in the race line
Author=Chet
Description=Yes you do go up that.
RunTime=2000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1919.197388,2009.785156,10.345181,183
SPAWN=1920.270264,2009.796509,10.345181,183
SPAWN=1922.583984,2009.519897,10.345181,183
SPAWN=1921.686157,2009.637817,10.345181,183
SPAWN=1924.376953,2009.731323,10.345181,183
SPAWN=1923.510254,2009.489502,10.345181,183
SPAWN=1925.647583,2009.954956,10.345181,183
SPAWN=1927.121948,2009.84668,10.345181,183

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1927.978638,1975.799805,6.59375,0,3.2
CP=1946.366699,1937.403198,20.588924,1,3.2
CP=1973.470581,1954.95752,26.459415,0,3.2
CP=1982.503784,1966.315918,33.197281,1,2.4
CP=2002.673462,1986.976318,27.049389,0,3.2
CP=2006.869385,1987.540771,29.459415,0,0.72
CP=2019.560669,1983.914551,29.775122,1,3.2
CP=2033.321655,1980.88269,33.442261,1,1.6
CP=2047.309448,1977.649292,38.601482,1,3.2
CP=2042.425781,1979.528076,34.395168,1,3.2
CP=2035.677246,1980.426514,30.115204,1,0.8
CP=2001.703369,1927.925537,34.373772,0,4
CP=2004.560303,1881.418091,47.846355,1,4
CP=2076.404297,1858.908691,23.061342,1,4
CP=2112.21582,1832.633423,9.671875,0,4
CP=2178.411133,1731.152588,21.726563,0,4
CP=2173.042969,1634.832764,51.793751,1,8
CP=2218.236816,1630.869995,49.097736,1,8
CP=2226.532715,1678.498413,56.95903,1,4
CP=2240.905029,1680.902344,19.390623,0,0.8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3852,1964.865112,1948.901733,24.039585,12.0321096,0,303.2771976
OBJECT=2780,1995.485229,1988.997314,26.460938,0,0,0
OBJECT=3374,2006.922974,1987.619751,27.953392,0,0,0
OBJECT=3743,1978.525391,1961.273682,29.943501,0,0,142.666556992
OBJECT=1634,2018.841431,1984.454834,27.758255,0,0,256.971540896
OBJECT=1634,2031.529175,1981.47168,30.806713,2.5783092,0,256.971540896
OBJECT=1634,2045.857056,1978.337158,35.981773,13.7509824,0,256.971540896
OBJECT=13648,1999.029297,1902.001831,41.294987,11.1726732,8.594364,171.887337296
OBJECT=1894,2023.824585,1873.876831,46.634712,356.5622544,356.5622544,341.9518356
OBJECT=1632,2129.64917,1752.363525,10.845428,0,0.8594364,255.2526108
OBJECT=1632,2143.493652,1750.14856,15.745396,8.594364,0.8594364,255.2526108
OBJECT=13647,2184.511963,1680.080933,24.661592,0,196.810992896,93.6785676
OBJECT=1634,2185.724365,1657.91272,31.311872,4.297182,1.7188728,184.778883296
OBJECT=1634,2186.18042,1651.017334,36.324654,17.188728,1.7188728,184.778883296
OBJECT=1634,2186.150635,1648.137329,40.246021,38.674638,1.7188728,184.778883296
OBJECT=1634,2217.685059,1643.267456,48.645065,0,0,0
OBJECT=1225,2238.404785,1676.53894,19.796379,0,0,0
OBJECT=1225,2238.593018,1677.721313,20.774261,0,0,0
OBJECT=1225,2238.170166,1681.89624,19.796379,0,0,0
OBJECT=1225,2237.685303,1681.776855,19.796379,0,0,0
OBJECT=1225,2237.782959,1681.477783,19.796379,0,0,0
OBJECT=1225,2237.679932,1681.361206,19.796379,0,0,0
OBJECT=1225,2237.679932,1681.361206,19.796379,0,0,0
OBJECT=1225,2237.378418,1681.005371,19.796379,0,0,0
OBJECT=1225,2237.378418,1681.005371,19.796379,0,0,0
OBJECT=1225,2237.582031,1680.838013,19.796379,0,0,0
OBJECT=1225,2237.617188,1680.678101,19.796379,0,0,0
OBJECT=1225,2237.453613,1680.679688,19.796379,0,0,0
OBJECT=1225,2237.351563,1680.761353,19.796379,0,0,0
OBJECT=1225,2237.351563,1680.761353,19.796379,0,0,0
OBJECT=1225,2238.783203,1679.443115,21.040684,0,0,0
OBJECT=1225,2240.250977,1677.491089,19.796379,0,0,0
OBJECT=1225,2241.750977,1679.230835,19.796379,0,0,0
OBJECT=1225,2241.643555,1679.128296,19.796379,0,0,0
OBJECT=1225,2241.616943,1679.102417,19.796379,0,0,0
OBJECT=1225,2241.407227,1678.892334,19.796379,0,0,0
OBJECT=1225,2239.959961,1683.254639,19.796379,0,0,0
OBJECT=1225,2240.063721,1683.031616,19.796379,0,0,0
OBJECT=1225,2240.294922,1682.877197,19.796379,0,0,0
OBJECT=1225,2240.294922,1682.877197,19.796379,0,0,0
OBJECT=1225,2240.343994,1682.732544,19.796379,0,0,0
OBJECT=1225,2240.229492,1682.677856,19.796379,0,0,0
OBJECT=1225,2239.911377,1682.788086,19.796379,0,0,0
OBJECT=1225,2237.125977,1681.422363,19.796379,0,0,0
OBJECT=1225,2238.665283,1678.841187,19.796379,0,0,0
OBJECT=1225,2241.449951,1684.320801,19.796379,0,0,0
OBJECT=1225,2241.914063,1683.676636,19.796379,0,0,0
OBJECT=1225,2242.012695,1683.595459,19.796379,0,0,0
OBJECT=1225,2242.146484,1683.392334,19.796379,0,0,0
OBJECT=1225,2243.4021,1682.245117,19.796379,0,0,0
OBJECT=1225,2243.380127,1682.207031,19.796379,0,0,0
OBJECT=1225,2243.013184,1681.427002,19.796379,0,0,0
OBJECT=1225,2242.622559,1680.337524,19.796379,0,0,0
OBJECT=1225,2242.624756,1680.197144,19.796379,0,0,0
