; Converted Fri, 25 Jun 10 00:32:49 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=635.6126,-1399.2849,13.3701
MinLevel=0
JoinCost=9001
WinBaseXP=450000
WinBaseCash=450000

Name=Compacted Poles
Author=iFriSki
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=496

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=640.835388,-1407.424805,13.274798,89
SPAWN=640.84967,-1405.029175,13.274798,89
SPAWN=640.847168,-1402.608276,13.274798,89
SPAWN=641.119568,-1400.014404,13.274798,89
SPAWN=641.097229,-1397.49939,13.274798,89
SPAWN=641.237,-1394.862183,13.274798,89
SPAWN=641.170044,-1392.214844,13.274798,89

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=621.883606,-1401.2323,12.322197,0,16
CP=708.160034,-1416.647095,12.539063,0,12
CP=697.826111,-1443.588257,12.539063,0,6
CP=722.946289,-1483.121582,0.96875,0,24
CP=747.774353,-1477.853394,5.223758,0,12
CP=746.105896,-1442.292603,12.539063,0,8
CP=766.288696,-1453.878662,12.453373,0,8
CP=756.144714,-1508.401245,12.55397,0,8
CP=749.388245,-1533.848999,12.644993,0,8
CP=786.552795,-1546.902588,12.545601,0,8
CP=847.223328,-1546.129028,12.544125,0,8
CP=863.659058,-1510.454468,12.551716,0,8
CP=854.095398,-1494.381714,12.562644,0,8
CP=806.434265,-1491.948486,12.555355,0,8
CP=763.886536,-1482.963135,12.624622,0,8
CP=767.309509,-1454.485474,12.560829,0,8
CP=768.89447,-1414.511841,12.53359,0,8
CP=818.548889,-1400.403442,12.465508,0,14
CP=920.350769,-1400.965698,12.291138,0,16
CP=964.830994,-1384.343628,12.34375,0,10
CP=958.400879,-1357.194702,12.350191,0,10
CP=951.736389,-1383.09375,12.34375,0,10
CP=959.206055,-1435.180664,12.532272,0,14
CP=959.349731,-1474.37854,12.541074,0,12
CP=956.38446,-1504.607178,12.548216,0,8
CP=956.314514,-1560.312012,12.57005,0,8
CP=967.981323,-1572.030273,12.386253,0,16
CP=1077.442505,-1571.959839,12.382778,0,18
CP=1119.474609,-1572.392822,12.398436,0,10
CP=1128.136475,-1558.019287,12.800152,0,12
CP=1128.463989,-1523.447876,14.796875,0,14
CP=1129.088013,-1430.007324,14.796875,0,31.6
CP=1143.738281,-1383.042358,12.801179,0,14
CP=1142.61731,-1346.705078,12.659088,0,14
CP=1140.396606,-1293.793823,12.573425,0,22
CP=1151.526001,-1208.988647,17.971325,0,16
CP=1078.088745,-1207.162354,17.01823,0,10
CP=1043.147827,-1220.771606,15.721426,0,12
CP=949.823181,-1221.441162,15.734375,0,12
CP=942.395325,-1159.952515,22.523598,0,14
CP=962.782227,-1130.729736,22.662533,0,12
CP=977.100952,-1039.09729,29.158276,0,16
CP=1067.72583,-1038.384033,30.950689,0,12
CP=1083.115723,-1022.413269,32.198704,0,12
CP=1074.367676,-993.331116,37.739223,0,4
CP=1038.085449,-992.382141,38.272015,0,8
CP=1024.253174,-1010.356201,34.740158,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3854,613.665405,-1406.105957,12.74358,0,90.2407647042,94.3318477855
OBJECT=3854,612.752075,-1394.227539,12.74358,0,90.2407647042,94.3318477855
OBJECT=3854,614.487915,-1417.28064,12.913969,0,90.2407647042,94.3318477855
OBJECT=3854,614.385559,-1416.093018,13.042131,0,91.1002011042,359.791666547
OBJECT=3854,625.334839,-1416.139893,12.772599,0,88.5218919042,1.5105966424
OBJECT=3854,612.813599,-1385.966797,12.898,0,88.5218919042,1.5105966424
OBJECT=3854,637.672974,-1385.064697,12.906439,0,89.3813283042,180.273482434
OBJECT=918,744.466309,-1428.604858,12.894966,0,0,0
OBJECT=918,744.141846,-1428.448242,12.894966,0,0,0
OBJECT=1225,746.655945,-1433.904663,12.944818,0,0,0
OBJECT=1225,748.071533,-1431.968994,12.929193,0,0,0
OBJECT=1225,749.693665,-1430.03418,12.929193,0,0,0
OBJECT=1225,744.230347,-1435.875977,12.944819,0,0,0
OBJECT=1225,749.437439,-1516.606445,12.832429,0,0,0
OBJECT=1225,753.585938,-1503.167847,12.963201,0,0,0
OBJECT=1225,752.511597,-1506.14209,12.960443,0,0,0
OBJECT=1225,751.050964,-1510.04834,12.960443,0,0,0
OBJECT=1225,750.147278,-1513.189575,12.963136,0,0,0
OBJECT=1225,748.507507,-1544.91333,12.95682,0,0,0
OBJECT=1225,745.510132,-1544.843872,12.96356,0,0,0
OBJECT=1225,872.680664,-1527.619629,12.960443,0,0,0
OBJECT=1225,872.73175,-1531.947632,12.960443,0,0,0
OBJECT=1225,872.825073,-1529.839111,12.960443,0,0,0
OBJECT=1225,872.907104,-1533.647461,12.960443,0,0,0
OBJECT=1225,873.130005,-1535.884888,12.960443,0,0,0
OBJECT=1225,874.602966,-1525.58667,12.960443,0,0,0
OBJECT=1225,876.852966,-1523.83667,12.960443,0,0,0
OBJECT=1225,879.102966,-1522.08667,12.960443,0,0,0
OBJECT=964,868.207764,-1488.355469,12.497407,0,0,0
OBJECT=964,865.9328,-1488.39209,12.605107,0,0,0
OBJECT=964,862.997925,-1488.384644,12.616268,0,0,0
OBJECT=1225,764.637878,-1457.887329,12.734738,0,0,0
OBJECT=1225,761.892944,-1454.999023,12.357428,0,0,0
OBJECT=1225,759.538025,-1450.973389,12.178961,0,0,0
OBJECT=1225,757.154053,-1446.579712,12.347157,0,0,0
OBJECT=1225,768.634216,-1449.447876,12.976627,0,0,0
OBJECT=1225,771.634216,-1449.447876,12.976627,0,0,0
OBJECT=1225,774.634216,-1449.447876,12.976627,0,0,0
OBJECT=1307,775.078369,-1384.919067,13.034979,0,0,0
OBJECT=1307,777.179321,-1384.857544,13.036413,0,0,0
OBJECT=1307,780.07959,-1384.745117,13.018713,0,0,0
OBJECT=1307,898.009033,-1395.24292,12.514059,0,0,0
OBJECT=1307,898.509033,-1400.49292,12.514059,0,0,0
OBJECT=1307,898.509033,-1405.49292,12.514059,0,0,0
OBJECT=1307,778.487,-1384.916138,13.038336,0,0,0
OBJECT=1307,898.397827,-1410.486572,12.487162,0,0,0
OBJECT=1307,881.047485,-1408.108521,12.244852,0,0,0
OBJECT=1307,880.922363,-1402.707153,12.244852,0,0,0
OBJECT=1307,880.922363,-1397.957153,12.244852,0,0,0
OBJECT=1307,880.922363,-1392.457153,12.244852,0,0,0
OBJECT=1307,911.24585,-1408.617432,12.533922,0,0,0
OBJECT=1307,911.24585,-1402.867432,12.533922,0,0,0
OBJECT=1307,911.24585,-1398.117432,12.533922,0,0,0
OBJECT=1307,911.24585,-1392.617432,12.533922,0,0,0
OBJECT=3819,958.823486,-1428.04895,13.544633,0,353.1245088,270.000049375
OBJECT=3819,959.619446,-1457.946167,13.465302,0,347.108454,270.000049375
OBJECT=1655,956.307922,-1508.794434,13.84935,0,0,180.000041454
OBJECT=1407,956.083923,-1545.492065,13.406103,0,0,0
OBJECT=1407,956.114868,-1552.929321,13.400745,0,0,0
OBJECT=1407,956.064819,-1549.404053,13.400745,0,0,0
OBJECT=1407,956.049622,-1556.812988,14.02661,0,0,0
OBJECT=655,950.439575,-1559.687744,12.754135,0,36.9557652,0
OBJECT=655,958.823914,-1562.526855,12.764338,0,41.2529472,127.092506417
OBJECT=655,950.60199,-1560.656006,12.757259,0,43.8312564,0
OBJECT=1225,961.03418,-1577.09436,12.788567,0,0,0
OBJECT=1225,958.448486,-1577.171875,12.788568,0,0,0
OBJECT=1225,956.172241,-1577.122559,12.788568,0,0,0
OBJECT=1225,954.172241,-1574.522461,12.788568,0,0,0
OBJECT=1225,952.922241,-1570.022461,12.788568,0,0,0
OBJECT=1225,953.075867,-1566.49585,12.804379,0,0,0
OBJECT=1225,953.325867,-1562.24585,12.804379,0,0,0
OBJECT=1655,1138.913208,-1572.058838,12.373568,0,0,271.718922175
OBJECT=1225,1143.873169,-1568.620972,15.565394,0,0,0
OBJECT=1225,1143.992065,-1570.126953,15.652325,0,0,0
OBJECT=1225,1143.870117,-1571.751099,15.692628,0,0,0
OBJECT=1225,1143.870117,-1573.501099,15.692628,0,0,0
OBJECT=1225,1143.870117,-1575.501099,15.692628,0,0,0
OBJECT=1254,1136.063965,-1572.224365,12.528687,0,0,101.249973101
OBJECT=1503,1138.42627,-1210.917114,18.075153,0,0,89.999950625
OBJECT=1503,1138.558594,-1208.094116,18.153086,0,0,89.999950625
OBJECT=1503,1138.887695,-1205.369995,18.127014,0,0,89.999950625
