; Converted Sat, 12 Jun 10 04:16:34 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=319.3143,-54.0243,1.7205
MinLevel=0
JoinCost=15000
WinBaseXP=3000000
WinBaseCash=2500000

Name=Countryside Escape
Author=Smoke
Description=Escape through the countryside
RunTime=1000
Weather=
Time=

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=489

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=328.55188,-33.30415,1.897606,181
SPAWN=325.451874,-33.403648,1.917934,181
SPAWN=322.39801,-33.359039,1.930645,181
SPAWN=319.132416,-33.223263,1.938251,181
SPAWN=315.601288,-33.139786,1.938251,181
SPAWN=312.056946,-32.943268,1.919319,181
SPAWN=331.793213,-33.347401,1.85722,181
SPAWN=335.025726,-33.323807,1.819099,181
SPAWN=309.042725,-32.659847,1.88063,181

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=283.493958,-72.248192,0.433495,0,8
CP=282.515869,-139.93071,0.429688,0,8
CP=131.963501,-146.237732,0.429688,0,8
CP=154.123047,-180.352264,0.578125,0,8
CP=186.501068,-278.705322,0.429688,0,8
CP=235.103363,-218.511154,0.416321,0,8
CP=329.136841,-208.592941,-0.004093,0,8
CP=332.319611,-96.311646,0.429688,0,8
CP=388.0448,-89.340202,1.566185,0,8
CP=393.717621,-19.633516,3.101831,0,8
CP=525.875916,60.861671,19.704884,0,8
CP=520.991882,150.519226,22.823633,0,8
CP=770.439148,216.222595,28.998936,0,8
CP=752.909973,266.678833,26.085938,0,8
CP=703.723877,272.954651,20.192001,0,8
CP=753.845886,299.931305,19.273201,0,8
CP=759.146973,329.431213,18.882813,0,8
CP=776.750916,214.532791,30.213764,0,8
CP=985.071106,160.798386,27.520824,0,8
CP=1167.126221,306.768829,17.265629,0,8
CP=1290.177246,252.279953,18.407368,0,8
CP=1347.634521,381.507813,18.40625,0,8
CP=1447.816528,333.56192,17.84375,0,8
CP=1522.708374,363.253296,18.061193,0,8
CP=1412.655273,402.158875,18.689514,0,8
CP=1396.113403,332.502197,17.875822,0,8
CP=1421.588135,298.292114,18.419998,0,8
CP=1385.873535,220.667099,18.40625,0,8
CP=1487.392822,221.049545,18.103556,0,8
CP=1649.985596,261.652161,18.103022,0,8
CP=1834.491211,189.163422,29.83979,0,8
CP=2049.296387,107.442535,27.052088,0,8
CP=2223.724365,89.451935,25.335938,0,8
CP=2428.199951,111.92025,25.468872,0,8
CP=2531.506348,109.504684,25.335938,0,8
CP=2532.104248,44.408279,25.335938,0,8
CP=2395.079346,42.487541,25.336891,0,8
CP=2343.700684,92.796249,25.328125,0,8
CP=2343.72876,-25.686565,25.335938,0,8
CP=2225.608398,-29.751854,25.335938,0,8
CP=2263.644775,-98.757477,25.335938,0,8
CP=2367.698242,-26.830296,25.335938,0,8
CP=2530.497803,-5.023651,25.335938,0,8
CP=2535.876465,42.755272,25.335938,0,8
CP=2701.255127,-0.77388,29.958717,0,8
CP=2656.745605,-332.986115,46.998489,0,8
CP=2675.292725,-410.444885,53.130016,0,8
CP=2222.678223,-379.12619,49.238136,0,8
CP=2487.913574,-277.419891,16.440609,0,8
CP=2077.110352,-383.317505,69.208916,0,8
CP=2535.161621,-389.526733,77.181702,0,8
CP=2390.878418,-650.262268,126.445229,0,8
CP=2718.164307,-713.976074,75.71109,0,8
CP=2687.449951,-417.049225,52.483242,0,8
CP=2599.793945,-381.4776,66.02034,0,8
CP=2671.578369,-268.354767,36.725338,0,8
CP=2706.141357,-8.716909,31.275331,0,8
CP=2744.895752,149.214005,19.727648,0,8
CP=2513.820801,304.50592,28.436125,0,8
CP=2342.853516,283.044434,25.335938,0,8
CP=2343.464111,216.904602,25.3353,0,8
CP=2054.432129,262.100739,24.184418,0,8
CP=1986.516724,350.536102,25.219151,0,8
CP=1388.775146,441.638947,18.876362,0,8
CP=1084.934082,573.469971,18.882813,0,8
CP=929.876221,373.959198,18.882813,0,8
CP=508.354614,231.475891,12.580553,0,8
CP=510.409851,-240.860886,37.770912,0,8
CP=419.05072,-584.819214,36.248753,0,8
CP=632.763672,-652.513123,16.718042,0,8
CP=642.023499,-528.827271,15.1875,0,8
CP=721.399292,-527.545227,15.187431,0,8
CP=696.372375,-483.536407,15.193438,0,8
CP=640.806396,-491.692932,15.335938,0,8
CP=658.633911,-561.556396,15.335938,0,8
CP=700.820129,-599.470032,15.1875,0,8
CP=728.381226,-527.903748,15.18157,0,8
CP=826.63208,-529.983276,15.1875,0,8
CP=838.478455,-565.466431,15.193838,0,8
CP=1021.881042,-458.145905,50.289978,0,8
CP=1019.132202,-284.13797,73.170677,0,8
CP=1006.209595,-181.986969,20.927063,0,8
