
Name=Dead Mens Land
Author=Nightshade
MinLevel=20
JoinCost=1300

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=-794.946228,2433.153320,156.928940

RunTime=999
WinBaseXP=50000
WinBaseCash=50000
Time=5:3
Weather=8

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=-797.982056,2424.834229,156.092651,0,0.0
CP=-802.998413,2392.338867,153.617401,0,0.0
CP=-799.471436,2310.688232,141.466385,0,0.0
CP=-714.232910,2323.564209,126.307877,0,0.0
CP=-701.941467,2416.019287,128.789032,0,0.0
CP=-690.988098,2469.854248,116.355850,0,0.0
CP=-608.846069,2402.042236,90.418304,0,0.0
CP=-532.336792,2353.321289,72.136154,0,0.0
CP=-460.948364,2296.035889,56.227325,0,0.0
CP=-391.254028,2284.155273,39.096359,0,0.0
CP=-374.438385,2198.416992,41.087097,0,0.0
CP=-429.867981,2137.950439,44.462341,0,0.0
CP=-468.933380,2075.700928,58.841370,0,0.0
CP=-431.811340,2052.673828,60.156651,0,0.0
CP=-391.309998,2046.568848,62.052620,0,0.0
CP=-479.700836,1940.867554,85.373802,0,0.0
CP=-465.571503,1783.569336,73.258522,0,0.0
CP=-431.008545,1849.373535,63.753704,0,0.0
CP=-379.536713,1825.372314,49.412888,0,0.0
CP=-399.820892,1746.585205,41.296089,0,0.0
CP=-449.199402,1610.043457,34.671677,0,0.0
CP=-435.440552,1445.793457,32.803905,0,0.0
CP=-335.755249,1318.258057,50.796349,0,0.0
CP=-376.749451,1441.516602,60.080765,0,0.0
CP=-324.383301,1409.557739,69.473526,0,0.0
CP=-300.617279,1489.159790,74.681870,0,0.0
CP=-365.329865,1531.758545,74.359375,0,0.0
CP=-367.601563,1579.697632,75.064812,0,0.0
CP=-347.766022,1609.492920,74.813560,0,0.0
CP=-332.859039,1594.558472,75.166946,0,0.0
CP=-348.535950,1581.127808,75.346596,0,0.0
CP=-367.637695,1579.868652,75.063934,0,0.0
CP=-380.192169,1537.322632,74.359375,0,0.0
CP=-311.056030,1519.926270,74.359375,0,0.0
CP=-297.598175,1403.876099,71.294044,0,0.0
CP=-365.558838,1463.138672,62.273937,0,0.0
CP=-324.704315,1319.009521,52.017807,0,0.0
CP=-416.103516,1445.901123,34.324528,0,0.0
CP=-418.625519,1370.330322,29.079834,0,0.0
CP=-251.376801,1240.411621,22.837156,0,0.0
CP=-123.763695,1248.434448,16.920311,0,0.0
CP=-121.717735,1202.053833,18.593750,0,0.0
CP=-188.092255,1184.185547,18.589033,0,0.0
CP=-192.514999,1104.075562,18.596405,0,0.0
CP=-197.812439,1035.540771,18.586420,0,0.0
CP=-178.305298,987.365723,18.352936,0,0.0
CP=-142.323883,951.195251,18.891481,0,0.0
CP=-34.317200,950.010132,18.177971,0,0.0
CP=7.851978,923.246277,20.974442,0,0.0
CP=6.932318,982.058472,18.508213,0,0.0
CP=-109.996971,983.919128,18.885475,0,0.0
CP=-115.195549,1088.260864,18.739138,0,0.0
CP=-110.951439,1135.304688,18.742188,0,0.0
CP=-103.821671,1196.693237,18.589060,0,0.0
CP=45.768013,1198.172119,17.814522,0,0.0
CP=121.779160,1191.879395,16.439093,0,0.0
CP=187.833374,1155.102173,13.708029,0,0.0
CP=262.634949,1224.617554,14.608016,0,0.0
CP=346.589172,1402.684692,5.707652,0,0.0
CP=398.503326,1571.545776,16.529043,0,0.0
CP=533.683899,1688.753418,10.258364,0,0.0
CP=576.300171,1807.096924,12.704827,0,0.0
CP=614.323242,1982.435791,33.430176,0,0.0
CP=589.901245,2146.455811,38.074966,0,0.0
CP=552.435181,2316.785156,32.333332,0,0.0
CP=460.198334,2379.467529,27.176750,0,0.0
CP=316.387634,2293.381592,24.146034,0,0.0
CP=268.323090,2224.825439,32.365440,0,0.0
CP=252.218536,2135.780029,16.226563,0,0.0
CP=0.478127,2123.999268,16.229057,0,0.0
CP=46.787571,2069.472900,16.445313,0,0.0
CP=134.457306,2034.399048,16.886333,0,0.0
