; Converted Mon, 02 Aug 10 07:09:45 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2526.2390,320.2864,35.1172
MinLevel=0
JoinCost=1000
WinBaseXP=3000000
WinBaseCash=3000000

Name=Depression Session
Author=Cheerios
Description=..Good Luck..
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2871.239746,-2047.058228,10.768745,270
SPAWN=2871.174072,-2048.168213,10.768745,270
SPAWN=2871.231445,-2046.011597,10.768745,270
SPAWN=2871.202148,-2044.881226,10.768745,270
SPAWN=2871.234131,-2049.117432,10.768745,270
SPAWN=2871.197998,-2050.211914,10.768745,270
SPAWN=2871.144043,-2051.400146,10.768745,270
SPAWN=2871.136475,-2052.621826,10.768745,270
SPAWN=2871.027832,-2053.676758,10.768745,270
SPAWN=2870.986084,-2054.958984,10.768745,270
SPAWN=2871.013672,-2056.323486,10.768745,270

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2939.358887,-2051.305664,2.548043,0,8
CP=2993.108643,-2051.697266,32.248383,1,8
CP=3025.733398,-2051.569092,34.640385,1,8
CP=3074.923096,-2051.683838,43.278225,1,8
CP=3153.407715,-2051.828857,33.219406,1,8
CP=3091.156006,-2051.579346,61.562412,1,8
CP=3134.637695,-2063.854736,92.284615,1,8
CP=3284.824707,-2137.247559,103.071083,1,8
CP=3344.959961,-2328.368652,112.709641,1,8
CP=3230.310059,-2563.242432,17.561794,0,8
CP=3067.230957,-2881.166748,35.375465,0,8
CP=2935.530273,-2858.833008,34.280521,0,8
CP=2859.370605,-2688.123047,45.022141,0,8
CP=2765.930908,-2547.869629,57.165287,0,8
CP=2735.095703,-2487.530518,61.924614,1,6
CP=2715.60376,-2447.268799,28.148746,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=969,2933.77832,-2048.495117,2.414919,0,0,348.749977524
OBJECT=969,2933.752441,-2054.779053,2.58992,0,0,11.250022476
OBJECT=18367,2962.513916,-2051.675537,24.854515,53.2849995042,0,270.000049375
OBJECT=13647,2983.885498,-2051.684326,25.072828,0,0,0
OBJECT=13647,3015.640869,-2051.65918,27.175051,0,0,0
OBJECT=13647,3052.220947,-2051.658447,33.377316,0,350.5461996,0
OBJECT=2780,2943.099365,-2051.587158,0.903976,0,0,0
OBJECT=2780,2967.278809,-2051.622803,26.452839,0,0,270.000049375
OBJECT=2780,2997.556885,-2051.632568,27.855766,0,0,270.000049375
OBJECT=2780,3035.01123,-2051.587402,31.466476,0,0,270.000049375
OBJECT=2780,3063.73584,-2051.630371,37.872047,0,0,270.000049375
OBJECT=13647,3090.949951,-2051.657959,31.852627,0,18.0481644,0
OBJECT=13647,3128.431885,-2051.644043,28.065914,0,179.518012225,0
OBJECT=13647,3148.831543,-2051.627197,28.225712,0,170.06415453,0
OBJECT=13647,3156.757324,-2051.666504,29.602127,0,158.891366738,0
OBJECT=13647,3169.469727,-2051.656982,34.497276,0,148.578072642,0
OBJECT=13647,3179.28833,-2051.5625,40.482533,0,139.124214947,0
OBJECT=13647,3186.830322,-2051.549316,46.99559,0,116.778925842,0
OBJECT=13647,3209.806396,-2051.519287,60.880089,0,216.474006608,0
OBJECT=13647,3160.479736,-2051.556396,49.576736,0,186.393560721,0
OBJECT=13647,3122.335693,-2051.550537,53.846828,0,186.393560721,0
OBJECT=13647,3082.450928,-2051.569092,58.345707,0,186.393560721,0
OBJECT=13647,3086.385254,-2051.559814,57.892952,0,200.144600417,0
OBJECT=13647,3070.64502,-2051.571533,63.654575,0,221.630682304,0
OBJECT=13647,3065.900146,-2051.591064,67.857437,0,234.522342896,0
OBJECT=13647,3057.894531,-2051.580322,74.615356,0,251.711128192,0
OBJECT=13647,3051.651855,-2051.51416,97.94445,0,229.262445853,180.000041454
OBJECT=982,3068.853271,-2051.501953,89.937164,0,270.618671696,270.000049375
OBJECT=982,3068.888916,-2052.799805,89.945206,0,270.618671696,270.000049375
OBJECT=982,3068.853027,-2050.263672,89.953781,0,270.618671696,270.000049375
OBJECT=979,3086.079834,-2051.574707,89.805954,90.9960630254,359.1405636,0
OBJECT=979,3094.822998,-2052.07666,89.785149,90.9960630254,353.9839452,0
OBJECT=979,3103.517334,-2053.278809,89.782372,90.9960630254,350.5461996,0
OBJECT=979,3112.535889,-2055.063232,89.74836,90.9960630254,347.108454,0
OBJECT=979,3121.330566,-2057.727051,89.709892,90.9960630254,339.3735264,0
OBJECT=979,3129.567139,-2061.342773,89.638962,90.9960630254,333.3574716,0
OBJECT=13647,3152.470703,-2072.605225,89.513397,0,0,333.984917468
OBJECT=13647,3185.300049,-2088.645264,83.561859,0,188.971869921,333.984917468
OBJECT=13647,3221.198975,-2106.183838,80.882782,0,358.177791262,333.984917468
OBJECT=13647,3250.162109,-2120.335938,86.428108,0,352.161736462,333.984917468
OBJECT=13647,3259.214844,-2124.748047,94.301949,0,342.708050653,333.984917468
OBJECT=13647,3292.588135,-2141.019531,100.208626,0,185.43015813,333.984917468
OBJECT=13647,3326.672119,-2158.61792,96.945343,17.188728,184.57072173,329.687735468
OBJECT=13647,3356.297363,-2177.647705,95.242973,329.919726,184.57072173,322.734952288
OBJECT=13647,3355.926514,-2177.431641,95.341202,324.7631076,182.851791634,317.578333888
OBJECT=13647,3365.501221,-2186.605957,94.970444,328.2008532,181.992355234,308.983969888
OBJECT=13647,3371.861084,-2194.97168,94.650322,326.4819804,180.273425138,300.389605888
OBJECT=13647,3376.32666,-2203.376953,94.82431,335.9357808,175.976185842,289.216932688
OBJECT=13647,3380.163818,-2214.263428,95.483109,335.9357808,175.116692147,278.903753183
OBJECT=13647,3383.206543,-2231.846191,96.940269,335.9357808,172.538325651,272.028261983
OBJECT=13647,3383.786377,-2242.172119,98.239586,335.9357808,167.381592659,259.136715983
OBJECT=13647,3382.710938,-2249.757813,99.895561,335.9357808,165.662719859,245.385733583
OBJECT=13647,3376.55957,-2266.5625,104.090286,335.9357808,165.662719859,237.573514003
OBJECT=13647,3357.295654,-2303.016846,108.205193,0,185.43015813,63.9848680927
OBJECT=13647,3357.911377,-2303.213379,108.266289,0,185.43015813,63.9848680927
OBJECT=13647,3356.731445,-2302.796143,108.183472,0,185.43015813,63.9848680927
OBJECT=1225,3358.114014,-2178.453125,95.024399,0,288.666836096,0
OBJECT=1225,3359.799805,-2180.382568,95.39679,0,288.666836096,0
OBJECT=1225,3361.362793,-2182.124756,94.970154,0,288.666836096,0
OBJECT=1225,3360.834473,-2181.43042,95.245247,0,288.666836096,0
OBJECT=1225,3362.82373,-2183.022705,95.042557,0,288.666836096,0
OBJECT=1225,3364.211182,-2184.069092,94.888817,0,288.666836096,0
OBJECT=1225,3365.106689,-2185.472656,94.80304,0,288.666836096,0
OBJECT=1225,3366.887451,-2187.363037,94.576813,0,288.666836096,0
OBJECT=1225,3369.731689,-2187.869629,94.257164,0,288.666836096,0
OBJECT=1225,3369.580322,-2189.053711,94.919151,0,288.666836096,0
OBJECT=1225,3370.464111,-2190.467285,95.022079,0,288.666836096,0
OBJECT=1225,3372.05127,-2192.046631,94.258812,0,288.666836096,0
OBJECT=1225,3368.762207,-2190.143555,94.580612,0,288.666836096,281.250014555
OBJECT=1225,3370.519287,-2192.629883,94.710968,0,288.666836096,123.750100962
OBJECT=1225,3372.729248,-2194.716064,94.224495,0,288.666836096,45.0001155169
OBJECT=1225,3374.031738,-2197.371338,94.526794,0,288.666836096,33.7500930409
OBJECT=1225,3373.322021,-2195.998535,94.385422,0,288.666836096,326.250130072
OBJECT=1225,3375.57666,-2199.839355,94.473206,0,288.666836096,303.75008512
OBJECT=1225,3376.906494,-2202.293457,94.057457,0,288.666836096,258.750109808
OBJECT=1225,3377.701416,-2204.507568,94.529854,0,288.666836096,225.000156971
OBJECT=1225,3378.064697,-2206.395264,94.840897,0,288.666836096,180.00029625
OBJECT=1225,3379.16748,-2209.110352,95.042542,0,288.666836096,123.750413053
OBJECT=1225,3380.460693,-2211.835449,95.120827,0,288.666836096,33.7505770198
OBJECT=1225,3380.939209,-2214.009766,95.38813,0,288.666836096,45.0005422001
OBJECT=1225,3381.552979,-2216.949707,95.762039,0,288.666836096,33.7505770198
OBJECT=1225,3382.301514,-2220.818604,95.786812,0,288.666836096,56.2505073803
OBJECT=1225,3381.36377,-2218.193848,95.961914,0,288.666836096,56.2505073803
OBJECT=1225,3384.331543,-2226.930176,94.868828,0,288.666836096,56.2505073803
OBJECT=1225,3384.150879,-2229.089111,95.382187,0,288.666836096,56.2505073803
OBJECT=1225,3383.556641,-2230.084717,96.603966,0,288.666836096,33.7505770198
OBJECT=1225,3382.656982,-2222.124023,96.271278,0,288.666836096,56.2505073803
OBJECT=1225,3383.556641,-2221.517578,96.671822,0,288.666836096,56.2505073803
OBJECT=1225,3383.372559,-2225.230713,94.932793,0,288.666836096,56.2505073803
OBJECT=1225,3384.001221,-2233.53125,97.057358,0,288.666836096,33.7505770198
OBJECT=1225,3384.253174,-2236.215576,97.897469,0,288.666836096,33.7505770198
OBJECT=1225,3384.310791,-2240.779297,98.041855,0,288.666836096,292.500775806
OBJECT=1225,3384.057129,-2243.789795,98.784081,0,288.666836096,236.250892609
OBJECT=1225,3383.468506,-2248.667725,99.522484,0,288.666836096,281.250867922
OBJECT=1225,3382.194092,-2252.814941,100.656158,0,288.666836096,191.251089184
OBJECT=1225,3380.991699,-2255.686523,101.442406,0,288.666836096,101.250966672
OBJECT=2780,3361.5979,-2177.897705,94.650047,0,0,0
OBJECT=2780,3371.150879,-2187.362305,92.86982,0,0,0
OBJECT=2780,3376.936035,-2194.642334,93.565331,0,0,0
OBJECT=2780,3380.741699,-2202.48291,94.587105,0,0,0
OBJECT=2780,3383.424805,-2212.421143,95.739166,0,0,0
OBJECT=2780,3388.067871,-2230.366211,94.515236,0,0,0
OBJECT=2780,3385.055176,-2219.806396,97.008018,0,0,0
OBJECT=2780,3387.586182,-2238.415039,97.357712,0,0,0
OBJECT=2780,3386.839844,-2246.312988,98.836708,0,0,0
OBJECT=2780,3383.899414,-2256.308838,101.56665,0,0,0
OBJECT=2780,3379.657471,-2265.057861,103.934296,0,0,0
OBJECT=13647,3341.55542,-2335.286133,111.725502,0,185.43015813,63.9848680927
OBJECT=13647,3324.425293,-2370.42334,105.117989,0,157.068126676,63.9848680927
OBJECT=13647,3308.740479,-2402.547607,89.965942,0,157.068126676,63.9848680927
OBJECT=13647,3293.081787,-2434.655518,74.829704,0,157.068126676,63.9848680927
OBJECT=13647,3277.373291,-2466.811035,59.659424,0,157.068126676,63.9848680927
OBJECT=13647,3261.380615,-2499.599365,44.168961,0,157.068126676,63.9848680927
OBJECT=13647,3245.536621,-2532.036865,28.85062,0,157.068126676,63.9848680927
OBJECT=13647,3237.802979,-2547.891357,21.38446,0,166.522156259,63.9848680927
OBJECT=13647,3231.000244,-2561.821045,17.656977,0,176.835622242,63.9848680927
OBJECT=13647,3224.463867,-2575.189209,16.822397,0,185.43015813,63.9848680927
OBJECT=13647,3217.337891,-2589.762939,18.358952,0,196.603117808,63.9848680927
OBJECT=13647,3210.361084,-2604.066162,23.091881,0,209.494950287,63.9848680927
OBJECT=13647,3193.571289,-2638.463135,31.948933,0,179.413988738,63.9848680927
OBJECT=13647,3185.223145,-2655.550537,31.742514,0,179.413988738,63.9848680927
OBJECT=13647,3176.949707,-2672.477539,31.537905,0,179.413988738,63.9848680927
OBJECT=13647,3168.981445,-2688.770264,31.340498,0,179.413988738,63.9848680927
OBJECT=13647,3160.803223,-2705.529785,31.137859,0,179.413988738,63.9848680927
OBJECT=13647,3152.49292,-2722.567383,30.932756,0,179.413988738,63.9848680927
OBJECT=13647,3144.369629,-2739.24707,30.731096,0,179.413988738,63.9848680927
OBJECT=13647,3136.748047,-2754.850098,30.542732,0,179.413988738,63.9848680927
OBJECT=13647,3120.962158,-2787.231689,28.749327,0,1.5065859392,63.9848680927
OBJECT=13647,3112.487549,-2804.629639,30.072659,0,1.5065859392,63.9848680927
OBJECT=13647,3101.830322,-2826.398438,34.159225,0,1.5065859392,63.9848680927
OBJECT=13647,3086.438721,-2854.056641,34.904083,0,358.928219443,58.8282496927
OBJECT=13647,3062.190186,-2886.419434,32.909733,0,1.5065859392,46.7961973885
OBJECT=13647,3031.655518,-2911.636963,29.125481,0,352.911992756,31.2489929125
OBJECT=3865,3014.764648,-2922.234863,31.179657,0.8594364,0,303.750002212
OBJECT=3865,3007.500488,-2925.884033,31.092922,0,0,292.500037031
OBJECT=3865,2999.54248,-2928.250244,31.106186,0,358.2811272,283.046236631
OBJECT=3865,2991.054199,-2929.275391,31.041185,0,358.2811272,272.732999831
OBJECT=3865,2982.341309,-2928.600098,31.029339,0,358.2811272,259.841511127
OBJECT=3865,2974.013672,-2926.142578,30.941114,0,358.2811272,248.668837927
OBJECT=3865,2965.930908,-2922.302002,30.930862,0,358.2811272,241.793289431
OBJECT=3865,2958.593262,-2917.408691,30.939474,0,358.2811272,232.339431736
OBJECT=3865,2952.614014,-2912.681885,31.431675,353.9839452,358.2811272,232.339431736
OBJECT=3865,2946.135742,-2907.578857,33.04319,344.5301448,358.2811272,232.339431736
OBJECT=13638,2943.235352,-2896.731445,27.020451,0,0,135.000066142
OBJECT=13638,2941.712646,-2878.494873,27.094572,0,0,315.000024688
OBJECT=18367,2943.870605,-2871.014893,32.290485,0,0,213.750051587
OBJECT=18367,2926.215332,-2844.79541,34.996643,0,0,202.500086406
OBJECT=18367,2913.531982,-2814.480225,37.404236,0,0,202.500086406
OBJECT=18367,2900.785156,-2783.649902,40.081306,0,0,202.500086406
OBJECT=18367,2888.040039,-2753.135254,42.017853,0,0,202.500086406
OBJECT=18367,2875.722412,-2723.300049,45.023624,6.0160548,359.1405636,202.500086406
OBJECT=18367,2863.389893,-2693.800537,44.588783,6.0160548,359.1405636,213.750051587
OBJECT=18367,2845.545166,-2667.130371,43.865269,6.0160548,359.1405636,213.750051587
OBJECT=18367,2826.963867,-2639.289063,42.276394,6.0160548,359.1405636,213.750051587
OBJECT=18367,2809.952148,-2613.685547,42.477966,0.8594364,359.1405636,213.750051587
OBJECT=18367,2793.707764,-2589.155029,45.124668,353.1245088,359.1405636,213.750051587
OBJECT=18367,2777.409912,-2564.61377,52.067162,353.1245088,359.1405636,213.750051587
OBJECT=18367,2761.260986,-2540.020752,58.93198,-0,0,212.031178787
OBJECT=18367,2745.133301,-2514.153809,62.083454,10.3132368,0,200.781213606

