; Converted Sun, 27 Jun 10 19:50:46 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-547.5361,-1017.9020,24.1496
Interior=1
MinLevel=0
JoinCost=1500
WinBaseXP=400000
WinBaseCash=400000

Name=Destruction Derby Speedway
Author=Slick
RunTime=900
Weather=0
Time=6:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=502

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-1405.582764,-171.707993,1043.438599,11
SPAWN=-1396.938965,-169.976746,1043.444458,11
SPAWN=-1400.973267,-171.31778,1043.430786,11
SPAWN=-1404.014404,-180.681992,1043.284546,11
SPAWN=-1395.238281,-178.885345,1043.297607,11
SPAWN=-1399.453003,-179.711792,1043.289795,11
SPAWN=-1403.227051,-190.060669,1043.158325,360
SPAWN=-1394.245117,-188.561661,1043.178955,360
SPAWN=-1398.637207,-189.741043,1043.166992,360
SPAWN=-1393.512817,-197.854401,1043.092896,360
SPAWN=-1397.582275,-198.229858,1043.087891,360
SPAWN=-1402.372437,-198.032593,1043.08374,360
SPAWN=-1402.502808,-205.959839,1043.060669,360
SPAWN=-1393.046875,-206.039612,1043.06958,360
SPAWN=-1397.688232,-205.821854,1043.065796,360
SPAWN=-1392.76123,-214.684875,1043.088257,360
SPAWN=-1401.447876,-214.54155,1043.075195,360
SPAWN=-1397.409424,-214.476639,1043.080933,360
SPAWN=-1392.548096,-223.585831,1043.164795,360
SPAWN=-1397.392578,-224.041473,1043.148682,360
SPAWN=-1401.692627,-224.343918,1043.133789,360
SPAWN=-1392.189331,-232.926636,1043.257446,360
SPAWN=-1397.598145,-233.343384,1043.223877,360
SPAWN=-1402.408936,-233.740906,1043.218506,360
SPAWN=-1391.736206,-241.475891,1043.389771,360
SPAWN=-1397.524414,-241.847015,1043.344238,360
SPAWN=-1402.858032,-241.41861,1043.35083,360
SPAWN=-1391.6875,-249.373169,1043.536987,360
SPAWN=-1397.231323,-249.635666,1043.481689,360
SPAWN=-1402.494507,-249.072952,1043.474609,360
SPAWN=-1391.09375,-260.451111,1043.830688,360
SPAWN=-1403.060425,-258.33551,1043.625732,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-1531.129517,-201.38913,1049.681519,0,20
CP=-1265.430786,-211.179825,1049.669434,0,20
CP=-1531.129028,-201.623444,1049.677979,0,20
CP=-1264.590332,-211.021133,1049.66333,0,20
CP=-1531.815308,-201.959091,1049.67981,0,20
CP=-1263.959839,-211.100357,1049.660034,0,20
CP=-1531.39624,-201.970291,1049.677979,0,20
CP=-1264.385986,-211.427582,1055.940308,0,20
CP=-1531.568604,-201.820663,1049.68042,0,20
CP=-1263.75769,-210.204041,1049.661377,0,20
CP=-1398.593262,-195.70784,1042.120361,0,20
CP=-1542.049805,-201.170563,1049.725098,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13590,-1362.59375,1612.6875,1052.664063,0,0,0
OBJECT=13591,-1385.625,1571.5,1051.796875,0,0,0
OBJECT=13592,-1405.203125,1645.523438,1061.242188,0,0,0
OBJECT=13593,-1398.78125,1595.40625,1052.242188,0,0,0
OBJECT=13594,-1399.078125,1603.054688,1055.601563,0,0,0
OBJECT=13595,-1398.453125,995.796875,1057.445313,0,0,0
OBJECT=13596,-1312.460938,998.460938,1068.429688,0,0,0
OBJECT=13597,-1440.015625,998.460938,1068.429688,0,0,0
OBJECT=13598,-1398.453125,111.3125,1060.8125,0,0,0
OBJECT=13599,-1295.75,112.523438,1036.335938,0,0,0
OBJECT=13600,-1312.460938,113.976563,1068.429688,0,0,0
OBJECT=13601,-1440.015625,113.976563,1068.429688,0,0,0
OBJECT=13602,-1448.679688,182.609375,1035.320313,0,0,0
OBJECT=13605,-1440.015625,1248.390625,1068.429688,0,0,0
OBJECT=13606,-1314.820313,1246.9375,1037.023438,0,0,0
OBJECT=13607,-1396.554688,1245.835938,1042.40625,0,0,0
OBJECT=13608,-1396.554688,1245.835938,1042.46875,0,0,0
OBJECT=13609,-1358.953125,1245.820313,1028.179688,0,0,0
OBJECT=13610,-1393.851563,1244.109375,1060.8125,0,0,0
OBJECT=13611,-1292.367188,1030.59375,1035.601563,0,0,0
OBJECT=13612,-1398.460938,995.640625,1024.460938,0,0,0
OBJECT=13613,-1330.234375,938.273438,1035.265625,0,0,0
OBJECT=13614,-1522.765625,972.851563,1038.351563,0,0,0
OBJECT=13615,-1290.445313,962.546875,1035.382813,0,0,0
OBJECT=13616,-1328.84375,1059.273438,1035.492188,0,0,0
OBJECT=13617,-1469.40625,933.460938,1038.539063,0,0,0
OBJECT=13618,-1497.53125,1038.289063,1035.5,0,0,0
OBJECT=13619,-1390.492188,1069.929688,1035.265625,0,0,0
OBJECT=13620,-1404.28125,932.84375,1035.226563,0,0,0
OBJECT=13621,-1448.679688,1067.09375,1035.320313,0,0,0
OBJECT=13622,-1396.546875,1245.835938,1042.46875,0,0,0
OBJECT=13623,-1396.554688,1245.835938,1042.40625,0,0,0
OBJECT=13624,-1397.84375,-206.96875,1047.164063,0,0,0
OBJECT=13625,-1336.828125,-305.109375,1053.367188,0,0,285.000079343
OBJECT=13626,-1397.84375,-206.96875,1047.164063,0,0,0
OBJECT=13627,-1448.679688,182.609375,1035.320313,0,0,0
OBJECT=13628,-1395.039063,-207.804688,1040.078125,0,0,0
OBJECT=13629,-1481.1875,-205.929688,1062.28125,0,0,0
OBJECT=13630,-1330.203125,-205.96875,1062.28125,0,0,0
OBJECT=13631,-1401.851563,-666.179688,1071.234375,0,0,0
OBJECT=13632,-1405.546875,-779.054688,1054.804688,0,0,270.000049375
OBJECT=13633,-1404.984375,-664.84375,1057.796875,0,0,0
OBJECT=13634,-1415.898438,1603.445313,1066.484375,0,0,0
OBJECT=13635,-1458.742188,1583.648438,1054.765625,0,0,0
OBJECT=13636,-1454.078125,1628.085938,1053.71875,0,0,0
OBJECT=13637,-1483.632813,1570.78125,1053.546875,0,0,0
