; Converted Sat, 26 Jun 10 07:51:42 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2446.8179,1377.4880,7.0391
Interior=1
MinLevel=0
JoinCost=1000
WinBaseXP=2500000
WinBaseCash=2500000

Name=Dinghy Falls 2
Author=Laggy
Description=A rollacoster ride with dinghys
RunTime=1000
Weather=0
Time=8:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

DefaultViewDistance=250.0

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3533.32666,-1974.487549,4136.702148,360
SPAWN=3527.936768,-1974.69043,4136.661133,360
SPAWN=3522.466309,-1974.395874,4136.660645,360
SPAWN=3516.98999,-1974.248535,4136.669922,360
SPAWN=3532.648682,-1973.331665,4142.686523,360
SPAWN=3527.119141,-1972.903198,4142.658203,360
SPAWN=3522.147949,-1973.045898,4142.652344,360
SPAWN=3517.454834,-1972.752563,4142.660156,360
SPAWN=3517.786377,-1706.450684,4143.211914,178
SPAWN=3522.751953,-1706.6427,4143.199219,178
SPAWN=3527.94043,-1706.768066,4143.199219,178
SPAWN=3532.692871,-1707.163818,4143.268555,178
SPAWN=3390.517334,-1842.959595,4143.268555,270
SPAWN=3390.75,-1838.120483,4143.257813,270
SPAWN=3390.610596,-1832.934204,4143.257813,270
SPAWN=3390.519531,-1827.903809,4143.338867,270
SPAWN=3518.054932,-1707.646118,4137.22998,178
SPAWN=3523.375977,-1707.717773,4137.218262,178
SPAWN=3528.415283,-1707.671875,4137.218262,178
SPAWN=3532.334717,-1708.108643,4137.277832,178
SPAWN=3391.808838,-1833.054077,4137.301758,270
SPAWN=3391.755371,-1828.86499,4137.356445,270
SPAWN=3391.827393,-1838.33313,4137.301758,270
SPAWN=3391.782715,-1842.918213,4137.3125,270
SPAWN=3660.349365,-1828.446899,4136.718262,90
SPAWN=3660.330078,-1832.876709,4136.694336,90
SPAWN=3660.154297,-1837.821777,4136.692383,90
SPAWN=3659.866943,-1842.505249,4136.69873,90
SPAWN=3661.115967,-1842.792847,4142.617188,85
SPAWN=3661.112793,-1837.775513,4142.612305,85
SPAWN=3661.183838,-1832.446167,4142.614746,85
SPAWN=3661.21875,-1828.163696,4142.642578,85

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=3525.167236,-1835.939209,4105.151367,0,12,473
CP=3998.248535,-1574.383667,1806.245972,0,31.6
CP=4225.203125,-310.74469,-0.290167,0,31.6
CP=4233.869629,-766.522522,0.620659,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13001,3524.545898,-1836.526367,4136.210449,0,0,0
OBJECT=5995,3609.687012,-1835.592285,4136.30957,0,0,0
OBJECT=5995,3440.109375,-1835.592285,4136.659668,0,0,0
OBJECT=5995,3525.100342,-1753.349609,4136.585938,0,0,269.759178
OBJECT=5995,3525.100342,-1923.100586,4136.285645,0,0,269.759178
OBJECT=5995,3524.558594,-1827.027954,4078.782227,359.1405636,86.8030191042,270.6186144
OBJECT=5995,3515.522705,-1838.137085,4078.826172,0,89.3813283042,0
OBJECT=5995,3525.306885,-1846.046509,4078.908203,0,86.8030191042,90.240822
OBJECT=5995,3528.946289,-1835.049805,4079.134277,0,83.3652735042,180.377849696
OBJECT=5995,3525.83252,-1837.780151,3971.828613,0,79.0680915042,0
OBJECT=5995,3523.592773,-1825.023193,3977.030762,359.1405636,89.3813283042,270.6186144
OBJECT=5995,3525.061768,-1847.976074,3979.978027,0,89.3813283042,90.240822
OBJECT=5995,3568.142578,-1837.40686,3884.497559,0,50.7067476,0
OBJECT=976,3514.985352,-1848.888184,4139.033203,0,0,0
OBJECT=976,3523.76123,-1848.888184,4139.033203,0,0,0
OBJECT=976,3526.362793,-1848.888184,4139.033203,0,0,0
OBJECT=976,3535.305176,-1848.788574,4139.033203,0,0,90.2407647042
OBJECT=976,3535.280273,-1839.962036,4139.033203,0,0,90.2407647042
OBJECT=976,3535.255371,-1832.789795,4139.008301,0,0,90.2407647042
OBJECT=976,3534.881836,-1823.888428,4139.033203,0,0,180.481987775
OBJECT=976,3526.149902,-1823.963501,4139.033203,0,0,178.763114975
OBJECT=976,3523.560059,-1823.863403,4139.033203,0,0,179.622551375
OBJECT=976,3514.785156,-1848.788574,4139.033203,0,0,90.2407647042
OBJECT=976,3514.785156,-1839.936279,4139.033203,0,0,90.2407647042
OBJECT=976,3514.785156,-1832.78418,4139.033203,0,0,90.2407647042
OBJECT=13001,3524.545898,-1836.526367,4142.15918,0,0,0
OBJECT=5995,3440.109375,-1835.592285,4142.611816,0,0,0
OBJECT=5995,3525.100342,-1753.349609,4142.563477,0,0,269.759178
OBJECT=5995,3525.100342,-1923.100586,4142.26416,0,0,269.759178
OBJECT=7371,3510.53418,-1705.333496,4142.196289,0,0,0
OBJECT=7371,3540.381592,-1705.260376,4142.186035,0,0,0
OBJECT=7371,3540.389893,-1858.494995,4141.988281,0,0,0
OBJECT=7371,3510.779785,-1858.763672,4142.11377,0,0,0
OBJECT=7371,3498.17749,-1825.601807,4142.116211,0,0,269.759120704
OBJECT=7371,3498.478516,-1846.74585,4142.119629,0,0,269.759120704
OBJECT=7371,3384.427246,-1801.003174,4142.376465,0,0,0
OBJECT=7371,3534.07959,-1699.289307,4142.178223,0,0,269.759120704
OBJECT=7371,3534.127441,-1978.757568,4142.112793,0,0,269.759120704
OBJECT=7371,3534.127441,-1978.757568,4135.885254,0,0,269.759120704
OBJECT=7371,3510.779785,-1858.763672,4136.136719,0,0,0
OBJECT=7371,3540.389893,-1858.494995,4135.532227,0,0,0
OBJECT=7371,3498.478516,-1846.74585,4136.142578,0,0,269.759120704
OBJECT=7371,3498.17749,-1825.601807,4136.012695,0,0,269.759120704
OBJECT=7371,3510.53418,-1705.333496,4136.192383,0,0,0
OBJECT=7371,3534.07959,-1699.289307,4136.251465,0,0,269.759120704
OBJECT=7371,3540.381592,-1705.160522,4136.234375,0,0,0
OBJECT=7371,3660.410645,-1846.751099,4135.52002,0,0,269.759120704
OBJECT=7371,3660.36084,-1825.939331,4136.195313,0,0,269.759120704
OBJECT=7371,3665.026367,-1832.185547,4135.863281,0,0,0
OBJECT=7371,3384.427246,-1801.003174,4135.872559,0,0,0
OBJECT=5995,3609.687012,-1835.592285,4142.238281,0,0,0
OBJECT=7371,3660.286133,-1847.001343,4141.999023,0,0,269.759120704
OBJECT=7371,3660.385742,-1826.039429,4141.775879,0,0,269.759120704
OBJECT=7371,3665.026367,-1832.185547,4141.869141,0,0,0
OBJECT=1633,3532.114258,-1852.25647,4135.944824,0,0,0
OBJECT=1633,3527.997559,-1852.25647,4135.944824,0,0,0
OBJECT=1633,3523.894043,-1852.25647,4135.944824,0,0,0
OBJECT=1633,3519.770508,-1852.25647,4135.944824,0,0,0
OBJECT=1633,3518.222656,-1852.25647,4135.944824,0,0,0
OBJECT=1633,3512.001221,-1843.131104,4135.995117,0,0,269.759235296
OBJECT=1633,3512.026123,-1839.055054,4135.995117,0,0,269.759235296
OBJECT=1633,3512.051025,-1834.90271,4135.995117,0,0,269.759235296
OBJECT=1633,3512.075928,-1830.750854,4135.995117,0,0,269.759235296
OBJECT=1633,3512.10083,-1826.649536,4135.995117,0,0,269.759235296
OBJECT=1633,3517.80542,-1820.693726,4135.995117,0,0,179.518012225
OBJECT=1633,3521.900146,-1820.743774,4135.995117,0,0,179.518012225
OBJECT=1633,3526.033936,-1820.793823,4135.995117,0,0,179.518012225
OBJECT=1633,3530.031006,-1820.818848,4135.995117,0,0,179.518012225
OBJECT=1633,3534.093018,-1820.868896,4135.995117,0,0,179.518012225
OBJECT=1633,3538.183838,-1827.369629,4135.995117,0,0,90.1366266254
OBJECT=1633,3538.20874,-1831.470947,4135.995117,0,0,90.1366266254
OBJECT=1633,3538.20874,-1835.571777,4135.995117,0,0,90.1366266254
OBJECT=1633,3538.183838,-1839.623535,4135.995117,0,0,90.1366266254
OBJECT=1633,3538.183838,-1843.649536,4135.995117,0,0,90.1366266254
OBJECT=5995,3575.332275,-1846.818848,3890.48877,321.325362,89.3813283042,90.240822
OBJECT=5995,3573.560547,-1825.53772,3891.545166,39.5340744,89.3813283042,270.6186144
OBJECT=5995,3637.897705,-1837.056763,3798.732666,0,50.7067476,0
OBJECT=5995,3645.562988,-1845.655884,3801.98584,321.325362,89.3813283042,90.240822
OBJECT=5995,3645.411133,-1825.61853,3805.0354,39.5340744,89.3813283042,270.6186144
OBJECT=5995,3707.955078,-1836.684326,3712.445313,0,50.7067476,0
OBJECT=5995,3714.577148,-1825.494141,3723.668213,39.5340744,89.3813283042,270.6186144
OBJECT=5995,3719.091309,-1846.840332,3716.226563,321.325362,89.3813283042,88.5219492
OBJECT=6959,3525.547363,-1836.499146,4146.336914,0,0,0
OBJECT=5995,3778.411133,-1836.2771,3625.682373,0,50.7067476,0
OBJECT=740,3524.874268,-1835.263184,4135.724121,0,0,0
OBJECT=5995,3788.930908,-1848.677124,3628.345703,321.325362,89.3813283042,88.5219492
OBJECT=5995,3786.485596,-1825.494751,3637.156982,39.5340744,89.3813283042,270.6186144
OBJECT=4863,3818.895264,-1835.401611,3582.399414,0,47.2689447042,0
OBJECT=4862,3930.193604,-1837.195923,3453.575684,0,226.891839853,0
OBJECT=4862,4018.506104,-1837.190796,3306.377197,0,250.955887166,0
OBJECT=4862,4049.820801,-1837.164307,3135.363037,0,268.144500575,0
OBJECT=4862,4052.938477,-1837.114258,2959.913086,0,269.863316079,0
OBJECT=6959,3820.995605,-1851.909912,3549.170166,186.393560721,91.9596375042,281.791344896
OBJECT=6959,3822.986572,-1819.788086,3547.087891,186.393560721,91.9596375042,261.164871296
OBJECT=5995,3772.234619,-1836.177856,3647.34082,237.1005948,182.20091787,91.8560150873
OBJECT=5995,4060.559082,-1833.714478,2820.608154,0,81.6464007042,0
OBJECT=5995,4060.559082,-1834.014771,2854.108154,0,63.5982363042,0
OBJECT=5995,4060.559082,-1834.014771,2854.108154,0,48.9878748,0
OBJECT=5995,4060.559082,-1834.014771,2855.28418,0,53.2850568,0
OBJECT=5995,4060.559082,-1834.014771,2851.831055,0,33.5180196,0
OBJECT=5995,4060.559082,-1834.014771,2848.081055,0,18.9076008,0
OBJECT=5995,4060.559082,-1834.014771,2842.331055,0,8.594364,0
OBJECT=5995,4066.0354,-1848.452515,2852.339355,321.325362,84.2247099042,94.538004
OBJECT=5995,4064.610107,-1821.430176,2850.636719,42.97182,89.3813283042,263.7431232
OBJECT=5995,4060.559082,-1834.014771,2831.831055,0,355.702818,0
OBJECT=5995,4130.559082,-1834.014771,2831.831055,0,284.369654096,0
OBJECT=5995,4130.559082,-1823.633789,2830.00415,0,270.618671696,86.8030191042
OBJECT=5995,4129.681152,-1846.943604,2830.11084,0,270.618671696,271.477993504
OBJECT=5995,4130.559082,-1834.014771,2831.831055,0,302.4177612,0
OBJECT=5995,4130.559082,-1834.014771,2825.331055,0,311.0121252,0
OBJECT=5995,4172.521973,-1834.008057,2880.860352,0,356.5622544,0
OBJECT=5995,4116.821777,-1834.583618,2899.45752,0,271.478165392,359.1405636
OBJECT=5995,4130.559082,-1834.014771,2813.08252,0,327.3414168,0
OBJECT=5995,4087.386963,-1830.934082,2787.488281,62.7387999042,338.51409,85.9435827042
OBJECT=5995,4087.386963,-1830.934082,2787.488281,65.3171091042,286.947906,85.9435827042
OBJECT=5995,4092.731689,-1830.934082,2789.96582,64.4576727042,318.7470528,85.9435827042
