; Converted Sun, 27 Jun 10 09:36:07 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2574.2666,510.0647,47.7813
Interior=1
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Dinghy Falls 3
Author=Laggy
Description=The only copy of Dinghy Falls 3 before it was scraped
RunTime=1000
Weather=0
Time=14:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

DefaultViewDistance=250.0

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3418.019775,-1993.540161,6465.058105,90
SPAWN=3418.019775,-1998.465576,6465.058105,90
SPAWN=3418.019775,-1988.712891,6465.058105,90
SPAWN=3418.019775,-1983.788696,6465.058105,90
SPAWN=3418.019775,-1978.936401,6465.058105,90
SPAWN=3418.019775,-1973.684937,6465.058105,90
SPAWN=3418.019775,-1968.733032,6465.058105,90
SPAWN=3418.019775,-1958.740356,6465.058105,90
SPAWN=3418.019775,-1953.763916,6465.058105,90
SPAWN=3418.019775,-1948.813721,6465.058105,90
SPAWN=3418.019775,-1943.713379,6465.058105,90
SPAWN=3418.019775,-1938.762695,6465.058105,90
SPAWN=3418.019775,-1933.836548,6465.058105,90
SPAWN=3418.019775,-1928.93396,6465.058105,90
SPAWN=3418.019775,-1918.705078,6465.058105,90
SPAWN=3418.019775,-1913.93103,6465.058105,90
SPAWN=3418.019775,-1908.805176,6465.058105,90
SPAWN=3418.019775,-1904.028687,6465.058105,90
SPAWN=3418.019775,-1899.077271,6465.058105,90
SPAWN=3418.019775,-1894.200195,6465.058105,90
SPAWN=3418.019775,-1889.198486,6465.058105,90
SPAWN=3418.019775,-1878.823364,6465.058105,90
SPAWN=3418.019775,-1873.898193,6465.058105,90
SPAWN=3418.019775,-1868.948242,6465.058105,90
SPAWN=3418.019775,-1863.946289,6465.058105,90
SPAWN=3418.019775,-1858.821899,6465.058105,90
SPAWN=3418.019775,-1841.197998,6465.058105,90
SPAWN=3418.019775,-1836.224731,6465.058105,90
SPAWN=3418.019775,-1831.42395,6465.058105,90
SPAWN=3418.019775,-1826.424927,6465.058105,90
SPAWN=3418.019775,-1821.424438,6465.058105,90
SPAWN=3418.019775,-1850.199219,6465.058105,90

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=3304.666504,-1915.754761,6417.165527,1,31.6,473
CP=2646.80957,-1914.391235,5384.935547,1,31.6
CP=2931.9480,-2150.9102,4436.8403,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=6959,3400.645996,-1983.754639,6464.429199,0,0,0
OBJECT=6959,3400.63623,-2003.597778,6484.327637,269.759235296,0,0
OBJECT=6959,3421.097168,-1983.70459,6483.680176,0,89.3813856,0
OBJECT=6959,3400.645996,-1943.753662,6464.429199,0,0,0
OBJECT=6959,3400.645996,-1903.829712,6464.429199,0,0,0
OBJECT=6959,3421.097168,-1943.727173,6483.680176,0,89.3813856,0
OBJECT=6959,3400.645996,-1943.62854,6504.09375,0,0,0
OBJECT=6959,3400.645996,-1903.627075,6504.09375,0,0,0
OBJECT=6959,3400.645996,-1983.529175,6504.09375,0,0,0
OBJECT=6959,3421.097168,-1903.747314,6483.680176,0,89.3813856,0
OBJECT=8356,3363.226807,-1910.023682,6453.852539,0,328.2008532,0
OBJECT=8356,3329.426514,-1910.023682,6432.893555,0,328.2008532,0
OBJECT=8356,3246.905518,-1915.332886,6355.521973,45.5500719042,0,269.759178
OBJECT=6959,3400.645996,-1863.85498,6464.429199,0,0,0
OBJECT=6959,3400.645996,-1836.230103,6464.429199,0,0,0
OBJECT=6959,3400.63623,-1816.212891,6484.327637,269.759235296,0,0
OBJECT=6959,3400.645996,-1836.050293,6504.09375,0,0,0
OBJECT=6959,3400.645996,-1863.700684,6504.09375,0,0,0
OBJECT=6959,3421.097168,-1863.744873,6483.680176,0,89.3813856,0
OBJECT=6959,3421.097168,-1836.14502,6483.680176,0,89.3813856,0
OBJECT=8356,3366.226074,-1991.71106,6468.350098,27.5019648,293.823454496,225.068370608
OBJECT=8356,3363.589844,-1835.22644,6467.831055,24.0642192,61.8793635042,318.746995504
OBJECT=8356,3246.905518,-1895.321411,6355.521973,45.5500719042,89.3813283042,269.759178
OBJECT=8356,3246.905518,-1935.242065,6355.521973,45.5500719042,270.618671696,269.759178
OBJECT=8356,3385.153564,-1915.332886,6401.124512,0,0,269.759178
OBJECT=8356,3373.403564,-1915.332886,6389.108398,0,0,269.759178
OBJECT=8356,3322.584229,-1915.332886,6337.349609,0,0,269.759178
OBJECT=8356,3135.110596,-1914.95459,6209.558105,59.3010543042,0,270.0456568
OBJECT=8356,3135.474854,-1934.817627,6209.385254,59.0146328,270.0456568,269.759178
OBJECT=8356,3136.586182,-1894.670776,6209.803711,59.0146328,89.3813856,269.759178
OBJECT=8356,3040.105713,-1914.95459,6049.487305,59.3010543042,0,270.0456568
OBJECT=8356,3039.077393,-1934.442261,6048.645508,59.0146328,270.0456568,269.759178
OBJECT=8356,3040.150146,-1894.245361,6049.218262,59.0146328,89.3813856,269.759178
OBJECT=8356,2944.516846,-1914.95459,5888.411133,59.3010543042,0,270.0456568
OBJECT=8356,2943.871338,-1894.971069,5888.816895,59.0146328,89.3813856,270.0456568
