; Converted Sat, 26 Jun 10 09:43:55 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2674.4924,663.4456,66.0922
Interior=1
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Dinghy Falls
Author=Laggy
Description=A rollacoster ride with dinghys
RunTime=1000
Weather=0
Time=10:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=572

DefaultViewDistance=150.0

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2908.977539,-2058.456543,1456.396484,572
SPAWN=2909.068359,-2067.623535,1456.400391,572
SPAWN=2909.02832,-2077.783447,1456.543457,572
SPAWN=2909.10791,-2086.129639,1456.795166,572
SPAWN=2908.931641,-2098.320557,1459.783447,572
SPAWN=2908.846191,-2106.280762,1459.828857,572
SPAWN=2908.889648,-2115.258057,1459.871582,572
SPAWN=2909.05127,-2123.401611,1460.022217,572
SPAWN=2908.780762,-2131.537842,1460.09668,572
SPAWN=2908.918457,-2141.735107,1460.249512,572
SPAWN=2908.968262,-2153.492188,1460.408447,572
SPAWN=2908.921387,-2163.137451,1460.570801,572
SPAWN=2908.824951,-2173.796387,1460.730469,572
SPAWN=2908.741943,-2185.150146,1460.900879,572
SPAWN=2908.785889,-2194.680664,1461.043945,572
SPAWN=2908.897217,-2203.354736,1461.170654,572
SPAWN=2909.070068,-2213.9375,1461.334473,572
SPAWN=2908.8396,-2137.06958,1460.179688,572
SPAWN=2908.982422,-2147.887939,1460.350098,572
SPAWN=2909.073975,-2158.494873,1460.500977,572
SPAWN=2908.861572,-2168.750488,1460.654785,572
SPAWN=2908.882568,-2180.384277,1460.829346,572
SPAWN=2908.85376,-2190.301514,1460.978271,572
SPAWN=2908.783936,-2199.28125,1461.110352,572
SPAWN=2908.989014,-2208.581787,1461.255615,572
SPAWN=2908.728027,-2127.349854,1460.033936,572
SPAWN=2908.922852,-2119.681396,1459.918701,572
SPAWN=2908.987793,-2110.50415,1459.848877,572
SPAWN=2908.859619,-2102.276367,1459.802246,572
SPAWN=2908.940918,-2093.637939,1457.604492,572

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2909.075684,-2043.623901,1451.155029,1,12,473
CP=3092.299561,-1504.425049,876.379639,1,12
CP=3318.783691,-1541.155396,425.6698,1,12
CP=2957.9646,-1473.613892,14.58287,1,20
CP=3009.104736,-1483.533203,-0.074643,0,16
CP=3075.952881,-1501.074341,-0.074167,0,16

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=5400,2944.360107,-2066.47998,1459.889404,0,0,0
OBJECT=5400,2944.351318,-2076.237549,1459.893311,0,0,0
OBJECT=5400,2944.353027,-2085.862061,1460.280762,358.2811272,0,0
OBJECT=5400,2944.137695,-2055.288818,1459.761719,328.2008532,0,0
OBJECT=5400,2873.673584,-2059.858154,1462.143555,328.2008532,180.481987775,0
OBJECT=5400,2873.651611,-2052.5979,1457.647461,328.2008532,180.481987775,0
OBJECT=5400,2944.132813,-2047.071411,1454.661621,328.2008532,0,0
OBJECT=5400,2873.43457,-2045.300415,1454.444824,312.730998,180.481987775,0
OBJECT=5400,2944.13916,-2039.024902,1449.665039,328.2008532,0,0
OBJECT=5400,2873.419678,-2039.789673,1449.243896,306.7149432,180.481987775,0
OBJECT=5400,2944.15918,-2028.714233,1443.270752,297.2611428,0,0
OBJECT=5400,2944.167725,-2024.47229,1435.028076,297.2611428,0,0
OBJECT=5400,2944.174316,-2022.134521,1427.181641,321.325362,0,0
OBJECT=5400,2944.188232,-2014.755737,1421.271973,321.325362,0,0
OBJECT=5400,2944.186279,-2007.452759,1415.411133,321.325362,0,0
OBJECT=5400,2944.190186,-1999.980347,1409.423584,321.325362,0,0
OBJECT=5400,2944.192383,-1992.483032,1403.37915,321.325362,0,0
OBJECT=5400,2944.202637,-1984.924927,1397.30957,321.325362,0,0
OBJECT=5400,2944.213867,-1977.459473,1391.312988,321.325362,0,0
OBJECT=5400,2944.224854,-1969.977783,1385.303711,321.325362,0,0
OBJECT=5400,2944.219971,-1962.553833,1379.343262,321.325362,0,0
OBJECT=5400,2943.763184,-1948.346802,1369.868896,320.4659256,9.4538004,20.6264736
OBJECT=5400,2941.422363,-1942.180298,1364.357178,320.4659256,9.4538004,20.6264736
OBJECT=5400,2939.401611,-1936.434448,1360.227783,140.088190496,350.5461996,20.6264736
OBJECT=5400,2937.130615,-1930.297485,1354.754395,140.088190496,350.5461996,20.6264736
OBJECT=5400,2938.840088,-1935.188843,1358.174072,320.4659256,9.4538004,20.6264736
OBJECT=5400,2934.716797,-1923.820679,1349.010498,140.088190496,350.5461996,20.6264736
OBJECT=5400,2936.510986,-1929.029419,1352.702393,320.4659256,9.4538004,20.6264736
OBJECT=5400,2932.357178,-1917.531982,1343.39917,140.088190496,350.5461996,20.6264736
OBJECT=8483,2909.349121,-1948.050171,1377.869629,358.2811272,352.2650724,269.759235296
OBJECT=7916,2907.746094,-1957.296875,1371.460205,0,0,5.1566184
OBJECT=5400,2934.027344,-1922.432495,1346.86377,320.4659256,9.4538004,20.6264736
OBJECT=5400,2929.887207,-1910.96228,1337.608398,140.088190496,350.5461996,20.6264736
OBJECT=5400,2931.432373,-1915.524658,1340.735596,320.4659256,9.4538004,20.6264736
OBJECT=5400,2928.902832,-1908.736694,1334.75,320.4659256,9.4538004,20.6264736
OBJECT=5400,2889.864014,-1887.676392,1361.698242,320.4659256,276.6346692,20.6264736
OBJECT=5400,2923.969727,-1895.569336,1322.977051,320.4659256,9.4538004,20.6264736
OBJECT=5400,2894.203125,-1932.753418,1307.454834,320.4659256,97.9757496,20.6264736
OBJECT=5400,2921.546387,-1889.074829,1317.247803,320.4659256,9.4538004,20.6264736
OBJECT=5400,2918.987061,-1882.317261,1311.249512,320.4659256,9.4538004,20.6264736
OBJECT=5400,2914.78418,-1870.818604,1301.986084,140.088190496,350.5461996,20.6264736
OBJECT=5400,2916.374512,-1875.348633,1305.078369,320.4659256,9.4538004,20.6264736
OBJECT=5400,2913.93042,-1868.728882,1299.239502,320.4659256,9.4538004,20.6264736
OBJECT=5400,2911.474365,-1862.193481,1293.460449,320.4659256,9.4538004,20.6264736
OBJECT=5400,2909.016846,-1855.666504,1287.677979,320.4659256,9.4538004,20.6264736
OBJECT=5400,2906.604492,-1849.208374,1281.963135,320.4659256,9.4538004,20.6264736
OBJECT=5400,2904.011475,-1842.296387,1275.871338,320.4659256,9.4538004,20.6264736
OBJECT=5400,2902.49585,-1843.162842,1273.400635,297.2611428,0,0
OBJECT=5400,2902.496338,-1840.77124,1265.389893,321.325362,0,0
OBJECT=5400,2902.494629,-1833.252686,1259.360596,321.325362,0,0
OBJECT=5400,2899.82666,-1830.837769,1266.640137,140.088190496,350.5461996,20.6264736
OBJECT=5400,2831.853027,-1839.349609,1265.64624,320.4659256,180.481987775,0
OBJECT=5400,2831.841797,-1832.793701,1260.229248,320.4659256,180.481987775,0
OBJECT=5400,2902.537842,-1828.758789,1252.976074,353.9839452,0,0
OBJECT=5400,2902.516846,-1831.359863,1256.70874,334.216908,0,0
OBJECT=5400,2902.54541,-1819.394775,1251.973633,353.9839452,0,0
OBJECT=5400,2831.777588,-1843.634155,1273.87793,300.6988884,180.481987775,0
OBJECT=5400,2833.922119,-1854.591064,1281.208984,298.1205792,182.200860575,12.891546
OBJECT=5400,2902.538818,-1809.868652,1251.543701,339.3735264,0,0
OBJECT=5400,2831.858643,-1809.48999,1252.442383,339.373469104,180.481987775,0
OBJECT=5400,2902.52002,-1800.5271,1248.489746,329.0602896,0,0
OBJECT=5400,2902.528564,-1792.278076,1243.933838,321.325362,0,0
OBJECT=5400,2831.847412,-1801.4823,1250.329834,327.3414168,180.481987775,0
OBJECT=5400,2831.867188,-1793.808472,1245.798828,321.325362,180.481987775,0
OBJECT=5400,2902.531982,-1784.679932,1238.071533,316.1687436,0,0
OBJECT=5400,2831.866943,-1787.294922,1241.070801,316.1687436,180.481987775,0
OBJECT=5400,2902.539063,-1777.777588,1231.426758,316.1687436,0,0
