; Converted Mon, 12 Apr 10 13:09:04 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2701.709961,1197.459473,6.394753,0
MinLevel=0
JoinCost=10000
WinBaseXP=750000
WinBaseCash=750000

Name=Dont Touch My Subaru
Author=Android
Description=Dont fucking touch the subaru or il go all wheel on you
RunTime=600
Weather=2
Time=3:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2701.709961,1197.459473,6.394753,360
SPAWN=2704.124512,1197.464966,6.394753,360
SPAWN=2706.613525,1197.496948,6.394753,360
SPAWN=2709.253662,1197.51062,6.394753,360
SPAWN=2711.748779,1197.552734,6.394753,360
SPAWN=2714.249023,1197.483398,6.394753,360
SPAWN=2721.121094,1197.600708,6.394753,360
SPAWN=2723.71167,1197.59021,6.394753,360
SPAWN=2726.34375,1197.590088,6.394753,360
SPAWN=2728.825195,1197.636841,6.394753,360
SPAWN=2731.340332,1197.636841,6.394753,360
SPAWN=2733.755859,1197.736938,6.394753,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2717.61084,1238.702393,5.703126,0,8
CP=2717.600098,1338.669678,5.703126,0,8
CP=2717.664307,1611.660156,5.703125,0,8
CP=2717.704346,1894.728638,5.703125,0,8
CP=2717.549072,2061.459473,5.703125,0,8
CP=2717.501465,2152.9729,5.703125,0,8
CP=2717.550537,2272.484619,5.703125,0,8
CP=2688.80127,2420.725342,5.703125,0,8
CP=2519.397705,2591.82959,3.828125,0,8
CP=2208.642822,2604.865234,5.734254,0,8
CP=1951.604248,2535.462402,5.762504,0,8
CP=1591.236572,2463.821289,5.757102,0,8
CP=1346.726929,2449.62207,5.695313,0,8
CP=1217.154907,2114.85791,5.695313,0,8
CP=1217.324463,1997.708984,5.703125,0,8
CP=1216.981323,1869.865356,5.703125,0,8
CP=1217.345215,1692.744629,5.703125,0,8
CP=1217.424194,1455.208008,5.703125,0,8
CP=1217.397705,1275.584595,5.703125,0,8
CP=1209.756348,1150.055542,5.8125,0,8
CP=1328.532227,864.944824,5.773438,0,8
CP=1451.9552,849.95105,5.8125,0,8
CP=1607.369385,842.933899,5.703125,0,8
CP=1791.059937,843.218872,9.632813,0,8
CP=2075.744629,836.570679,5.734375,0,8
CP=2169.428223,842.851807,5.703125,0,8
CP=2425.743652,843.203796,5.703125,0,8
CP=2642.115234,932.302063,5.703125,0,8
CP=2686.214844,975.73291,5.742079,0,8
CP=2713.943359,992.139526,7.078514,0,8
CP=2775.520996,1042.4729,10.243717,0,8
CP=2844.335693,1085.823486,9.898438,0,8
CP=2851.458984,1141.603394,9.875458,0,8
CP=2876.126709,1213.303833,9.883707,0,8
CP=2877.293213,1278.094604,9.898438,0,8
CP=2878.717773,1361.077148,9.898438,0,8
CP=2880.82251,1448.888306,9.898438,0,8
CP=2884.144043,1494.986206,9.898438,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1225,2717.642578,1259.79187,6.10888,0,0,0
OBJECT=1225,2724.914795,1604.870117,6.147753,0,0,0
OBJECT=1225,2726.736572,1605.116943,6.147754,0,0,0
OBJECT=1225,2728.301025,1606.859253,6.14013,0,0,0
OBJECT=1225,2729.313232,1606.577271,6.14013,0,0,0
OBJECT=1225,2728.476807,1604.632935,6.14013,0,0,0
OBJECT=1225,2725.85498,1601.117432,6.147754,0,0,0
OBJECT=1225,2724.350586,1603.214478,6.147754,0,0,0
OBJECT=1225,2728.737305,1603.583252,6.14013,0,0,0
OBJECT=1225,2722.121094,1922.705688,6.14013,0,0,0
OBJECT=1225,2724.234863,1922.037354,6.14013,0,0,0
OBJECT=1225,2724.898438,1921.934692,6.14013,0,0,0
OBJECT=1225,2726.808838,1923.220337,6.147754,0,0,0
OBJECT=1225,2727.957275,1921.593628,6.147754,0,0,0
OBJECT=1225,2722.82373,1917.998047,6.14013,0,0,0
OBJECT=1225,2717.778564,2052.897705,6.10888,0,0,0
OBJECT=1225,2712.811523,2286.957031,6.14013,0,0,0
OBJECT=1225,2712.629883,2283.205078,6.147943,0,0,0
OBJECT=1225,2712.666504,2278.163086,6.147943,0,0,0
OBJECT=1225,2713.741455,2272.645264,6.147943,0,0,0
OBJECT=1225,2714.325928,2267.874756,6.149981,0,0,0
OBJECT=1225,2714.654053,2266.156738,6.144373,0,0,0
OBJECT=1225,2683.119629,2430.937256,6.118103,0,0,0
OBJECT=1225,2682.340576,2432.506348,6.119191,0,0,0
OBJECT=1225,2681.573486,2434.386475,6.123157,0,0,0
OBJECT=1225,2680.14624,2436.516846,6.126356,0,0,0
OBJECT=1225,2678.671631,2439.210938,6.126769,0,0,0
OBJECT=1225,2678.491211,2439.139648,6.129172,0,0,0
OBJECT=1225,2222.171875,2608.757813,5.726562,0,0,0
OBJECT=1225,2223.524902,2609.111816,6.322204,0,0,0
OBJECT=1225,2224.6521,2607.881348,6.148497,0,0,0
OBJECT=1225,2223.934814,2607.008301,6.157931,0,0,0
OBJECT=1225,1565.747925,2462.045898,5.730781,0,0,0
OBJECT=1225,1560.176514,2459.288818,6.14013,0,0,0
OBJECT=1225,1572.797241,2457.977051,6.14013,0,0,0
OBJECT=1225,1572.80249,2456.697266,6.14013,0,0,0
OBJECT=1225,1563.560059,2451.002441,6.14013,0,0,0
OBJECT=1225,1563.376831,2445.752686,6.264086,0,0,0
OBJECT=1225,1359.563354,2456.30249,6.101068,0,0,0
OBJECT=1225,1358.71875,2455.962158,6.101068,0,0,0
OBJECT=1225,1357.650391,2454.771729,6.101068,0,0,0
OBJECT=1225,1318.004028,2435.459473,6.128576,0,0,0
OBJECT=1225,1316.966309,2436.873535,6.101068,0,0,0
OBJECT=1225,1315.721558,2438.493164,6.104777,0,0,0
OBJECT=1225,1320.795288,2438.297852,6.115303,0,0,0
OBJECT=1225,1320.143677,2436.339355,6.132129,0,0,0
OBJECT=1225,1209.496094,1877.049927,5.734375,0,0,0
OBJECT=1225,1206.347656,1879.362061,6.147912,0,0,0
OBJECT=1225,1204.206421,1878.303467,6.147912,0,0,0
OBJECT=1225,1202.063721,1876.68457,6.158523,0,0,0
