; Converted Sun, 27 Jun 10 19:37:08 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-939.5293,-504.6714,25.9609
MinLevel=0
JoinCost=1500
WinBaseXP=100000
WinBaseCash=100000

Name=DragMeBaby
Author=Slick
RunTime=120
Weather=7
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=502

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1998.823975,-1879.020874,7.545356,225
SPAWN=1996.903442,-1880.92395,7.547753,227
SPAWN=1994.940918,-1882.677612,7.659266,227
SPAWN=1992.946533,-1884.483887,7.784821,227
SPAWN=1990.956421,-1886.559326,7.791476,227
SPAWN=1985.586914,-1880.681885,7.242029,227
SPAWN=1987.549072,-1878.714844,7.239387,227
SPAWN=1989.380737,-1877.259888,6.990292,227
SPAWN=1991.319702,-1875.659058,6.67743,227
SPAWN=1993.232178,-1873.754272,6.694619,227

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2401.781738,-2291.921387,4.146527,0,8
CP=3015.322266,-2293.474121,3.756881,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=18450,2426.024414,-2293.607422,3.457268,0,0,0
OBJECT=18450,2505.798096,-2293.605957,3.446085,0,0,0
OBJECT=18450,2585.686279,-2293.601318,3.431437,0,0,0
OBJECT=18450,2665.528809,-2293.591309,3.420156,0,0,0
OBJECT=3381,2667.182617,-2285.304199,11.142912,0,0,270.000049375
OBJECT=18450,2744.971924,-2293.5896,3.40303,0,0,0
OBJECT=8147,2454.570801,-2301.706543,4.231752,0,0,90.0000908294
OBJECT=10837,2527.483398,-2298.133545,8.744605,0,0,344.45285282
OBJECT=18450,2822.858154,-2293.585449,14.654163,0,343.6707084,0
OBJECT=18450,2976.654541,-2293.578857,3.413131,0,0,0
OBJECT=18450,3056.634766,-2293.579834,3.425072,0,0,0
OBJECT=1282,2938.326172,-2287.673828,4.445697,0,0,11.250022476
OBJECT=1282,2938.56665,-2289.554932,4.445697,0,0,348.749977524
OBJECT=1282,2938.067627,-2291.619873,4.445697,0,0,0
OBJECT=1282,2939.118896,-2294.010498,4.445697,0,0,0
OBJECT=1282,2937.86499,-2294.9646,4.445697,0,0,11.250022476
OBJECT=1282,2938.378174,-2296.771973,4.445697,0,0,0
OBJECT=1282,2938.826172,-2298.464355,4.445697,0,0,348.749977524
OBJECT=1422,3095.652344,-2289.118164,4.179353,0,0,270.000049375
OBJECT=1422,3095.62793,-2293.526855,4.179353,0,0,270.000049375
OBJECT=1422,3095.620361,-2298.108643,4.179353,0,0,270.000049375
OBJECT=1225,3095.708008,-2291.266846,4.124577,0,0,0
OBJECT=1225,3095.671631,-2295.785889,4.124577,0,0,0
OBJECT=1225,3095.565918,-2300.30249,4.326576,0,0,0
OBJECT=1225,3095.477295,-2286.858643,4.326576,0,0,0
OBJECT=1238,3044.657959,-2288.834961,4.087002,0,0,0
OBJECT=1238,3044.834961,-2293.596191,4.087002,0,0,0
OBJECT=1238,3044.779785,-2298.629883,4.087002,0,0,0
OBJECT=1238,3042.340088,-2295.67749,4.087002,0,0,0
OBJECT=1238,3042.580322,-2291.209229,4.087002,0,0,0
OBJECT=1238,3039.297363,-2288.773438,4.087002,0,0,0
OBJECT=1238,3039.615967,-2298.150146,4.087002,0,0,0
OBJECT=1238,3039.534912,-2293.607666,4.087002,0,0,0
OBJECT=1238,3036.524902,-2295.816406,4.087002,0,0,0
OBJECT=1238,3036.86499,-2290.621582,4.087002,0,0,0
OBJECT=1238,3032.751709,-2297.475342,4.087002,0,0,0
OBJECT=1238,3032.871338,-2289.637939,4.087002,0,0,0
OBJECT=1238,3032.820313,-2293.69043,4.087002,0,0,0
OBJECT=1238,3030.047363,-2295.516113,4.087002,0,0,0
OBJECT=1238,3030.376221,-2291.458984,4.087002,0,0,0
OBJECT=1238,3027.192871,-2289.403076,4.087002,0,0,0
OBJECT=1238,3027.294922,-2297.829346,4.087002,0,0,0
OBJECT=1238,3027.471924,-2293.614258,4.087003,0,0,0
OBJECT=1263,2017.708862,-1906.091309,12.086655,0,0,315.000024688
OBJECT=1225,2278.297119,-2187.289063,5.453884,347.9678904,9.4538004,0
OBJECT=1225,2275.282471,-2185.906738,5.791746,347.9678904,9.4538004,0
OBJECT=1225,2271.910156,-2182.274414,5.713054,347.9678904,9.4538004,0
OBJECT=1225,2274.337646,-2183.178955,5.44389,347.9678904,9.4538004,0
OBJECT=1225,2269.036865,-2184.280762,6.568138,347.9678904,9.4538004,0
OBJECT=1225,2269.811035,-2179.282471,5.571413,347.9678904,9.4538004,0
OBJECT=1225,2273.300293,-2187.916504,6.449678,347.9678904,9.4538004,0
OBJECT=1225,2277.371338,-2192.917969,6.591128,347.9678904,9.4538004,0
OBJECT=1225,2280.424561,-2190.571533,5.940918,347.9678904,9.4538004,0
OBJECT=1217,2416.306641,-2287.792725,4.172398,0,0,0
OBJECT=1217,2418.490723,-2288.75,4.172398,0,0,0
OBJECT=1217,2421.311523,-2289.086426,4.172398,0,0,0
OBJECT=1217,2419.445068,-2287.486572,4.374397,0,0,0
OBJECT=1217,2422.701904,-2287.244629,4.399397,0,0,0
OBJECT=1217,2423.963867,-2288.855225,4.172398,0,0,0
OBJECT=1217,2425.498779,-2287.37207,4.374397,0,0,0
OBJECT=3568,3087.747559,-2293.625244,6.132439,180.481701296,0,315.000024688
OBJECT=1225,3087.949463,-2287.581299,4.284057,0,0,0
OBJECT=1225,3086.437988,-2289.694092,4.174577,0,0,0
OBJECT=1225,3085.020752,-2287.599365,4.174577,0,0,0
