; Converted Mon, 02 Aug 10 07:25:17 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1736.582642,-1857.331421,13.07444
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Escape from Kalgoorlie
Author=Android
Description=Spare dollar for the bus or I'll make you skip
RunTime=1000
Weather=1
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=481

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1736.582642,-1857.331421,13.07444,265
SPAWN=1735.150513,-1850.539307,13.07444,267
SPAWN=1735.296753,-1851.281738,13.07444,267
SPAWN=1735.471924,-1852.032471,13.07444,267
SPAWN=1735.697144,-1853.233643,13.07444,267
SPAWN=1735.446899,-1852.557983,13.07444,267
SPAWN=1733.078735,-1850.726685,13.07444,267
SPAWN=1733.328979,-1851.452393,13.07444,267
SPAWN=1733.404053,-1852.178101,13.07444,267
SPAWN=1733.579224,-1852.978882,13.07444,267
SPAWN=1733.629272,-1853.729614,13.07444,267
SPAWN=1731.4021,-1850.776733,13.07444,267
SPAWN=1731.4021,-1851.577515,13.07444,267
SPAWN=1731.577271,-1852.253174,13.07444,267
SPAWN=1731.777466,-1852.903809,13.07444,267
SPAWN=1731.681274,-1853.600586,13.07444,267
SPAWN=1729.484131,-1850.818848,13.07444,267
SPAWN=1729.409058,-1851.469482,13.07444,267

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1790.243408,-1854.603394,12.414063,0,8
CP=1821.52002,-1840.475342,12.414063,0,8
CP=1821.112915,-1798.160034,12.382813,0,8
CP=1838.890381,-1751.228149,12.382813,0,8
CP=1911.384277,-1762.420776,12.382813,0,8
CP=1917.06897,-1797.484497,12.546875,0,8
CP=1923.005615,-1838.435059,2.984375,0,8
CP=2012.33606,-1850.278076,2.984375,0,8
CP=2076.447021,-1851.748779,2.991022,0,8
CP=2368.397705,-1851.604492,0.758713,0,8
CP=2572.22876,-1861.58728,2.859375,0,8
CP=2562.00708,-2049.363037,2.859375,0,8
CP=2415.794922,-2048.760986,12.374113,0,8
CP=2413.870605,-1738.116943,12.382813,0,8
CP=2389.912109,-1733.055664,12.382813,0,8
CP=2341.503174,-1709.996704,12.359375,0,8
CP=2341.358643,-1531.05542,22.836407,0,8
CP=2341.963379,-1386.1604,22.828125,0,8
CP=2371.075928,-1347.743774,22.835934,0,8
CP=2370.736816,-1258.220703,22.835938,0,8
CP=2491.729004,-1254.843872,27.508295,0,8
CP=2722.350342,-1256.908447,58.55764,0,8
CP=2783.291504,-1257.837891,46.479576,0,8
CP=2798.115234,-1365.683838,22.758081,0,8
CP=2869.623535,-1386.227905,9.930574,0,8
CP=2892.257324,-1333.839722,9.875,0,8
CP=2876.901367,-1230.492676,9.875,0,8
CP=2868.868652,-1056.44873,9.875,0,8
CP=2872.264893,-879.353638,9.875669,0,8
CP=2873.325684,-771.521606,9.835938,0,8
CP=2875.036865,-646.396423,9.835938,0,8
CP=2898.72876,-543.581421,11.524818,0,8
CP=2843.05542,-370.541046,6.946878,0,8
CP=2806.29834,-272.922913,8.402948,0,8
CP=2847.76709,-185.309204,16.029078,0,8
CP=2862.730225,-116.990585,21.50626,0,8
CP=2881.829346,-40.050343,16.398312,0,8
CP=2846.199219,42.37352,18.668659,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1349,1819.517456,-1818.951172,12.981617,0,0,77.349276
OBJECT=1349,1821.443726,-1818.975098,12.983479,0,0,219.156396592
OBJECT=1349,1819.551025,-1822.11145,12.984447,0,0,154.698609296
OBJECT=1349,1817.959717,-1820.623779,12.985491,0,0,265.461996
OBJECT=1349,1821.908813,-1820.843872,12.984447,0,0,249.236613296
OBJECT=1349,1823.055054,-1822.318726,12.984447,0,0,249.236613296
OBJECT=1349,1824.175049,-1816.927856,12.980978,0,0,94.538004
OBJECT=1349,1822.794678,-1813.775024,12.977129,0,0,262.128102
OBJECT=1349,1819.759521,-1812.646729,12.975752,0,0,184.778883296
OBJECT=1349,1825.236816,-1821.194458,12.984447,0,0,158.995791296
OBJECT=1349,1818.394287,-1823.404175,12.984447,0,0,107.42955
OBJECT=1349,1816.199463,-1823.163086,12.984447,0,0,252.57045
OBJECT=1349,1821.344604,-1823.65979,12.984447,0,0,49.8472539042
OBJECT=1349,1824.828735,-1823.851196,12.984447,0,0,304.136634
OBJECT=1349,2058.602539,-1848.264648,3.561407,0,4.297182,249.236613296
OBJECT=1349,2063.499512,-1847.635742,3.561407,0,0,137.509881296
OBJECT=1349,2063.775635,-1852.149902,3.561407,0,0,296.505500704
OBJECT=1349,2066.158447,-1848.817017,3.561407,0,0,137.509881296
OBJECT=1349,2060.972656,-1849.712402,3.561407,0,0,262.128102
OBJECT=1349,2057.154053,-1850.432251,3.561407,0,0,183.919733375
OBJECT=1349,2065.856201,-1857.978882,5.255427,0,0,137.509881296
OBJECT=1349,2060.080566,-1852.53064,3.561407,0,0,287.911136704
OBJECT=1349,2057.029785,-1852.388062,3.561407,0,0,137.509881296
OBJECT=1349,2057.078369,-1845.91333,3.561406,0,0,214.859214592
OBJECT=1349,2062.061523,-1844.205322,3.55476,0,0,137.509881296
OBJECT=1349,2061.687012,-1855.137573,3.561406,0,0,257.83092
OBJECT=1349,2070.061768,-1854.139648,3.561407,0,0,253.533795296
OBJECT=1349,2066.984375,-1855.278809,3.561407,0,0,270.722466
OBJECT=1349,2068.380127,-1850.297607,3.561407,0,0,137.509881296
OBJECT=1518,2407.060547,-1741.788818,12.826988,0,0,0
OBJECT=1518,2407.774902,-1739.603394,12.826988,0,0,0
OBJECT=1518,2407.975586,-1740.892212,12.826988,0,0,0
OBJECT=1518,2407.4021,-1742.327026,12.826988,0,0,0
OBJECT=1518,2405.087646,-1741.867798,12.826988,0,0,0
OBJECT=1518,2405.752441,-1738.998901,12.826988,0,0,0
OBJECT=1518,2406.537842,-1738.991455,12.826988,0,0,0
OBJECT=1518,2406.250732,-1741.092896,12.826988,0,0,0
OBJECT=1518,2406.222412,-1743.156372,12.826988,0,0,0
OBJECT=1518,2404.607422,-1742.85791,12.826988,0,0,0
OBJECT=1518,2407.768311,-1743.366333,12.662926,0,0,0
OBJECT=1518,2408.536865,-1741.312866,12.826988,0,0,0
OBJECT=1518,2404.351074,-1739.198853,12.826988,0,0,0
OBJECT=1518,2405.09375,-1740.277222,12.826988,0,0,0
OBJECT=1518,2403.423096,-1741.98645,12.826988,0,0,0
OBJECT=1518,2407.68335,-1743.290405,12.826988,0,0,0
OBJECT=1518,2407.690674,-1743.881592,12.662926,0,0,0
OBJECT=1518,2407.053223,-1744.032227,12.826988,0,0,0
OBJECT=1518,2405.834473,-1743.97876,12.826988,0,0,0
OBJECT=1717,2407.689453,-1745.162354,12.380011,0,0,0
OBJECT=1349,2874.945557,-1389.626587,10.49226,0,0,63.5982936
OBJECT=1349,2875.376465,-1386.123657,10.492258,0,0,0
