; Converted Sun, 27 Jun 10 08:45:10 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1706.4078,1203.1964,25.1261
Interior=1
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=FIND THE THROBBING HOLE
Author=ramrod
Description=find the hole
RunTime=1000
Weather=0
Time=0:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=441

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3642.737549,-1984.041138,901.290039,360
SPAWN=3640.571777,-1984.285645,901.221252,360
SPAWN=3638.76416,-1983.902588,901.067627,360
SPAWN=3636.789307,-1984.05481,901.096802,360
SPAWN=3634.849609,-1983.916504,901.070313,360
SPAWN=3632.948975,-1982.509644,901.160767,270
SPAWN=3632.971924,-1980.519531,901.156311,270
SPAWN=3633.011719,-1978.765747,901.148743,270
SPAWN=3633.05249,-1977.476685,901.14093,270
SPAWN=3632.952637,-1976.292969,901.205688,270
SPAWN=3642.168701,-1982.222778,901.44165,89
SPAWN=3642.193604,-1981.039429,901.434998,89
SPAWN=3641.979248,-1979.629639,901.490723,89
SPAWN=3642.103027,-1978.347412,901.459167,89
SPAWN=3642.283447,-1976.991211,901.411011,89
SPAWN=3642.141602,-1975.908203,901.448853,89
SPAWN=3634.664063,-1975.331421,901.389771,179
SPAWN=3635.918457,-1975.256836,901.403992,179
SPAWN=3637.125,-1975.247192,901.405884,179
SPAWN=3638.401611,-1975.285889,901.398499,179
SPAWN=3639.423828,-1975.343384,901.387451,179
SPAWN=3641.078613,-1974.895264,901.473206,146
SPAWN=3633.449463,-1975.059692,901.441772,214
SPAWN=3633.388672,-1984.171265,901.11908,327
SPAWN=3641.733154,-1983.474121,901.443604,44
SPAWN=3642.021973,-1978.207275,901.480774,89
SPAWN=3642.13208,-1980.89978,901.451416,89
SPAWN=3641.770996,-1979.365479,901.450867,89
SPAWN=3632.946533,-1981.472778,901.161194,270
SPAWN=3632.837158,-1979.846069,901.182129,270
SPAWN=3632.856201,-1978.609009,901.178528,270
SPAWN=3632.761719,-1977.230591,901.196594,270

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=3645.637207,-1975.181152,873.402893,0,8
CP=3655.897461,-1965.44873,850.409851,0,8
CP=3654.868164,-1937.755127,828.885559,0,8
CP=3662.77417,-1939.431885,808.788269,0,8
CP=3670.733398,-1973.058838,790.55603,0,0.4

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3241,3632.129639,-1979.958008,897.991943,0,0,0
OBJECT=3241,3637.626709,-1975.708252,897.991943,0,0,270.000049375
OBJECT=3241,3641.074951,-1979.708252,897.991943,0,0,180.000041454
OBJECT=3241,3638.126709,-1985.208252,897.991943,0,0,90.0000908294
OBJECT=3110,3642.074219,-1983.099243,896.430542,290.3856516,85.94364,179.06337037
OBJECT=3110,3642.074219,-1975.849243,889.430542,290.3856516,85.94364,179.06337037
OBJECT=980,3633.749023,-1966.463379,892.441406,0,0,184.29728075
OBJECT=980,3635.464844,-1986.108887,891.794556,0,0,184.29728075
OBJECT=980,3630.548096,-1980.808228,892.090088,0,0,94.2973874209
OBJECT=980,3630.013672,-1971.661133,892.390869,0,0,92.5785146209
OBJECT=980,3638.987793,-1980.380737,891.703613,0,0,92.5785146209
OBJECT=980,3638.664063,-1971.380737,891.703613,0,0,92.5785146209
OBJECT=3110,3642.074219,-1980.599243,880.680542,290.3856516,85.94364,89.0633624491
OBJECT=980,3651.041992,-1973.284302,883.661987,0,0,92.5785146209
OBJECT=980,3631.78125,-1973.901489,883.045776,0,0,92.5785146209
OBJECT=980,3646.165771,-1977.18457,883.210938,0,0,2.57850670016
OBJECT=980,3637.004639,-1977.662598,883.007446,0,0,2.57850670016
OBJECT=980,3646.404053,-1968.649902,883.642395,0,0,2.57850670016
OBJECT=980,3636.677246,-1969.172119,883.323792,0,0,2.57850670016
OBJECT=3110,3639.850098,-1980.599243,873.680542,290.3856516,85.94364,359.063354528
OBJECT=980,3651.358643,-1975.662842,876.340332,0,0,92.5785146209
OBJECT=980,3651.839111,-1985.541992,876.662659,0,0,92.5785146209
OBJECT=980,3642.93042,-1975.014526,875.898743,0,0,92.5785146209
OBJECT=980,3643.495117,-1986.036255,876.267761,0,0,92.5785146209
OBJECT=980,3646.676025,-1970.379517,876.051514,0,0,2.57856399592
OBJECT=980,3647.437744,-1990.180542,876.688416,0,0,182.578720042
OBJECT=3241,3637.626709,-1970.458252,897.991943,0,87.6625128,270.000049375
OBJECT=3241,3646.501221,-1979.132935,897.991943,0,81.646458,180.000041454
OBJECT=3241,3638.126709,-1988.208252,897.991943,0,87.6625128,90.0000908294
OBJECT=3241,3629.729248,-1979.632202,897.991943,0,73.9114731042,0
OBJECT=3110,3653.350098,-1976.599243,865.680542,290.3856516,85.94364,179.063453278
OBJECT=980,3650.163086,-1980.829834,867.944031,0,0,92.5785146209
OBJECT=980,3649.753906,-1971.251587,868.254578,0,0,92.5785146209
OBJECT=980,3646.557373,-1986.908936,868.047791,0,0,2.57850670016
OBJECT=980,3642.03418,-1981.097412,868.395386,0,0,272.578556075
OBJECT=980,3641.44873,-1970.603516,868.69342,0,0,272.578556075
