; Converted Sat, 10 Jul 10 20:13:34 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-549.9998,-2642.5781,151.2627
Interior=1
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Falling Down 2
Author=SanZoR
RunTime=1000
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=457

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=6538.810547,-1671.38147,8714.514648,270
SPAWN=6539.825195,-1674.822021,8714.205078,269
SPAWN=6539.421875,-1677.145508,8714.205078,269
SPAWN=6540.101074,-1680.773926,8714.205078,269
SPAWN=6542.961426,-1680.073364,8714.205078,269
SPAWN=6544.47998,-1675.682373,8714.205078,269
SPAWN=6544.591797,-1672.091919,8714.205078,269
SPAWN=6548.634766,-1674.599854,8714.205078,269
SPAWN=6548.945801,-1677.824707,8714.205078,269
SPAWN=6547.83252,-1681.202637,8714.205078,269
SPAWN=6542.833496,-1682.881714,8714.205078,269
SPAWN=6541.166504,-1684.147461,8714.205078,269
SPAWN=6534.759277,-1685.891479,8714.205078,269
SPAWN=6530.915527,-1670.044189,8714.205078,269
SPAWN=6535.987793,-1672.242188,8714.205078,269
SPAWN=6526.750488,-1671.052368,8714.205078,269
SPAWN=6523.62793,-1674.213379,8714.205078,269
SPAWN=6522.746094,-1677.830444,8714.205078,269
SPAWN=6523.390137,-1680.594482,8714.205078,269
SPAWN=6524.290527,-1682.281128,8714.205078,269
SPAWN=6528.657227,-1685.049927,8714.205078,269
SPAWN=6537.294434,-1681.3573,8714.205078,269
SPAWN=6553.161133,-1679.981201,8714.205078,269
SPAWN=6553.672852,-1676.634766,8714.205078,269

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=6594.680176,-1679.191772,8717.366211,1,20.0,473
CP=6452.834961,-1875.827393,7598.859375,1,31.6,441

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8841,6522.644043,-1678.561646,8711.201172,0,0,0
OBJECT=8841,6562.000977,-1678.585693,8711.236328,0,0,0
OBJECT=8841,6581.148926,-1663.875,8714.886719,103.132368,0,0
OBJECT=8841,6580.884766,-1693.435425,8714.75,103.132368,0,180.481758592
OBJECT=8841,6603.563965,-1678.49585,8705.737305,0,260.3053776,0
OBJECT=8841,6603.688965,-1678.479614,8698.294922,0,294.6828336,0
OBJECT=8841,6591.666504,-1678.208618,8683.693359,0,329.0602896,0
OBJECT=5400,6560.46875,-1713.814209,8677.804688,0,0,271.4780508
OBJECT=5400,6550.11084,-1714.019043,8674.490234,14.6104188,0,271.4780508
OBJECT=5400,6540.981934,-1714.219238,8667.806641,32.6585832,0,271.4780508
OBJECT=5400,6548.16748,-1643.367065,8674.536133,14.6104188,179.518298704,271.4780508
OBJECT=5400,6539.335938,-1643.586914,5.358635,32.6585832,179.518184113,271.4780508
OBJECT=5400,6538.802734,-1643.613647,8668.500977,32.6585832,180.377735104,271.4780508
OBJECT=5400,6532.818848,-1714.414917,8662.582031,32.6585832,0,271.4780508
OBJECT=5400,6530.817871,-1643.672607,8662.8125,32.6585832,179.518298704,271.4780508
OBJECT=5400,6524.912109,-1714.473511,8655.506836,44.6906355042,358.2811272,271.4780508
OBJECT=5400,6520.116699,-1714.139038,8645.166992,61.8793635042,358.2811272,271.4780508
OBJECT=7916,6584.137207,-1672.841675,8717.076172,0,0,259.4459412
OBJECT=7916,6584.84082,-1679.94397,8717.048828,0,0,259.4459412
OBJECT=8841,6581.288574,-1678.362671,8725.818359,180.481758592,0,0
OBJECT=7916,6592.149902,-1669.851563,8722.270508,0,0,261.164814
OBJECT=7916,6593.944336,-1675.872437,8722.03125,0,0,261.164814
OBJECT=8841,6565.666504,-1646.746216,8727.479492,103.132368,0,269.759178
OBJECT=8841,6562.71875,-1674.21936,8736.879883,103.132368,0,269.759178
OBJECT=8841,6564.30957,-1710.896851,8727.586914,103.132368,0,269.759178
OBJECT=5400,6515.627441,-1714.129639,8636.371094,61.8793635042,358.2811272,271.4780508
OBJECT=5400,6511.016113,-1714.199829,8627.733398,61.8793635042,358.2811272,271.4780508
