; Converted Sat, 10 Jul 10 20:06:47 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1547.8202,-2751.4668,48.5359
Interior=1
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Falling Down
Author=SanZoR
RunTime=1000
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=5762.126953,311.116028,8805.555664,63
SPAWN=5762.59668,312.447174,8805.555664,63
SPAWN=5762.980957,313.638336,8805.555664,63
SPAWN=5763.393555,314.75882,8805.555664,63
SPAWN=5763.745117,315.708954,8805.555664,63
SPAWN=5759.789063,340.880676,8805.555664,117
SPAWN=5758.837891,342.255585,8805.555664,117
SPAWN=5757.990234,343.43042,8805.555664,117
SPAWN=5757.143555,344.530396,8805.555664,117
SPAWN=5756.240234,345.705475,8805.555664,117
SPAWN=5760.679688,327.099884,8813.632813,88
SPAWN=5760.695313,328.132111,8813.632813,90
SPAWN=5760.714844,329.209106,8813.632813,90
SPAWN=5760.840332,330.409119,8813.632813,90
SPAWN=5760.741699,331.559082,8813.632813,90
SPAWN=5760.829102,332.807617,8813.632813,90
SPAWN=5761.490723,342.97052,8805.396484,128
SPAWN=5760.569336,344.470703,8805.396484,128
SPAWN=5759.689941,345.595673,8805.396484,128
SPAWN=5758.690918,346.595551,8805.555664,123
SPAWN=5760.603027,316.251892,8805.555664,60
SPAWN=5760.177734,315.001831,8805.555664,60
SPAWN=5759.803223,313.601685,8805.555664,60
SPAWN=5759.401855,311.751953,8805.555664,60

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=5736.065918,330.464447,8804.402344,1,4,473
CP=5699.782227,544.47113,6873.950195,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=5168,5760.686035,330.671417,8810.958008,0,0,0
OBJECT=5168,5796.300293,298.388031,8810.929688,0,0,180.377620513
OBJECT=10763,5744.172363,339.6604,8818.988281,0,0,315.3093072
OBJECT=3578,5734.73291,325.404846,8805.97168,0,0,357.4216908
OBJECT=3578,5732.490234,330.624847,8805.987305,0,0,271.4780508
OBJECT=3578,5732.80957,330.615295,8804.449219,0,0,271.4780508
OBJECT=3578,5734.608398,335.565002,8804.548828,0,0,178.658805008
OBJECT=3578,5734.758789,325.365051,8804.400391,0,0,358.2811272
OBJECT=4853,5696.258301,421.835297,8618.50293,0,42.97182,96.2568768
OBJECT=4853,5705.967285,423.795685,8622.405273,332.4980352,46.4095656,120.321038704
OBJECT=4853,5687.353027,422.653656,8618.805664,35.2368924,48.9878748,62.7388572
OBJECT=8172,5691.84668,461.529144,8602.075195,111.726674704,4.297182,0
OBJECT=8172,5690.419922,477.772614,8580.801758,68.7548547042,3.4377456,1.7188728
OBJECT=8172,5689.618164,474.679596,8554.655273,39.5340171042,3.4377456,1.7188728
OBJECT=8172,5692.100586,430.057617,8516.458984,0.85937910424,4.297182,1.7188728
OBJECT=8172,5682.891602,409.218811,8516.874023,0.85937910424,65.3171664,9.4538004
OBJECT=8172,5706.839844,402.391663,8515.745117,0.85937910424,65.3171664,186.393789904
OBJECT=8172,5711.856445,340.787476,8508.103516,295.54227,6.8754912,103.887895504
OBJECT=8172,5703.317871,316.360992,8492.758789,295.54227,51.566184,106.466147408
OBJECT=8172,5695.515137,352.880157,8476.238281,295.54227,344.5301448,84.9804665915
OBJECT=8172,5717.314941,312.799072,8523.490234,269.759178,62.7388572,73.8080798703
OBJECT=8172,5673.445801,311.457397,8411.339844,348.8273268,25.783092,71.2294268958
OBJECT=8172,5680.697754,328.082703,8439.368164,295.54227,6.8754912,103.887895504
OBJECT=8172,5651.750977,343.410767,8414.306641,347.9678904,287.8073424,60.9163046873
OBJECT=8172,5692.831055,305.772552,8481.558594,295.54227,124.618335296,106.466147408
OBJECT=8172,5619.51709,333.42923,8398.817383,348.8273268,87.6625128,21.3822302873
OBJECT=4885,5597.797363,348.623749,8321.212891,332.4980352,287.8073424,63.5982363042
OBJECT=1633,5627.76709,347.298309,8394.595703,0,341.0923992,63.5982936
OBJECT=1633,5634.15625,344.368378,8393.900391,338.51409,350.5461996,64.45773
OBJECT=1633,5640.141602,342.735626,8394.786133,338.51409,342.811272,64.45773
OBJECT=1633,5611.870605,357.150238,8390.749023,319.6064892,348.8273268,223.453578592
OBJECT=1633,5610.257324,359.346191,8393.138672,286.947963296,349.6867632,223.453578592
OBJECT=1633,5622.272949,353.587189,8390.939453,359.1405636,53.2850568,253.533852592
OBJECT=1633,5616.806152,345.016876,8390.793945,353.9839452,0,13.7510396958
OBJECT=1633,5617.703613,356.318024,8390.327148,355.702818,55.0039296,250.096164287
OBJECT=3629,5580.687012,345.913239,8226.483398,68.754912,359.1405636,317.02818
OBJECT=3629,5553.010254,349.451904,8223.524414,75.6304032,4.297182,30.9397104
OBJECT=3629,5587.191406,319.071503,8224.790039,92.8191312,335.0763444,252.570507296
OBJECT=3629,5572.773438,336.297607,8214.129883,44.6906928,0,317.02818
OBJECT=3629,5565.922852,329.268219,8204.970703,30.9397676958,0,317.02818
OBJECT=3629,5563.782715,327.651062,8202.798828,16.3293488958,0,317.02818
OBJECT=3629,5545.856934,308.339935,8195.949219,341.092456496,0,317.02818
OBJECT=3629,5526.58252,326.508881,8222.046875,75.6304032,11.1726732,30.9397104
OBJECT=3629,5555.078125,291.531097,8223.46875,92.8191312,335.0763444,238.8194676
OBJECT=3629,5542.250977,289.836609,8223.198242,92.8191312,335.0763444,201.863587808
OBJECT=3629,5538.834473,298.291748,8202.4375,42.97182,334.216908,201.863587808
OBJECT=3629,5518.928223,290.190796,8222.5625,42.97182,296.401763696,255.148816496
OBJECT=1633,5609.588867,361.93219,8396.384766,286.947963296,336.7952172,202.827104992
OBJECT=3629,5500.311523,288.624542,8230.743164,42.97182,217.3335576,250.851634496
OBJECT=3629,5497.969238,295.937073,8206.499023,41.2529472,278.353599296,228.506173504
OBJECT=3629,5481.661621,316.455933,8191.770996,41.2529472,278.353599296,203.582460608
OBJECT=3629,5486.786133,323.176422,8175.839844,41.2529472,7.73498489576,203.582460608
OBJECT=3629,5474.768555,341.396698,8169.578613,41.2529472,278.353599296,158.032331408
OBJECT=4853,5497.638672,376.117401,8133.597168,0,317.02818,258.5865048
OBJECT=4853,5489.757813,381.510406,8137.683594,318.7470528,300.698945696,207.0203208
OBJECT=4853,5498.825684,390.902374,8122.953125,341.9518356,317.02818,222.490061408
OBJECT=4853,5499.602539,404.456604,8120.402344,316.1687436,302.4177612,194.128889392
OBJECT=4853,5514.179688,422.846497,8095.683594,333.3574716,317.02818,221.630625008
OBJECT=4853,5513.412109,428.325775,8097.766602,317.887673696,304.9960704,196.707084
OBJECT=4853,5521.102051,420.043732,8094.398438,33.5180196,323.0442348,265.461996
OBJECT=3629,5506.306641,331.5737,8178.016602,43.8312564,118.602337792,184.67457333
OBJECT=1633,5485.564941,344.50766,8168.67041,0,31.7991468,336.7952172
OBJECT=1633,5483.060059,345.739227,8170.447754,0,31.7991468,336.7952172
OBJECT=1633,5491.030273,306.093079,8218.548828,342.811272,69.6143484,30.080274
OBJECT=1633,5495.106445,309.403992,8198.292969,304.136634,0,30.080274
OBJECT=3629,5512.645508,358.724548,8144.365234,43.8312564,134.931743983,169.204603538
OBJECT=4862,5552.285645,496.087891,7994.084961,0,65.3171664,67.8954756
OBJECT=4862,5566.211426,529.927856,7905.532715,0,48.1284384,67.8954756
OBJECT=4862,5574.847656,575.773132,7856.70459,343.6707084,53.2850568,149.541990896
OBJECT=4862,5566.410156,599.102661,7842.603027,345.3895812,54.1444932,171.88728
OBJECT=4862,5566.34082,590.502808,7835.75293,345.3895812,25.783092,171.88728
OBJECT=4862,5562.935547,601.488159,7844.871582,279.2129784,24.0642192,195.092120096
OBJECT=4862,5555.046387,580.897095,7816.0625,73.9115304,7.7349276,161.573985904
OBJECT=4862,5500.318848,612.244629,7811.797852,279.2129784,24.0642192,195.092120096
OBJECT=4862,5420.855469,618.038635,7803.78125,0,313.590491696,171.887337296
OBJECT=4862,5522.591797,603.44281,7662.523438,0,294.682890896,171.887337296
OBJECT=4862,5454.838379,594.280518,7775.344238,305.8555068,55.863366,32.7622312298
OBJECT=8171,5554.424805,592.990051,7546.391113,284.3695968,0,82.5058371042
OBJECT=8171,5546.660645,595.964111,7544.733398,315.309249904,348.8273268,72.1926576
