; Converted Thu, 24 Jun 10 08:03:07 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2665.1343,-1887.8759,11.6034
MinLevel=0
JoinCost=1000
WinBaseXP=50000
WinBaseCash=50000

Name=Fire the Inferno
Author=Unknown
Description=Classic MTA race
RunTime=1000
Weather=0
Time=22:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2737.57959,-1761.416382,44.012138,275
SPAWN=4060.12085,-1766.224609,34.44577,88
SPAWN=2737.174316,-1766.704102,43.887989,270
SPAWN=2738.314209,-1753.653076,44.012138,275
SPAWN=2730.603271,-1756.740112,44.012138,275
SPAWN=4059.181885,-1760.8573,33.996506,90
SPAWN=2736.974365,-1770.418945,33.996506,90
SPAWN=2769.044434,-1785.760742,33.996506,90
SPAWN=2737.670898,-1772.356445,43.7444,270
SPAWN=2728.985107,-1767.59436,43.7444,270
SPAWN=2727.47876,-1760.80481,43.7444,270
SPAWN=2729.741211,-1770.994995,43.7444,270
SPAWN=2719.601807,-1762.95874,43.7444,270
SPAWN=4075.369385,-1763.554688,33.561127,90
SPAWN=2720.425293,-1768.088379,43.314625,280
SPAWN=2721.917236,-1771.105835,43.314625,280
SPAWN=2731.115234,-1774.277588,43.314625,280
SPAWN=2739.981201,-1777.775146,43.314625,280
SPAWN=2731.067139,-1778.952026,43.314625,280
SPAWN=2721.781006,-1776.240234,43.314625,280
SPAWN=2718.47583,-1755.720703,43.314625,280
SPAWN=2720.770264,-1747.599854,43.314625,280
SPAWN=2733.438477,-1745.774292,43.314625,280
SPAWN=2726.162109,-1751.842651,43.314625,280
SPAWN=2709.682617,-1747.091187,43.314625,280
SPAWN=2708.69458,-1752.570557,43.314625,280
SPAWN=2709.281738,-1756.81958,43.314625,280
SPAWN=2709.877441,-1762.710449,43.314625,280
SPAWN=2711.040527,-1768.639648,43.314625,280
SPAWN=2711.265869,-1773.37854,43.314625,280
SPAWN=2711.241211,-1780.397095,43.314625,280

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2812.445313,-1763.908325,34.527027,0,8
CP=3984.628662,-1762.856445,33.250732,0,8
CP=2566.628906,-1767.211914,0.640625,0,24,592

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=4646,2843.058594,-1764.130005,34.55687,0,0,0
OBJECT=5112,2962.056641,-1763.62146,27.211864,0,0,0
OBJECT=5112,3108.219971,-1763.446777,27.209393,0,0,0
OBJECT=5112,3260.614258,-1763.414551,27.486826,0,0,0
OBJECT=5112,3409.807617,-1763.472046,27.558386,0,0,0
OBJECT=5112,3558.428711,-1763.401245,27.647415,0,0,0
OBJECT=5112,3708.722656,-1763.528076,27.816692,0,0,0
OBJECT=5112,3857.735107,-1763.565674,27.902945,0,0,0
OBJECT=5112,4006.424072,-1763.58252,28.052431,0,0,0
OBJECT=1225,4086.200928,-1756.993652,32.812965,0,0,0
OBJECT=1225,4086.132324,-1757.94165,32.643387,0,0,0
OBJECT=1225,4086.090332,-1759.558716,32.644859,0,0,0
OBJECT=1225,4086.14209,-1760.869019,32.64304,0,0,0
OBJECT=1225,4086.314209,-1762.013672,32.641232,0,0,0
OBJECT=1225,4086.226807,-1763.129028,32.640057,0,0,0
OBJECT=1225,4086.196777,-1763.749023,32.641113,0,0,0
OBJECT=1225,4086.232178,-1764.612183,32.63987,0,0,0
OBJECT=1225,4086.073486,-1765.540894,32.645447,0,0,0
OBJECT=1225,4086.026123,-1766.421265,32.647118,0,0,0
OBJECT=1225,4085.951416,-1767.331421,32.821751,0,0,0
OBJECT=1225,4085.869873,-1767.887695,32.824615,0,0,0
OBJECT=1225,4085.743896,-1768.28772,32.829052,0,0,0
OBJECT=1225,4085.084961,-1769.264648,32.852234,0,0,0
OBJECT=1225,4084.385742,-1770.186646,32.876831,0,0,0
OBJECT=1225,4084.287109,-1770.908325,33.888847,0,0,0
OBJECT=1225,4083.637451,-1771.965698,33.911713,0,0,0
OBJECT=1225,2890.852783,-1751.625977,30.927883,0,0,0
OBJECT=1225,2890.670898,-1752.268677,32.053555,0,0,0
OBJECT=1225,2895.771484,-1773.577271,31.26157,0,0,0
OBJECT=1225,2894.440186,-1773.727539,31.281071,0,0,0
OBJECT=1225,2892.524414,-1774.100952,31.309141,0,0,0
OBJECT=1225,2890.478027,-1773.859009,31.339125,0,0,0
OBJECT=1225,2889.119141,-1751.728638,31.359041,0,0,0
OBJECT=1225,2891.452393,-1751.009644,31.32485,0,0,0
OBJECT=1225,2891.532715,-1752.496338,32.085567,0,0,0
OBJECT=1225,2672.868652,-1775.026978,36.346401,0,0,0
OBJECT=1225,2672.182617,-1772.14563,36.32148,0,0,0
OBJECT=1225,2672.779297,-1777.091187,36.236946,0,0,0
OBJECT=1225,2673.583252,-1777.709473,36.386208,0,0,0
OBJECT=1225,2674.192871,-1778.598877,36.458004,0,0,0
OBJECT=1225,2674.602295,-1780.703491,36.362556,0,0,0
OBJECT=1225,2675.587402,-1781.682251,36.482372,0,0,0
OBJECT=1225,2671.044434,-1767.085571,36.292274,0,0,0
OBJECT=1225,2669.9375,-1764.589966,36.132309,0,0,0
OBJECT=1225,2669.685303,-1762.502197,36.075966,0,0,0
OBJECT=1225,2670.487549,-1758.905396,36.255169,0,0,0
OBJECT=1225,2671.890137,-1754.706787,36.568581,0,0,0
OBJECT=1225,2672.669189,-1753.326294,36.74263,0,0,0
OBJECT=1225,2672.142578,-1747.5354,36.411114,0,0,0
OBJECT=1225,2673.320068,-1746.067749,36.605331,0,0,0
OBJECT=1225,2672.78125,-1739.239136,36.195229,0,0,0
OBJECT=1225,2671.551025,-1748.126587,36.307205,0,0,0
OBJECT=1225,2671.897217,-1768.716675,36.408169,0,0,0
OBJECT=1225,2671.0354,-1769.574097,36.181999,0,0,0
OBJECT=1225,2671.262939,-1770.051758,36.211037,0,0,0
OBJECT=1225,2670.916016,-1757.574829,36.559731,0,0,0
OBJECT=1225,2670.932129,-1755.472534,36.354492,0,0,0
OBJECT=2780,2680.360352,-1782.376831,37.131897,0,0,0
OBJECT=2780,2679.460938,-1741.100952,37.33115,0,0,0
OBJECT=2780,2677.791748,-1748.308716,37.275536,0,0,0
OBJECT=2780,2677.979004,-1774.35083,37.090065,0,0,0
OBJECT=2780,2886.016357,-1772.117188,30.998745,0,0,0
OBJECT=2780,2886.147461,-1752.685181,30.996822,0,0,0
OBJECT=2780,2862.049316,-1753.109619,31.597378,0,0,0
OBJECT=2780,2862.030273,-1770.814575,31.598091,0,0,0
OBJECT=2780,2838.918701,-1770.014648,32.654053,0,0,0
OBJECT=2780,2838.512451,-1752.601318,32.854481,0,0,0
OBJECT=2780,2807.365967,-1772.661743,34.5662,0,0,0
OBJECT=2780,2808.896484,-1751.589355,34.738075,0,0,0
OBJECT=1634,2680.913574,-1764.472778,39.476086,0,0,93.6785676
OBJECT=1634,2680.683594,-1761.074097,39.474369,0,0,93.6785676
OBJECT=1634,2680.369141,-1757.102295,39.484367,0,0,93.6785676
OBJECT=1225,2560.908936,-1753.1875,1.04638,0,0,0
OBJECT=1225,2566.386719,-1754.139648,1.04638,0,0,0
OBJECT=1225,2567.185303,-1753.307617,1.04638,0,0,0
OBJECT=1225,2570.974121,-1753.781982,1.04638,0,0,0
OBJECT=1225,2574.134766,-1754.178101,1.04638,0,0,0
OBJECT=1225,2583.473145,-1756.418335,1.04638,0,0,0
OBJECT=1225,2583.228516,-1757.48291,1.04638,0,0,0
OBJECT=1225,2583.043945,-1758.474121,1.04638,0,0,0
OBJECT=1225,2582.859619,-1759.805664,1.04638,0,0,0
OBJECT=1225,2582.733398,-1761.396851,1.04638,0,0,0
OBJECT=1225,2582.70752,-1762.236694,1.04638,0,0,0
OBJECT=1225,2582.718262,-1763.412842,1.04638,0,0,0
OBJECT=1225,2582.744141,-1764.000488,1.04638,0,0,0
OBJECT=1225,2582.600586,-1766.743652,1.04638,0,0,0
OBJECT=1225,2582.736328,-1767.500977,1.04638,0,0,0
OBJECT=1225,2583.313232,-1769.028198,1.04638,0,0,0
OBJECT=1225,2583.279297,-1769.744019,1.04638,0,0,0
OBJECT=1225,2582.976807,-1770.742065,1.12773,0,0,0
OBJECT=1225,2583.110107,-1771.158569,1.123168,0,0,0
OBJECT=1225,2583.04126,-1773.875122,1.05906,0,0,0
OBJECT=1225,2583.578613,-1775.031128,1.04638,0,0,0
OBJECT=1225,2583.506592,-1776.006226,1.04638,0,0,0
OBJECT=1225,2582.621826,-1777.270752,1.04638,0,0,0
OBJECT=1225,2582.874512,-1778.262207,1.04638,0,0,0
OBJECT=1225,2581.371094,-1779.450317,1.04638,0,0,0
OBJECT=1225,2580.113037,-1780.249268,1.220141,0,0,0
OBJECT=1225,2578.489258,-1781.00647,1.102899,0,0,0
OBJECT=1225,2575.871338,-1782.055054,1.04638,0,0,0
OBJECT=1225,2571.330566,-1783.986694,1.04638,0,0,0
OBJECT=1225,2567.385986,-1785.21814,1.04638,0,0,0
OBJECT=1225,2563.93335,-1785.443115,1.04638,0,0,0
