
Name=Fire The Inferno
Description=Look out for the firetrucks.
Author=Unknown/Smallo
MinLevel=20
JoinCost=1500

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2737.8093,-1760.3186,44.1518

RunTime=240
WinBaseXP=50000
WinBaseCash=30000
DamageWinMult=0.1
Time=00:00
Weather=1

; Vehicle Model to race with. Other models: 0=No vehicle,-1=Any vehicle
Vehicle=411
VehicleComponents=1010

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; Leave any part empty to use default values
; Format: CP#=x,y,z,type,size,vehicetype,vehiclehp,gravity
CP=2812.445313,-1763.908325,34.527027
CP=3984.628662,-1762.856445,33.250732
CP=2566.628906,-1767.211914,0.640625,1,30.000000


; Spawn Points
; If there are no spawn points,races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz,vehicleid
SPAWN=2737.579590,-1761.416382,44.012138,275
SPAWN=4059.181885,-1760.857300,33.996506,90,407
SPAWN=2737.174316,-1766.704102,43.887989,270
SPAWN=2738.314209,-1753.653076,44.012138,275
SPAWN=2730.603271,-1756.740112,44.012138,275
SPAWN=2737.670898,-1772.356445,43.744400,270
SPAWN=2728.985107,-1767.594360,43.744400,270
SPAWN=2736.974365,-1770.418945,33.996506,90,407
SPAWN=2727.478760,-1760.804810,43.744400,270
SPAWN=2729.741211,-1770.994995,43.744400,270
SPAWN=2719.601807,-1762.958740,43.744400,270
SPAWN=2720.425293,-1768.088379,43.314625,280
SPAWN=2721.917236,-1771.105835,43.314625,280
SPAWN=4075.369385,-1763.554688,33.561127,90,407
SPAWN=2731.115234,-1774.277588,43.314625,280
SPAWN=2739.981201,-1777.775146,43.314625,280
SPAWN=2731.067139,-1778.952026,43.314625,280
SPAWN=2721.781006,-1776.240234,43.314625,280
SPAWN=2718.475830,-1755.720703,43.314625,280
SPAWN=4060.120850,-1766.224609,34.445770,88,407
SPAWN=2720.770264,-1747.599854,43.314625,280
SPAWN=2733.438477,-1745.774292,43.314625,280
SPAWN=2726.162109,-1751.842651,43.314625,280
SPAWN=2709.682617,-1747.091187,43.314625,280
SPAWN=2708.694580,-1752.570557,43.314625,280
SPAWN=2769.044434,-1785.760742,33.996506,90,407
SPAWN=2709.281738,-1756.819580,43.314625,280
SPAWN=2709.877441,-1762.710449,43.314625,280
SPAWN=2711.040527,-1768.639648,43.314625,280
SPAWN=2711.265869,-1773.378540,43.314625,280
SPAWN=2711.241211,-1780.397095,43.314625,280


; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=4646,2843.058594,-1764.130005,34.556870,0.0,0.0,0.0
OBJECT=5112,2962.056641,-1763.621460,27.211864,0.0,0.0,0.0
OBJECT=5112,3108.219971,-1763.446777,27.209393,0.0,0.0,0.0
OBJECT=5112,3260.614258,-1763.414551,27.486826,0.0,0.0,0.0
OBJECT=5112,3409.807617,-1763.472046,27.558386,0.0,0.0,0.0
OBJECT=5112,3558.428711,-1763.401245,27.647415,0.0,0.0,0.0
OBJECT=5112,3708.722656,-1763.528076,27.816692,0.0,0.0,0.0
OBJECT=5112,3857.735107,-1763.565674,27.902945,0.0,0.0,0.0
OBJECT=5112,4006.424072,-1763.582520,28.052431,0.0,0.0,0.0
OBJECT=1225,4086.200928,-1756.993652,32.812965,0.0,0.0,0.0
OBJECT=1225,4086.132324,-1757.941650,32.643387,0.0,0.0,0.0
OBJECT=1225,4086.090332,-1759.558716,32.644859,0.0,0.0,0.0
OBJECT=1225,4086.142090,-1760.869019,32.643040,0.0,0.0,0.0
OBJECT=1225,4086.314209,-1762.013672,32.641232,0.0,0.0,0.0
OBJECT=1225,4086.226807,-1763.129028,32.640057,0.0,0.0,0.0
OBJECT=1225,4086.196777,-1763.749023,32.641113,0.0,0.0,0.0
OBJECT=1225,4086.232178,-1764.612183,32.639870,0.0,0.0,0.0
OBJECT=1225,4086.073486,-1765.540894,32.645447,0.0,0.0,0.0
OBJECT=1225,4086.026123,-1766.421265,32.647118,0.0,0.0,0.0
OBJECT=1225,4085.951416,-1767.331421,32.821751,0.0,0.0,0.0
OBJECT=1225,4085.869873,-1767.887695,32.824615,0.0,0.0,0.0
OBJECT=1225,4085.743896,-1768.287720,32.829052,0.0,0.0,0.0
OBJECT=1225,4085.084961,-1769.264648,32.852234,0.0,0.0,0.0
OBJECT=1225,4084.385742,-1770.186646,32.876831,0.0,0.0,0.0
OBJECT=1225,4084.287109,-1770.908325,33.888847,0.0,0.0,0.0
OBJECT=1225,4083.637451,-1771.965698,33.911713,0.0,0.0,0.0
OBJECT=1225,2890.852783,-1751.625977,30.927883,0.0,0.0,0.0
OBJECT=1225,2890.670898,-1752.268677,32.053555,0.0,0.0,0.0
OBJECT=1225,2895.771484,-1773.577271,31.261570,0.0,0.0,0.0
OBJECT=1225,2894.440186,-1773.727539,31.281071,0.0,0.0,0.0
OBJECT=1225,2892.524414,-1774.100952,31.309141,0.0,0.0,0.0
OBJECT=1225,2890.478027,-1773.859009,31.339125,0.0,0.0,0.0
OBJECT=1225,2889.119141,-1751.728638,31.359041,0.0,0.0,0.0
OBJECT=1225,2891.452393,-1751.009644,31.324850,0.0,0.0,0.0
OBJECT=1225,2891.532715,-1752.496338,32.085567,0.0,0.0,0.0
OBJECT=1225,2672.868652,-1775.026978,36.346401,0.0,0.0,0.0
OBJECT=1225,2672.182617,-1772.145630,36.321480,0.0,0.0,0.0
OBJECT=1225,2672.779297,-1777.091187,36.236946,0.0,0.0,0.0
OBJECT=1225,2673.583252,-1777.709473,36.386208,0.0,0.0,0.0
OBJECT=1225,2674.192871,-1778.598877,36.458004,0.0,0.0,0.0
OBJECT=1225,2674.602295,-1780.703491,36.362556,0.0,0.0,0.0
OBJECT=1225,2675.587402,-1781.682251,36.482372,0.0,0.0,0.0
OBJECT=1225,2671.044434,-1767.085571,36.292274,0.0,0.0,0.0
OBJECT=1225,2669.937500,-1764.589966,36.132309,0.0,0.0,0.0
OBJECT=1225,2669.685303,-1762.502197,36.075966,0.0,0.0,0.0
OBJECT=1225,2670.487549,-1758.905396,36.255169,0.0,0.0,0.0
OBJECT=1225,2671.890137,-1754.706787,36.568581,0.0,0.0,0.0
OBJECT=1225,2672.669189,-1753.326294,36.742630,0.0,0.0,0.0
OBJECT=1225,2672.142578,-1747.535400,36.411114,0.0,0.0,0.0
OBJECT=1225,2673.320068,-1746.067749,36.605331,0.0,0.0,0.0
OBJECT=1225,2672.781250,-1739.239136,36.195229,0.0,0.0,0.0
OBJECT=1225,2671.551025,-1748.126587,36.307205,0.0,0.0,0.0
OBJECT=1225,2671.897217,-1768.716675,36.408169,0.0,0.0,0.0
OBJECT=1225,2671.035400,-1769.574097,36.181999,0.0,0.0,0.0
OBJECT=1225,2671.262939,-1770.051758,36.211037,0.0,0.0,0.0
OBJECT=1225,2670.916016,-1757.574829,36.559731,0.0,0.0,0.0
OBJECT=1225,2670.932129,-1755.472534,36.354492,0.0,0.0,0.0
OBJECT=2780,2680.360352,-1782.376831,37.131897,0.0,0.0,0.0
OBJECT=2780,2679.460938,-1741.100952,37.331150,0.0,0.0,0.0
OBJECT=2780,2677.791748,-1748.308716,37.275536,0.0,0.0,0.0
OBJECT=2780,2677.979004,-1774.350830,37.090065,0.0,0.0,0.0
OBJECT=2780,2886.016357,-1772.117188,30.998745,0.0,0.0,0.0
OBJECT=2780,2886.147461,-1752.685181,30.996822,0.0,0.0,0.0
OBJECT=2780,2862.049316,-1753.109619,31.597378,0.0,0.0,0.0
OBJECT=2780,2862.030273,-1770.814575,31.598091,0.0,0.0,0.0
OBJECT=2780,2838.918701,-1770.014648,32.654053,0.0,0.0,0.0
OBJECT=2780,2838.512451,-1752.601318,32.854481,0.0,0.0,0.0
OBJECT=2780,2807.365967,-1772.661743,34.566200,0.0,0.0,0.0
OBJECT=2780,2808.896484,-1751.589355,34.738075,0.0,0.0,0.0
OBJECT=1634,2680.913574,-1764.472778,39.476086,0.0,0.0,93.67857
OBJECT=1634,2680.683594,-1761.074097,39.474369,0.0,0.0,93.67857
OBJECT=1634,2680.369141,-1757.102295,39.484367,0.0,0.0,93.67857
OBJECT=1225,2560.908936,-1753.187500,1.046380,0.0,0.0,0.0
OBJECT=1225,2566.386719,-1754.139648,1.046380,0.0,0.0,0.0
OBJECT=1225,2567.185303,-1753.307617,1.046380,0.0,0.0,0.0
OBJECT=1225,2570.974121,-1753.781982,1.046380,0.0,0.0,0.0
OBJECT=1225,2574.134766,-1754.178101,1.046380,0.0,0.0,0.0
OBJECT=1225,2583.473145,-1756.418335,1.046380,0.0,0.0,0.0
OBJECT=1225,2583.228516,-1757.482910,1.046380,0.0,0.0,0.0
OBJECT=1225,2583.043945,-1758.474121,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.859619,-1759.805664,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.733398,-1761.396851,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.707520,-1762.236694,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.718262,-1763.412842,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.744141,-1764.000488,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.600586,-1766.743652,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.736328,-1767.500977,1.046380,0.0,0.0,0.0
OBJECT=1225,2583.313232,-1769.028198,1.046380,0.0,0.0,0.0
OBJECT=1225,2583.279297,-1769.744019,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.976807,-1770.742065,1.127730,0.0,0.0,0.0
OBJECT=1225,2583.110107,-1771.158569,1.123168,0.0,0.0,0.0
OBJECT=1225,2583.041260,-1773.875122,1.059060,0.0,0.0,0.0
OBJECT=1225,2583.578613,-1775.031128,1.046380,0.0,0.0,0.0
OBJECT=1225,2583.506592,-1776.006226,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.621826,-1777.270752,1.046380,0.0,0.0,0.0
OBJECT=1225,2582.874512,-1778.262207,1.046380,0.0,0.0,0.0
OBJECT=1225,2581.371094,-1779.450317,1.046380,0.0,0.0,0.0
OBJECT=1225,2580.113037,-1780.249268,1.220141,0.0,0.0,0.0
OBJECT=1225,2578.489258,-1781.006470,1.102899,0.0,0.0,0.0
OBJECT=1225,2575.871338,-1782.055054,1.046380,0.0,0.0,0.0
OBJECT=1225,2571.330566,-1783.986694,1.046380,0.0,0.0,0.0
OBJECT=1225,2567.385986,-1785.218140,1.046380,0.0,0.0,0.0
OBJECT=1225,2563.933350,-1785.443115,1.046380,0.0,0.0,0.0
OBJECT=1225,2558.619873,-1787.374634,1.046380,0.0,0.0,0.0
OBJECT=1225,2552.048096,-1789.292603,2.378003,0.0,0.0,0.0
OBJECT=1225,2550.554688,-1788.150635,3.795089,0.0,0.0,0.0
OBJECT=1225,2549.991699,-1785.671875,4.329337,0.0,0.0,0.0
OBJECT=1225,2548.024902,-1783.050781,6.195464,0.0,0.0,0.0
OBJECT=1225,2546.762451,-1780.122314,7.393425,0.0,0.0,0.0
OBJECT=1225,2546.939453,-1778.324951,7.526362,0.0,0.0,0.0
OBJECT=1225,2546.581299,-1775.826172,7.573288,0.0,0.0,0.0
OBJECT=1225,2546.507080,-1773.292236,7.658477,0.0,0.0,0.0
OBJECT=1225,2546.451416,-1770.785156,7.725784,0.0,0.0,0.0
OBJECT=1225,2546.408691,-1767.885498,7.782314,0.0,0.0,0.0
OBJECT=1225,2546.392578,-1765.826172,7.808433,0.0,0.0,0.0
OBJECT=1225,2547.095459,-1760.311646,7.150896,0.0,0.0,0.0
OBJECT=1225,2548.150391,-1757.149902,6.137759,0.0,0.0,0.0
OBJECT=1225,2551.865234,-1753.883667,3.524087,0.0,0.0,0.0
OBJECT=1225,2553.302734,-1753.733765,3.574086,0.0,0.0,0.0
OBJECT=1225,2556.856689,-1753.785522,1.197669,0.0,0.0,0.0
OBJECT=1225,2560.758789,-1753.972290,1.046380,0.0,0.0,0.0
