; Converted Mon, 02 Aug 10 08:09:33 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2517.4978,1224.5392,37.4283
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Generic Cereal
Author=Cheerios
Description=Use Ur Nos Straight Away.... Hoes...
RunTime=1000
Weather=6
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=541

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2333.861816,2118.022461,32.490757,178
SPAWN=2330.77002,2118.078369,32.490757,178
SPAWN=2327.599609,2118.022949,32.490757,178
SPAWN=2324.572754,2118.037598,32.490757,178
SPAWN=2321.300293,2117.992188,32.490757,178
SPAWN=2318.217773,2118.000732,32.490757,178
SPAWN=2315.483154,2117.993408,32.490757,178
SPAWN=2312.684082,2118.005615,32.490757,178
SPAWN=2310.916504,2106.482422,32.528667,238
SPAWN=2310.553467,2102.375977,32.528667,249

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2314.424072,2060.601563,31.828663,0,12
CP=1956.255127,2062.137695,34.333824,1,18
CP=2353.913818,2156.269531,104.83007,1,28
CP=2562.957275,2285.671631,110.355446,1,20
CP=3443.219238,2874.59082,9.986588,1,21.6
CP=3941.90332,3125.152588,13.287396,1,20
CP=4234.911621,2957.245605,7.812882,1,31.6
CP=3448.876709,2909.114746,25.935135,1,26
CP=2849.019287,2749.855225,33.669556,1,27.6
CP=2729.287598,2681.044678,58.388401,0,4.4

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=979,2310.192139,2108.868164,32.268864,0,0,322.734952288
OBJECT=976,2335.028809,2112.128662,31.990034,0,0,270.000049375
OBJECT=976,2335.026855,2120.915527,31.990034,0,0,270.000049375
OBJECT=976,2332.366943,2103.253174,31.990034,0,0,270.000106671
OBJECT=976,2332.347168,2094.481445,31.990572,0,0,270.000106671
OBJECT=976,2332.302734,2085.761719,31.990572,0,0,270.000106671
OBJECT=976,2332.318604,2076.89624,31.990572,0,0,270.000106671
OBJECT=976,2332.313721,2068.143799,31.990572,0,0,270.000106671
OBJECT=976,2332.333496,2061.523193,31.990572,0,0,270.000106671
OBJECT=979,2334.551025,2107.480225,32.24332,0,0,62.3433445687
OBJECT=979,2334.358887,2107.687988,33.375675,0,0,62.3433445687
OBJECT=976,2320.652588,2052.909668,31.990572,0,0,180.00009875
OBJECT=976,2329.42627,2052.906494,31.990572,0,0,180.00009875
OBJECT=976,2332.1604,2052.889404,31.990572,0,0,180.00009875
OBJECT=18450,2224.064453,2060.670898,12.388503,0,15.4698552,0
OBJECT=18450,2223.386475,2060.687256,10.537105,0,4.297182,0
OBJECT=18450,2197.034668,2060.702881,19.468189,0,19.7670372,0
OBJECT=18450,2199.609131,2060.679688,14.596594,0,31.7991468,0
OBJECT=18450,2196.320313,2060.686279,18.890783,0,24.0642192,0
OBJECT=18450,2179.772461,2060.690186,26.404026,0,35.2368924,0
OBJECT=18450,2047.085083,2060.689697,46.558914,0,347.108454,0
OBJECT=18450,1990.984863,2060.663574,33.712971,0,347.108454,0
OBJECT=18450,1946.043091,2060.650391,26.330172,0,353.9839452,0
OBJECT=18450,1942.337158,2060.633545,28.853455,0,7.7349276,0
OBJECT=18450,1933.740112,2060.996094,32.936264,0,15.4698552,0
OBJECT=18450,1936.439819,2061.37085,34.816818,0,24.0642192,0
OBJECT=18450,1939.807861,2061.720459,34.62693,0,30.080274,0
OBJECT=18450,1940.549561,2062.050537,35.063141,0,35.2368924,0
OBJECT=18450,1938.518921,2062.406738,37.455826,0,40.3935108,0
OBJECT=18450,1938.330322,2062.793457,38.210537,0,44.6906928,0
OBJECT=18450,1935.096924,2063.140625,42.134819,0,48.1284384,0
OBJECT=18450,1932.245605,2063.556641,46.250931,0,51.566184,0
OBJECT=18450,1928.452637,2063.921875,53.207333,0,56.7228024,0
OBJECT=18450,1932.402466,2064.275391,48.24995,0,62.7388572,0
OBJECT=18450,2165.568604,2060.700195,36.511761,0,35.2368924,0
OBJECT=18450,1932.630371,2064.594727,48.264412,0,67.0359819042,0
OBJECT=18450,1931.756714,2064.888916,50.824932,0,71.3331639042,0
OBJECT=18450,1930.3479,2065.249756,56.492783,0,75.6303459042,0
OBJECT=18450,1930.705688,2065.588135,55.728607,0,79.0680915042,0
OBJECT=18450,1929.846558,2065.921143,63.002533,0,83.3652735042,0
OBJECT=18450,1930.154419,2066.276367,64.393616,0,88.5218919042,0
OBJECT=18450,1930.290771,2066.602295,65.304947,0,91.1002011042,0
OBJECT=18450,1930.743652,2066.983398,69.642174,0,95.3973831042,0
OBJECT=18450,1931.480103,2067.329346,72.112244,0,102.272874304,0
OBJECT=18450,1932.819946,2067.710205,76.231384,0,107.429492704,0
OBJECT=18450,1933.104736,2068.066406,76.566284,0,113.445547504,0
OBJECT=18450,1934.098511,2068.466553,78.657707,0,120.321038704,0
OBJECT=18450,1937.116943,2068.827148,83.737717,0,125.4777144,0
OBJECT=18450,1939.485352,2069.154053,86.930115,0,131.493826496,0
OBJECT=18450,1953.16272,2069.477051,100.905861,0,134.931572096,0
OBJECT=18450,1948.618408,2069.789795,95.171158,0,142.666556992,0
OBJECT=18450,1948.954346,2070.103271,95.101044,0,148.682669087,0
OBJECT=18450,2012.490967,2080.382813,86.759224,0,5.1566184,4.297182
OBJECT=18450,2013.677246,2064.931396,87.298782,0,5.1566184,4.297182
OBJECT=18450,2081.313965,2076.486084,80.922852,0,5.1566184,13.7509824
OBJECT=18450,2062.037354,2090.293945,86.444794,0,355.702818,16.3292916
OBJECT=18450,2148.418213,2107.605225,74.044518,1.7188728,5.1566184,35.2368924
OBJECT=979,2178.196289,2120.375488,71.805405,0,0,52.7349029125
OBJECT=18450,2220.848389,2131.252197,70.444908,0,0,0
OBJECT=971,2180.115234,2134.288086,70.797279,270.618671696,341.0923992,0
OBJECT=979,2179.424316,2137.331299,71.342834,0,357.4216908,198.984851326
OBJECT=979,2315.381104,2104.934814,32.268322,0,0,322.734952288
OBJECT=979,2319.405518,2097.502197,32.275608,0,0,274.297231375
OBJECT=979,2320.051758,2088.852539,32.282894,0,0,274.297231375
OBJECT=18450,2089.337891,2098.316162,88.570717,0,355.702818,16.3292916
OBJECT=18450,2269.732422,2131.419189,71.406822,349.6867632,355.702818,0
OBJECT=18450,2303.449707,2134.243896,76.991173,344.5301448,347.9678904,3.4377456
OBJECT=18450,2319.772217,2137.822266,82.818336,336.7952172,335.0763444,3.4377456
OBJECT=18450,2327.020996,2140.061279,85.309624,328.2008532,327.3414168,9.4538004
OBJECT=18450,2329.928223,2141.631592,87.622284,328.2008532,331.6385988,9.4538004
OBJECT=18450,2431.903809,2208.006836,98.859467,0,0,28.5933917322
OBJECT=18450,2439.390137,2194.45166,98.723328,0,0,28.5933917322
OBJECT=18450,2472.86377,2212.637939,98.860298,0,353.1245088,35.4688256365
OBJECT=18450,2463.67627,2225.803223,99.021362,0,353.1245088,34.6093892365
OBJECT=18450,2536.38208,2267.506348,103.875404,0,356.5622544,34.6093892365
OBJECT=976,2510.739502,2237.56665,102.86319,0,0,258.750084195
OBJECT=976,2510.456543,2240.325928,102.849571,0,0,273.360502995
OBJECT=976,2500.248535,2253.101807,103.308846,0,0,171.946549429
OBJECT=976,2501.694092,2252.760498,102.727013,0,0,157.336016037
OBJECT=1633,2254.0896,2048.972168,9.645626,0,0,26.6425284
OBJECT=18450,2608.558594,2316.744873,104.653366,0,0,33.7500101322
OBJECT=18450,2672.935547,2359.709473,109.540382,0,352.2650724,33.7500101322
OBJECT=18450,2646.107178,2341.797607,105.110397,0,356.5622544,33.7500101322
OBJECT=18450,2738.950439,2403.841797,114.812798,0,0,33.7500101322
OBJECT=18450,2774.76001,2427.758789,113.149643,0,0,33.7500101322
OBJECT=18450,2830.715576,2465.143799,111.136467,0,0,33.7500101322
OBJECT=18450,2895.181152,2508.286865,108.673325,0,0,33.7500101322
OBJECT=18450,2957.998779,2550.280762,107.410194,0,0,33.7500101322
OBJECT=18450,2986.07251,2569.013672,106.322136,0,345.3895812,33.7500101322
OBJECT=18450,2992.420166,2573.240234,108.267685,0,349.6867632,33.7500101322
OBJECT=18450,3017.148926,2589.768066,114.800995,0,345.3895812,33.7500101322
OBJECT=18450,3055.787354,2615.5979,125.493172,0,345.3895812,33.7500101322
OBJECT=18450,3084.14624,2634.52832,132.22673,0,345.3895812,33.7500101322
OBJECT=18450,3262.635742,2753.699463,80.555756,0,24.9236556,33.7500101322
OBJECT=18450,3321.046631,2792.728271,47.875435,0,24.9236556,33.7500101322
OBJECT=18450,3377.256348,2830.279541,16.455019,0,24.9236556,33.7500101322
