; Converted Sun, 27 Jun 10 22:01:18 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2234.4500,1333.6764,7.0391
Interior=1
MinLevel=0
JoinCost=1000
WinBaseXP=3500000
WinBaseCash=3500000
VehicleHealth=50000.0

Name=Gneralas 20 Minute Fall
Author=Gneralas
Description=Fall
RunTime=1200
Weather=0
Time=7:0

DefaultViewDistance=250.0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=473

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=673.11969,-3339.855225,15910.046875,327
SPAWN=676.831909,-3340.984863,15908.495117,327
SPAWN=680.412781,-3342.582031,15908.830078,338
SPAWN=684.137878,-3343.124268,15908.616211,338
SPAWN=688.200745,-3343.347656,15907.260742,338
SPAWN=691.01886,-3345.551758,15907.277344,338
SPAWN=694.016052,-3347.523926,15907.817383,338
SPAWN=677.084961,-3331.351563,15902.043945,338
SPAWN=680.655396,-3331.995605,15900.676758,338
SPAWN=684.278809,-3332.268311,15899.518555,338

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2583.787598,-2207.864014,2.945534,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=4203,2589.8479,-2118.359131,41.089134,300.698945696,0,179.99990125
OBJECT=4203,2597.606201,-2077.514893,110.223602,300.698945696,0,179.99990125
OBJECT=4203,2605.028076,-2038.817993,175.637268,300.698945696,0,179.99990125
OBJECT=4203,2612.598389,-2000.019043,241.544662,300.698945696,0,179.99990125
OBJECT=4203,2619.834229,-1961.04895,307.691315,300.698945696,0,179.99990125
OBJECT=4203,2627.169922,-1923.345459,371.825684,300.698945696,0,179.99990125
OBJECT=4203,2634.632568,-1899.331299,443.649994,274.915853696,0,179.99990125
OBJECT=4203,2642.497803,-1894.389038,523.350464,272.337544496,0,179.99990125
OBJECT=4203,2650.519531,-1906.896362,599.968262,248.273382592,0,179.99990125
OBJECT=4203,2658.385742,-1942.014282,669.682373,237.960088496,0,179.99990125
OBJECT=4203,2666.042725,-1983.486084,736.05603,237.960088496,0,179.99990125
OBJECT=4203,2672.20166,-2006.606812,772.767639,237.960088496,0,179.99990125
OBJECT=4203,2678.809082,-2029.20105,808.637878,237.960088496,0,179.99990125
OBJECT=4203,2684.933594,-2048.998779,840.039612,237.960088496,0,179.99990125
OBJECT=4203,2689.749512,-2064.532471,864.628357,237.960088496,0,179.99990125
OBJECT=4203,2696.327393,-2086.768555,899.926208,237.960088496,0,179.99990125
OBJECT=4203,2702.79126,-2107.962646,933.559204,237.960088496,0,179.99990125
OBJECT=4203,2709.31543,-2130.583252,969.471741,237.960088496,0,179.99990125
OBJECT=5038,2717.866455,-2166.317627,1066.250366,1.7188728,73.0520367042,91.1002011042
OBJECT=1633,2702.862305,-2149.173828,1005.181763,316.1687436,0,270.000049375
OBJECT=1633,2702.822266,-2153.180176,1005.146912,317.02818,3.4377456,273.437794975
OBJECT=1655,2704.962158,-2150.700439,1006.939148,319.6064892,8.594364,271.718922175
OBJECT=1655,2700.677246,-2151.412109,1010.431519,286.088526896,0,270.000049375
OBJECT=1655,2724.477051,-2150.580566,1003.683777,326.4819804,0,90.8595272294
OBJECT=1655,2719.650146,-2150.367188,1006.756287,296.401763696,0,89.999950625
OBJECT=1655,2725.761475,-2152.900146,1011.807495,304.136691296,356.5622544,97.734878225
OBJECT=1655,2722.036377,-2152.538086,1010.010498,312.731055296,0,89.999950625
OBJECT=1655,2712.331055,-2148.852051,1008.44458,249.992255392,0,179.999958546
OBJECT=4203,2722.272705,-2193.186279,1170.493164,85.0841463042,0,181.796008734
OBJECT=10018,2710.009766,-2208.789307,1322.974609,355.702818,82.5058371042,90.2407647042
OBJECT=10487,2701.443848,-2233.763428,1493.964233,0,74.7709095042,95.156569025
OBJECT=11100,2686.104736,-2254.279785,1639.109619,317.8876164,61.8793635042,75.0029000365
OBJECT=13680,2704.212402,-2288.548096,1768.743896,344.5301448,73.9114731042,98.2076255407
OBJECT=13682,2722.652344,-2349.498047,1980.798828,1.7188728,282.650724,284.765109431
OBJECT=17062,2641.893555,-2413.446777,2145.030273,303.277254896,32.6585832,292.964018096
OBJECT=17062,2599.289063,-2453.901855,2337.949463,275.7752328,0,338.51409
OBJECT=17062,2610.274414,-2467.94043,2551.221436,275.7752328,0,338.51409
OBJECT=17062,2621.824951,-2482.294434,2764.716064,275.7752328,0,338.51409
OBJECT=17062,2634.207275,-2493.248291,2979.653809,274.05636,357.4216908,338.51409
OBJECT=1655,2685.644043,-2395.216797,2072.618652,302.417818496,345.3895812,0
OBJECT=1655,2599.001953,-2446.953369,2244.324707,300.698945696,0,116.487837769
OBJECT=1655,2596.673584,-2442.460693,2244.271973,300.698945696,0,116.487837769
OBJECT=1655,2600.968262,-2450.721924,2244.352295,300.698945696,0,116.487837769
OBJECT=1655,2694.759033,-2251.943604,1660.066162,300.698945696,0,213.750051587
OBJECT=1655,2701.90918,-2247.13501,1660.077637,300.698945696,0,213.750051587
OBJECT=972,2699.132324,-2229.119385,1545.493164,0,0,274.297231375
OBJECT=972,2699.065186,-2229.126953,1552.625854,0,0,274.297231375
OBJECT=972,2699.024902,-2229.173584,1559.872925,0,0,274.297231375
OBJECT=972,2698.956787,-2229.196289,1567.077637,0,0,274.297231375
OBJECT=972,2687.014648,-2237.993652,1562.661377,290.385708896,355.702818,0.8594364
OBJECT=972,2714.931641,-2233.650879,1568.000366,268.899798896,203.686484096,25.3281636656
OBJECT=1655,2712.925537,-2238.33374,1579.698242,278.353542,0,89.999950625
OBJECT=1655,2689.185059,-2238.822021,1576.363892,295.542327296,353.9839452,270.000049375
OBJECT=4203,2709.587891,-2193.439941,1169.96936,85.0841463042,0,181.796008734
OBJECT=4866,2716.33667,-2131.966797,1208.109863,0,0,1.7188728
OBJECT=4866,2775.058838,-2209.368164,1353.591187,0,289.526272496,1.7188728
OBJECT=4866,2649.852783,-2194.169189,1353.142822,0,289.526272496,170.468949074
OBJECT=980,2706.736084,-2191.688721,1210.057495,327.3414168,0.8594364,7.7349276
OBJECT=980,2718.161133,-2190.492676,1209.908081,323.0442348,4.297182,6.8754912
OBJECT=1655,2711.058838,-2198.033447,1209.410034,268.0403052,0,89.999950625
OBJECT=1655,2713.396484,-2197.826172,1209.410034,274.05636,0,270.000049375
OBJECT=1655,2712.012451,-2191.907959,1215.331421,300.6988884,0,180.000041454
OBJECT=1655,2720.710938,-2191.897949,1215.320923,300.6988884,0,180.000041454
OBJECT=1655,2703.384033,-2191.894287,1215.356567,300.6988884,0,180.000041454
OBJECT=17062,2647.4021,-2500.810547,3194.892578,274.05636,357.4216908,338.51409
OBJECT=17062,2661.038086,-2508.15332,3410.295898,274.05636,357.4216908,338.51409
OBJECT=10871,2700.156982,-2510.932373,3675.280518,12.0321096,25.783092,6.0160548
OBJECT=10871,2744.295166,-2506.636475,3741.156494,0,200.248738496,25.5511014678
OBJECT=974,2657.034912,-2518.525635,3529.644043,0,27.5019648,11.250022476
OBJECT=974,2661.986572,-2517.563477,3527.642578,0,27.5019648,11.250022476
OBJECT=4824,2633.603271,-2489.832275,3549.586182,357.4216908,33.5180196,337.500012344
OBJECT=3707,2673.362549,-2487.355225,3531.339355,279.2129784,0,91.5641821687
OBJECT=3707,2649.420898,-2526.216309,3532.649658,275.775290096,6.8754912,23.3594240562
OBJECT=3990,2672.296631,-2519.143799,3506.924316,254.2893228,359.1405636,15.9338362645
OBJECT=3996,2673.325684,-2512.008789,3511.289551,0.8594364,265.461996,12.891546
OBJECT=6290,2718.39624,-2568.210205,3967.984375,356.5622544,45.5500719042,54.4537757125
OBJECT=6250,2678.866699,-2635.523193,4107.887207,0,82.5058944,61.4839081687
OBJECT=6250,2673.502441,-2646.103027,4233.196289,0,87.6625128,61.4839081687
OBJECT=6249,2672.240967,-2649.814453,4347.745117,0,88.5219492,67.4999629687
OBJECT=6249,2670.895996,-2652.144287,4468.894531,0,88.5219492,67.4999629687
OBJECT=6249,2669.562988,-2654.54834,4592.741211,0,88.5219492,67.4999629687
OBJECT=6249,2668.300049,-2656.949463,4718.683105,0,88.5219492,67.4999629687
OBJECT=6249,2666.988525,-2659.412354,4841.742676,0,88.5219492,67.4999629687
OBJECT=6249,2665.609131,-2661.854248,4965.323242,0,88.5219492,67.4999629687
OBJECT=6249,2664.275146,-2664.259521,5088.459473,0,88.5219492,67.4999629687
OBJECT=6249,2662.942871,-2666.764893,5214.079102,0,88.5219492,67.4999629687
OBJECT=6249,2661.63623,-2669.144287,5335.29834,0,88.5219492,67.4999629687
OBJECT=6249,2660.30957,-2671.564697,5458.845703,0,88.5219492,67.4999629687
OBJECT=6501,2637.979004,-2704.586182,5637.756348,0,289.5262152,258.750026899
OBJECT=1473,2665.16333,-2674.600098,5523.219727,0,0,247.500061719
OBJECT=1473,2665.35083,-2672.181396,5523.529785,0,0,247.500061719
OBJECT=1473,2665.717773,-2670.905518,5523.927246,0,0,247.500061719
OBJECT=1473,2665.392822,-2673.581299,5523.446289,0,0,247.500061719
OBJECT=1473,2663.648193,-2667.797607,5525.188477,0,0,303.750002212
OBJECT=1655,2664.203857,-2669.587158,5524.548828,274.05636,0,141.952906618
OBJECT=4125,2621.830566,-2781.597168,5776.438477,355.702818,32.6585832,92.500910549
OBJECT=18450,2645.420166,-2736.705078,5773.708984,0,290.3856516,0
OBJECT=18450,2609.854736,-2732.491211,5773.643555,0,290.3856516,180.00009875
OBJECT=18450,2628.531738,-2736.836182,5772.534668,0,99.6946224,258.750026899
OBJECT=4824,2638.567871,-2491.854736,3548.273193,359.1405636,43.8312564,339.218885144
OBJECT=1655,2585.797607,-2135.597168,6.486681,303.2771976,358.2811272,177.42159205
OBJECT=971,2680.733398,-2627.474365,4045.946045,24.9236556,0,329.765084744
OBJECT=971,2685.883301,-2630.087158,4045.344238,24.0642192,1.7188728,329.687735468
OBJECT=18393,2633.383301,-2518.006592,3536.981934,303.277254896,30.080274,37.9698428562
OBJECT=18450,2621.724365,-2752.369629,5753.458496,66.1765455042,79.0680915042,10.9318591207
OBJECT=4203,2639.19458,-2846.783691,5839.668457,316.1687436,0,11.250022476
OBJECT=18450,2620.39502,-2779.130127,5776.910645,66.1765455042,79.0680915042,10.9318591207
OBJECT=18450,2619.39917,-2782.37085,5790.194336,66.1765455042,79.0680915042,10.9318591207
OBJECT=18450,2638.154785,-2767.115234,5762.337891,66.1765455042,270.618671696,6.73786678448
OBJECT=18450,2639.465576,-2767.460693,5773.179199,66.1765455042,270.618671696,6.73786678448
