; Converted Mon, 12 Apr 10 12:45:19 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=642.363403,654.044861,6.316165,0
MinLevel=0
JoinCost=1337
WinBaseXP=1000000
WinBaseCash=1000000

Name=Go on the objects
Author=r3k1lLz
Description=Go on the objects to finish, good luck
RunTime=1000
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=642.363403,654.044861,6.316165,167
SPAWN=641.409668,653.998535,6.26519,166
SPAWN=640.775757,654.213989,6.230824,167
SPAWN=640.057739,654.141602,6.19252,167
SPAWN=639.317993,654.087769,6.153014,167
SPAWN=642.475159,656.674377,6.316048,178
SPAWN=641.86731,656.891785,6.283147,173
SPAWN=641.10376,656.876648,6.23784,162
SPAWN=640.485229,656.958862,6.198987,161
SPAWN=639.817444,657.081665,6.172343,157

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=637.28949,633.470032,7.474854,0,8
CP=630.025269,585.118896,1.515676,0,8
CP=624.191772,544.739319,23.543861,0,8
CP=621.191895,504.451599,37.606384,0,8
CP=615.527893,457.818726,49.248428,0,8
CP=576.613708,364.914825,59.588871,1,8
CP=505.889435,351.244202,63.920822,0,8
CP=549.9552,346.441101,78.958794,1,8
CP=629.53302,352.68219,78.056229,1,8
CP=665.47406,348.988495,78.282593,0,8
CP=697.568848,379.030914,94.622833,0,8
CP=707.671814,437.611053,105.990143,1,8
CP=717.810486,528.837646,44.040695,0,0.8
CP=717.661255,528.538818,44.370956,0,0.8
CP=721.855652,525.061584,44.040695,0,0.8
CP=716.985535,470.172089,58.555267,1,8
CP=705.289001,506.033752,66.349533,1,8
CP=711.065979,551.457825,66.815735,1,8
CP=717.113159,580.898254,67.905952,0,8
CP=723.539063,630.424927,71.697472,1,8
CP=714.765381,651.314392,74.280052,1,8
CP=716.716492,688.803711,51.328537,1,8
CP=719.634766,751.689819,45.586357,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13647,637.123169,632.819519,3.404541,0,0,261.164814
OBJECT=13647,632.688721,605.609741,0.729473,0,177.799425904,262.883744096
OBJECT=13647,629.443787,580.310852,2.946557,0,160.610468721,262.024307696
OBJECT=13647,626.271606,558.120361,11.475592,0,138.265065025,262.0242504
OBJECT=13647,622.542725,521.253418,22.136953,0,171.783371104,85.8396165127
OBJECT=13647,621.89447,512.827759,25.125832,0,316.168686304,265.461996
OBJECT=13647,618.758972,483.553955,39.95882,0,353.1245088,262.883744096
OBJECT=13647,618.146545,479.544617,30.510796,1.7188728,54.1444932,81.5426636958
OBJECT=13647,612.908325,441.212982,50.37735,0,183.815480704,81.5426636958
OBJECT=13647,611.174194,430.493805,50.118671,0,0,261.164814
OBJECT=13647,606.356079,394.757599,51.935902,0,5.1566184,81.5426636958
OBJECT=13647,593.430786,386.04422,53.760483,0,0,228.506402687
OBJECT=8417,568.496094,355.307587,55.427933,0,0,0
OBJECT=18367,549.938721,353.996521,54.920841,0,0,273.1969236
OBJECT=17565,513.61261,349.135559,58.668686,0,0,273.1969236
OBJECT=16303,520.931519,352.070251,52.962326,0,353.9839452,200.144772304
OBJECT=13638,503.5224,357.177521,63.617264,0,0,0
OBJECT=13636,511.641266,356.611359,69.561714,0,359.1405636,178.658976896
OBJECT=13604,533.95575,341.907196,70.646133,0,0,358.2811272
OBJECT=8375,548.553284,349.081024,72.782433,0,0,90.2408792958
OBJECT=16771,589.609985,344.06958,68.735519,0,0,0
OBJECT=13590,631.485413,352.438202,72.088799,0,0,268.8997416
OBJECT=7979,664.441406,340.953918,77.511681,0,0,259.4459412
OBJECT=6052,680.272339,353.550598,84.092247,0,0,91.9596948
OBJECT=3663,688.807129,362.329529,88.280876,0,0,261.164756704
OBJECT=3625,692.381104,371.639862,91.54541,0,358.2811272,82.5059516958
OBJECT=5153,694.063171,377.087372,93.055458,0,346.2490176,353.1245088
OBJECT=5153,693.79657,375.070313,93.004463,0,346.2490176,353.1245088
OBJECT=1894,697.064697,383.484863,92.580307,0,0,261.164814
OBJECT=13647,703.534363,413.515472,94.845032,0,0,79.9275852
OBJECT=13647,701.444458,402.67865,93.469498,359.1405636,23.2047828,258.5865048
OBJECT=13647,702.449341,407.388214,93.750351,0,19.7670372,260.3053776
