Name=GoFastFTW
Author=Piggus
MinLevel=15
JoinCost=3000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2204.5276,-2642.8887,13.5469

RunTime=120
WinBaseXP=120000
WinBaseCash=150000

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=1754.6898,-2694.5203,3998.0911
CP=1404.4823,-2692.4338,3878.1951
CP=997.1274,-2687.9102,3573.2056
CP=317.3550,-2673.6968,2638.876
CP=-50.4874,-2660.6201,1738.9390
CP=-324.6074,-2650.0588,1063.3921
CP=-575.5081,-2641.4231,447.3921
CP=-693.5352,-2636.4766,154.5069
CP=-780.5103,-2633.3330,95.9382
CP=-849.3327,-2633.1211,95.6587

; Spawn Points
; If there are no spawn points, races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz
SPAWN=1984.080444,-2699.921387,4001.776123,89.0
SPAWN=1984.140747,-2698.620605,4001.776123,89.0
SPAWN=1984.204224,-2697.157715,4001.776123,89.0
SPAWN=1984.425171,-2695.647949,4001.776123,89.0
SPAWN=1984.527222,-2694.013428,4001.776123,89.0
SPAWN=1984.795288,-2692.533691,4001.776123,89.0
SPAWN=1984.852173,-2690.927002,4001.776123,89.0
SPAWN=1978.851440,-2699.894287,4001.776123,89.0
SPAWN=1978.939087,-2698.063232,4001.776123,89.0
SPAWN=1979.005615,-2696.295654,4001.776123,89.0
SPAWN=1978.955200,-2694.415039,4001.776123,89.0
SPAWN=1978.915527,-2692.650146,4001.776123,89.0
SPAWN=1978.781250,-2690.806152,4001.776123,89.0
SPAWN=1974.553589,-2699.799072,4001.776123,89.0
SPAWN=1974.489014,-2698.095459,4001.776123,89.0
SPAWN=1974.746582,-2696.390137,4001.776123,89.0
SPAWN=1975.005493,-2694.463867,4001.776123,89.0
SPAWN=1975.125854,-2692.952881,4001.776123,89.0
SPAWN=1975.264526,-2690.962158,4001.776123,89.0
SPAWN=1971.153320,-2695.677490,4001.776123,89.0

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=18450,1948.7682,-2695.6704,4000.7720,0.0000,0.0000,0.0000,
OBJECT=18450,1868.6149,-2695.6362,4000.5881,0.0000,0.0000,0.0000,
OBJECT=18450,1791.4889,-2695.0300,3998.6772,0.8594,357.4217,359.1406,
OBJECT=18450,1714.7084,-2694.3289,3990.4324,0.8594,350.5462,0.0000,
OBJECT=18450,1638.7921,-2693.9670,3969.3513,0.8594,338.5141,0.0000,
OBJECT=18450,1576.1531,-2693.4609,3944.6467,0.8594,338.5141,0.0000,
OBJECT=18450,1502.1249,-2692.9595,3915.5332,0.8594,338.5141,0.0000,
OBJECT=18450,1437.3956,-2692.5508,3889.9941,0.8594,338.5141,0.0000,
OBJECT=18450,1368.1461,-2691.9604,3851.0510,0.8594,323.0442,0.0000,
OBJECT=18450,1309.0284,-2691.2498,3806.5776,0.8594,323.0442,0.0000,
OBJECT=18450,1246.1877,-2690.5820,3759.3035,0.8594,323.0442,0.0000,
OBJECT=18450,1194.1444,-2689.7488,3720.1504,0.8594,323.0442,0.0000,
OBJECT=18450,1138.5819,-2689.1423,3678.1416,0.8594,323.0442,0.0000,
OBJECT=18450,1082.9630,-2688.5176,3636.2271,0.8594,323.0442,0.0000,
OBJECT=18450,1020.5250,-2687.8308,3589.2102,0.8594,323.0442,0.0000,
OBJECT=18450,965.1253,-2687.0359,3532.6394,0.8594,305.8555,0.0000,
OBJECT=18450,918.4157,-2686.0552,3467.7563,0.8594,305.8555,0.0000,
OBJECT=18450,872.2231,-2685.0676,3403.7590,0.8594,305.8555,0.0000,
OBJECT=18450,827.4121,-2684.1206,3341.6792,0.8594,305.8555,0.0000,
OBJECT=18450,783.3195,-2683.1833,3280.6829,0.8594,305.8555,0.0000,
OBJECT=18450,741.8254,-2682.2744,3223.2295,0.8594,305.8555,0.0000,
OBJECT=18450,696.4017,-2681.2661,3160.2720,0.8594,305.8555,0.0000,
OBJECT=18450,654.4424,-2680.3362,3102.1616,0.8594,305.8555,0.0000,
OBJECT=18450,608.8975,-2679.4023,3039.0896,0.8594,305.8555,0.0000,
OBJECT=18450,563.6049,-2678.4941,2976.3984,0.8594,305.8555,0.0000,
OBJECT=18450,517.0242,-2677.5269,2911.9370,0.8594,305.8555,0.0000,
