
Name=Grish LV Endurance
Author=Grish
MinLevel=0
JoinCost=3000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2063.438721,865.937744,6.650030

RunTime=99999
WinBaseXP=3000000
WinBaseCash=3000000
Weather=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=480

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2024.393433,852.002930,5.734375,0,0.0
CP=1594.656128,852.380676,5.734375,0,0.0
CP=1315.908936,881.508606,5.812500,0,0.0
CP=1226.762573,1165.707275,5.820126,0,0.0
CP=1226.005005,1706.603516,5.734375,0,0.0
CP=1226.459595,2005.856323,5.734375,0,0.0
CP=1364.403687,2446.327881,5.734375,0,0.0
CP=1970.115234,2531.126953,5.797163,0,0.0
CP=2525.759033,2578.859375,3.859375,0,0.0
CP=2708.684082,2262.159912,5.742188,0,0.0
CP=2709.166748,1880.658813,5.734375,0,0.0
CP=2708.771973,1221.797974,5.742001,0,0.0
CP=2417.083008,851.342224,5.741999,0,0.0
CP=2078.676758,834.460632,5.742155,0,0.0
CP=2458.810303,834.523132,5.734375,0,0.0
CP=2726.596924,1264.265869,5.741999,0,0.0
CP=2726.245117,1928.974365,5.734375,0,0.0
CP=2677.659424,2462.247314,5.734375,0,0.0
CP=2478.517334,2617.711182,4.324482,0,0.0
CP=1905.501953,2532.065674,5.804688,0,0.0
CP=1305.326294,2440.015381,5.734375,0,0.0
CP=1208.688110,1954.223999,5.734374,0,0.0
CP=1207.829956,1239.436157,5.754930,0,0.0
CP=1358.941162,843.178955,5.812500,0,0.0
CP=1821.439087,834.712036,9.542159,0,0.0
CP=2078.676758,834.460632,5.742155,0,0.0
CP=2458.810303,834.523132,5.734375,0,0.0
CP=2726.596924,1264.265869,5.741999,0,0.0
