; Converted Wed, 16 Jun 10 04:03:18 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2855.0347,-1867.6859,10.6694
MinLevel=0
JoinCost=2300
WinBaseXP=900000
WinBaseCash=600000

Name=Hax are for pussies 2
Author=Cheerios
Description=The Tittle Says It All.
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2834.041748,-1873.367432,10.591726,271
SPAWN=2834.299805,-1871.540527,10.591726,271
SPAWN=2834.620117,-1870.108521,10.588543,271
SPAWN=2834.622314,-1868.567993,10.587038,271
SPAWN=2834.794922,-1866.95813,10.585464,271
SPAWN=2834.780762,-1865.60498,10.584145,271
SPAWN=2834.697998,-1863.983765,10.58256,271
SPAWN=2834.211914,-1875.03479,10.593353,271
SPAWN=2834.234375,-1876.368652,10.593353,271
SPAWN=2834.20459,-1877.758179,10.593353,271
SPAWN=2834.762939,-1862.4104,10.58256,271
SPAWN=2834.822021,-1860.974121,10.58256,271
SPAWN=2834.850586,-1859.786133,10.58256,271
SPAWN=2834.236816,-1878.997681,10.58256,271
SPAWN=2834.232422,-1880.144897,10.58256,271

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2862.516602,-1877.57251,10.370358,0,8
CP=2930.248047,-1792.926147,44.747086,0,8
CP=2935.213135,-1879.755737,3.897203,0,8
CP=2935.835693,-2324.111816,23.672983,0,8
CP=2838.360107,-2621.459717,6.934783,0,8
CP=2788.446533,-2651.842773,3.476004,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1633,2864.566895,-1876.924194,10.643001,0,0,270.000049375
OBJECT=1633,2864.566895,-1879.202881,10.643001,0,0,270.000049375
OBJECT=6052,2880.212158,-1869.280518,13.597768,0,359.1405636,107.343319881
OBJECT=6052,2893.049316,-1857.928101,15.167112,0,22.3453464,287.343418631
OBJECT=6052,2899.923828,-1839.400879,18.216705,0,359.1405636,121.017010301
OBJECT=6052,2907.950928,-1819.861938,20.329409,0,18.9076008,301.017109051
OBJECT=6052,2909.742432,-1800.232056,22.218632,0,6.0160548,134.217807131
OBJECT=13638,2912.033936,-1780.110352,24.84054,0,348.8273268,303.750002212
OBJECT=13638,2921.261963,-1782.503296,33.478813,0,8.594364,157.500111094
OBJECT=13638,2926.293457,-1797.292725,42.8909,0,8.594364,157.500111094
OBJECT=13638,2924.509277,-1818.220337,39.403172,0,357.4216908,343.59341642
OBJECT=13638,2939.044922,-1834.525024,35.571915,0,357.4216908,166.24911635
OBJECT=13638,2938.263672,-1873.364624,2.507131,0,357.4216908,2.65574138464
OBJECT=13648,2935.772461,-1884.593018,-1.197443,0,0,0
OBJECT=13648,2935.837158,-1896.419678,0.828217,341.0923992,359.1405636,0
OBJECT=13648,2935.824463,-1934.162842,5.757048,0,0,0
OBJECT=13648,2935.869873,-1964.867065,0.187307,0,0,0
OBJECT=13648,2935.894775,-1993.530884,10.137942,169.204660834,0,0
OBJECT=13648,2935.890869,-2031.525024,19.583645,163.188606034,0,0
OBJECT=13648,2935.88623,-2068.896729,32.495056,158.891366738,0,0
OBJECT=13648,2935.915771,-2127.046387,25.349091,184.674630625,0,0
OBJECT=13648,2935.92041,-2168.97583,19.329498,181.236885025,0,0
OBJECT=13648,2935.948242,-2215.13501,13.460052,181.236885025,0,0
OBJECT=13648,2935.946777,-2252.069336,15.666868,171.78302733,0,0
OBJECT=13648,2935.945801,-2285.80957,23.821791,162.329169634,0,0
OBJECT=13648,2935.940186,-2324.914795,23.440161,196.706854817,0,0
OBJECT=13648,2935.961426,-2363.128906,9.924976,201.863473217,0,0
OBJECT=13648,2935.973633,-2391.266113,4.411734,187.252997121,0,0
OBJECT=13648,2936.226563,-2425.529785,-2.278369,7.7349276,359.1405636,0.8594364
OBJECT=13648,2931.621826,-2453.060059,3.212358,182.096321425,346.2490176,166.094475094
OBJECT=13648,2918.91333,-2488.943604,4.666263,182.096321425,342.811272,154.844509914
OBJECT=13643,2905.967041,-2517.497314,4.607543,0,0,67.5001031731
OBJECT=13648,2894.279053,-2545.922852,3.806974,179.518012225,0,337.500012344
OBJECT=13643,2902.914063,-2524.8396,2.958233,0,0,67.5004152648
OBJECT=13643,2896.520264,-2540.331299,2.719246,0,0,67.5004152648
OBJECT=13643,2889.675049,-2556.770996,3.679246,359.1405636,9.4538004,67.5001031731
OBJECT=13648,2875.852295,-2579.5,6.123919,179.518012225,0,326.249989868
OBJECT=13648,2851.127197,-2609.380371,6.422531,179.518012225,0,315.000024688
OBJECT=13648,2825.270752,-2630.099121,4.131663,0.75604316608,0,303.750002212
OBJECT=13648,2803.777344,-2643.846924,-2.031984,0.75604316608,0,292.500037031

