Name=Hell of a Long Race
MinLevel=12
JoinCost=5000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2089.570312,852.568420,6.457587

RunTime=1200
WinBaseXP=680000
WinBaseCash=100000
DamageWinMult=0.4

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=415

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; Format: CP#=x,y,z,type,size
CP=2548.461669,879.039428,6.461456
CP=2708.530517,1528.928833,6.465248
CP=2696.885498,2352.573974,6.461436
CP=2019.214111,2544.156738,6.521700
CP=1788.755615,2456.798095,9.141649
CP=1805.725097,2209.094726,4.100806
CP=1789.610473,1834.522705,6.461427
CP=1763.976440,1618.716674,6.986019
CP=1690.914794,1713.098144,10.398941
CP=1567.406982,1733.848022,10.398935
CP=1550.207397,1873.359375,10.398956
CP=1308.987060,1871.245605,10.091023
CP=1247.892211,1916.942626,6.516203
CP=1208.719848,2033.622192,6.465237
CP=1174.249755,2385.679199,9.831472
CP=947.976196,2573.267089,10.330593
CP=692.549743,2549.770996,28.784076
CP=815.739318,2361.061767,27.491292
CP=858.928283,2534.104980,29.633790
CP=815.011230,2699.361083,41.104515
CP=514.395690,2722.551513,66.351242
CP=237.516433,2748.560058,59.570831
CP=-95.764495,2638.327148,63.641910
CP=-256.742858,2656.568359,62.266117
CP=-275.125457,2701.387451,62.263385
CP=-371.919616,2704.979248,63.176872
CP=-642.764526,2747.307617,60.563735
CP=-982.264099,2715.885742,45.594264
CP=-1350.244384,2651.009277,50.843242
CP=-1350.244384,2651.009277,50.843242
CP=-1843.044311,2681.950683,54.605678
CP=-1984.978393,2617.398437,49.894378
CP=-2309.625732,2677.244628,56.485679
CP=-2746.870849,2600.542968,91.908439
CP=-2690.854492,2160.482910,55.156749
CP=-2685.960449,1274.899414,55.156768
CP=-2309.122314,1052.289916,55.305191
CP=-2005.623413,1035.187866,55.297378
CP=-2006.741210,701.914916,45.023952
CP=-2009.232543,184.429077,27.266128
CP=-1991.375610,-69.933258,33.739818
CP=-1911.537231,-77.829429,24.855066
CP=-1799.579467,-131.750198,5.512280
CP=-1819.927001,-433.428527,14.688014
CP=-1788.384277,-604.903137,16.209598
CP=-1737.090576,-728.386901,32.107753
CP=-1402.210815,-817.894653,81.268821
CP=-1150.629028,-582.040954,32.492382
CP=-969.575927,-360.442840,35.952533
CP=-772.633178,-100.015266,64.763664
CP=-671.108703,8.715037,70.340614
CP=-890.291442,-45.723659,34.514038
CP=-665.451232,68.860191,28.677143
CP=-772.229980,121.606521,11.206236
CP=-415.731262,276.120727,1.805208
CP=-208.899414,221.840850,11.546683
CP=-291.919708,-202.251190,0.805204
CP=32.159164,-521.769287,9.922985
CP=47.293033,-655.713317,3.140034
CP=228.441085,-610.499694,30.584938
CP=344.940460,-573.616210,40.062324
CP=462.563903,-602.423400,36.573490
CP=681.151794,-681.919555,15.912709
CP=778.136413,-909.411499,42.835407
CP=794.312255,-1033.085327,24.598602
CP=768.007690,-1048.176513,23.861822
CP=605.772644,-1191.364746,19.262565
CP=335.402954,-1160.973510,26.986040
CP=55.185695,-1314.012817,11.358093
CP=-33.767230,-1409.099121,11.226853
CP=-61.813846,-1494.062011,1.695830
CP=-144.628036,-1415.415039,2.422396
CP=-89.414031,-1037.771484,23.465854
CP=-116.062797,-977.132080,24.892824
CP=49.065402,-657.520019,3.331703
CP=252.750289,-579.777343,37.402679
CP=423.996063,-565.562683,39.384052
CP=497.970092,-282.147613,40.034835
CP=547.501525,-143.190979,36.651344
CP=972.221801,-181.360214,14.418534
CP=1186.939697,-183.589920,39.559020
CP=1285.736938,-378.848388,2.427414
CP=1656.227783,-328.120513,27.278701
CP=1858.915649,-320.713012,39.237049
CP=1869.120483,-89.644111,34.578643
CP=1884.804809,45.931129,34.908748
CP=1780.712646,115.858451,33.170696
CP=1834.659912,185.699234,30.643503
CP=1911.418334,139.749114,34.618640
CP=2107.531250,97.026519,34.137641
CP=2214.759521,86.460144,26.150356
CP=2216.405761,156.883728,25.201574
CP=2210.304687,226.891784,14.250918
CP=2041.320800,286.194793,25.516941
CP=1934.508789,354.583129,20.556251
CP=1733.492431,385.547790,19.493431
CP=1578.375366,369.204010,19.802669
CP=1514.990844,356.675109,18.608293
CP=1469.024047,310.066955,18.570821
CP=1508.300781,240.871765,17.963653
CP=1637.275634,264.367614,19.424009
CP=1718.121093,231.678070,17.588939
CP=1707.808959,315.900909,22.577716
CP=1731.053466,471.263946,29.968656
CP=1783.365112,740.227539,12.959134
CP=1806.623779,1082.080932,6.461439
CP=1838.551757,1625.563842,7.598188
CP=1939.512084,1713.370605,10.398940
CP=2105.053710,1719.588623,10.418432
CP=2183.539794,1678.207641,10.806118
CP=2111.540039,1647.442993,10.414585
CP=2068.363281,1623.252441,10.402831
CP=2052.083740,1528.570678,10.398941
CP=1959.318969,1453.325805,10.398945
CP=1849.031250,1469.404541,10.446025
CP=1799.261474,1573.596191,6.447638
CP=1707.135620,1607.423461,9.760508
CP=1565.639160,1639.104125,10.547393
CP=1488.990600,1669.130004,10.539579
CP=1468.239501,1615.488647,10.539563
CP=1484.925048,1456.453979,10.547394
CP=1484.944946,1166.856811,17.808258
