; Converted Fri, 25 Jun 10 00:47:42 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1423.3077,1484.6515,11.8084
MinLevel=0
JoinCost=1337
WinBaseXP=625000
WinBaseCash=625000

Name=High Endurace
Author=iFriSki
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=461

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-1435.119629,1485.599609,1.432888,261
SPAWN=-1435.019775,1484.475952,1.541689,271
SPAWN=-1435.160522,1483.660889,1.432888,261
SPAWN=-1435.160522,1482.836304,1.432888,261

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-1413.838257,1483.331299,1.067177,1,2.4
CP=-1395.350952,1483.072144,1.292176,1,6
CP=-1391.044067,1493.699951,0.873474,0,2
CP=-1382.901733,1493.935059,1.034863,0,2.4
CP=-1373.625366,1493.935547,0.851563,0,2.4
CP=-1373.992188,1486.517578,2.739172,0,2
CP=-1383.520386,1486.583252,7.90625,0,2
CP=-1382.776123,1491.924316,7.898626,0,2.4
CP=-1374.484253,1491.353638,10.039063,0,2
CP=-1365.841431,1492.214111,10.039063,0,4
CP=-1376.907349,1498.076904,10.039063,0,2
CP=-1396.43335,1498.685181,6.101563,0,4
CP=-1410.491211,1496.167725,13.383431,1,4
CP=-1452.819458,1497.795532,10.804688,0,4
CP=-1487.341553,1489.207275,7.257812,0,6,446
CP=-1611.254639,1483.602661,-0.100519,0,14
CP=-1696.124146,1445.618408,-0.006635,0,10
CP=-1720.749268,1435.201172,-0.126566,0,2,579
CP=-1725.10144,1460.713867,5.992188,0,4
CP=-1731.173096,1446.839355,6.1875,0,6
CP=-1732.828735,1401.137329,6.185322,0,8
CP=-1756.579468,1363.447021,6.039063,0,8
CP=-1717.921753,1322.533813,6.039062,0,8
CP=-1602.724609,1212.135376,6.039063,0,8
CP=-1584.685791,1141.825317,6.039063,0,8
CP=-1584.30542,1066.51709,6.039063,0,8
CP=-1535.844849,959.432495,6.046799,0,8
CP=-1547.120605,733.051086,6.039063,0,8
CP=-1558.846191,663.528259,6.039063,0,8
CP=-1558.617798,520.20636,6.03125,0,8
CP=-1529.801636,480.414795,6.1875,0,12
CP=-1495.644287,473.561615,6.180916,0,8
CP=-1421.734009,495.070038,2.039063,0,4
CP=-1396.421753,504.527466,2.039063,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1634,-1402.070068,1497.962646,7.131482,0,341.9518356,97.8123677054
OBJECT=1696,-1478.30481,1489.175415,7.450783,0,0,89.999950625
OBJECT=16644,-1721.47583,1439.587769,0.019319,0,0,270.000049375
OBJECT=16644,-1718.724365,1439.408447,0.166522,0,0,270.000049375
OBJECT=3374,-1724.695068,1427.469971,0.554878,0,0,0
OBJECT=3374,-1720.719971,1427.454102,0.558704,0,0,0
OBJECT=3374,-1716.753418,1427.408691,0.517652,0,0,0
OBJECT=1697,-1720.931396,1431.833374,-1.129608,0,0,270.000049375
OBJECT=1697,-1720.911987,1436.238281,-1.106821,0,0,270.000049375
OBJECT=1697,-1720.908569,1440.63562,-1.091391,0,0,270.000049375
OBJECT=1697,-1720.966187,1444.936279,-1.044054,0,0,270.000049375
OBJECT=16644,-1716.122192,1439.473511,0.155942,0,0,270.000049375
OBJECT=816,-1728.28186,1466.475464,6.159576,0,7.7349276,294.682890896
OBJECT=816,-1728.938477,1468.565674,6.134576,0,7.7349276,294.682890896
OBJECT=816,-1732.699097,1469.167969,6.084576,0,7.7349276,294.682890896
OBJECT=816,-1730.739136,1466.400635,6.109576,0,7.7349276,294.682890896
OBJECT=816,-1731.375977,1468.194336,6.184576,0,7.7349276,294.682890896
OBJECT=816,-1733.263306,1467.085327,6.434577,0,7.7349276,103.43276967
OBJECT=1225,-1458.455688,1499.18103,6.507318,0,0,0
OBJECT=1225,-1458.481689,1498.067139,6.507318,0,0,0
OBJECT=1225,-1458.522339,1496.891968,6.507318,0,0,0
OBJECT=1225,-1458.547363,1495.665771,6.507318,0,0,0
OBJECT=1225,-1458.547363,1494.492798,6.507318,0,0,0
OBJECT=1225,-1458.547363,1493.317871,6.507318,0,0,0
OBJECT=1225,-1458.547363,1492.067871,6.507318,0,0,0
OBJECT=1225,-1458.547363,1491.067871,6.507318,0,0,0
OBJECT=1225,-1458.547363,1489.84314,6.507318,0,0,0
OBJECT=1225,-1458.504028,1488.380371,6.507318,0,0,0
OBJECT=1225,-1457.678223,1487.554565,6.507318,0,0,0
OBJECT=1225,-1456.276855,1487.12915,6.507318,0,0,0
OBJECT=987,-1399.240601,1495.275635,4.533416,0,0,270.000049375
OBJECT=1225,-1383.848145,1494.67041,8.337034,0,0,0
OBJECT=1225,-1371.691162,1484.845337,3.069818,0,0,0
OBJECT=1228,-1431.438354,1489.319458,1.288316,0,359.1405636,30.080274
OBJECT=1228,-1435.972168,1489.691162,1.288316,0,359.1405636,288.830300899
OBJECT=1228,-1434.248413,1490.402222,1.288316,0,359.1405636,288.830300899
OBJECT=2931,-1424.292969,1484.082764,0.800598,0,0,270.000049375
