
Name=HighJump
Author=KillFrenzy
Description=See if you survive the first time
MinLevel=15
JoinCost=5000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=-1657.109985,-160.531921,13.912809

RunTime=240
WinBaseXP=300000
WinBaseCash=500000

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=451
VehicleHealth=10000.0
VehicleComponents=1010

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size,vehicletype
CP=-1127.958374,364.595062,13.250000,,9.0
CP=-878.605408,650.210022,2.941800,,6.0
CP=-1320.892090,1109.540527,0.312223,,6.0
CP=-1418.490967,1594.637451,2.781768,,6.0
CP=-1354.053833,1567.168945,3.108183,,6.0
CP=-1346.613525,713.134827,115.993073,,6.0
CP=-1327.254883,507.024109,17.234375,,6.0
CP=-1457.8082,501.6837,17.9751,,6.0

; Spawn Points
; If there are no spawn points, races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz
SPAWN=-1657.109985,-160.531921,13.912809,315.0
SPAWN=-1653.008423,-164.658707,13.912809,315.0
SPAWN=-1660.849976,-156.713257,13.912809,315.0
SPAWN=-1649.182861,-168.595703,13.912809,315.0
SPAWN=-1664.880981,-152.607834,13.912809,315.0
SPAWN=-1645.432007,-172.451508,13.912809,315.0
SPAWN=-1650.787476,-154.286591,13.912809,315.0
SPAWN=-1646.715698,-158.560852,13.912809,315.0
SPAWN=-1642.921875,-162.455154,13.912809,315.0
SPAWN=-1654.672974,-150.618668,13.912809,315.0
SPAWN=-1658.383057,-146.613312,13.912809,315.0
SPAWN=-1639.445190,-166.217880,13.912809,315.0
SPAWN=-1644.283081,-147.763123,13.912809,315.0
SPAWN=-1640.508423,-151.755875,13.912809,315.0
SPAWN=-1648.204956,-143.873840,13.912809,315.0
SPAWN=-1636.463013,-155.934357,13.912809,315.0
SPAWN=-1632.818604,-159.657486,13.912809,315.0
SPAWN=-1652.052490,-140.172485,13.912809,315.0
SPAWN=-1658.999756,-158.689697,13.912809,315.0
SPAWN=-1651.090454,-166.628448,13.912809,315.0
SPAWN=-1662.882935,-154.638489,13.912809,315.0
SPAWN=-1647.332397,-170.633545,13.912809,315.0
SPAWN=-1655.086548,-162.524323,13.912809,315.0
SPAWN=-1656.532593,-148.631119,13.912809,315.0
SPAWN=-1641.235352,-164.326797,13.912809,315.0
SPAWN=-1652.737183,-152.493103,13.912809,315.0
SPAWN=-1644.853882,-160.543961,13.912809,315.0
SPAWN=-1648.760132,-156.432404,13.912809,315.0
SPAWN=-1638.414063,-153.758148,13.912809,315.0
SPAWN=-1646.155518,-145.838287,13.912809,315.0
SPAWN=-1650.125366,-141.987122,13.912809,315.0
SPAWN=-1634.680420,-157.917938,13.912809,315.0

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=1634,-1038.3945,464.4301,14.6192,0.0000,0.0000,314.4499,300.0
OBJECT=1634,-1033.9705,468.7299,18.7086,15.4699,0.0000,314.4499,300.0
OBJECT=1634,-1035.6064,461.5450,14.6120,0.0000,0.0000,314.4499,300.0
OBJECT=1634,-1031.1943,465.8618,18.6908,15.4699,0.0000,314.4499,300.0
OBJECT=1634,-1031.1193,456.9196,14.6192,0.0000,0.0000,314.4499,300.0
OBJECT=1634,-1028.2476,453.9496,14.6192,0.0000,0.0000,314.4499,300.0
OBJECT=1634,-1026.7145,461.0825,18.6572,15.4699,0.0000,314.4499,300.0
OBJECT=1634,-1023.9894,458.2536,18.6387,15.4699,0.0000,314.4499,300.0
OBJECT=18450,-918.4869,556.6940,2.6010,0.0000,0.0000,222.5942,300.0
OBJECT=18450,-928.9285,568.1475,2.5958,0.0000,0.0000,222.5942,300.0
OBJECT=1634,-903.2744,594.6310,4.2369,0.0000,0.0000,314.4499,300.0
OBJECT=1634,-900.4064,591.6958,4.2369,0.0000,0.0000,314.4499,300.0
OBJECT=1634,-892.7014,583.4050,4.2421,0.0000,0.0000,314.4499,300.0
OBJECT=1634,-889.7900,580.4387,4.2421,0.0000,0.0000,314.4499,300.0
OBJECT=18450,-869.0655,638.0592,2.5981,0.0000,0.0000,307.6777,300.0
OBJECT=18450,-924.2450,691.5806,2.6074,0.0000,0.0000,324.0069,300.0
OBJECT=970,-849.0922,603.2484,3.4933,0.0000,0.0000,36.9558,300.0
OBJECT=970,-845.7752,605.7517,3.4933,0.0000,0.0000,36.9558,300.0
OBJECT=970,-842.5488,608.2041,3.4933,0.0000,0.0000,36.9558,300.0
OBJECT=970,-840.1089,610.0336,3.4933,0.0000,0.0000,36.9558,300.0
OBJECT=18450,-992.1658,728.8976,2.4697,0.0000,0.0000,338.6172,300.0
OBJECT=18450,-1055.8219,769.5380,2.4874,0.0000,0.0000,316.2720,300.0
OBJECT=18450,-1109.3455,826.3779,7.8130,0.0000,7.7349,310.2560,300.0
OBJECT=18450,-1155.1279,885.5747,29.0225,0.0000,24.0642,305.0995,300.0
OBJECT=18450,-1198.7211,947.0895,52.8699,0.0000,348.8273,125.5807,300.0
OBJECT=1634,-1222.6711,973.1115,60.1816,0.0000,0.0000,36.0963,300.0
OBJECT=1634,-1219.3032,975.5545,60.1899,0.0000,0.0000,36.0963,300.0
OBJECT=1634,-1216.0581,977.9019,60.2044,0.0000,0.0000,36.0963,300.0
OBJECT=18450,-1299.0940,1066.3323,0.0609,0.0000,0.0000,305.9589,300.0
OBJECT=18450,-1286.4968,1075.3307,0.0289,0.0000,0.0000,305.9589,300.0
OBJECT=18450,-1339.7931,1135.4285,-0.0315,0.0000,0.0000,305.9589,300.0
OBJECT=970,-1308.4412,1108.7596,0.9241,0.0000,358.2811,38.6747,300.0
OBJECT=970,-1305.3063,1111.4408,1.1261,0.0000,358.2811,38.6747,300.0
