
Name=Highway Menace
Author=Jdizzle
MinLevel=15
JoinCost=4000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=1296.888550,1813.011230,10.859189

RunTime=800
WinBaseXP=800000
WinBaseCash=13337
Weather=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=1240.851318,1928.785889,5.678122,0,
CP=1228.594604,2024.721680,5.734375,0,
CP=1225.944946,2171.159180,5.734375,0,
CP=1233.399292,2283.150879,5.734375,0,
CP=1315.682617,2421.959473,5.742078,0,
CP=1461.035400,2453.773193,5.734375,0,
CP=1613.833618,2459.596680,5.842404,0,
CP=1807.433716,2486.523438,5.820313,0,
CP=1966.326782,2532.598877,5.796875,0,
CP=2161.616699,2584.427490,5.769147,0,
CP=2390.256104,2616.780762,5.736746,0,
CP=2551.738037,2566.330078,3.913359,0,
CP=2694.199463,2361.081543,5.734375,0,
CP=2708.839600,2132.427002,5.742188,0,
CP=2708.602051,1947.690552,5.734374,0,
CP=2709.406494,1719.869385,5.734375,0,
CP=2711.099609,1507.225708,5.741999,0,
CP=2709.308350,1237.468018,5.741997,0,
CP=2693.854736,1038.249512,6.109376,0,
CP=2546.822998,880.806580,5.734375,0,
CP=2318.924805,852.697205,5.741999,0,
CP=1940.926025,850.183533,5.726670,0,
CP=1619.519409,843.664429,5.709157,0,
CP=1314.653442,831.246948,6.409678,0,
CP=950.683228,731.993408,9.679520,0,
CP=716.305176,664.524231,9.077123,0,
CP=375.759247,757.105225,5.135215,0,
CP=147.772095,692.211609,5.082548,0,
CP=-101.068550,579.518005,14.144654,0,
CP=-431.614319,568.815674,16.412590,0,
CP=-599.400696,634.005798,15.645010,0,
CP=-849.353394,762.160156,18.401783,0,
CP=-924.310547,1015.446167,20.322130,0,
CP=-992.936646,1150.033203,30.387228,0,
CP=-1119.186035,1115.518433,36.717140,0,
CP=-1356.031860,860.514160,46.029934,0,
CP=-1562.121094,643.200317,42.266624,0,
CP=-1755.105103,446.068970,37.371323,0,
CP=-1868.046387,202.592773,37.352592,0,
CP=-1896.074951,-127.422729,37.236073,0,
CP=-1897.060791,-453.229218,37.234375,0,
CP=-1896.348511,-730.983154,43.114697,0,
CP=-1898.077637,-1052.164551,37.234375,0,
CP=-1854.170776,-1231.268555,38.265610,0,
CP=-1869.777466,-1156.492798,29.206789,0,
CP=-1976.264526,-1114.231323,30.303514,0,
CP=-1986.560303,-1093.322388,31.176231,0,
CP=-1983.401978,-1196.390503,38.484375,0,
CP=-1913.646973,-1253.143188,38.476563,0,
CP=-1907.039551,-1366.535400,39.179688,0,
CP=-1780.505005,-1446.105347,33.929153,0,
CP=-1588.162231,-1514.586914,36.734375,0,
CP=-1554.403320,-1603.735962,36.734375,0,
CP=-1643.866089,-1630.235107,35.257813,0,
CP=-1795.880005,-1704.538818,28.764576,0,
CP=-1931.866089,-1800.692993,30.977703,0,
CP=-2099.614014,-2059.559570,62.759968,0,
CP=-2231.631348,-2188.713623,37.115467,0,
CP=-2442.406006,-2300.929932,13.429890,0,
CP=-2425.642090,-2474.366943,35.835255,0,
CP=-2313.977051,-2592.827148,46.417248,0,
CP=-2010.300659,-2618.110840,58.808266,0,
CP=-1792.908325,-2576.587402,54.177227,0,
CP=-1639.787231,-2712.857422,47.941406,0,
CP=-1533.276978,-2794.551270,46.092896,0,
CP=-1308.420532,-2872.444824,57.622551,0,
CP=-1077.780273,-2851.756836,66.718750,0,
CP=-712.973206,-2754.613281,72.300201,0,
CP=-485.859192,-2755.729980,65.188210,0,
CP=-149.860046,-2821.998779,39.188805,0,
CP=-32.968513,-2635.317871,42.314877,0,
CP=-133.906296,-2445.615234,36.093365,0,
CP=-271.203735,-2302.857422,29.516256,0,
CP=-343.853638,-2129.943848,27.368160,0,
CP=-374.901398,-1945.181396,27.150135,0,
CP=-294.068481,-1675.577515,13.927892,0,
CP=-102.300545,-1410.225342,11.455503,0,
CP=96.479118,-1249.385620,13.662885,0,
CP=289.588898,-1152.842651,21.118708,0,
CP=627.624329,-1187.164307,17.595650,0,
CP=653.908813,-1225.493408,16.014282,0,
CP=663.738953,-1298.369507,12.460938,0,
CP=641.106140,-1326.549194,12.392713,0,
CP=631.539124,-1469.451416,13.392931,0,
CP=632.129883,-1687.291748,14.163977,0,
CP=669.153442,-1741.221802,12.465141,0,
CP=775.620850,-1766.713379,11.958263,0,
CP=939.502563,-1774.759399,12.700961,0,
CP=1050.029053,-1818.206543,12.586639,0,
CP=1060.554688,-1977.863892,11.937002,0,
CP=1034.748535,-2171.535645,11.965205,0,
CP=1112.815430,-2359.745850,10.870514,0,
CP=1297.484863,-2461.625732,6.664063,0,
CP=1326.865479,-2524.448242,12.375000,0,
CP=1366.583374,-2648.798584,12.382092,0,
CP=1535.192383,-2683.307373,7.232092,0,
