; Converted Sun, 11 Apr 10 19:44:46 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2526.2268,-2323.0200,23.1911
MinLevel=1
JoinCost=10101
WinBaseXP=3500000
WinBaseCash=3000000

Name=Hybrid
Author=DazMaz
Description=Stunting... ohshi- long race... even more ohshi-
RunTime=960
Weather=2
Time=14:56

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2540.289551,-2326.256836,50.088406,228
SPAWN=2541.082031,-2325.477783,50.088406,228
SPAWN=2539.019531,-2324.252686,50.088406,228
SPAWN=2528.542969,-2337.941895,50.088406,228
SPAWN=2529.265137,-2337.194824,50.088406,228
SPAWN=2527.621582,-2336.273438,50.088406,228
SPAWN=2522.710938,-2315.238281,23.330021,228
SPAWN=2521.941406,-2316.426758,23.318874,228
SPAWN=2521.145996,-2317.460693,23.312538,228

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2602.78125,-2351.261719,12.63612,0,8
CP=2600.208984,-2363.167236,28.958672,1,8
CP=2589.115723,-2337.682373,36.720161,1,8
CP=2578.415527,-2326.877197,44.556648,1,8
CP=2588.479004,-2340.561279,52.441895,1,8
CP=2587.88501,-2367.862793,54.298031,1,8
CP=2585.908691,-2395.763428,54.298031,1,8
CP=2604.94043,-2407.461182,54.446468,1,8
CP=2587.680176,-2417.464111,54.446468,1,8
CP=2570.44043,-2406.862793,54.439552,1,8
CP=2554.871094,-2422.668213,54.291115,1,8
CP=2533.716064,-2417.154297,54.291115,1,8
CP=2501.128906,-2403.675293,57.121632,1,8
CP=2471.967529,-2404.16626,62.015072,1,8
CP=2456.019287,-2400.770264,64.73011,1,8
CP=2435.686279,-2387.478516,65.032486,1,8
CP=2435.304199,-2350.170166,83.053101,1,8
CP=2427.343994,-2346.42749,79.276703,1,8
CP=2391.29541,-2353.601807,61.588791,1,8
CP=2324.06543,-2337.783936,8.182813,0,8
CP=2279.631592,-2294.285889,12.375,0,8
CP=2179.746582,-2358.845703,12.379276,0,8
CP=2141.067139,-2221.924072,12.38991,0,8
CP=2045.929321,-2156.356445,12.546875,0,8
CP=2057.286377,-2144.497559,12.632813,0,8
CP=2027.979004,-2146.299805,18.834427,0,8
CP=2033.25,-2124.667236,18.834419,0,8
CP=2077.166748,-2143.050293,19.046875,0,8
CP=2139.952148,-2133.463867,12.546875,0,8
CP=2200.446045,-2159.828857,12.390596,0,8
CP=2260.088135,-2100.96875,12.75,0,8
CP=2211.074219,-2055.156738,12.648438,0,8
CP=2137.767822,-1980.406616,12.546875,0,8
CP=2063.108643,-1954.573608,12.546875,0,8
CP=1880.057373,-1954.73584,12.554666,0,8
CP=1743.581299,-1954.698608,12.546875,0,8
CP=1646.826782,-1955.963745,12.546875,0,8
CP=1470.972778,-1955.868652,12.546875,0,8
CP=1309.564819,-1906.93042,-1.57447,0,8
CP=1175.223145,-1757.565918,-5.413236,0,8
CP=1001.620972,-1559.297607,-3.905311,0,8
CP=843.849487,-1394.959717,-2.604462,0,8
CP=827.125916,-1354.886597,-1.419415,0,8
CP=838.10968,-1342.31897,6.171875,0,8
CP=818.958008,-1340.569336,12.524338,0,8
CP=797.705505,-1320.420166,12.382813,0,8
CP=776.943115,-1344.205078,12.53162,0,8
CP=738.239929,-1353.91626,12.56208,0,8
CP=732.935547,-1354.50769,17.8125,0,8
CP=735.04834,-1352.671875,23.456362,0,8
CP=745.180786,-1366.14209,24.692211,0,8
CP=721.739929,-1359.375244,28.002541,0,8
CP=700.82489,-1357.802612,27.941795,0,8
CP=677.655151,-1357.684326,28.025585,0,8
CP=649.616821,-1369.487427,20.812519,0,8
CP=598.661133,-1399.765137,12.398438,0,8
CP=483.916779,-1439.147095,17.813309,0,8
CP=436.329834,-1464.719238,29.40625,0,8
CP=325.626678,-1581.001953,32.109375,0,8
CP=236.913406,-1566.85791,32.039097,0,8
CP=135.28064,-1546.200439,8.082731,0,8
CP=-21.40797,-1516.500488,0.827274,0,8
CP=-135.863907,-1468.499756,2.039063,0,8
CP=-148.425812,-1362.851685,1.695313,0,8
CP=-114.461975,-1172.196167,1.702772,0,8
CP=-96.829803,-1059.5177,16.028206,0,8
CP=-124.225113,-1001.9599,21.766148,0,8
CP=-184.866791,-940.137939,32.372517,0,8
CP=-301.377777,-872.329346,45.84166,0,8
CP=-412.551514,-823.363464,47.222672,0,8
CP=-466.946289,-837.953918,49.720463,0,8
CP=-509.273529,-831.214417,64.350174,0,8
CP=-538.470886,-795.293457,80.786255,0,8
CP=-555.943726,-772.035156,76.063766,0,8
CP=-593.538757,-716.851013,41.798286,0,8
CP=-668.395081,-633.616394,40.526192,0,8
CP=-732.662659,-582.862671,41.967522,0,8
CP=-790.216125,-534.823059,35.636612,0,8
CP=-871.912354,-476.27829,23.157749,0,8
CP=-958.536865,-444.225922,32.705498,0,8
CP=-1052.278198,-453.748657,34.412384,0,8
CP=-1131.821899,-538.110535,29.100565,0,8
CP=-1176.325684,-661.254761,45.128746,0,8
CP=-1229.798584,-768.709106,62.906303,0,8
CP=-1166.555542,-832.36969,65.500809,0,8
CP=-1036.77478,-965.276672,86.990639,0,8
CP=-906.436035,-1098.283081,97.39563,0,8
CP=-892.550903,-1201.049561,106.452934,0,8
CP=-896.097778,-1251.90271,111.199791,0,8
CP=-924.199402,-1385.689697,125.078407,0,8
CP=-912.118164,-1479.664673,121.510391,0,8
CP=-890.304138,-1543.521484,121.417976,0,8
CP=-854.180298,-1557.964478,126.426491,0,8
CP=-877.684937,-1624.696167,109.512115,0,8
CP=-951.942749,-1628.992676,77.065536,0,8
CP=-962.999023,-1719.360962,76.570313,0,8
CP=-1069.863037,-1644.42395,75.316154,0,8
CP=-1102.031738,-1649.987915,75.367188,0,8
CP=-1130.145264,-1649.98938,75.367188,0,8
CP=-1179.616943,-1672.407959,88.784828,0,8
CP=-1340.233276,-1674.490845,44.473244,0,8
CP=-1505.536255,-1611.550537,39.077389,0,8
CP=-1630.493286,-1620.096558,35.257813,0,8
CP=-1733.485596,-1664.235718,35.257813,0,8
CP=-1803.189697,-1709.260132,28.408386,0,8
CP=-1881.65332,-1757.782959,28.232586,0,8
CP=-1947.598877,-1810.095703,32.552826,0,8
CP=-2001.743408,-1874.135132,42.216072,0,8
CP=-2068.56665,-1976.930786,57.127686,0,8
CP=-2109.585205,-2080.459473,61.679989,0,8
CP=-2207.008057,-2172.901855,42.088432,0,8
CP=-2324.07959,-2193.619873,31.947575,0,8
CP=-2275.686523,-2147.550049,51.742779,0,8
