; Converted Tue, 13 Apr 10 15:41:06 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2834.8169,-2530.1433,17.9334
MinLevel=0
JoinCost=15000
WinBaseXP=500000
WinBaseCash=500000

Name=Infernus vs. NRG-500
Author=AFX
Description=Make sure you go as fast as possible, oh and make sure you have fun! :D
RunTime=180
Weather=1
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3286.071777,-3235.970215,32.393852,288
SPAWN=3288.140137,-3185.718506,32.393852,243
SPAWN=3286.444336,-3238.113281,32.393852,292
SPAWN=3287.285156,-3187.028564,32.393852,244
SPAWN=3285.585693,-3231.804199,32.393852,279
SPAWN=3285.614746,-3190.393311,32.393852,250
SPAWN=3285.664795,-3233.990723,32.393852,282
SPAWN=3286.22168,-3188.606934,32.393852,243

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=4033.499756,-3720.318848,5.398178,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=4006,3322.437744,-3210.700684,26.553894,0,0,0
OBJECT=17533,3302.083008,-3217.498291,-4.078596,0,0,0
OBJECT=10948,3398.006836,-3209.227051,53.375496,0,0,318.7470528
OBJECT=1633,3309.091064,-3228.716309,33.339561,6.8754912,0,288.666836096
OBJECT=1633,3315.083984,-3226.687744,38.107773,30.9397104,0,288.666836096
OBJECT=1633,3311.312988,-3197.113525,33.358727,6.8754912,0,244.835636992
OBJECT=1633,3317.262451,-3199.850342,38.036644,30.9397104,0,245.695073392
OBJECT=1633,3381.529053,-3247.970215,49.106979,0,0,228.5062308
OBJECT=1633,3374.958008,-3178.056152,49.081978,0,0,317.887673696
OBJECT=1633,3380.177246,-3172.693604,52.530357,14.6104188,4.297182,314.449928096
OBJECT=1633,3384.950684,-3168.5,57.563988,27.5019648,6.8754912,311.012182496
OBJECT=1633,3389.227539,-3165.832764,63.932526,41.2529472,14.6104188,303.277312192
OBJECT=1633,3393.283936,-3164.321533,70.8992,45.5500719042,24.0642192,298.120693792
OBJECT=1633,3397.1604,-3163.767578,78.305878,51.5661267042,28.3614012,288.666893392
OBJECT=1633,3400.81958,-3164.328857,85.386879,49.8472539042,38.674638,277.494220192
OBJECT=3374,3383.718018,-3198.989014,73.350693,0,0,0
OBJECT=3374,3383.719482,-3198.984863,76.350693,0,0,0
OBJECT=3374,3383.746094,-3201.704102,79.350693,0,0,0
OBJECT=3374,3383.705566,-3204.480957,76.363647,0,0,0
OBJECT=3374,3383.715332,-3204.484619,73.380356,0,0,0
OBJECT=3374,3383.483643,-3209.320557,73.353851,0,0,0
OBJECT=3374,3383.400879,-3209.327637,76.353851,0,0,0
OBJECT=3374,3383.348145,-3209.354492,79.353851,0,0,0
OBJECT=3374,3383.366455,-3213.331055,79.32209,0,0,0
OBJECT=3374,3383.42041,-3213.329102,74.832893,0,0,0
OBJECT=3374,3383.485596,-3218.462891,73.353851,0,0,0
OBJECT=3374,3383.532471,-3221.227783,76.385704,0,0,0
OBJECT=3374,3383.509277,-3223.877686,73.353851,0,0,0
OBJECT=3374,3383.510498,-3223.858398,79.479057,0,0,0
OBJECT=3374,3383.5354,-3218.530762,79.395943,0,0,0
OBJECT=1633,3437.09082,-3215.047607,96.731995,0,0,317.8876164
OBJECT=1633,3444.79248,-3193.661377,95.230469,342.811272,0,228.506173504
OBJECT=1633,3439.258789,-3212.649902,97.716354,6.0160548,0,317.8876164
OBJECT=4550,3293.307617,-3266.564209,52.400909,0,0,349.6867632
OBJECT=4550,3303.313477,-3159.32373,54.712639,0,0,12.0321096
OBJECT=4564,3264.23999,-3211.705566,111.668655,0,0,0
OBJECT=5297,3494.337891,-3151.079346,64.74852,0,342.811272,228.506116208
OBJECT=5297,3546.952393,-3091.880615,39.910362,0,17.188728,48.1283811042
OBJECT=1633,3451.04248,-3199.18042,94.568344,337.6546536,0,228.506173504
OBJECT=1633,3457.201172,-3204.614502,93.176376,332.4980352,0,228.506173504
OBJECT=1633,3463.29248,-3209.991699,91.031105,327.3414168,0,228.506173504
OBJECT=1633,3469.193848,-3215.200684,88.233101,323.0442348,0,228.506173504
OBJECT=1633,3474.997803,-3220.297607,84.999413,320.4659256,0,228.506173504
OBJECT=1633,3387.544434,-3252.965088,51.778885,6.0160548,356.5622544,230.2251036
OBJECT=1633,3393.048584,-3256.780762,55.44474,18.9076008,350.5461996,235.381779296
OBJECT=1633,3398.544922,-3259.607422,60.749855,30.080274,343.6707084,240.538397696
OBJECT=1633,3403.769775,-3261.415771,67.018761,36.0963288,337.6546536,247.413946192
OBJECT=1633,3408.314453,-3261.886963,73.797684,47.2689447042,328.2008532,256.867689296
OBJECT=1633,3411.988037,-3261.133301,81.410378,55.8633087042,320.4659256,264.602616896
OBJECT=1633,3414.738037,-3258.104004,87.955849,50.7066903042,284.369654096,304.996127696
OBJECT=5436,3610.508057,-3021.141846,25.266142,349.6867632,0,317.8876164
OBJECT=1633,3480.791504,-3225.44751,82.24781,327.3414168,0,228.506173504
OBJECT=1633,3486.947021,-3230.925537,80.22773,332.4980352,0,228.506173504
OBJECT=5442,3625.394287,-3004.973877,26.526747,0,0,47.2689447042
OBJECT=5442,3646.317383,-2986.787354,27.415163,2.5783092,357.4216908,40.3935108
OBJECT=5442,3655.776611,-2982.855713,28.315163,6.8754912,355.702818,34.377456
OBJECT=5442,3672.366211,-2976.918945,30.443195,13.7509824,352.2650724,26.6425284
OBJECT=5442,3687.151367,-2978.246338,34.13208,23.2047828,345.3895812,14.6104188
OBJECT=1633,3492.973633,-3236.236572,78.975761,337.6546536,0,228.506173504
OBJECT=1633,3499.219482,-3241.756348,78.464417,342.811272,0,228.506173504
OBJECT=1633,3505.436035,-3247.273926,78.851936,349.6867632,0,228.506173504
OBJECT=1633,3511.536621,-3252.662598,79.984978,353.9839452,0,228.506173504
OBJECT=1633,3517.718262,-3258.1521,81.95607,0,0,228.506173504
OBJECT=1633,3519.198975,-3259.466064,82.511147,9.4538004,0,228.506173504
OBJECT=1633,3521.309326,-3261.32959,83.889343,20.6264736,0,228.506173504
OBJECT=1633,3648.641113,-3376.393311,4.400935,323.0442348,0,228.506173504
OBJECT=1633,3653.635254,-3380.753174,2.363953,330.7791624,0,228.506173504
OBJECT=1633,3653.688965,-3380.818604,2.623158,338.51409,0,228.506173504
OBJECT=1633,3655.025879,-3381.993164,2.716192,347.9678904,0,228.506173504
OBJECT=1633,3659.951416,-3386.331543,3.4755,353.9839452,0,228.506173504
OBJECT=1633,3663.369385,-3389.35376,4.438501,357.4216908,0,228.506173504
OBJECT=10767,3729.565674,-3448.323486,-9.177532,0,0,273.1969236
OBJECT=10767,3669.053467,-3394.147949,-80.823357,44.6906355042,279.969365341,310.806427352
OBJECT=5442,3693.100586,-2984.795898,36.416126,34.377456,341.0923992,359.1405636
OBJECT=5442,3699.374023,-2993.039063,39.349426,41.2529472,337.6546536,347.108454
OBJECT=5442,3698.986816,-3000.762939,40.949692,41.2529472,336.7952172,329.0602896
OBJECT=5442,3702.442871,-3014.313232,39.873848,48.9878175042,350.5461996,304.996127696
OBJECT=5442,3703.216797,-3006.029785,46.033623,67.8954183042,350.5461996,304.996127696
OBJECT=5442,3723.494629,-3056.59082,49.231712,67.0359819042,349.6867632,296.401763696
OBJECT=5442,3726.075195,-3109.273926,40.366745,24.9236556,0,275.775290096
OBJECT=5442,3724.756348,-3076.79541,43.711365,38.674638,0,285.229090496
OBJECT=5442,3723.84082,-3128.605713,39.510307,12.0321096,0,274.915853696
OBJECT=5442,3720.657959,-3140.314941,38.800102,6.0160548,0,274.915853696
OBJECT=5442,3718.972168,-3172.624756,38.431847,0.8594364,0,274.915853696
OBJECT=5442,3724.176758,-3231.83667,35.269951,0,6.0160548,274.915853696
OBJECT=5442,3729.136963,-3291.113037,28.31266,357.4216908,6.8754912,274.915853696
OBJECT=5442,3735.064209,-3349.685059,20.266855,357.4216908,8.594364,277.494162896
OBJECT=5442,3743.757324,-3407.366211,9.477367,355.702818,12.0321096,280.931908496
OBJECT=5442,3746.657227,-3421.316406,8.515141,0,7.7349276,280.931908496
OBJECT=10767,3855.432861,-3560.868896,-9.198269,0,0,273.1969236
OBJECT=10767,3981.207031,-3673.317627,-9.219009,0,0,273.1969236
OBJECT=10767,4049.626709,-3734.346924,-52.276794,44.6906355042,279.969365341,310.806427352
OBJECT=10767,4109.933594,-3788.546631,19.435221,0,0,273.1969236

; Format:
; 	PICKUPREPAIR=x,y,z
; 	PICKUPNITRO=x,y,z
; 	PICKUPVEHICLE=vehicletype,x,y,z
PICKUPVEHICLE=411,3445.26709,-3206.304443,101.479485
PICKUPNITRO=3491.302979,-3154.502441,66.875565
PICKUPNITRO=3495.447998,-3157.085449,66.409454
PICKUPNITRO=3488.20166,-3150.642578,66.39592
