; Converted Thu, 03 Jun 10 03:45:07 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1384.003418,-911.174927,34.804939,0
MinLevel=0
JoinCost=1000
WinBaseXP=2000000
WinBaseCash=2000000

Name=Injection Erection
Author=Chet
Description=Crackafatti
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=424

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1384.003418,-911.174927,34.804939,360
SPAWN=1381.522583,-910.899231,34.76292,360
SPAWN=1386.505737,-910.77655,34.907642,360
SPAWN=1378.771851,-908.872742,35.121441,360
SPAWN=1374.281128,-906.067078,35.173847,360
SPAWN=1369.974731,-903.011963,35.40258,360
SPAWN=1376.849121,-906.492432,35.344421,360
SPAWN=1389.503784,-909.105835,35.364235,357

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1401.991943,-862.059448,46.927086,1,2.4
CP=1415.059692,-835.015686,60.277584,1,1.6
CP=1434.939331,-834.980103,59.752659,1,1.6
CP=1449.333862,-838.749939,57.046627,0,2.4
CP=1490.665649,-866.568604,59.205231,0,0.64
CP=1513.362549,-822.115601,68.541115,0,4
CP=1495.795166,-773.487732,84.362617,0,2.4
CP=1457.572144,-738.102478,93.148949,0,3.2
CP=1345.733398,-699.090637,90.653931,0,3.2
CP=1209.062988,-748.879883,97.838882,0,3.2
CP=997.608887,-789.225952,99.366409,0,3.2
CP=928.063721,-788.037109,112.34343,0,3.2
CP=961.58606,-793.77594,104.174461,0,2.4
CP=1311.164185,-709.931519,91.76783,0,3.2
CP=1507.036987,-677.327698,105.318184,1,5.6
CP=1671.727051,-656.464722,49.818775,0,2.4
CP=1733.318115,-652.913757,57.29797,1,3.2
CP=1761.211182,-687.247375,83.480034,1,5.6
CP=1732.755493,-730.090332,50.186234,0,8
CP=1725.35022,-795.751587,55.24844,1,0.8
CP=1810.380005,-850.595154,78.493973,1,8
CP=1871.213501,-844.394348,99.374481,1,8
CP=1964.803711,-835.887878,128.043991,1,4
CP=2065.814697,-751.992371,123.478035,1,6.4
CP=2170.612549,-659.769165,62.453552,0,8
CP=2124.193604,-628.940491,62.187817,0,8
CP=2070.036133,-583.266724,73.8806,0,8
CP=1977.960449,-502.647949,79.675705,1,4
CP=1884.132324,-456.097809,22.828825,0,8
CP=1880.6604,-548.509583,28.057772,0,8
CP=1903.195313,-590.878967,35.707394,0,8
CP=1918.607422,-554.086304,21.338974,0,8
CP=1869.688477,-485.705444,23.139791,0,8
CP=1907.339722,-476.167908,17.76429,0,8
CP=1944.740112,-604.062927,29.478638,0,8
CP=1964.019409,-624.203674,43.544369,1,8
CP=1955.199585,-629.094238,49.238407,1,4

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1633,1400.764282,-869.458008,43.426834,0,0,350.5461996
OBJECT=1633,1401.949219,-862.031189,45.918655,4.297182,0,350.5461996
OBJECT=1633,1403.046265,-855.345703,49.393463,15.4698552,0,350.5461996
OBJECT=1633,1404.029053,-849.498352,54.257538,28.3614012,0,350.5461996
OBJECT=1633,1400.224365,-873.022461,42.439049,357.4216908,0,350.5461996
OBJECT=1633,1399.816284,-875.717224,41.134041,6.0160548,350.5461996,351.405636
OBJECT=1634,1395.011597,-888.782227,37.957153,0,0,333.3574716
OBJECT=5152,1404.553589,-845.601074,58.046421,1.7188728,344.5301448,81.646458
OBJECT=5152,1405.544922,-846.131775,57.649632,1.7188728,344.5301448,81.646458
OBJECT=5152,1403.558838,-845.968811,57.787907,1.7188728,338.51409,81.646458
OBJECT=1267,1400.238647,-837.64563,62.568954,0,100.5540588,0
OBJECT=1894,1437.913696,-836.356506,57.558952,0,0,0
OBJECT=1634,1450.660889,-687.723267,91.280762,13.7509824,0,280.9318512
OBJECT=13647,1707.504272,-654.407959,46.486771,177.79908213,16.3292916,0.8594364
OBJECT=13647,1707.282349,-652.642456,46.271786,177.79908213,16.3292916,0.8594364
OBJECT=13647,1743.116333,-651.562683,60.047508,177.79908213,24.9236556,0.8594364
OBJECT=13647,1743.400146,-653.409668,60.015289,177.79908213,24.0642192,0.8594364
OBJECT=18367,1750.683838,-653.40741,62.906044,341.092284608,345.3895812,21.48591
OBJECT=18367,1751.857666,-651.002686,63.033066,341.9518356,343.6707084,18.9076008
OBJECT=13645,1752.438599,-652.256531,64.804749,21.48591,0,282.650953183
OBJECT=3364,1762.454834,-683.224365,75.638115,0,354.8433816,357.4216908
OBJECT=1225,1764.760376,-693.890503,71.832382,0,0,0
OBJECT=1225,1764.770752,-692.55127,73.002655,0,0,0
OBJECT=1225,1765.060547,-694.945618,70.328262,0,0,0
OBJECT=1225,1765.120117,-695.781677,69.810219,0,0,0
OBJECT=1225,1764.900146,-695.634521,69.761086,0,0,0
OBJECT=1225,1764.834106,-695.699646,69.673431,0,0,0
OBJECT=1225,1764.817017,-696.670593,69.014069,0,0,0
OBJECT=1225,1764.817017,-696.670593,69.014069,0,0,0
OBJECT=1225,1764.859741,-697.453613,68.520126,0,0,0
OBJECT=1225,1764.893799,-698.078674,68.125847,0,0,0
OBJECT=1225,1764.90564,-698.294739,67.989548,0,0,0
OBJECT=1225,1764.854126,-698.823303,67.602287,0,0,0
OBJECT=1225,1764.890137,-699.527161,67.156715,0,0,0
OBJECT=1225,1764.915405,-700.019775,66.844879,0,0,0
OBJECT=1225,1764.955078,-700.796509,66.353157,0,0,0
OBJECT=1225,1764.983032,-701.341431,66.008171,0,0,0
OBJECT=1225,1764.997437,-701.622559,65.830208,0,0,0
OBJECT=1225,1765.0271,-702.203064,65.46273,0,0,0
OBJECT=1225,1765.058228,-702.809204,65.079018,0,0,0
OBJECT=1225,1765.058228,-702.809204,65.079018,0,0,0
OBJECT=1225,1765.001465,-703.580444,64.515266,0,0,0
OBJECT=1225,1765.118408,-706.026062,62.565632,0,0,0
OBJECT=1225,1765.118408,-706.026062,62.565632,0,0,0
OBJECT=1225,1765.118408,-706.026062,62.565632,0,0,0
OBJECT=1225,1764.805664,-701.344727,66.192055,0,0,0
OBJECT=1225,1764.805664,-701.344727,66.192055,0,0,0
OBJECT=1225,1765.106201,-708.09436,60.776955,0,0,0
OBJECT=1225,1765.045166,-706.72406,61.953854,0,0,0
OBJECT=1225,1765.090576,-703.442749,64.677956,0,0,0
OBJECT=1225,1765.319214,-707.90625,61.205853,0,0,0
OBJECT=1225,1765.319214,-707.90625,61.205853,0,0,0
OBJECT=1225,1764.987183,-701.423584,66.259613,0,0,0
OBJECT=1225,1765.090576,-703.442749,64.677956,0,0,0
OBJECT=1225,1765.153809,-704.676086,63.767365,0,0,0
