; Converted Sun, 11 Apr 10 20:00:10 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1281.0223,885.3733,6.8125
MinLevel=1
JoinCost=6969
WinBaseXP=1337000
WinBaseCash=1000000

Name=Innerstate
Author=Chv
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1280.143799,883.717896,6.6125,228
SPAWN=1278.135376,881.642212,6.6125,230
SPAWN=1287.642334,881.731262,6.6125,233
SPAWN=1285.796997,879.801086,6.6125,233
SPAWN=1289.854858,884.393188,6.6125,233
SPAWN=1284.851074,888.101196,6.6125,233
SPAWN=1281.965942,885.861206,6.612499,233
SPAWN=1283.485107,877.42981,6.6125,242

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1331.276001,854.443848,5.8125,0,8
CP=1387.026733,841.210083,5.8125,0,8
CP=1556.334839,836.253784,5.8125,0,8
CP=1788.108643,835.827881,9.671873,0,8
CP=1979.216553,837.934021,5.742153,0,8
CP=2196.626953,837.284302,5.741999,0,8
CP=2442.738037,838.065063,5.734375,0,8
CP=2602.116699,890.047363,5.734375,0,8
CP=2703.265137,1016.301331,5.734375,0,8
CP=2727.358154,1308.114136,5.734375,0,8
CP=2725.939209,1635.969849,5.742001,0,8
CP=2727.271973,1923.56189,5.741999,0,8
CP=2727.361328,2187.208496,5.742188,0,8
CP=2700.615234,2416.420898,5.734375,0,8
CP=2562.052002,2578.453125,3.929338,0,8
CP=2423.820068,2628.686035,5.397508,0,8
CP=2152.544189,2599.900146,5.771473,0,8
CP=1928.786133,2539.913086,5.807125,0,8
CP=1659.126221,2481.084473,5.835938,0,8
CP=1476.090088,2473.796631,5.734375,0,8
CP=1273.400879,2411.736328,5.734375,0,8
CP=1211.419678,2253.567139,5.734375,0,8
CP=1210.116089,2135.616699,5.734375,0,8
CP=1208.423584,1836.520752,5.734375,0,8
CP=1208.663818,1580.389282,5.734375,0,8
CP=1209.057495,1253.966187,5.741995,0,8
CP=1204.283203,1050.453003,5.8125,0,8
CP=1162.949341,910.68335,9.683121,0,8
CP=1055.671509,806.058411,9.714051,0,8
CP=910.655518,729.512878,9.778066,0,8
CP=1081.092407,790.706299,9.738586,0,8
CP=1355.247437,833.446045,5.83078,0,8
CP=1578.756226,831.961121,5.741517,0,8
CP=1783.753418,828.093506,9.671875,0,8
CP=1767.059937,649.330017,18.044426,0,8
CP=1664.561646,333.966858,29.242077,0,8
CP=1606.331055,86.421333,36.664524,0,8
CP=1657.159058,-219.238068,35.947891,0,8
CP=1701.696045,-564.448547,35.382362,0,8
CP=1659.904907,-936.080994,61.457996,0,8
CP=1620.229004,-1198.516235,52.269939,0,8
CP=1593.499023,-1483.527954,27.585938,0,8
CP=1613.857544,-1818.517944,25.525394,0,8
CP=1633.451416,-2049.319824,20.28595,0,8
CP=1362.70105,-2156.733887,12.382813,0,8
CP=1333.03772,-2355.079102,12.375,0,8
CP=1348.354736,-2625.467285,12.375,0,8
CP=1567.099243,-2683.611816,5.406163,0,8
CP=1764.092285,-2682.898193,4.896553,0,8
