; Converted Wed, 23 Jun 10 08:09:24 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=173.6111,2794.0002,68.5230
MinLevel=0
JoinCost=7500
WinBaseXP=275000
WinBaseCash=275000

Name=Junkyard Isle
Author=Chet09
RunTime=1000
Weather=8
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=568

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=268.042419,2813.107666,27.857626,360
SPAWN=265.196747,2807.90332,29.082607,360
SPAWN=258.606781,2819.503906,27.007639,360
SPAWN=262.886322,2820.855469,26.457647,360
SPAWN=261.018829,2812.500732,28.332619,360
SPAWN=259.688507,2806.294434,30.132591,360
SPAWN=255.574036,2811.10498,30.132591,360
SPAWN=254.620605,2821.864014,27.507608,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=260.437256,2848.525635,19.108421,0,8
CP=257.766388,2952.75293,-0.382177,0,8
CP=251.321869,3003.9729,6.09166,0,8
CP=240.329437,3051.011475,11.915335,0,8
CP=273.799438,3042.504883,14.112036,0,8
CP=319.018494,2977.32251,30.140722,0,8
CP=298.887024,3077.786621,10.814323,0,8
CP=252.056946,3418.476318,5.282314,0,8
CP=217.491089,3548.608398,14.088322,0,8
CP=120.27285,3624.898926,5.108753,0,8
CP=27.123564,3624.175049,1.013025,0,8
CP=24.68376,3497.30542,0.48801,0,8
CP=29.146626,3437.976074,0.238623,0,8
CP=40.98024,3369.143799,21.771721,0,8
CP=41.124878,3298.55249,36.915436,0,8
CP=44.806362,3233.015869,38.573601,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3996,254.048767,2970.631592,4.161898,358.2811272,356.5622544,94.538004
OBJECT=3995,258.264038,3050.243164,9.747955,0,0,304.136691296
OBJECT=3995,303.014679,2995.233398,18.679379,0,15.4698552,122.795496304
OBJECT=3994,304.001312,3058.013184,13.173199,0,6.8754912,105.7106772
OBJECT=3991,282.039764,3183.011475,3.110283,0,0,0
OBJECT=3991,267.550293,3338.824463,3.261529,0,0,0
OBJECT=4125,258.505188,3461.288086,11.762892,0,359.1405636,274.9157964
OBJECT=4127,196.373932,3577.976807,7.294005,3.4377456,347.9678904,269.759120704
OBJECT=4131,116.157524,3624.940674,-4.448301,0,0,317.02818
OBJECT=1369,54.331818,3614.622803,1.406986,0,0,0
OBJECT=1371,81.158333,3630.260498,1.327862,0,0,0
OBJECT=1371,87.428146,3617.418213,1.509369,0,0,194.988153904
OBJECT=3593,72.666832,3621.866943,0.351866,0,0,0
OBJECT=3593,77.371391,3619.857666,-0.018152,0,0,0
OBJECT=3593,77.035912,3612.908936,0.157138,0,0,0
OBJECT=3593,73.561844,3613.867188,0.268024,0,0,0
OBJECT=3593,68.879303,3621.953369,0.335328,0,0,0
OBJECT=3593,70.210052,3614.041748,-0.053865,0,0,0
OBJECT=3593,76.492599,3626.812256,-0.163489,0,0,0
OBJECT=3593,67.289932,3617.173584,0.363239,0,0,0
OBJECT=3593,65.515884,3622.238037,0.641513,0,0,0
OBJECT=3593,64.693306,3617.029785,0.641034,0,0,0
OBJECT=3593,62.202301,3623.210449,1.112494,0,0,0
OBJECT=3593,61.494774,3617.02417,0.348109,0,0,0
OBJECT=3593,65.591034,3612.880127,0.381467,0,0,0
OBJECT=3593,75.777603,3622.047363,-0.076772,0,0,0
OBJECT=3593,75.450256,3615.767822,0.107481,0,0,0
OBJECT=3593,71.268456,3616.763428,0.485836,0,0,0
OBJECT=3593,68.079483,3613.64624,0.032174,0,0,0
OBJECT=3593,79.802277,3620.110107,-0.280974,0,0,0
OBJECT=3593,79.547722,3627.812988,0.045276,0,0,0
OBJECT=3593,80.105576,3617.147949,-0.26956,0,0,0
OBJECT=3593,73.181992,3629.267822,0.13949,0,0,0
OBJECT=3593,69.550194,3628.833984,0.495363,0,0,0
