; Converted Fri, 25 Jun 10 10:09:08 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1031.8116,-1806.0414,13.7337
MinLevel=0
JoinCost=1500
WinBaseXP=500000
WinBaseCash=500000

Name=LR-yoyo_4
Author=LR-yoyo
Description=Don't forget to hop out of your vehicle so objects load!
RunTime=600
Weather=6
Time=23:59

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=528

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-1587.455322,-1823.159058,10822.325195,179
SPAWN=-1590.509155,-1823.073364,10822.325195,179
SPAWN=-1593.672241,-1823.0354,10822.325195,179
SPAWN=-1596.771729,-1822.973267,10822.325195,179
SPAWN=-1599.712524,-1822.958252,10822.325195,179
SPAWN=-1602.774658,-1822.979492,10822.325195,179
SPAWN=-1605.870117,-1822.813477,10822.325195,179
SPAWN=-1609.200928,-1822.684204,10822.325195,179
SPAWN=-1612.262939,-1822.688477,10822.325195,179
SPAWN=-1615.815674,-1822.454834,10822.325195,179
SPAWN=-1587.509521,-1830.558472,10822.325195,179
SPAWN=-1590.603394,-1830.621216,10822.325195,179
SPAWN=-1593.926636,-1830.613037,10822.325195,179
SPAWN=-1596.778931,-1830.626221,10822.325195,179
SPAWN=-1599.775269,-1830.39624,10822.325195,179
SPAWN=-1602.649048,-1830.27771,10822.325195,179
SPAWN=-1605.990234,-1830.186401,10822.325195,179
SPAWN=-1609.207642,-1830.150635,10822.325195,179
SPAWN=-1612.783081,-1830.115723,10822.325195,179
SPAWN=-1615.944458,-1830.047485,10822.325195,179
SPAWN=-1587.278809,-1837.759766,10822.325195,179
SPAWN=-1590.656616,-1837.835327,10822.325195,179
SPAWN=-1594.095581,-1837.775879,10822.325195,179
SPAWN=-1597.094604,-1837.885376,10822.325195,179
SPAWN=-1600.347046,-1837.782715,10822.325195,179
SPAWN=-1603.172241,-1837.724487,10822.325195,179
SPAWN=-1606.007446,-1837.483643,10822.325195,179
SPAWN=-1609.138428,-1837.653076,10822.325195,179
SPAWN=-1612.756348,-1837.734985,10822.325195,179
SPAWN=-1616.198486,-1837.546143,10822.325195,179
SPAWN=-1586.990723,-1844.346436,10822.325195,179
SPAWN=-1616.201416,-1844.420776,10822.325195,179

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-1601.9729,-1955.187378,10825.34082,1,31.6
CP=-1602.290405,-2765.962402,10485.609375,1,31.6
CP=-1602.341064,-3145.200684,10005.375977,1,31.6
CP=-1603.305542,-1181.113647,8305.023438,1,31.6
CP=-1602.246948,-1904.451904,7811.543945,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8355,-1602.016846,-1888.281982,10821.140625,0,0,0
OBJECT=8355,-1602.029541,-2025.125488,10807.748047,11.1726732,0,0
OBJECT=8355,-1602.044922,-2155.660156,10765.194336,24.9236556,0,0
OBJECT=8355,-1602.098999,-2216.870117,10736.71582,24.9236556,0,0
OBJECT=8355,-1602.195801,-2278.038086,10708.256836,24.9236556,0,0
OBJECT=8355,-1602.211792,-2339.207275,10679.823242,24.9236556,0,0
OBJECT=8355,-1602.247559,-2400.365967,10651.369141,24.9236556,0,0
OBJECT=8355,-1602.280396,-2461.428955,10622.958984,24.9236556,0,0
OBJECT=8355,-1602.305908,-2522.333984,10594.647461,24.9236556,0,0
OBJECT=8355,-1602.213135,-2583.263428,10566.325195,24.9236556,0,0
OBJECT=8355,-1602.237427,-2643.840088,10538.166992,24.9236556,0,0
OBJECT=8355,-1602.377075,-2704.623779,10509.912109,24.9236556,0,0
OBJECT=3374,-1584.310303,-2708.133789,10509.927734,24.0642192,0,0.8594364
OBJECT=3374,-1588.072144,-2708.160156,10509.865234,24.0642192,0,0.8594364
OBJECT=3374,-1591.775635,-2708.219482,10509.775391,24.0642192,0,0.8594364
OBJECT=3374,-1595.670166,-2708.24707,10509.797852,24.0642192,0,0.8594364
OBJECT=3374,-1599.649902,-2708.322754,10509.797852,24.0642192,0,0.8594364
OBJECT=3374,-1603.597534,-2708.37793,10509.765625,24.0642192,0,0.8594364
OBJECT=3374,-1607.531006,-2708.429199,10509.74707,24.0642192,0,0.8594364
OBJECT=3374,-1611.397583,-2708.521729,10509.719727,24.0642192,0,0.8594364
OBJECT=3374,-1615.234741,-2708.589844,10509.708984,24.0642192,0,0.8594364
OBJECT=3374,-1619.198853,-2708.686035,10509.704102,24.0642192,0,0.8594364
OBJECT=3374,-1623.098999,-2708.578613,10509.746094,24.0642192,0,0.8594364
OBJECT=8355,-1602.381104,-2819.280273,10435.183594,41.2529472,0,0
OBJECT=8355,-1602.383057,-2869.400635,10391.180664,41.2529472,0,0
OBJECT=8355,-1602.274414,-2919.866699,10346.848633,41.2529472,0,0
OBJECT=8355,-1602.282593,-2970.245117,10302.644531,41.2529472,0,0
OBJECT=8355,-1602.23938,-3020.729736,10258.347656,41.2529472,0,0
OBJECT=8355,-1602.228516,-3071.041748,10214.176758,41.2529472,0,0
OBJECT=8355,-1602.196533,-3121.342773,10170.015625,41.2529472,0,0
OBJECT=1632,-1584.3479,-3171.059814,10127.651367,318.7470528,0,179.140605054
OBJECT=1632,-1588.470215,-3171.022217,10127.654297,318.7470528,0,179.140605054
OBJECT=1632,-1592.605957,-3170.950439,10127.655273,318.7470528,0,179.140605054
OBJECT=1632,-1596.669312,-3170.866455,10127.661133,318.7470528,0,179.140605054
OBJECT=1632,-1600.801147,-3170.783936,10127.677734,318.7470528,0,179.140605054
OBJECT=1632,-1604.90564,-3170.71167,10127.686523,318.7470528,0,179.140605054
OBJECT=1632,-1609.023071,-3170.64502,10127.703125,318.7470528,0,179.140605054
OBJECT=1632,-1613.150146,-3170.572998,10127.714844,318.7470528,0,179.140605054
OBJECT=1632,-1617.271484,-3170.51001,10127.717773,318.7470528,0,179.140605054
