; Converted Fri, 25 Jun 10 10:38:29 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1877.5714,-2287.9595,13.5469
MinLevel=0
JoinCost=1500
WinBaseXP=500000
WinBaseCash=500000

Name=LR-yoyo_6
Author=LR-yoyo
Description=Don't forget to hop out of your vehicle so objects load!
RunTime=600
Weather=
Time=

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=409

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2228.523438,-1766.883911,1289.956543,178
SPAWN=2225.854004,-1766.818115,1289.956543,178
SPAWN=2223.172363,-1766.72583,1289.956543,182
SPAWN=2220.437744,-1766.693604,1289.956543,178
SPAWN=2217.61084,-1766.679321,1289.956543,178
SPAWN=2214.837891,-1766.640869,1289.964355,178
SPAWN=2212.06665,-1766.593994,1289.956543,178
SPAWN=2209.309326,-1766.504761,1289.964355,178
SPAWN=2206.405273,-1766.702881,1289.956543,182
SPAWN=2203.593994,-1766.695313,1289.956543,178
SPAWN=2200.712646,-1766.758301,1289.956543,178
SPAWN=2197.884033,-1766.594238,1289.956543,178
SPAWN=2197.498047,-2197.582275,1289.960327,360
SPAWN=2200.285645,-2197.665527,1289.960327,360
SPAWN=2203.244385,-2197.653076,1289.960327,360
SPAWN=2206.122803,-2197.466309,1289.960327,360
SPAWN=2209.145508,-2197.269775,1289.960327,360
SPAWN=2211.956055,-2197.370361,1289.960327,360
SPAWN=2214.817139,-2197.249268,1289.960327,360
SPAWN=2217.908691,-2197.212891,1289.960327,360
SPAWN=2221.080811,-2197.49292,1289.960327,360
SPAWN=2224.074707,-2197.446533,1289.960327,360
SPAWN=2226.923096,-2197.546631,1289.960327,360
SPAWN=2230.263184,-2197.647949,1289.96814,360
SPAWN=2211.933838,-2206.81958,1289.960327,360
SPAWN=2209.010742,-2206.740967,1289.960327,360
SPAWN=2206.170898,-2206.645752,1289.960327,360
SPAWN=2214.988037,-2206.549316,1289.960327,360
SPAWN=2212.057861,-1756.909546,1289.956543,178
SPAWN=2215.037109,-1757.075928,1289.964355,178
SPAWN=2209.08667,-1756.896118,1289.956543,178
SPAWN=2217.922363,-1757.325073,1289.956543,178

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2211.277344,-1864.974854,572.817932,1,31.6,473
CP=2212.393311,-1780.565063,505.828644,1,31.6
CP=2212.269287,-1501.022461,342.152466,1,31.6,522
CP=2210.9375,-1435.795898,351.494995,1,31.6,539
CP=2254.028076,-1087.908936,305.183777,1,8
CP=2255.803223,-1063.242065,175.347473,0,8
CP=2147.655273,-1174.15271,79.034203,1,22
CP=1842.23938,-1174.225708,90.566994,1,20
CP=1682.827026,-1174.081665,101.476166,1,18
CP=1590.712036,-1174.356689,78.115845,1,18
CP=1906.508057,-1174.14502,96.513458,1,18
CP=2337.226318,-1174.114136,96.198189,1,22
CP=2432.519043,-1174.084595,96.185135,1,16,463
CP=2693.137207,-1174.049438,96.157936,1,18,473
CP=2779.567139,-1147.915161,33.515823,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8357,2213.277588,-1846.61792,1289.047119,0,0,0
OBJECT=1655,2228.92627,-1949.705811,1290.340942,0,0,180.00009875
OBJECT=1655,2220.224854,-1949.661377,1290.331665,0,0,180.00009875
OBJECT=1655,2211.534668,-1949.635498,1290.331665,0,0,180.00009875
OBJECT=1655,2203.089355,-1949.609253,1290.331665,0,0,180.00009875
OBJECT=1655,2194.989746,-1949.591797,1290.331665,0,0,180.00009875
OBJECT=8357,2213.309326,-2111.795898,1289.050903,0,0,0
OBJECT=1655,2229.406738,-2009.484619,1290.335449,0,0,0
OBJECT=1655,2221.118408,-2009.493408,1290.335449,0,0,0
OBJECT=1655,2212.410889,-2009.502563,1290.335449,0,0,0
OBJECT=1655,2204.366943,-2009.49231,1290.335449,0,0,0
OBJECT=1655,2195.803955,-2009.489258,1290.335449,0,0,0
OBJECT=8489,2204.493652,-2009.326416,1266.14917,0,0,0
OBJECT=8489,2222.193359,-1948.768188,1266.133545,0,0,180.000041454
OBJECT=8419,2245.174561,-1978.448242,1205.880493,90.240822,0,270.000049375
OBJECT=8419,2215.335693,-1941.459717,1197.74707,90.240822,0,0
OBJECT=8419,2181.533447,-1979.252075,1209.859375,90.240822,0,89.999950625
OBJECT=8419,2213.424561,-2016.785278,1202.713989,90.240822,0,179.999958546
OBJECT=16376,2243.584961,-1829.748169,1367.540039,0,0,0
OBJECT=16376,2183.233643,-1819.486572,1367.515015,0,0,180.00009875
OBJECT=16376,2243.585449,-1986.428589,1366.795044,0,0,0
OBJECT=16376,2183.259766,-1976.625732,1366.617188,0,0,180.00009875
OBJECT=16376,2215.318359,-1740.457886,1367.515015,0,0,89.999950625
OBJECT=16376,2243.588135,-2142.760742,1367.490601,0,0,0
OBJECT=16376,2183.282471,-2133.689453,1367.618896,0,0,180.00009875
OBJECT=16376,2209.319824,-2224.47583,1367.618896,0,0,270.000049375
OBJECT=8419,2214.336182,-1941.132202,1110.744507,90.240822,0,0
OBJECT=8419,2245.510498,-1978.475952,1113.394531,90.240822,0,270.000049375
OBJECT=8419,2210.775391,-2017.145874,1111.797729,90.240822,0,179.999958546
OBJECT=8419,2181.213623,-1978.593994,1117.31665,90.240822,0,89.999950625
OBJECT=8419,2180.882324,-1978.572998,1024.330566,90.240822,0,89.999950625
OBJECT=8419,2212.873047,-2017.514648,1018.641968,90.240822,0,179.999958546
OBJECT=8419,2245.824219,-1979.731934,1020.879272,90.240822,0,270.000049375
OBJECT=8419,2213.103271,-1940.776855,1017.585693,90.240822,0,0
OBJECT=8419,2213.077637,-1971.651611,933.475159,50.7067476,0,0
OBJECT=8419,2180.523926,-1979.226929,930.996887,90.240822,0,89.999950625
OBJECT=8419,2212.164795,-2049.115234,942.299927,134.072135696,0,179.999958546
OBJECT=8419,2246.04248,-1978.359863,927.761475,90.240822,0,270.000049375
OBJECT=8419,2246.048828,-2029.759155,924.042847,90.240822,0,270.000049375
OBJECT=8419,2180.503174,-2029.971802,922.698853,90.240822,0,89.999950625
OBJECT=8419,2212.445801,-2067.280029,872.979187,90.240822,0,179.999958546
OBJECT=8419,2180.136475,-2030.115234,829.316406,90.240822,0,89.999950625
OBJECT=8419,2246.416016,-2030.196167,831.434021,90.240822,0,270.000049375
OBJECT=8419,2215.001221,-2054.204346,818.452942,42.1123836,0,179.999958546
