; Converted Sat, 26 Jun 10 08:24:36 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-385.1699,-841.5927,27.5694
Interior=1
MinLevel=0
JoinCost=1500
WinBaseXP=300000
WinBaseCash=300000

Name=Liberty City Quicky
Author=Slick
RunTime=120
Weather=5
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=415

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-1038.342041,487.102661,1336.592163,178
SPAWN=-1043.421265,486.924744,1336.592163,192
SPAWN=-1048.545776,487.091614,1336.592163,204
SPAWN=-1053.249023,487.097931,1336.592163,215
SPAWN=-1038.433228,478.966827,1336.633179,178
SPAWN=-1043.842407,478.951141,1336.633179,192
SPAWN=-1049.118896,479.2724,1336.633179,204
SPAWN=-1053.692749,479.339752,1336.633179,215
SPAWN=-1054.171631,471.796143,1336.633179,215
SPAWN=-1048.643555,472.262115,1336.633179,204
SPAWN=-1043.494873,471.842773,1336.633179,192
SPAWN=-1038.478149,471.889282,1336.633179,178
SPAWN=-1054.580688,452.840424,1336.62146,327
SPAWN=-1038.385254,452.950073,1336.634277,360
SPAWN=-1044.175049,452.932068,1336.588501,350
SPAWN=-1049.504883,452.716583,1336.588501,339

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-1025.826538,459.105286,1336.745361,0,8
CP=-902.550476,468.795868,1345.875,0,16
CP=-891.533325,569.23822,1345.879028,0,8
CP=-725.722534,565.98584,1370.977417,0,8
CP=-736.356506,488.477661,1370.976563,0,16
CP=-858.957642,458.959381,1349.153564,0,16
CP=-1046.630981,459.069611,1335.834473,0,16

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3892,-800.5,314.164063,1337.40625,0,0,0
OBJECT=3895,-865.921875,421.71875,1355.84375,0,0,0
OBJECT=3896,-894.257813,377.929688,1419.0625,0,0,0
OBJECT=3897,-937.664063,462.953125,1354.242188,0,0,0
OBJECT=3898,-792.203125,444.453125,1368.734375,0,0,0
OBJECT=3901,-791.929688,425.351563,1358.65625,0,0,0
OBJECT=3902,-765.9375,495.148438,1372.648438,0,0,0
OBJECT=3903,-815.679688,534.242188,1359.515625,0,0,0
OBJECT=3904,-1013.328125,563.851563,1358.6875,0,0,0
OBJECT=3905,-814.5625,575.328125,1377.117188,0,0,0
OBJECT=3906,-841.5625,519.242188,1391.632813,0,0,0
OBJECT=3907,-800.679688,486.515625,1358.492188,0,0,0
OBJECT=3908,-900.726563,512.820313,1387.992188,0,0,0
OBJECT=3909,-815.960938,622.71875,1367.125,0,0,0
OBJECT=3911,-773.421875,533.976563,1375.453125,0,0,0
OBJECT=3912,-1299.367188,513.65625,1342.71875,0,0,0
OBJECT=3913,-1196.09375,483.65625,1369.148438,0,0,0
OBJECT=3915,-773.664063,533.71875,1391.171875,0,0,0
OBJECT=3916,-937.570313,462.828125,1340.046875,0,0,0
OBJECT=3917,-865.6875,420.734375,1371.1875,0,0,0
OBJECT=3918,-841.007813,489.328125,1376.867188,0,0,0
OBJECT=3922,-792.25,500.382813,1370.648438,0,0,86.799008401
OBJECT=3923,-885.679688,482.976563,1353.507813,0,0,0
OBJECT=3924,-1086.09375,1061.1875,1360.570313,0,0,0
OBJECT=3925,-1009.757813,1079.046875,1340.84375,0,0,0
OBJECT=3928,-1131.578125,1041.734375,1344.742188,0,0,0
OBJECT=3932,-1131.945313,1029.140625,1346.40625,0,0,0
OBJECT=3933,-1052.601563,1063.257813,1347.078125,0,0,0
OBJECT=3934,-973.835938,1077.171875,1343.992188,0,0,179.99990125
OBJECT=3936,-974.554688,1059.460938,1344.773438,0,0,179.99990125
