; Converted Wed, 04 Aug 10 23:00:38 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1621.7277,1410.5786,7.8828
MinLevel=0
JoinCost=10000
WinBaseXP=1000000
WinBaseCash=1000000
Interior=1

Name=Master of the NRG-500 2
Author=Mouldy
Description=The road to an XP zone on our old gamemode GTO
;RunTime=300
RunTime=120
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-787.183716,2412.930908,156.678513,259
SPAWN=-787.140259,2415.454834,156.720001,259
SPAWN=-786.926025,2417.898682,156.763321,259
SPAWN=-786.881592,2420.164307,156.800659,259
SPAWN=-786.669556,2422.591064,156.829391,259
SPAWN=-790.410767,2413.653564,156.628616,259
SPAWN=-790.161926,2416.00708,156.671021,259
SPAWN=-789.938416,2418.683594,156.717789,259
SPAWN=-789.624756,2420.904785,156.759781,259
SPAWN=-789.309875,2423.101318,156.801422,259
SPAWN=-786.472168,2424.929443,156.837036,259
SPAWN=-789.263855,2425.546875,156.846893,259
SPAWN=-786.215576,2427.192871,156.829742,259
SPAWN=-789.034607,2427.816895,156.835342,259
SPAWN=-793.766113,2422.269287,156.718674,259
SPAWN=-793.653687,2424.402588,156.779068,259
SPAWN=-796.438904,2425.035889,156.768951,259
SPAWN=-796.681213,2422.836426,156.708832,259

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-598.712769,1842.225708,1112.657227,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13642,-746.456177,2404.665771,157.355515,0,0,337.499872139
OBJECT=13642,-709.645691,2392.350586,159.847809,0,0,337.499872139
OBJECT=1633,-684.078796,2382.40332,161.764709,0,0,244.921612314
OBJECT=973,-691.976318,2396.671631,161.602097,0,0,326.249906959
OBJECT=13647,-646.38324,2323.41626,161.271301,0,347.108313796,281.249931647
OBJECT=13647,-638.827271,2285.426758,172.235489,0,347.108313796,281.249931647
OBJECT=13647,-631.055115,2246.403564,178.572845,0,0,281.249931647
OBJECT=13647,-623.385925,2208.394287,180.224823,10.3131795042,0,281.249931647
OBJECT=13647,-616.375427,2169.985596,186.947632,183.06035427,12.8916032958,281.249931647
OBJECT=13647,-610.616089,2140.050293,198.877563,0,152.120471983,281.249931647
OBJECT=13647,-606.593079,2106.864502,217.340912,10.3131795042,149.542162783,277.812186047
OBJECT=13647,-603.056763,2066.828369,227.955368,0,0,277.812186047
OBJECT=10885,-584.134277,1972.704712,238.556305,309.293169491,274.056277091,14.6877107802
OBJECT=7593,-549.543701,1812.251587,261.984375,66.1766028,87.6624555042,15.6244964562
OBJECT=7593,-512.428894,1655.548584,290.212158,66.1766028,87.6624555042,15.6244964562
OBJECT=7593,-515.407776,1654.706177,320.814423,244.080510558,87.6624555042,194.610549233
OBJECT=7593,-552.038879,1773.030518,380.944153,244.080510558,87.6624555042,194.610549233
OBJECT=7593,-592.111694,1903.250977,444.556488,244.080510558,87.6624555042,194.610549233
OBJECT=13647,-612.34137,1966.22522,483.725677,0,181.341424175,106.483940777
OBJECT=13647,-623.831238,2005.082764,482.753906,0,181.341424175,106.483940777
OBJECT=13647,-634.666748,2041.75647,484.903687,0,171.887566479,106.483940777
OBJECT=13647,-646.755859,2078.280029,491.843781,342.811189091,166.730948079,106.483940777
OBJECT=13647,-661.651855,2116.118896,495.938324,0,0,112.499938281
OBJECT=13647,-676.533325,2151.97998,504.309753,0,341.951695396,112.499938281
OBJECT=7593,-713.787903,2241.224854,528.486145,244.080510558,87.6624555042,199.844459613
OBJECT=7593,-761.025024,2355.567383,588.53833,244.080510558,87.6624555042,199.844459613
OBJECT=7593,-813.892273,2483.787842,653.669983,244.080510558,87.6624555042,199.844459613
OBJECT=7593,-857.807495,2589.397949,728.173706,232.048515549,87.6624555042,199.844459613
OBJECT=7593,-844.503784,2551.355957,814.060181,232.048515549,87.6624555042,17.2661918675
OBJECT=13647,-814.341919,2465.144043,846.773987,0,0,108.202870873
OBJECT=13647,-802.183838,2428.114746,849.576355,0,12.8916032958,108.202870873
OBJECT=13647,-791.284058,2394.928711,857.567383,0,12.8916032958,108.202870873
OBJECT=13647,-778.398376,2355.657471,862.352661,9.4538004,0,288.202714827
OBJECT=13647,-766.918213,2319.641846,869.712341,0,343.670568196,288.202714827
OBJECT=7593,-735.975403,2232.568604,910.044922,232.048515549,87.6624555042,17.2661918675
OBJECT=7593,-698.026306,2129.555664,995.544373,232.048515549,87.6624555042,17.2661918675
OBJECT=1634,-675.702454,2068.100586,1034.444458,332.497894996,0,200.781016106
OBJECT=1634,-673.633057,2062.571777,1035.807129,357.421550596,0,200.781016106
OBJECT=7593,-641.646973,1973.755737,1073.834473,232.048515549,87.6624555042,17.2661918675
OBJECT=13647,-614.75354,1897.562256,1110.345215,0,0,288.202714827
OBJECT=8420,-599.597229,1844.772095,1112.524414,0,0,107.343377177
