; Converted Wed, 04 Aug 10 22:59:48 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1660.8280,1402.1786,7.1722
MinLevel=0
JoinCost=10000
WinBaseXP=1000000
WinBaseCash=1000000
Interior=1

Name=Master of the NRG-500
Author=Mouldy
Description=The road to an XP zone on our old gamemode GTO
RunTime=180
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-2321.645752,-1646.044556,483.363495,112
SPAWN=-2320.513916,-1647.022339,483.363495,112
SPAWN=-2319.901123,-1648.00647,483.363495,112
SPAWN=-2318.783203,-1649.0177,483.363495,112
SPAWN=-2322.243164,-1645.12561,483.363495,112
SPAWN=-2322.828125,-1644.457642,483.363495,112
SPAWN=-2317.708496,-1649.853271,483.363495,112
SPAWN=-2313.198975,-1648.175903,483.363495,112
SPAWN=-2313.998291,-1647.518555,483.363495,112
SPAWN=-2315.994385,-1646.717651,483.363495,112
SPAWN=-2315.711426,-1645.190063,483.363495,112
SPAWN=-2316.969238,-1644.065674,483.363495,112
SPAWN=-2317.397705,-1642.870361,483.363495,112
SPAWN=-2324.011963,-1643.064087,483.363495,112
SPAWN=-2325.215576,-1641.590454,483.363495,112
SPAWN=-2320.576904,-1640.463867,483.363495,112
SPAWN=-2320.147217,-1641.795166,483.363495,112

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-3710.270264,-2025.597168,823.99762,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=16303,-2349.673096,-1655.832397,478.680176,0,0,224.999933858
OBJECT=18367,-2365.312988,-1664.441895,486.429688,353.983804996,0,300.312173703
OBJECT=13647,-2405.778809,-1691.157349,496.340973,0,15.4699124958,35.4688829322
OBJECT=13647,-2407.019531,-1686.062988,495.921692,0,15.4699124958,26.0151971238
OBJECT=13647,-2441.077148,-1702.658325,499.685333,0,0,26.0151971238
OBJECT=13647,-2437.419922,-1713.72229,499.988617,0,0,35.4688829322
OBJECT=7593,-2521.69751,-1761.102173,499.766022,0,0,204.218819002
OBJECT=7593,-2505.888184,-1787.658936,499.260834,0,0,216.251043193
OBJECT=13647,-2437.060303,-1714.221924,500.008698,0,0,35.4688829322
OBJECT=13647,-2440.849365,-1703.252808,499.629608,0,0,26.0151971238
OBJECT=13642,-2564.684082,-1873.381714,502.280426,0,0,229.374407838
OBJECT=13642,-2597.61792,-1833.412354,502.93338,0,0,216.482747247
OBJECT=13642,-2595.610352,-1872.537109,502.476501,0,359.140480691,115.232774146
OBJECT=13642,-2614.093506,-1892.23584,504.74588,0,359.140480691,209.452729382
OBJECT=7593,-2715.180908,-1909.072754,511.339966,108.288871808,276.634643587,88.6761893859
OBJECT=7593,-2878.334229,-1924.947144,518.246094,284.473620287,276.634643587,102.427057194
OBJECT=1634,-3526.798584,-1986.546753,799.279114,26.6424711042,0,104.765067977
OBJECT=1634,-3521.934326,-1985.268799,794.854858,0,0,105.547155101
OBJECT=13647,-2946.560791,-1933.058228,562.272705,0,210.562548253,9.68602011528
OBJECT=13647,-2947.166748,-1929.553223,562.369141,0,210.562548253,3.67002261104
OBJECT=13647,-2976.185547,-1931.496338,579.526428,0,210.562548253,3.67002261104
OBJECT=13647,-2984.509277,-1939.594238,583.684265,0,207.124745358,9.68602011528
OBJECT=13645,-2961.040283,-1935.398804,571.792725,31.7992040958,0,101.249973101
OBJECT=13647,-3018.26416,-1945.442139,601.081055,0,207.124745358,9.68602011528
OBJECT=13645,-2992.773438,-1932.456543,590.101196,31.7992040958,0,90.0772426052
OBJECT=13647,-3012.575684,-1933.684692,600.437317,0,210.562548253,3.67002261104
OBJECT=13647,-3052.220459,-1951.291138,618.400146,12.0321096,207.124745358,3.67002261104
OBJECT=13647,-3047.247314,-1936.072021,620.70459,350.546116691,210.562548253,9.68602011528
OBJECT=13647,-3083.162354,-1938.526001,628.152832,0,0,3.67002261104
OBJECT=13647,-3088.225098,-1956.261108,624.658752,0,0,6.24827451528
OBJECT=13647,-3126.321045,-1960.343872,629.287231,0,18.9076008,6.24827451528
OBJECT=13647,-3118.687256,-1941.505859,633.288757,0,18.9076008,6.24827451528
OBJECT=13638,-3144.810547,-1937.776733,642.532288,0,0,0
OBJECT=13638,-3151.977539,-1956.646118,638.416138,0,0,0
OBJECT=13645,-3151.99707,-1948.246704,644.622864,0,0,316.796106559
OBJECT=3458,-3163.038086,-1931.846558,661.143799,0,48.1283811042,0
OBJECT=3458,-3195.629639,-1931.889771,675.635925,0,0,0
OBJECT=13642,-3199.639893,-1954.503906,678.715881,0,0,270.077201151
OBJECT=13647,-3217.315674,-1963.919189,689.945129,0,209.598317908,319.838969781
OBJECT=13647,-3244.473389,-1942.916382,709.428223,0,209.598317908,324.290850333
OBJECT=13642,-3279.232422,-1931.799072,721.540588,344.530004596,0,191.32715841
OBJECT=7593,-3371.358887,-1945.934692,739.116882,294.7866852,274.056277091,108.443054699
OBJECT=1634,-3448.306152,-1965.155396,757.002869,321.3251645,0,103.828282301
OBJECT=1634,-3455.684814,-1966.963135,756.543091,340.232879891,0,103.828282301
OBJECT=1634,-3461.507568,-1968.364258,758.828613,13.7509824,0,103.828282301
OBJECT=3458,-3475.84375,-1972.492554,776.792969,0,54.1444932,15.4699124958
OBJECT=3458,-3505.54834,-1980.653931,792.479553,0,0,15.4699124958
OBJECT=1634,-3530.85083,-1987.577881,806.190674,40.3935108,0,104.765067977
OBJECT=4867,-3642.44165,-2022.244507,823.99762,0,0,12.0321096
OBJECT=2710,-3614.702637,-2010.297852,810.018555,0,0,0
OBJECT=1634,-3534.223389,-1988.435669,813.342529,40.3935108,0,104.765067977
OBJECT=8419,-3608.583008,-2028.21936,808.894043,178.763114975,0,101.249973101
OBJECT=8419,-3617.834229,-1982.358643,808.894653,178.763114975,0,101.249973101
OBJECT=8419,-3611.740234,-2005.794922,787.903992,178.763114975,0,101.249973101
OBJECT=1634,-3537.796631,-1989.303589,820.918335,40.3935108,0,104.765067977
OBJECT=8357,-3623.958252,-2107.928467,843.114868,0,267.180843187,281.249931647
OBJECT=8357,-3745.57251,-2034.958496,843.266968,0,267.180843187,191.249923726
OBJECT=8357,-3659.403809,-1936.31665,841.016968,0,267.180843187,101.249973101
OBJECT=18450,-3549.068359,-1948.024414,830.093262,266.321406787,0,281.249931647
OBJECT=18450,-3532.316162,-2031.683716,830.315796,266.321406787,0,281.249931647
OBJECT=18450,-3528.634521,-2049.629883,830.34729,266.321406787,0,281.249931647
OBJECT=8357,-3544.640381,-1985.869507,856.067688,0,267.180843187,11.2499078845
OBJECT=3458,-3162.922119,-1929.26123,661.334412,20.6264736,54.1444932,332.497894996
OBJECT=3458,-3162.408203,-1934.752075,661.064941,344.530004596,53.2849995042,27.5019648
OBJECT=1303,-3172.313477,-1935.935669,676.206055,0,0,0
OBJECT=1303,-3173.644043,-1931.343262,675.745972,0,0,0
OBJECT=1303,-3172.267578,-1934.859619,675.199829,0,0,0
OBJECT=1303,-3172.671143,-1930.215332,674.660522,0,0,0
OBJECT=1303,-3172.707764,-1932.343994,674.784912,0,0,0
OBJECT=1303,-3170.879639,-1934.316284,674.513977,0,0,0
OBJECT=1303,-3169.565186,-1935.230225,673.871277,0,0,0
OBJECT=1303,-3169.704102,-1934.103027,673.024109,0,0,0
OBJECT=1303,-3170.742188,-1932.103882,672.508423,0,0,0
OBJECT=1303,-3170.856201,-1930.949707,672.63562,0,0,0
OBJECT=1303,-3170.09082,-1928.675781,673.042419,0,0,0
OBJECT=1303,-3169.671631,-1929.063477,671.314087,0,0,0
OBJECT=1303,-3170.191406,-1931.345947,671.893921,0,0,0
OBJECT=1303,-3168.473633,-1933.216919,670.876221,0,0,0
OBJECT=1303,-3167.760986,-1934.272217,671.024841,0,0,0
OBJECT=1303,-3167.374512,-1935.62207,671.795898,0,0,0
OBJECT=1303,-3166.790283,-1935.398315,669.619019,0,0,0
OBJECT=1303,-3167.438721,-1932.294434,668.911987,0,0,0
OBJECT=1303,-3168.879639,-1931.283936,670.43042,0,0,0
OBJECT=1303,-3167.25293,-1929.447388,669.339783,0,0,0
OBJECT=1305,-3172.258057,-1932.186279,675.119324,0,0,0
OBJECT=1305,-3170.490723,-1932.677124,673.147461,0,0,0
OBJECT=1305,-3168.368164,-1929.568359,671.40509,0,0,0
OBJECT=1305,-3169.51416,-1936.252075,674.310059,0,0,0
OBJECT=1305,-3173.196045,-1934.812012,677.104431,0,0,0
OBJECT=1305,-3173.719971,-1929.764526,677.293762,0,0,0
OBJECT=1305,-3168.245605,-1933.559937,670.642761,0,0,0
OBJECT=1305,-3167.450439,-1930.817139,669.755676,0,0,0
OBJECT=1305,-3166.993408,-1935.889893,671.200012,0,0,0
OBJECT=1305,-3166.675781,-1933.132813,668.891602,0,0,0
OBJECT=1303,-3166.831543,-1930.119019,668.177551,0,0,0
OBJECT=1305,-3171.871094,-1929.699585,675.256592,0,0,0
OBJECT=1304,-3166.133789,-1931.504272,667.815125,0,0,0
OBJECT=1304,-3166.15625,-1935.274658,669.255676,0,0,0
OBJECT=1304,-3166.030029,-1932.582275,667.699219,0,0,0
OBJECT=1304,-3170.144287,-1930.922607,674.169861,0,0,0
OBJECT=1304,-3165.62207,-1934.379395,667.869934,0,0,0
OBJECT=1304,-3165.847656,-1930.115112,667.510193,0,0,0
OBJECT=1304,-3164.896484,-1935.685913,668.227112,0,0,0
OBJECT=1304,-3165.067139,-1928.817627,667.941345,0,0,0
OBJECT=13647,-3161.992188,-1928.171753,663.647705,0,310.152605891,181.014551864
