; Converted Thu, 03 Jun 10 03:42:51 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-361.427338,-997.195251,57.111786,0
MinLevel=0
JoinCost=1000
WinBaseXP=800000
WinBaseCash=800000

Name=Monster_Obstacles_2
Author=KillDeaTh
Description=A race with monster trucks
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=444

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-361.427338,-997.195251,57.111786,295
SPAWN=-358.643005,-1000.527588,57.434925,295
SPAWN=-356.267731,-1003.598633,57.725071,295
SPAWN=-353.893524,-1007.009888,57.881649,300
SPAWN=-351.562469,-1010.306885,57.961533,309

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-322.528412,-985.064087,50.601925,0,12
CP=-252.659393,-918.072876,38.71471,0,12
CP=-209.890503,-811.531982,2.690899,0,12
CP=-140.791489,-795.007202,1.025958,0,12
CP=-101.016121,-786.573303,2.631807,0,12
CP=-95.751541,-753.951904,2.984432,0,12
CP=-145.254013,-742.517883,0.990583,0,12
CP=-196.725143,-724.198669,-0.00988,0,12
CP=-290.045288,-705.852417,11.869898,0,12
CP=-374.68924,-675.059509,22.704578,0,12
CP=-422.075958,-605.812622,8.886429,0,12
CP=-401.616913,-492.692322,18.128399,0,12
CP=-352.540588,-452.229919,5.660351,0,12
CP=-322.8526,-507.232819,7.743581,0,12
CP=-281.690796,-568.181763,5.057255,0,12
CP=-197.376205,-662.822876,12.40131,0,12
CP=-69.720215,-718.981934,5.875908,0,12
CP=-43.032356,-694.980408,11.035522,0,12
CP=-31.520576,-663.949158,8.980522,0,12
CP=-45.324902,-625.791199,9.173365,0,12
CP=-59.30056,-584.267334,0.008087,0,12
CP=-56.490921,-543.429565,2.837437,0,12
CP=-77.371979,-559.378906,2.373665,0,12
CP=-123.586273,-627.708801,0.029539,0,12
CP=-179.390717,-700.350159,-0.000656,0,12
CP=-236.203125,-782.770874,6.889318,0,12
CP=-207.566803,-810.829773,2.380779,0,12
CP=-148.940979,-797.04834,2.012745,0,12
CP=-96.963211,-785.643555,3.275837,0,12
CP=-97.372772,-753.233521,2.41909,0,12
CP=-159.874069,-735.264832,1.120655,0,12
CP=-217.685532,-723.104858,1.096287,0,12
CP=-289.070801,-704.440857,11.931488,0,12
CP=-361.339447,-679.804443,20.602526,0,12
CP=-418.473602,-624.789612,10.628376,0,12
CP=-399.876343,-492.637817,18.120659,0,12
CP=-346.490479,-464.540771,5.542398,0,12
CP=-307.562866,-532.330139,4.845312,0,12
CP=-243.742996,-611.206177,4.689599,0,12
CP=-185.171509,-669.894409,11.349747,0,12
CP=-101.679016,-706.055176,17.329922,0,12
CP=-54.519718,-709.252808,9.03421,0,12
CP=-31.920212,-663.634583,9.281363,0,12
CP=-54.755024,-598.007019,3.823726,0,12
CP=-59.915634,-560.392334,1.509277,0,12
CP=-78.515503,-565.125977,2.340534,0,12
CP=-118.585014,-619.957092,2.677544,0,12
CP=-172.436035,-690.7854,0.037741,0,12
CP=-212.76236,-747.961792,4.086106,0,12
CP=-248.019073,-801.2771,3.985228,0,12

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8253,-364.484924,-1009.434204,59.915386,355.702818,357.4216908,36.8519708958
OBJECT=3375,-182.448456,-804.824036,0.826499,0,0,13.7509824
OBJECT=3375,-143.859436,-795.50824,1.312287,0,0,13.7509824
OBJECT=3375,-120.236755,-789.886536,1.357226,0,0,13.7509824
OBJECT=17063,-105.534439,-751.098938,-2.904207,0,0,167.486189104
OBJECT=17063,-117.48114,-748.429749,-2.961253,0,0,167.486189104
OBJECT=17063,-129.066711,-745.664368,-4.245337,0,0,167.486189104
OBJECT=17063,-140.75592,-743.168213,-3.759018,0,358.2811272,167.486189104
OBJECT=17063,-153.325882,-740.400452,-3.98315,0,0,167.486189104
OBJECT=3375,-176.646988,-733.759766,1.069115,0,0,346.2490176
OBJECT=969,-166.813736,-738.411865,5.219708,0,0,256.0081956
OBJECT=969,-184.380524,-720.747253,5.346829,0,0,256.0081956
OBJECT=969,-196.053497,-729.500916,-0.140401,0,0,256.0081956
OBJECT=3627,-214.387299,-723.933472,-3.679705,0,0,76.4898396
OBJECT=3627,-231.455475,-719.767578,3.846375,24.0642192,0,76.4898396
OBJECT=3627,-269.540253,-710.720276,7.452213,0,0,76.4898396
OBJECT=5401,-303.426453,-700.243713,9.840296,0,0,166.7306616
OBJECT=5401,-327.655457,-690.091125,13.799275,0,0,166.7306616
OBJECT=5153,-308.545502,-699.144897,11.827745,0,0,165.767201713
OBJECT=5153,-307.817383,-696.568115,11.83952,0,0,165.767201713
OBJECT=5153,-310.543884,-695.862122,13.889663,0.8594364,333.3574716,165.767201713
OBJECT=5153,-311.192993,-698.445068,13.997293,0.8594364,333.3574716,165.767201713
OBJECT=5153,-314.629089,-697.567871,15.924553,0.8594364,18.0481644,165.767201713
OBJECT=5153,-313.864502,-694.97406,15.889502,0.8594364,18.0481644,165.767201713
OBJECT=5153,-338.000885,-686.655151,16.103273,0.8594364,11.1726732,167.486074513
OBJECT=5153,-337.54187,-684.522644,16.145187,0.8594364,11.1726732,167.486074513
OBJECT=17052,-342.53717,-469.808807,-3.73665,0,0,31.7991468
OBJECT=17052,-333.240692,-485.964539,-5.418967,0,0,31.7991468
OBJECT=17052,-324.882263,-499.958771,-4.036061,0,0,31.7991468
OBJECT=17052,-320.856049,-508.199524,-0.050071,0,0,31.7991468
OBJECT=17052,-310.568542,-526.164795,0.005592,0,0,31.7991468
OBJECT=1633,-305.920654,-539.346436,3.133345,345.3895812,359.1405636,212.1769392
OBJECT=1633,-302.420776,-537.125793,3.081271,345.3895812,359.1405636,212.1769392
OBJECT=1632,-302.45343,-545.139099,4.310398,0,0,210.458009104
OBJECT=1632,-298.970703,-542.909912,4.294665,0,0,210.458009104
OBJECT=3627,-282.904572,-567.387878,1.373359,0,0,42.97182
OBJECT=3287,-265.267853,-584.986084,4.04724,0,84.2247672,312.730998
OBJECT=3287,-261.771576,-588.67395,3.83658,0,85.94364,312.730998
OBJECT=3287,-258.148254,-592.676453,3.747,0,85.94364,312.730998
OBJECT=3287,-254.43219,-596.642761,3.552226,0,85.94364,312.730998
OBJECT=3287,-250.973068,-600.4328,3.393559,0,85.94364,312.730998
OBJECT=3287,-247.600281,-604.320557,3.300593,0,85.94364,312.730998
OBJECT=3502,-246.933914,-610.247437,3.385364,0,0,42.97182
OBJECT=3502,-244.434006,-607.934875,3.405163,0,0,42.97182
OBJECT=3502,-241.571564,-613.477905,4.143232,0,0,313.5904344
OBJECT=3502,-239.62056,-615.511108,4.660993,0,0,313.5904344
OBJECT=3502,-237.834747,-617.367737,5.285639,0,0,313.5904344
OBJECT=3502,-235.675354,-619.735718,5.802762,0,0,313.5904344
OBJECT=12911,-218.490723,-622.114502,5.774359,347.108454,269.863086896,40.3935108
OBJECT=12911,-215.272995,-626.038269,6.895748,347.108454,269.863086896,40.3935108
OBJECT=12911,-199.043259,-645.069824,8.233061,347.108454,269.863086896,40.3935108
OBJECT=12911,-196.343933,-648.392395,8.837155,347.108454,269.863086896,40.3935108
OBJECT=16309,-181.749405,-668.767517,8.869331,0,1.7188728,336.69176667
