; Converted Mon, 12 Apr 10 16:03:26 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1815.803589,840.486389,10.322697,0
MinLevel=0
JoinCost=15000
WinBaseXP=2500000
WinBaseCash=2500000

Name=Moto Challange
Author=Smoke and Woozie
Description=
RunTime=1000
Weather=
Time=11:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1815.803589,840.486389,10.322697,78
SPAWN=1815.928955,841.197205,10.312976,78
SPAWN=1816.145752,841.861816,10.305408,78
SPAWN=1816.112549,842.596924,10.293605,78
SPAWN=1816.03833,843.372925,10.293387,78
SPAWN=1815.934814,844.16925,10.298579,78
SPAWN=1815.873169,844.938354,10.31029,78
SPAWN=1815.863892,845.750366,10.320402,78

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1782.068848,843.102661,9.625276,1,8
CP=1709.241821,842.109802,17.137501,1,8
CP=1515.060791,849.127197,38.812466,1,8
CP=1288.312988,1014.2348,90.606407,1,8
CP=1259.915527,1092.785278,136.400909,1,8
CP=1239.946655,1293.236206,6.385605,0,8
CP=1280.262573,1364.866943,17.261118,1,8
CP=1292.112671,1579.528687,49.296875,1,8
CP=1330.925293,1717.720947,17.246189,1,8
CP=1580.262695,1690.207397,34.224426,1,8
CP=1679.246582,1559.264893,28.833405,1,8
CP=1647.221802,1487.486572,22.754578,1,8
CP=1679.296387,1448.149292,46.78125,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=5706,1737.677856,842.725891,14.729911,0,0,89.999950625
OBJECT=5706,1714.719727,841.171387,13.317017,0,0,89.999950625
OBJECT=5706,1694.618042,841.085938,12.660084,0,0,89.999950625
OBJECT=13647,1761.049438,843.666687,9.582531,0,25.783092,0
OBJECT=13647,1777.059814,843.672546,9.721737,0,0,179.999958546
OBJECT=13647,1661.764282,844.033936,16.47654,0,7.7349276,0
OBJECT=13647,1640.411255,843.850525,19.418755,0,2.5783092,0
OBJECT=13647,1599.517212,844.612793,19.829237,0,0,177.903392096
OBJECT=13647,1564.857788,845.180664,21.981459,0,4.297182,0
OBJECT=13647,1535.075806,845.48761,24.705004,0,331.6385988,178.6589196
OBJECT=13648,1501.446045,845.525269,34.636982,0,325.622028338,272.337544496
OBJECT=13647,1481.405151,841.579773,35.217876,0,0,191.654374496
OBJECT=13648,1448.453491,841.951782,35.97567,0,37.8152016,77.3492187042
OBJECT=13648,1415.476685,852.966064,37.350868,0,43.8312564,246.5543952
OBJECT=13647,1378.566284,867.865479,38.039639,0,7.7349276,339.3735264
OBJECT=13647,1349.205811,879.253845,41.903023,0,12.0321096,338.51409
OBJECT=13648,1312.078735,899.616821,46.434792,0,4.297182,54.1444359042
OBJECT=3399,1294.453857,915.037292,51.15781,0,0,121.936059904
OBJECT=3399,1289.169189,922.550781,55.986233,0,0,128.0560236
OBJECT=1225,1294.33667,915.615051,51.594814,0,0,0
OBJECT=1225,1289.05127,922.97345,56.423237,0,0,0
OBJECT=1225,1285.468262,927.523804,58.626362,0,0,0
OBJECT=4881,1297.935791,947.565918,62.249897,0,37.8152016,284.369654096
OBJECT=4881,1324.388672,986.960266,72.509987,0,349.6867632,137.405342147
OBJECT=5153,1317.895996,960.546082,71.121643,0,345.3895812,37.8152016
OBJECT=13647,1307.737793,1014.829773,77.721939,0,355.702818,156.313630496
OBJECT=13647,1291.234619,1013.85553,83.006462,0,12.891546,1.7188728
OBJECT=3279,1268.835205,1017.114746,88.304565,0,0,0
OBJECT=3279,1265.521973,1018.924683,104.458305,0,0,0
OBJECT=3279,1262.425049,1021.079041,120.612045,0,0,0
OBJECT=3996,1253.567139,1074.350342,136.770813,0,0,92.8191312
OBJECT=13647,1252.286743,1165.026123,127.098778,0,194.233084766,94.5379467042
OBJECT=13647,1253.946533,1144.026855,132.118958,0,193.373648366,94.5379467042
OBJECT=13647,1250.686279,1185.957397,121.761902,0,165.766915234,274.056417296
OBJECT=13647,1249.425659,1204.144531,117.126839,0,193.373648366,93.6785103042
OBJECT=13647,1248.227661,1222.925659,112.760773,0,168.449591696,274.05636
OBJECT=3457,1240.52478,1293.756592,11.769416,0,0,89.3813283042
OBJECT=13647,1264.729858,1321.060791,15.02002,0,0,0
OBJECT=13647,1283.044922,1354.726685,16.114103,0,0,105.7106772
OBJECT=13647,1275.210205,1386.601807,16.250204,0,4.297182,281.7912876
OBJECT=13647,1275.474121,1414.068604,18.891769,0,0,262.8836868
OBJECT=13647,1280.179688,1447.38916,19.05287,0,0,261.164814
OBJECT=13647,1288.511841,1479.679565,19.092297,0,8.594364,248.273210704
OBJECT=13647,1294.398682,1506.93103,21.653061,0,8.594364,274.05636
OBJECT=13647,1292.62561,1526.897827,25.121096,0,24.9236556,276.6346692
OBJECT=13647,1291.880493,1554.11792,35.976074,0,21.48591,269.759178
OBJECT=5153,1291.567139,1570.341309,47.598385,0,352.2650724,94.538004
OBJECT=1633,1291.58374,1563.478149,45.408775,0,0,0
OBJECT=5152,1293.604004,1520.724365,27.258089,0,347.108454,97.1163132
