; Converted Wed, 07 Jul 10 23:01:41 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1712.9297,1329.3102,7.0391
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=Mount Dinghy
Author=Bro
Description=Mount Dinghy
RunTime=480
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=473

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-2410.340576,-1621.786255,573.133179,360
SPAWN=-2411.998047,-1630.020874,574.05127,360
SPAWN=-2412.96875,-1624.10083,573.2901,360
SPAWN=-2409.51123,-1627.126221,573.80127,360
SPAWN=-2414.748535,-1630.33313,574.679565,360
SPAWN=-2415.493652,-1625.038452,573.80127,360
SPAWN=-2417.730957,-1633.200806,573.80127,360
SPAWN=-2418.30542,-1627.829468,573.80127,360
SPAWN=-2420.969727,-1635.950317,573.30127,360
SPAWN=-2421.55957,-1630.717285,573.80127,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-2724.411133,-962.773071,-0.003958,0,8,446
CP=-2529.033691,-873.846924,-0.006919,0,8
CP=-2333.751709,-955.310547,0.015268,0,8
CP=-2145.890869,-1124.88208,-0.029671,0,8
CP=-2000.401367,-1323.711426,-0.011162,0,8
CP=-1917.852173,-1490.238281,17.665825,0,8,416
CP=-1956.741333,-1825.405273,31.853163,0,8
CP=-2104.356934,-2075.239502,62.126141,0,8
CP=-2114.096191,-2207.361816,35.210045,0,8
CP=-2135.594482,-2295.534668,29.46875,0,8
CP=-2191.714844,-2371.358154,29.46875,0,8
CP=-2148.364502,-2408.737793,29.46875,0,8
CP=-2202.018311,-2478.529053,29.46875,0,8
CP=-2230.683838,-2451.072021,29.46875,0,8
CP=-2204.51709,-2357.195557,29.625,0,8
CP=-2318.479736,-2289.232422,20.97057,0,8
CP=-2350.231934,-2219.997559,23.78738,0,8
CP=-2294.804932,-2159.987793,45.213131,0,8
CP=-2103.314941,-1881.320313,109.523438,0,8
CP=-2482.235596,-2050.299316,142.215988,0,8
CP=-2646.317871,-1726.549561,257.171692,0,8
CP=-2516.035156,-1877.479126,298.943512,0,8
CP=-2588.413086,-1624.794067,343.746002,0,8
CP=-2522.233154,-1797.801025,376.176605,0,8
CP=-2546.139648,-1662.567993,399.254822,0,8
CP=-2434.814941,-1806.052734,409.831909,0,8
CP=-2455.279297,-1721.4198,430.588623,0,8
CP=-2327.57251,-1813.315796,435.275024,0,8
CP=-2281.661865,-1716.089233,472.535278,0,8
CP=-2346.906494,-1638.350464,482.703125,0,8
CP=-2315.647949,-1617.845947,482.754517,0,8
CP=-2249.120117,-1716.877563,479.15863,0,8
CP=-2319.121826,-1696.513428,507.350006,0,8
CP=-2419.121582,-1620.299683,547.350586,0,16,473
CP=-2699.052979,-1002.788147,-0.034169,0,24

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8841,-2439.52002,-1600.66626,513.555176,0,316.1687436,312.731055296
OBJECT=8841,-2460.653809,-1577.776245,483.644409,0,316.1687436,312.731055296
OBJECT=8841,-2481.932129,-1554.708862,453.505646,0,316.1687436,312.731055296
OBJECT=8841,-2503.281006,-1531.581421,423.276245,0,316.1687436,312.731055296
OBJECT=8841,-2524.619629,-1508.348999,392.936188,0,316.1687436,312.731055296
OBJECT=8841,-2547.250732,-1475.599976,363.381409,0,341.0923992,265.462053296
OBJECT=8841,-2567.512451,-1471.911621,370.605377,326.4819804,343.6707084,256.867689296
OBJECT=8841,-2560.289063,-1439.869995,364.413971,326.4819804,343.6707084,232.8034128
OBJECT=8841,-2541.494629,-1441.542603,354.378174,347.108454,345.3895812,232.8034128
OBJECT=8841,-2539.812012,-1406.396362,356.875671,327.3414168,345.3895812,215.614570208
OBJECT=8841,-2573.914063,-1437.384155,378.003235,309.293309696,343.6707084,232.8034128
OBJECT=8841,-2554.915283,-1403.496704,371.801117,306.715000496,343.6707084,219.052373104
OBJECT=8841,-2527.359863,-1375.105713,366.645508,306.715000496,343.6707084,202.722966913
OBJECT=8841,-2506.05542,-1382.072998,348.397217,329.919726,350.5461996,207.020148913
OBJECT=8841,-2469.053467,-1366.861938,342.707825,334.216908,350.5461996,186.393560721
OBJECT=8841,-2439.972412,-1385.809204,340.099518,34.377456,337.6546536,195.847418417
OBJECT=8841,-2495.041992,-1356.92749,361.565735,316.1687436,343.6707084,181.236885025
OBJECT=8841,-2419.304199,-1622.527832,544.878906,0,311.012182496,312.731055296
OBJECT=8841,-2581.137695,-1430.518799,394.84848,287.807399696,343.6707084,232.8034128
OBJECT=8841,-2563.244385,-1397.757202,392.680847,287.807399696,343.6707084,217.333443008
OBJECT=8841,-2534.914551,-1367.328369,390.627594,287.807399696,341.9518356,198.425727617
OBJECT=8841,-2380.582275,-1362.557617,307.575867,356.5622544,27.5019648,3.4377456
OBJECT=8841,-2453.856689,-1361.848389,344.320648,328.2008532,346.2490176,168.345224434
OBJECT=8841,-2278.889893,-1343.847412,282.574677,353.9839452,16.3292916,6.0160548
OBJECT=8841,-2235.819092,-1321.363647,275.347412,347.9678904,25.783092,139.984338896
OBJECT=8841,-2262.187012,-1301.344727,263.993103,356.5622544,11.1726732,149.438196592
OBJECT=8841,-2284.702637,-1302.195801,265.533325,39.5340744,11.1726732,123.655047296
OBJECT=8841,-2238.098145,-1336.600342,283.039337,14.6104188,26.6425284,175.221460479
OBJECT=8841,-2344.967041,-1358.663208,297.861115,356.5622544,358.2811272,3.4377456
OBJECT=8841,-2223.854492,-1310.903076,287.661926,305.855564096,25.783092,139.124902496
OBJECT=8841,-2244.934326,-1293.30835,271.588287,305.855564096,25.783092,166.627039183
OBJECT=8841,-2270.930908,-1275.494263,263.751923,317.8876164,20.6264736,168.345969279
OBJECT=8841,-2294.231201,-1274.573364,253.346802,2.5783092,14.6104188,141.703211696
OBJECT=8841,-2309.185303,-1256.210815,245.63562,0,15.4698552,133.9682268
OBJECT=8841,-2340.028809,-1228.273071,235.712982,358.2811272,350.5461996,317.785311786
OBJECT=8841,-2546.264648,-1521.900391,399.363525,336.7952172,314.449928096,289.526272496
OBJECT=8841,-2558.890137,-1493.626709,372.22348,32.6585832,2.5783092,164.907478834
OBJECT=8841,-2524.535645,-1545.376343,429.004395,338.51409,311.871618896,289.526272496
OBJECT=8841,-2502.388916,-1568.00061,458.43634,339.3735264,311.871618896,289.526272496
OBJECT=8841,-2483.952148,-1590.848022,487.948059,335.9357808,311.871618896,289.526272496
OBJECT=8841,-2462.575684,-1613.745361,517.356873,335.9357808,311.871618896,289.526272496
OBJECT=8841,-2441.145508,-1635.34021,548.115173,337.6546536,306.715000496,288.666836096
OBJECT=8841,-2497.205078,-1346.847534,380.10968,292.964018096,343.6707084,181.236885025
OBJECT=8841,-2466.582275,-1344.949707,365.323425,301.558382096,352.2650724,177.79908213
OBJECT=8841,-2373.589844,-1192.747803,213.92041,12.0321096,337.6546536,317.785311786
OBJECT=8841,-2404.077881,-1165.575562,202.437897,9.4538004,349.6867632,326.379561194
OBJECT=8841,-2437.958008,-1147.574585,195.313049,6.8754912,348.8273268,350.443608507
OBJECT=8841,-2479.158691,-1139.655884,185.102081,2.5783092,347.108454,349.584172107
OBJECT=8841,-2405.07251,-1189.215088,207.395538,332.4980352,343.6707084,304.893880377
