; Converted Fri, 18 Dec 09 10:14:07 +1100

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2882.8164,-911.0601,10.8750
MinLevel=5
JoinCost=1500
WinBaseXP=150000
WinBaseCash=300000

Name=Oil-Slick
Author=Slick
Description=
RunTime=600
Weather=3
Time=5:30

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=560

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2811.42041,-847.677368,22.725443,271
SPAWN=2811.365723,-851.59021,22.71887,271
SPAWN=2811.415771,-855.588379,22.770422,271
SPAWN=2812.738525,-860.254761,22.827635,271
SPAWN=2815.424072,-865.318237,22.951893,271
SPAWN=2819.610352,-870.27771,23.320505,271

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2874.074463,-853.475708,21.146391,0,8
CP=3220.92041,-907.862671,21.188166,0,8
CP=3193.05542,-902.834839,18.932137,0,8
CP=2880.192627,-873.966797,24.581173,0,4024
CP=2806.865967,-1049.591553,36.110188,0,8
CP=2600.289551,-1035.912354,68.908798,0,3552
CP=2752.73999,-856.471252,39.438046,0,8
CP=2695.685791,-736.439514,78.99942,0,8
CP=2392.958984,-648.264465,126.283089,0,3744
CP=2536.074219,-390.098572,77.214455,0,8
CP=2748.990723,-551.842529,48.990891,0,8
CP=2830.387451,-858.791321,21.146391,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=6188,2840.718506,-860.378235,8.740141,0,0,89.999950625
OBJECT=7392,2871.077148,-870.341736,29.241491,0,0,337.500012344
OBJECT=11500,2807.570313,-839.358154,20.397484,0,0,89.999950625
OBJECT=979,2854.547119,-875.113831,21.98661,0,0,22.4999876562
OBJECT=979,2862.171875,-870.012817,22.000021,0,0,44.9999753125
OBJECT=979,2869.710205,-864.932373,22.044817,0,0,22.4999876562
OBJECT=981,2805.047852,-860.955688,21.513428,0,0,89.999950625
OBJECT=4133,2955.19043,-858.698425,19.319742,0,0,78.7499854447
OBJECT=973,2908.736816,-859.452271,21.98661,0,0,11.250022476
OBJECT=973,2908.747559,-861.060364,21.968992,0,0,168.749878774
OBJECT=1217,2909.849121,-860.351074,21.56777,0,0,0
OBJECT=3990,3044.157471,-865.183655,18.228996,0,0,90.0001481251
OBJECT=13591,3038.993652,-830.179688,19.451225,0,0,281.250014555
OBJECT=13591,3044.908447,-834.250793,19.445761,0,0,157.500111094
OBJECT=1217,3042.409424,-839.207703,19.532345,0,0,0
OBJECT=1217,3042.20459,-837.61322,19.532087,0,0,0
OBJECT=1217,3040.33252,-835.725647,19.530731,0,0,0
OBJECT=1217,3039.864014,-837.001099,19.526291,0,0,0
OBJECT=1217,3040.206055,-837.741638,19.527401,0,0,0
OBJECT=1217,3037.707764,-834.131592,19.530712,0,0,0
OBJECT=1217,3035.964844,-837.294739,19.537752,0,0,0
OBJECT=1217,3036.854492,-838.837158,19.550453,0,0,0
OBJECT=1217,3038.599121,-836.060852,19.533602,0,0,0
OBJECT=1217,3035.566895,-833.124023,19.524311,0,0,0
OBJECT=1217,3033.630371,-831.666809,19.520893,0,0,0
OBJECT=1217,3033.330566,-828.198425,19.527493,0,0,0
OBJECT=1217,3032.618896,-831.464661,19.517879,0,0,0
OBJECT=1217,3030.302734,-829.410645,19.514477,0,0,0
OBJECT=1217,3031.713379,-830.32373,19.517292,0,0,0
OBJECT=1217,3035.125,-829.447937,19.53088,0,0,0
OBJECT=1217,3034.303711,-830.414307,19.525949,0,0,0
OBJECT=1217,3034.587646,-832.42395,19.522503,0,0,0
OBJECT=1217,3035.947998,-834.006287,19.523981,0,0,0
OBJECT=12957,3064.031006,-896.97406,20.00075,0,0,0
OBJECT=13591,3067.903809,-891.279663,19.394276,0,0,157.500111094
OBJECT=12957,3067.591797,-884.698486,19.982519,0,0,0
OBJECT=1222,3063.808594,-881.780884,19.730534,0,0,0
OBJECT=1222,3065.720703,-886.36377,19.579359,0,0,0
OBJECT=1222,3061.669922,-881.934753,19.551512,0,0,0
OBJECT=1222,3060.776367,-885.523743,19.555031,0,0,0
OBJECT=1222,3063.44043,-884.399658,19.567402,0,0,0
OBJECT=1222,3062.167725,-888.518555,19.566319,0,0,0
OBJECT=1222,3063.105469,-890.540466,19.583099,0,0,0
OBJECT=1222,3061.220459,-894.029236,19.585075,0,0,0
OBJECT=1222,3059.473145,-891.350464,19.570427,0,0,0
OBJECT=1222,3058.335938,-884.963623,19.544403,0,0,0
OBJECT=1222,3060.041748,-889.492737,19.569553,0,0,0
OBJECT=1222,3058.516113,-893.963135,19.572365,0,0,0
OBJECT=1222,3057.592529,-895.978882,19.74374,0,0,0
OBJECT=1222,3056.471924,-888.434753,19.549381,0,0,0
OBJECT=1222,3057.461426,-886.701843,19.54974,0,0,0
OBJECT=1222,3058.789307,-886.259521,19.548706,0,0,0
OBJECT=1222,3059.58667,-882.650879,19.544771,0,0,0
OBJECT=1222,3058.988281,-879.82251,19.543249,0,0,0
OBJECT=1222,3059.032959,-877.811584,19.738157,0,0,0
OBJECT=1290,2906.611572,-860.279907,27.102194,0,0,270.000049375
OBJECT=6865,2909.864014,-876.625854,23.175875,0,0,270.000049375
OBJECT=13667,2910.853271,-845.381836,37.035103,0,0,225.000074063
OBJECT=1633,3060.518799,-846.935242,20.176167,0,0,270.000049375
OBJECT=1633,3060.519043,-851.079346,20.176167,0,0,270.000049375
