; Converted Sun, 11 Apr 10 16:57:10 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2324.9158,-2340.7134,13.3828
MinLevel=1
JoinCost=1000
WinBaseXP=175000
WinBaseCash=100000

Name=Phoenixs 4-Lap Dock Run
Author=Phoenix
Description=Drift and ramp around the LS docks.
RunTime=600
Weather=1
Time=8:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=603

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2329.609619,-2340.241699,13.06198,227
SPAWN=2327.341064,-2342.053711,13.282545,227
SPAWN=2325.130127,-2344.123291,13.282545,227
SPAWN=2322.862305,-2346.471436,13.282545,227
SPAWN=2317.740234,-2341.380127,13.282545,227
SPAWN=2320.122314,-2338.979004,13.282545,227
SPAWN=2322.446289,-2336.69751,13.282545,227
SPAWN=2324.506348,-2334.598877,13.282545,227
SPAWN=2319.100098,-2329.230957,13.282545,227
SPAWN=2316.767822,-2331.357422,13.282545,227
SPAWN=2314.659668,-2333.625244,13.282545,227
SPAWN=2313.97998,-2323.958496,13.282545,227
SPAWN=2311.828125,-2326.101563,13.282545,227
SPAWN=2309.700439,-2328.731934,13.282545,227

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2427.199951,-2442.568604,12.45649,0,8
CP=2486.413818,-2522.901367,12.520653,0,8
CP=2482.364258,-2651.688965,12.566948,0,8
CP=2233.703857,-2656.232666,12.379913,0,8
CP=2224.771729,-2501.688477,12.368991,0,8
CP=2322.452148,-2338.996582,12.382813,0,8
CP=2432.643311,-2231.101807,12.338181,0,8
CP=2632.739502,-2225.685547,15.296875,0,8
CP=2750.295654,-2225.009521,15.1875,0,8
CP=2780.7229,-2144.378174,10.101563,0,8
CP=2567.484619,-2169.378174,11.983427,0,8
CP=2335.746338,-2235.874023,12.375,0,8
CP=2321.105225,-2337.978027,12.382813,0,8
CP=2426.996826,-2442.097412,12.452991,0,8
CP=2594.623047,-2400.56665,12.629332,0,8
CP=2683.987793,-2408.370117,12.47994,0,8
CP=2717.525146,-2504.530518,12.485859,0,8
CP=2718.008545,-2405.309082,12.471474,0,8
CP=2590.125488,-2386.953125,12.385522,0,8
CP=2433.629639,-2231.775635,24.0625,0,8
CP=2283.601318,-2082.083984,12.381732,0,8
CP=2197.780762,-2167.183838,12.390598,0,8
CP=2326.94751,-2347.184082,12.382813,0,8
CP=2491.016357,-2409.938232,12.453125,0,8
CP=2533.637207,-2477.964355,13.978579,0,8
CP=2522.838135,-2559.87793,12.641966,0,8
CP=2524.8125,-2629.456299,12.637949,0,2.4
CP=2506.047119,-2672.665283,12.654697,0,8
CP=2327.570068,-2661.741211,12.516332,0,8
CP=2181.635254,-2654.494385,12.546875,0,8
CP=2168.74292,-2499.926514,12.375,0,8
CP=2320.264893,-2339.889893,12.382813,0,8
CP=2248.378662,-2426.320557,12.546875,0,8
CP=2249.161621,-2511.797363,7.299032,0,4
CP=2248.963135,-2629.055908,12.565271,0,8
CP=2327.2229,-2661.689453,12.515933,0,8
CP=2400.72998,-2577.162354,15.304688,0,8
CP=2392.961914,-2502.334229,15.224384,0,8
CP=2349.172607,-2413.540283,0.133099,0,8
CP=2320.644531,-2337.183594,12.382813,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1633,2441.854248,-2469.72998,13.926822,0,0,202.499946202
OBJECT=1633,2437.465576,-2469.824951,13.474085,0,0,202.499946202
OBJECT=1225,2449.248535,-2482.32666,13.044637,0,0,0
OBJECT=1225,2445.656006,-2481.480957,13.044234,0,0,0
OBJECT=1225,2445.193115,-2482.584717,13.04493,0,0,0
OBJECT=1225,2444.87915,-2483.497314,13.045524,0,0,0
OBJECT=1225,2441.509277,-2479.320557,13.04164,0,0,0
OBJECT=1225,2441.966064,-2478.762939,13.041343,0,0,0
OBJECT=1225,2444.918213,-2477.57373,13.041194,0,0,0
OBJECT=1225,2446.611572,-2477.767578,13.041749,0,0,0
OBJECT=1225,2448.137939,-2479.538574,13.043422,0,0,0
OBJECT=1225,2447.700684,-2483.063721,13.045896,0,0,0
OBJECT=1225,2443.936523,-2484.203369,13.04581,0,0,0
OBJECT=1225,2442.416016,-2483.874023,13.045199,0,0,0
OBJECT=1225,2440.193604,-2481.142822,13.042655,0,0,0
OBJECT=1225,2438.806641,-2478.64502,13.037372,0,0,0
OBJECT=1225,2438.880615,-2477.019775,14.215927,0,0,0
OBJECT=1225,2440.873779,-2476.490723,13.039412,0,0,0
OBJECT=1225,2443.772949,-2476.541992,13.04016,0,0,0
OBJECT=1225,2443.655518,-2477.457031,13.040801,0,0,0
OBJECT=1225,2441.975586,-2481.164063,13.043105,0,0,0
OBJECT=1225,2445.692627,-2485.600586,13.047263,0,0,0
OBJECT=1225,2449.061768,-2486.479736,13.048728,0,0,0
OBJECT=1225,2449.093262,-2482.524414,13.04584,0,0,0
OBJECT=1225,2443.953613,-2479.398926,13.042295,0,0,0
OBJECT=1225,2438.66333,-2478.681885,13.037389,0,0,0
OBJECT=1225,2437.461914,-2477.598633,13.044675,0,0,0
OBJECT=1225,2438.783447,-2475.125977,15.095424,0,0,0
OBJECT=1225,2440.877686,-2474.671631,14.095404,0,0,0
OBJECT=1225,2443.525391,-2474.253906,13.038421,0,0,0
OBJECT=1225,2444.753906,-2474.397949,13.038827,0,0,0
OBJECT=1225,2445.908203,-2475.744385,13.040095,0,0,0
OBJECT=1225,2447.715576,-2479.148193,13.043031,0,0,0
OBJECT=1225,2448.698486,-2480.845459,13.044513,0,0,0
OBJECT=1225,2448.695313,-2481.888428,13.045276,0,0,0
OBJECT=1225,2448.172363,-2484.330566,13.046939,0,0,0
OBJECT=1225,2445.345703,-2484.738525,13.046544,0,0,0
OBJECT=1225,2442.523682,-2483.386719,13.044868,0,0,0
OBJECT=1225,2440.793457,-2482.038818,13.043456,0,0,0
OBJECT=1225,2438.713135,-2481.225586,13.042354,0,0,0
OBJECT=1225,2441.826416,-2484.086914,13.045211,0,0,0
OBJECT=1225,2444.001465,-2486.073242,13.047194,0,0,0
OBJECT=1225,2445.630615,-2487.772705,13.048837,0,0,0
OBJECT=1225,2449.204102,-2488.263428,13.050073,0,0,0
OBJECT=1225,2450.7229,-2486.403809,13.049079,0,0,0
OBJECT=1225,2451.470947,-2484.330566,13.047744,0,0,0
OBJECT=1225,2451.958496,-2482.45166,13.046487,0,0,0
OBJECT=1225,2451.135254,-2480.565674,13.044904,0,0,0
OBJECT=1225,2449.03833,-2478.172119,13.042638,0,0,0
OBJECT=1225,2446.452881,-2478.513184,13.042254,0,0,0
OBJECT=1225,2443.441162,-2479.438477,13.042197,0,0,0
OBJECT=1225,2441.807861,-2479.187988,13.041617,0,0,0
OBJECT=1225,2439.621094,-2479.104248,13.041022,0,0,0
