; Converted Sun, 27 Jun 10 09:18:48 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1711.3346,1250.1583,17.9286
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=Pipe Maze
Author=Big Smoke
RunTime=1000
Weather=6
Time=5:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=471

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=6582.932617,1449.026611,10.028984,360
SPAWN=6589.874023,1449.171875,10.028984,360
SPAWN=6596.930664,1449.236572,10.028984,360
SPAWN=6602.529785,1449.446533,10.028984,360
SPAWN=6607.720703,1449.74707,10.065903,360
SPAWN=6614.654297,1449.416504,10.065903,360
SPAWN=6619.765137,1449.428589,10.065903,360
SPAWN=6619.782715,1445.574097,10.065903,360
SPAWN=6614.658203,1445.324463,10.065903,360
SPAWN=6607.816895,1445.51001,10.065903,360
SPAWN=6602.52002,1445.381348,10.028984,360
SPAWN=6596.774414,1445.457275,10.028984,360
SPAWN=6589.632324,1445.611328,10.028984,360
SPAWN=6582.604492,1445.571289,10.028984,360
SPAWN=6582.350098,1441.593994,10.028984,360
SPAWN=6588.666016,1441.286621,10.028984,360
SPAWN=6596.421875,1441.489258,10.028984,360
SPAWN=6602.098145,1442.20874,10.028984,360
SPAWN=6607.817871,1442.296387,10.065903,360
SPAWN=6614.698242,1442.561768,10.065903,360
SPAWN=6614.705566,1438.899902,10.065903,360
SPAWN=6607.421875,1438.699707,10.065903,360
SPAWN=6601.550781,1438.835693,10.028984,360
SPAWN=6596.188965,1438.322754,10.028984,360
SPAWN=6588.704102,1437.94165,10.028984,360
SPAWN=6582.23877,1438.460449,10.028984,360
SPAWN=6619.581543,1439.078735,10.065903,360
SPAWN=6619.674316,1442.580444,10.065903,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=6650.461914,1705.300659,31.946518,1,2.4

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3502,6581.371094,1491.824707,7.51786,0,0,0
OBJECT=3502,6581.735352,1483.181152,7.532188,0,0,179.999958546
OBJECT=3502,6581.379395,1500.952881,7.55217,0,0,179.99990125
OBJECT=3502,6581.389648,1509.500732,9.455292,335.9357808,0,179.99990125
OBJECT=5706,6586.159668,1441.712646,5.633499,0,0,0
OBJECT=5706,6619.194336,1441.693115,5.670418,0,0,0
OBJECT=3502,6581.771484,1458.380615,11.382622,0,0,179.999958546
OBJECT=3502,6581.786621,1467.088379,11.363953,0,0,179.999958546
OBJECT=3502,6581.768555,1475.15625,9.140823,26.6425284,358.2811272,179.999958546
OBJECT=3502,6599.076172,1457.66333,11.382622,0,0,179.999958546
OBJECT=3502,6614.929199,1457.504639,11.419548,0,0,179.999958546
OBJECT=16776,6542.195313,1541.733398,7.374031,0,0,89.999950625
OBJECT=971,6580.676758,1517.946045,9.8936,91.9596375042,0,0
OBJECT=971,6588.837402,1517.987061,9.86702,91.9596375042,0,0
OBJECT=3502,6577.920898,1526.045898,11.770775,0,0,0
OBJECT=3502,6575.477539,1533.51001,11.548187,0,0,33.7500101322
OBJECT=3502,6569.015137,1539.677979,11.497162,0,0,56.2499977885
OBJECT=3502,6560.880859,1542.129639,12.471878,14.6104188,0,89.999950625
OBJECT=1225,6557.109863,1542.309326,12.196625,0,0,0
OBJECT=3502,6585.854492,1525.78125,11.78318,0,0,0
OBJECT=971,6596.797852,1517.970947,9.840874,91.9596375042,0,0
OBJECT=3502,6605.767578,1516.598877,11.432503,0,0,89.999950625
OBJECT=3502,6614.615234,1516.642578,8.940491,30.080274,0,89.999950625
OBJECT=3502,6621.797852,1516.634277,4.619125,31.7991468,0,89.999950625
OBJECT=4203,6664.396484,1519.585205,1.11879,0.8594364,0,101.249973101
OBJECT=971,6625.665527,1510.105713,2.174614,0,0,89.999950625
OBJECT=971,6625.703125,1522.89502,2.107368,0,0,89.999950625
OBJECT=4203,6740.751953,1540.580811,0.82354,0.8594364,0,122.890467061
OBJECT=4203,6810.202637,1583.4375,0.549309,0.8594364,0,122.890467061
OBJECT=4203,6815.318848,1572.651733,0.705963,0.8594364,0,122.890467061
OBJECT=972,6852.163574,1582.911133,-0.339462,0,0,33.7500101322
OBJECT=971,6782.816895,1550.377197,1.128822,0,0,123.749903461
OBJECT=971,6771.393555,1567.94519,1.301254,0,0,123.749903461
OBJECT=3502,6585.855469,1534.485352,11.784691,0,0,0
OBJECT=3502,6585.839844,1543.477539,11.836494,0,0,0
OBJECT=3502,6585.826172,1551.56604,13.368614,22.3453464,0,0
OBJECT=3502,6585.836426,1559.953003,16.689804,22.3453464,0,0
OBJECT=3502,6585.829102,1567.588867,20.748398,32.6585832,0,0
OBJECT=3502,6585.73877,1576.366699,23.416496,0,0,0
OBJECT=3502,6585.845703,1585.334229,19.828369,314.449928096,0,0
OBJECT=3502,6585.608887,1597.365601,7.478645,314.449928096,0,0
OBJECT=3502,6585.63623,1591.612793,13.36895,314.449928096,0,0
OBJECT=3502,6585.469727,1604.970337,4.215759,0,0,0
OBJECT=3502,6587.867188,1613.247192,4.23896,0,0,326.249989868
OBJECT=3502,6593.875,1619.045288,4.993919,9.4538004,0,303.750002212
OBJECT=3502,6602.029297,1622.294434,6.380524,9.4538004,0,281.250014555
OBJECT=3502,6610.22998,1620.903076,8.350937,17.188728,0,236.250096539
OBJECT=3502,6615.345703,1614.532349,11.075813,17.188728,0,202.500086406
OBJECT=3502,6615.90625,1606.562012,13.689407,17.188728,0,168.750076274
OBJECT=3502,6612.355469,1599.841797,16.24176,17.188728,0,135.000066142
OBJECT=3502,6605.658203,1595.334473,18.958549,17.188728,0,112.500078486
OBJECT=3502,6597.431641,1593.764526,21.521942,17.188728,0,90.0000908294
OBJECT=3502,6590.404297,1595.994873,24.070015,17.188728,0,56.2500806971
OBJECT=3502,6585.649414,1601.898193,26.577377,17.188728,0,22.5000705649
OBJECT=3502,6583.986328,1610.313599,29.194656,17.188728,0,8.29086400245E-5
OBJECT=3502,6584.074219,1618.513794,30.368256,0,0,0
OBJECT=971,6579.110352,1626.657715,28.936279,91.9596375042,0,0
OBJECT=971,6587.770508,1626.62146,28.928207,91.9596375042,0,0
OBJECT=3374,6590.192383,1632.0896,27.620712,0,0,0
OBJECT=3374,6590.138672,1635.924805,27.607719,0,0,0
OBJECT=3374,6590.137695,1639.810059,27.617592,0,0,0
OBJECT=3374,6590.12793,1643.695313,27.604584,0,0,0
OBJECT=3374,6593.906738,1632.162842,30.620712,0,0,0
OBJECT=3374,6593.817383,1638.03772,30.617584,0,0,0
OBJECT=3374,6593.831055,1644.049194,30.604584,0,0,0
OBJECT=3374,6586.30957,1632.211914,30.620712,0,0,0
OBJECT=3374,6586.295898,1638.060303,30.58271,0,0,0
OBJECT=3374,6586.359863,1643.583008,30.754578,0,0,0
OBJECT=3374,6590.1875,1643.765503,33.754578,0,0,0
OBJECT=3374,6589.956055,1632.002319,33.620712,0,0,0
OBJECT=971,6570.318848,1626.681396,28.90538,91.9596375042,0,0
OBJECT=13592,6566.092285,1635.48999,38.771088,0,0,101.249973101
OBJECT=971,6560.398438,1646.590454,28.915527,91.9596375042,0,0
OBJECT=971,6560.397461,1653.762695,29.124771,91.9596375042,0,0
OBJECT=972,6561.023438,1653.195435,29.285736,0,0,0
OBJECT=972,6554.210938,1653.581665,29.257034,0,0,0
OBJECT=972,6564.807129,1654.0448,33.279694,0,268.899798896,0
OBJECT=972,6564.243164,1654.557251,18.830666,271.478108096,0,89.999950625
OBJECT=972,6554.207031,1653.638062,21.962769,0,0,0
OBJECT=972,6561.060547,1653.139771,22.002586,0,0,0
OBJECT=972,6564.736328,1658.864746,20.572273,0,268.899798896,0
OBJECT=972,6579.074219,1674.018433,20.663651,0,268.899798896,89.999950625
