; Converted Thu, 03 Jun 10 03:51:08 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1491.180176,1792.00061,10.3875,0
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Quad Stunting
Author=Cronos
Description=4 wheels of thunder
RunTime=1000
Weather=17
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=471

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1491.180176,1792.00061,10.3875,178
SPAWN=1489.569946,1794.953613,10.3875,178
SPAWN=1487.478882,1792.079834,10.3875,178
SPAWN=1485.695923,1794.971191,10.3875,178
SPAWN=1483.543457,1792.114014,10.3875,178
SPAWN=1481.667358,1794.943359,10.3875,178
SPAWN=1479.664429,1792.214478,10.3875,178
SPAWN=1477.471924,1795.008667,10.3875,178
SPAWN=1475.039551,1792.246094,10.3875,178
SPAWN=1472.556641,1795.009033,10.3875,178
SPAWN=1469.606445,1792.159912,10.3875,178
SPAWN=1467.043945,1795.062744,10.3875,178
SPAWN=1493.765747,1794.987061,10.3875,178

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1477.078491,1714.218384,23.558243,0,31.2
CP=1555.825317,1431.329834,9.827967,0,3.2
CP=1608.811646,1395.110596,20.548517,0,3.2
CP=1638.812988,1425.630981,26.289063,0,3.2
CP=1705.029175,1422.345337,14.945356,0,3.2
CP=1711.806763,1389.735962,14.946131,0,3.2
CP=1705.073364,1353.85376,20.33152,0,8
CP=1650.399902,1358.278687,17.822176,0,2.4
CP=1641.394043,1338.53125,17.822176,0,2.4
CP=1610.20166,1337.321289,26.156525,1,8
CP=1544.011353,1331.881348,25.630974,1,8
CP=1458.134155,1332.650146,37.305737,1,8
CP=1416.93457,1335.818848,39.600376,1,8
CP=1432.094238,1335.5354,27.452101,1,8
CP=1466.045776,1322.614502,9.820313,0,8
CP=1379.234985,1271.887451,9.820313,0,8
CP=1332.790039,1261.503174,18.098127,1,8
CP=1331.800293,1250.014893,18.297588,1,8
CP=1319.722656,1253.133179,18.590624,1,8
CP=1303.862427,1261.358521,18.140623,1,8
CP=1289.374756,1216.844604,9.820313,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13647,1569.306152,1422.661133,10.866371,0,347.9678904,324.7631076
OBJECT=13647,1569.693115,1423.269897,10.80769,0,347.9678904,324.7631076
OBJECT=13647,1584.432251,1412.022217,14.411646,0,347.9678904,324.7631076
OBJECT=13647,1584.741089,1412.575684,14.402018,0,347.9678904,324.7631076
OBJECT=13647,1568.964355,1422.115845,10.858187,0,347.9678904,324.7631076
OBJECT=13647,1584.072754,1411.460938,14.418143,0,347.9678904,324.7631076
OBJECT=1633,1658.686035,1425.087646,25.154869,0,0,86.6992248
OBJECT=1633,1666.391846,1424.637939,22.939863,0,0,86.6992248
OBJECT=1633,1674.477417,1424.143799,20.675699,0,0,86.6992248
OBJECT=1633,1697.306274,1423.506226,16.040915,0,0,88.4180976
OBJECT=1633,1689.499268,1423.734253,18.32881,0,0,88.4180976
OBJECT=1633,1682.265747,1424.012085,20.356089,0,0,88.4180976
OBJECT=13593,1677.499634,1424.614502,21.191502,0,0,264.6025596
OBJECT=13593,1677.412842,1423.189575,21.180803,0,0,264.6025596
OBJECT=1633,1633.905884,1412.073242,23.6521,0,359.1405636,27.5019648
OBJECT=1633,1621.813721,1404.671875,21.696377,0,359.1405636,316.1687436
OBJECT=1633,1625.37439,1422.985962,25.28624,0,0,314.4498708
OBJECT=1225,1662.841064,1426.467163,24.711987,0,0,0
OBJECT=1225,1662.3927,1423.212524,24.785469,0,0,0
OBJECT=1225,1680.506592,1422.710449,21.006113,0,0,0
OBJECT=1225,1680.462891,1425.342163,21.019787,0,0,0
OBJECT=1225,1680.565918,1424.205566,21.014496,0,0,0
OBJECT=1225,1680.564209,1424.808716,20.969893,0,0,0
OBJECT=1225,1680.589233,1423.783691,21.019892,0,0,0
OBJECT=1225,1680.509155,1423.129395,20.996662,0,0,0
OBJECT=1225,1680.484741,1422.124634,21.011126,0,0,0
OBJECT=1225,1680.544556,1425.720581,20.987822,0,0,0
OBJECT=1225,1676.333862,1425.738525,21.035879,0,0,0
OBJECT=1225,1676.202881,1422.298828,21.098999,0,0,0
OBJECT=1225,1669.235474,1425.480591,22.57336,0,0,0
OBJECT=18367,1712.017334,1389.393921,14.078873,353.9839452,358.2811272,0
OBJECT=969,1653.474121,1384.520996,20.595787,0,0,32.6585832
OBJECT=969,1660.54248,1389.14563,20.599844,0,0,32.6585832
OBJECT=969,1665.219604,1392.336426,20.596684,0,0,32.6585832
OBJECT=6052,1669.382935,1366.02063,19.749128,30.1840939171,0,104.747102721
