; Converted Wed, 16 Jun 10 04:14:20 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=312.3376,2043.8364,17.2013
MinLevel=0
JoinCost=6500
WinBaseXP=300000
WinBaseCash=250000

Name=RAID
Author=Full_Metal
Description=
RunTime=1000
Weather=
Time=

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=264.986328,1880.106201,-30.730247,360
SPAWN=266.134094,1880.122803,-30.730247,360
SPAWN=267.062164,1880.079468,-30.730247,360
SPAWN=267.923615,1880.041992,-30.730247,360
SPAWN=268.872711,1879.941406,-30.730247,360
SPAWN=269.670898,1879.935669,-30.730247,360
SPAWN=270.457306,1879.981323,-30.730247,360
SPAWN=271.273621,1880.027588,-30.730247,360
SPAWN=272.200958,1880.106689,-30.730247,360
SPAWN=273.532135,1879.765991,-30.730247,29

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=268.720978,1888.050293,-33.406208,0,0.4
CP=-853.739502,2747.986084,44.851563,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1225,261.994598,1889.482544,-30.016121,0,0,0
OBJECT=1225,263.001953,1890.38623,-30.016121,0,0,0
OBJECT=1225,261.92392,1884.027466,-27.570808,0,0,0
OBJECT=1225,263.809357,1880.933594,-26.445896,0,0,0
OBJECT=1225,262.958923,1877.331177,-25.318192,0,0,0
OBJECT=1225,263.939789,1878.839355,-26.269167,0,0,0
OBJECT=1225,267.896362,1877.40625,-23.623325,0,0,0
OBJECT=1225,275.350128,1878.284424,-20.639883,0,0,0
OBJECT=1225,273.287842,1877.690308,-21.721823,0,0,0
OBJECT=1225,275.288757,1888.840088,-16.912151,0,0,0
OBJECT=1225,273.429688,1888.601563,-16.883142,0,0,0
OBJECT=1225,269.524475,1877.40625,-4.03425,0,0,0
OBJECT=1225,274.864807,1877.88501,-1.898932,0,0,0
OBJECT=1225,261.75,1888.954224,7.494261,0,0,0
OBJECT=1225,261.75,1889.602661,7.491773,0,0,0
OBJECT=1225,261.754272,1890.22583,7.535114,0,0,0
OBJECT=1225,261.934601,1888.980957,8.655285,0,0,0
OBJECT=1225,261.941956,1889.636108,8.648593,0,0,0
OBJECT=1225,261.940125,1890.237915,8.696193,0,0,0
OBJECT=1225,261.612427,1890.776001,7.843255,0,0,0
OBJECT=1225,261.167389,1891.539185,7.843255,0,0,0
OBJECT=3787,260.114441,1888.172729,8.003734,0,0,0
OBJECT=3787,260.045471,1888.165039,8.798923,0,0,0
OBJECT=1225,267.613495,1875.635254,7.843255,0,0,0
OBJECT=1225,268.124939,1876.130371,7.843255,0,0,0
OBJECT=1225,268.511993,1876.686157,7.843255,0,0,0
OBJECT=1225,268.903412,1877.067627,7.843255,0,0,0
OBJECT=1225,269.979218,1875.488037,7.879903,0,0,0
OBJECT=1225,270.495239,1875.752686,7.843255,0,0,0
OBJECT=3267,271.075043,1862.88562,7.325338,0,0,0
OBJECT=3267,270.907074,1860.800415,7.325338,0,0,0
OBJECT=3267,272.636719,1859.522461,7.318256,0,0,0
OBJECT=1225,273.268127,1855.718506,8.17065,0,0,0
OBJECT=1225,276.906281,1857.949097,8.163568,0,0,0
OBJECT=1225,276.822937,1857.359985,8.163568,0,0,0
OBJECT=1225,276.675262,1856.741333,8.163568,0,0,0
OBJECT=1225,276.581726,1856.074097,8.163568,0,0,0
OBJECT=1225,279.908325,1857.629761,8.163568,0,0,0
OBJECT=1225,279.440674,1857.701294,8.163568,0,0,0
OBJECT=1225,277.622864,1863.407227,8.163568,0,0,0
OBJECT=1225,278.234314,1862.931519,8.163568,0,0,0
OBJECT=1225,278.739197,1862.349731,8.163568,0,0,0
OBJECT=1225,278.94516,1861.594482,8.163568,0,0,0
OBJECT=1225,279.350891,1860.997925,8.163568,0,0,0
OBJECT=3267,277.095734,1867.778687,7.318256,0,0,0
OBJECT=3267,277.368164,1865.693604,7.318256,0,0,0
OBJECT=3374,296.64856,1868.713989,9.251789,0,0,0
OBJECT=3374,302.08609,1855.175781,8.220539,0,0,0
OBJECT=3374,298.211823,1855.218384,8.322102,0,0,0
OBJECT=3374,320.804779,1855.553101,8.228052,0,0,0
OBJECT=1225,319.765625,1855.232544,7.132318,0,0,0
OBJECT=3374,297.954926,1832.40564,8.228008,0,0,0
OBJECT=1225,297.973999,1833.064209,7.298354,0,0,0
OBJECT=1225,276.612854,1840.714844,7.23388,0,0,0
OBJECT=1225,279.744873,1819.215698,7.23388,0,0,0
OBJECT=1225,279.735138,1819.929443,7.23388,0,0,0
OBJECT=1225,279.791016,1820.678223,7.23388,0,0,0
OBJECT=1225,279.812439,1821.333984,7.23388,0,0,0
OBJECT=1225,246.138016,1807.397705,6.960443,0,0,0
OBJECT=1225,245.991058,1808.098267,6.960443,0,0,0
OBJECT=1225,245.86792,1808.813965,6.960443,0,0,0
OBJECT=1225,247.538223,1838.403687,6.960443,0,0,0
OBJECT=1225,247.438843,1837.836304,6.960443,0,0,0
OBJECT=1225,247.408157,1837.187012,6.960443,0,0,0
OBJECT=1225,247.392563,1836.549194,6.960443,0,0,0
OBJECT=1225,250.227203,1838.581055,6.24244,0,0,0
OBJECT=3374,251.586502,1835.33252,5.204914,0,0,0
OBJECT=3374,255.744385,1835.219238,5.204914,0,0,0
