; Converted Sun, 20 Dec 09 21:24:14 +1100

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1332.877075,1650.516724,11.380386
MinLevel=0
JoinCost=1000
WinBaseXP=200000
WinBaseCash=300000

Name=Randomness
Author=Mouldy
Description=Random
RunTime=500
Weather=
Time=0:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=495

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1332.877075,1650.516724,11.380386,181
SPAWN=1342.382568,1650.1604,11.380388,181
SPAWN=1328.319336,1648.935791,15.442886,181
SPAWN=1338.002686,1647.936768,15.434452,181
SPAWN=1347.313477,1648.230103,15.434597,181
SPAWN=1352.314697,1648.505615,11.259607,181

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1358.236816,1447.087524,9.820313,0,8
CP=1460.480713,1322.386475,11.925283,0,8
CP=1485.972046,1368.896362,11.910154,0,8
CP=1418.332886,1425.639526,11.900318,0,8
CP=1438.663086,1520.336548,11.850269,0,8
CP=1516.426636,1466.266235,11.79738,0,8
CP=1527.68103,1519.945679,11.79738,0,8
CP=1487.762329,1560.037231,11.765869,0,8
CP=1544.963379,1559.030151,11.765869,0,8
CP=1503.723633,1519.860107,11.79738,0,8
CP=1475.944458,1480.827881,11.850269,0,8
CP=1472.005859,1421.01709,11.900318,0,8
CP=1428.264648,1377.267944,11.910154,0,8
CP=1434.205566,1295.720703,11.932234,0,8
CP=1482.760986,1294.371338,11.925282,0,8
CP=1455.550781,1370.368896,11.910154,0,8
CP=1446.711304,1431.380127,11.900318,0,8
CP=1490.202148,1511.934082,11.79738,0,8
CP=1486.718628,1728.690796,11.170637,0,8
CP=1389.685303,1723.264404,10.851227,0,8
CP=1544.083496,1665.292358,14.808212,0,8
CP=1489.819336,1568.212158,11.765869,0,8
CP=1357.911743,1447.016724,9.820313,0,8
CP=1460.392944,1323.963379,11.932236,0,8
CP=1446.916748,1431.724609,11.900318,0,8
CP=1510.95813,1558.874756,11.765869,0,8
CP=1487.000244,1728.909302,11.368914,0,8
CP=1390.192627,1725.487549,10.859129,0,8
CP=1543.629639,1664.785034,12.049046,0,8
CP=1498.761719,1562.420776,11.765869,0,8
CP=1357.530151,1448.634521,9.820313,0,8
CP=1464.621216,1224.785767,9.820313,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1634,1364.308838,1306.052124,10.842634,0,0,89.999950625
OBJECT=1634,1364.41272,1302.201172,10.867634,0,0,94.297132625
OBJECT=1634,1364.700439,1298.208984,10.867634,0,0,94.297132625
OBJECT=1634,1365.016357,1294.113647,10.867633,0,0,94.297132625
OBJECT=1634,1365.270386,1291.380493,10.842633,0,0,94.297132625
OBJECT=1634,1365.864868,1288.299316,10.860281,0,0,108.984843405
OBJECT=1634,1367.17041,1284.460205,10.867634,0,0,108.984843405
OBJECT=1634,1368.463257,1280.551025,10.892632,0,0,108.984843405
OBJECT=1634,1369.837646,1276.720337,10.867635,0,0,108.984843405
OBJECT=1634,1371.186401,1273.722046,10.867633,0,0,120.234865881
OBJECT=1634,1373.080688,1270.333862,10.892633,0,0,120.234865881
OBJECT=1634,1375.045288,1267.084229,10.892633,0,0,121.953738681
OBJECT=1634,1377.123657,1263.795166,10.892633,0,0,122.813175081
OBJECT=1634,1379.172485,1261.162354,10.892633,0,0,134.063197557
OBJECT=18284,1357.105347,1298.510986,13.751608,0,46.4095656,1.7188728
OBJECT=18284,1358.493652,1286.095093,13.760408,0,46.4095656,11.1726732
OBJECT=18284,1361.163818,1278.690674,13.821541,0,46.4095656,18.9076008
OBJECT=18284,1367.297729,1266.103027,13.799089,0,46.4095656,29.2208376
OBJECT=18284,1374.575073,1255.272461,13.780397,0,46.4095656,39.5340744
OBJECT=18284,1387.142456,1242.742188,13.75227,0,46.4095656,50.7066903042
OBJECT=18284,1398.887817,1234.520264,13.736721,0,42.97182,58.4416179042
OBJECT=18284,1409.5,1228.675537,13.674675,0,42.1123836,62.7387999042
OBJECT=18284,1425.388306,1221.629517,13.615139,0,42.1123836,68.7548547042
OBJECT=18284,1363.496338,1264.686035,19.645826,0,67.0359819042,29.2208376
OBJECT=18284,1372.235107,1251.967773,19.590837,0,67.0359819042,39.5340744
OBJECT=18284,1384.568726,1239.750854,19.634169,0,67.0359819042,50.7066903042
OBJECT=18284,1396.431885,1230.770874,20.664427,0,67.0359819042,58.4416179042
OBJECT=18284,1409.131104,1223.571411,20.722679,0,67.0359819042,62.7387999042
OBJECT=18284,1413.44751,1222.397827,19.58296,0,67.0359819042,67.8954183042
OBJECT=18284,1409.782593,1223.858643,20.666759,0,67.0359819042,72.1926003042
OBJECT=18284,1410.126953,1223.943726,20.622122,0,67.0359819042,81.6464007042
OBJECT=18284,1410.387695,1223.623901,20.703367,0,67.0359819042,89.3813283042
OBJECT=18284,1410.700684,1223.095825,20.772758,0,67.0359819042,97.1162559042
OBJECT=18284,1427.780762,1227.118652,20.780846,0,67.0359819042,109.148308208
OBJECT=18284,1411.543945,1234.282349,8.337051,0,42.1123836,62.7387999042
OBJECT=18284,1427.297974,1226.360474,9.04439,0,42.1123836,68.7548547042
OBJECT=18284,1398.166748,1239.277954,10.317957,0,42.97182,58.4416179042
OBJECT=18284,1386.103882,1247.544067,10.578398,0,46.4095656,50.7066903042
OBJECT=18284,1427.984009,1228.213501,20.86528,0,67.0359819042,118.602165904
OBJECT=18284,1429.545532,1229.692871,20.867809,0,67.0359819042,126.3371508
OBJECT=18284,1437.244507,1236.101685,20.795092,0,61.8793635042,134.072135696
OBJECT=18284,1441.952148,1242.50354,20.662884,0,56.7228024,146.104302592
OBJECT=18284,1444.736572,1249.589966,20.571066,0,48.1284384,162.433708783
OBJECT=18284,1448.942749,1264.011841,20.59815,0,48.1284384,165.012017983
OBJECT=13666,1452.927856,1287.329102,23.113441,176.080381217,3.4377456,244.216957375
OBJECT=13666,1455.880371,1295.814331,20.854811,176.080381217,9.4538004,244.216957375
OBJECT=13666,1458.605347,1305.370117,18.190113,184.674802513,12.0321096,249.373575775
