; Converted Mon, 12 Apr 10 13:27:30 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2508.6511,883.3875,98.7500,0
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=Rapid Jumps
Author=Phoenix
Description=Jump Jump Jump
RunTime=360
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-2512.65918,885.236816,98.410378,182
SPAWN=-2509.788086,885.254822,98.410378,182
SPAWN=-2506.879883,885.255676,98.410378,182
SPAWN=-2503.802734,885.254517,98.410378,182
SPAWN=-2506.747314,891.278931,98.410378,182
SPAWN=-2509.833496,891.495911,98.410378,182
SPAWN=-2512.741455,891.861328,98.410378,182
SPAWN=-2503.754395,891.412903,98.410378,182

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-2508.809082,825.399292,88.010742,0,8
CP=-2505.573242,741.506348,38.585938,0,8
CP=-2415.506348,726.952637,35.280975,0,8
CP=-2310.85376,726.165283,47.749073,0,8
CP=-2159.16626,731.645935,67.837791,0,8
CP=-2078.387939,731.13385,68.414063,0,8
CP=-2004.616699,678.909851,44.296875,0,8
CP=-2015.304565,565.78125,34.023422,0,8
CP=-2141.425781,565.586121,34.015625,0,8
CP=-2299.813232,566.004028,34.219276,0,8
CP=-2436.020508,565.80481,23.742188,0,8
CP=-2607.361084,566.477661,13.457516,0,8
CP=-2750.900879,565.555054,13.398438,0,8
CP=-2751.126953,619.740967,26.546646,0,8
CP=-2750.913086,684.268433,39.994781,0,8
CP=-2750.467773,760.446289,53.531246,0,8
CP=-2741.077881,812.653381,52.070004,0,8
CP=-2606.344727,809.703979,48.828125,0,8
CP=-2607.555908,691.738525,27.654913,0,8
CP=-2607.393799,566.446228,13.46048,0,8
CP=-2528.453613,567.117126,13.460938,0,8
CP=-2527.14624,626.007324,27.979351,0,8
CP=-2515.432129,723.708679,27.717562,0,8
CP=-2415.365479,727.017883,35.360058,0,8
CP=-2310.911621,726.22998,49.741943,0,8
CP=-2260.821045,807.194641,48.296875,0,8
CP=-2255.7854,917.842163,65.5,0,8
CP=-2128.898193,918.512146,79.070503,0,8
CP=-1975.612915,924.194519,44.296875,0,8
CP=-1858.418213,924.688782,34.015625,0,8
CP=-1793.394531,905.782288,23.742188,0,8
CP=-1795.044067,845.249878,23.734375,0,8
CP=-1898.705444,845.089478,34.015625,0,8
CP=-1898.626587,741.91394,44.296875,0,8
CP=-2002.718506,731.253662,44.514423,0,8
CP=-2065.175781,731.294739,68.42485,0,8
CP=-2136.07959,731.314026,69.874496,0,8
CP=-2297.148682,726.284912,53.721493,0,8
CP=-2384.797852,730.14209,34.015625,0,8
CP=-2387.272705,807.603699,34.037514,0,8
CP=-2523.9729,807.883972,48.830723,0,8
CP=-2606.316162,809.648804,48.828125,0,8
CP=-2607.478516,692.110535,27.452932,0,8
CP=-2606.362793,469.75351,13.460089,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1633,-2512.037598,876.539429,98.314972,0,0,179.999958546
OBJECT=1633,-2504.636719,876.520569,98.324104,0,0,179.999958546
OBJECT=1633,-2508.376709,876.519348,98.322678,0,0,179.999958546
OBJECT=1633,-2506.561768,823.897522,88.127739,0,0,179.999958546
OBJECT=1633,-2510.544189,823.898315,88.127647,0,0,179.999958546
OBJECT=1633,-2508.127197,729.954163,34.56131,0,0,179.999958546
OBJECT=3852,-2408.412842,726.513489,35.708549,0,0,89.999950625
OBJECT=3852,-2408.41626,730.044922,35.708595,0,0,89.999950625
OBJECT=3852,-2410.770996,730.04187,35.708611,0,0,89.999950625
OBJECT=3852,-2410.770996,726.518311,35.708424,0,0,89.999950625
OBJECT=3852,-2410.763916,722.924561,35.70977,0,0,89.999950625
OBJECT=7979,-2305.994873,718.630493,51.292328,0,0,269.999909171
OBJECT=7979,-2294.436279,733.687134,51.300777,0,0,89.999950625
OBJECT=3665,-2145.335449,733.15918,69.346794,0,0,89.999950625
OBJECT=3665,-2145.303223,731.080261,69.355469,0,0,89.999950625
OBJECT=3665,-2145.35498,735.22998,69.346817,0,0,89.999950625
OBJECT=3852,-2071.971191,731.34613,69.905548,0,0,89.999950625
OBJECT=3852,-2071.955078,728.102356,69.902344,0,0,89.999950625
OBJECT=3852,-2071.976807,734.481201,69.905365,0,0,89.999950625
OBJECT=3852,-2066.854492,734.470764,67.555428,28.4470583612,0,89.999950625
OBJECT=3852,-2066.851807,731.392212,67.555801,28.4470583612,0,89.999950625
OBJECT=3852,-2066.846924,728.095398,67.557533,28.4470583612,0,89.999950625
OBJECT=3852,-2064.447021,734.467224,63.864532,28.4470583612,0,89.999950625
OBJECT=3852,-2064.443848,731.134094,63.862167,28.4470583612,0,89.999950625
OBJECT=3852,-2064.435059,728.095276,63.853672,28.4470583612,0,89.999950625
OBJECT=1696,-1998.832153,675.622131,45.217373,0,0,179.999958546
OBJECT=1696,-2003.869385,675.636169,45.215633,0,0,179.999958546
OBJECT=1696,-2008.899536,675.640137,45.217644,0,0,179.999958546
OBJECT=1655,-2000.819092,670.329407,43.679913,7.99275852,0,0
OBJECT=1655,-2007.526611,670.354797,43.696056,7.99275852,0,0
OBJECT=1634,-2302.516602,560.311584,34.345333,0,0,89.999950625
OBJECT=1634,-2302.513672,564.299561,34.342541,0,0,89.999950625
OBJECT=1634,-2302.512451,568.294189,34.341904,0,0,89.999950625
OBJECT=1634,-2302.506348,572.289612,34.336491,0,0,89.999950625
OBJECT=1634,-2440.513184,571.392334,24.625507,0,0,89.999950625
OBJECT=1634,-2440.519043,567.385315,24.626711,0,0,89.999950625
OBJECT=1634,-2440.52417,563.404236,24.627815,0,0,89.999950625
OBJECT=1634,-2440.529053,559.42395,24.627949,0,0,89.999950625
OBJECT=13593,-2751.972412,619.813538,26.828508,0,0,0
OBJECT=13593,-2749.260498,619.891663,26.828899,0,0,0
OBJECT=13593,-2746.562256,619.962219,26.827314,0,0,0
OBJECT=13593,-2754.586426,619.741333,26.822487,0,0,0
OBJECT=1633,-2752.825439,686.095032,40.627792,0,0,0
OBJECT=1633,-2748.834229,686.088501,40.624924,0,0,0
OBJECT=3852,-2611.32959,686.381287,28.357996,0,0,179.999958546
OBJECT=3852,-2607.781738,686.382263,28.357929,0,0,179.999958546
