
Name=Redline_Rumble
MinLevel=7
JoinCost=1200

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2270.487305,-2073.546875,13.168755

RunTime=900
WinBaseXP=80000
WinBaseCash=80000
Time=21:0
Weather=9

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=2375.005127,-2172.440674,21.516205,0,0.0
CP=2535.694580,-2331.865723,21.329006,0,0.0
CP=2617.326660,-2404.081299,12.538858,0,0.0
CP=2730.532227,-2405.705566,12.498604,0,0.0
CP=2759.826904,-2477.468994,12.459805,0,0.0
CP=2610.874023,-2504.814453,12.585321,0,0.0
CP=2511.699463,-2504.355225,12.568260,0,0.0
CP=2484.338379,-2640.123047,12.526175,0,0.0
CP=2254.024170,-2662.651611,12.459612,0,0.0
CP=2224.558594,-2504.542725,12.368990,0,0.0
CP=2311.621338,-2349.517578,12.388766,0,0.0
CP=2423.750488,-2439.694092,12.423725,0,0.0
CP=2518.596924,-2382.817871,12.453125,0,0.0
CP=2571.485107,-2401.651367,12.468750,0,0.0
CP=2638.352539,-2450.383789,12.632813,0,0.0
CP=2682.720947,-2483.209229,12.533833,0,0.0
CP=2736.742676,-2504.055176,12.486897,0,0.0
CP=2761.449707,-2431.284424,12.519575,0,0.0
CP=2698.533447,-2404.526611,12.526955,0,0.0
CP=2682.663330,-2496.584961,12.533279,0,0.0
CP=2540.790527,-2504.940674,12.586739,0,0.0
CP=2425.348389,-2506.798096,12.655014,0,0.0
CP=2400.108887,-2638.093506,12.664063,0,0.0
CP=2253.845703,-2663.402588,12.463324,0,0.0
CP=2225.034668,-2526.630371,12.468868,0,0.0
CP=2225.961670,-2462.777832,12.435183,0,0.0
CP=2319.984863,-2342.187500,12.382813,0,0.0
CP=2380.251465,-2311.695313,12.546875,0,0.0
CP=2537.843994,-2334.657227,12.625000,0,0.0
CP=2596.255127,-2356.723633,12.619828,0,0.0
CP=2599.550537,-2411.631348,12.632496,0,0.0
CP=2558.542236,-2458.500244,12.618156,0,0.0
CP=2516.642578,-2471.149414,12.630742,0,0.0
CP=2512.557129,-2490.417725,12.648943,0,0.0
CP=2727.935547,-2503.663818,12.486897,0,0.0
CP=2761.190186,-2435.014648,12.524836,0,0.0
CP=2698.159912,-2404.533203,12.528455,0,0.0
CP=2636.124023,-2401.758057,12.460938,0,0.0
CP=2611.587891,-2348.689941,12.590473,0,0.0
CP=2724.501221,-2340.513184,12.632813,0,0.0
CP=2790.307617,-2344.554199,12.632813,0,0.0
CP=2836.466553,-2343.008789,18.205837,0,0.0

; Spawn Points
; If there are no spawn points, races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz
SPAWN=2270.487305,-2073.546875,13.168755,228.0
SPAWN=2274.589111,-2069.201904,13.168755,228.0
SPAWN=2272.490234,-2071.492920,13.168755,228.0
SPAWN=2268.099609,-2075.575195,13.168755,228.0
SPAWN=2276.620850,-2067.059326,13.168755,228.0
SPAWN=2279.120850,-2064.933838,13.168755,228.0

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=1632,2795.393066,-2341.720215,13.657928,0.0,0.0,269.75918
OBJECT=1632,2795.390869,-2345.858398,13.632929,0.0,0.0,269.75918
OBJECT=981,2281.328125,-2093.763428,13.361354,0.0,0.0,135.68699
OBJECT=981,2295.041504,-2076.336914,13.324553,0.0,0.0,314.44987
OBJECT=981,2316.208496,-2097.466797,13.498363,0.0,0.0,316.16874
OBJECT=981,2697.742920,-2331.283936,13.584300,0.0,0.0,0.0
OBJECT=981,2747.252930,-2333.018066,13.584300,0.0,0.0,0.0
OBJECT=981,2778.099609,-2333.101074,13.584300,0.0,0.0,0.0
OBJECT=981,2458.796387,-2503.323975,13.612081,0.0,0.0,358.28113
OBJECT=981,2419.783447,-2501.713379,13.605907,0.0,0.0,0.0
OBJECT=981,2213.147217,-2498.483398,13.373924,0.0,0.0,92.81920
OBJECT=981,2317.893555,-2327.879883,13.334300,0.0,0.0,47.26900
OBJECT=981,2359.843262,-2293.797607,13.364901,0.0,0.0,317.2817
OBJECT=981,2381.043701,-2290.068604,13.498363,0.0,0.0,317.88763
OBJECT=981,2640.790527,-2331.548584,13.584300,0.0,0.0,0.0
OBJECT=981,2609.541016,-2331.500977,13.576488,0.0,0.0,0.0
OBJECT=981,2580.135254,-2331.928223,13.576488,0.0,0.0,0.0
OBJECT=979,2594.102051,-2401.452393,13.300975,0.0,0.0,319.60650
OBJECT=979,2596.051514,-2408.780273,13.468497,0.0,0.0,249.99216
OBJECT=979,2610.585693,-2409.987793,13.464565,0.0,0.0,344.53015
OBJECT=979,2487.359619,-2503.646484,13.492202,0.0,0.0,208.84324
OBJECT=979,2479.600342,-2518.552246,13.521766,0.0,0.0,256.819
OBJECT=979,2608.795898,-2452.715576,13.467372,0.0,0.0,320.46593
OBJECT=979,2602.632813,-2446.218018,13.462826,0.0,0.0,307.57439
OBJECT=979,2598.138184,-2439.311035,13.464625,0.0,0.0,298.98009
OBJECT=979,2625.534668,-2460.040527,13.473033,0.0,0.0,345.38958
OBJECT=979,2634.266602,-2458.891846,13.473033,0.0,358.28113,28.36140
OBJECT=979,2651.729004,-2455.324463,13.473033,0.0,358.28113,352.26507
OBJECT=979,2660.863770,-2457.529053,13.473033,0.0,0.0,338.51409
OBJECT=979,2689.838867,-2509.262207,13.464820,0.0,0.0,0.0
OBJECT=979,2699.111816,-2509.214844,13.504283,0.0,0.0,0.0
OBJECT=979,2478.604736,-2505.017578,13.488658,0.0,3.43775,171.88736
OBJECT=979,2478.320068,-2527.762451,13.502793,0.0,356.56226,268.89975
OBJECT=979,2502.226318,-2487.344482,13.490770,0.0,355.70283,274.91581
OBJECT=979,2498.433350,-2498.476563,13.495971,0.0,0.0,199.38925
OBJECT=979,2512.260742,-2510.545898,13.504283,0.0,0.0,0.0
OBJECT=979,2521.599609,-2510.550781,13.510879,0.0,0.0,0.0
OBJECT=979,2503.240479,-2480.006592,13.326240,0.0,1.71888,248.27326
OBJECT=979,2511.826904,-2468.562744,13.472844,0.0,0.0,226.78726
OBJECT=979,2519.344482,-2463.535645,13.469861,0.0,0.0,201.86360
OBJECT=979,2528.289795,-2461.837402,13.466174,0.0,0.0,180.48171
OBJECT=979,2537.696289,-2461.834473,13.461894,0.0,0.0,180.48171
