; Converted Fri, 11 Jun 10 05:08:07 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2931.9885,811.8363,28.8560,0
MinLevel=0
JoinCost=1000
WinBaseXP=900000
WinBaseCash=900000

Name=Ride that Mower
Author=iFriSki
RunTime=1000
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=572

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1994.417358,2895.609863,70.737793,67
SPAWN=1993.968018,2893.608887,70.737793,67
SPAWN=1993.293091,2891.766113,70.737793,67
SPAWN=1992.89563,2889.967041,70.737793,67
SPAWN=1992.161743,2887.811035,70.737793,67
SPAWN=1991.062134,2885.984375,70.737793,30
SPAWN=1988.637207,2886.936523,70.737793,23

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1783.959473,2836.177734,16.480124,1,2

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13647,1764.050659,2864.705566,14.624281,0,29.2208376,266.562303775
OBJECT=13647,1764.669312,2864.651611,14.624281,0,29.2208376,266.562303775
OBJECT=13638,1771.78833,2887.330078,26.095522,0,0,264.843430975
OBJECT=13647,1765.299316,2864.611572,14.632717,0,29.2208376,266.562303775
OBJECT=6052,1786.245239,2897.12793,33.957886,0,0,101.250113305
OBJECT=6052,1800.4104,2917.813232,36.761066,2.5783092,15.4698552,281.250014555
OBJECT=13648,1823.319824,2926.612305,36.85075,348.8273268,0,84.843332225
OBJECT=13648,1823.245239,2925.940918,36.85075,348.8273268,0,84.843332225
OBJECT=13648,1823.221313,2925.441895,36.850735,348.8273268,0,84.843332225
OBJECT=1894,1847.579956,2925.082275,39.438931,0,9.4538004,180.00009875
OBJECT=1894,1847.936157,2925.822998,39.501278,0,9.4538004,180.00009875
OBJECT=1483,1877.984009,2925.454102,45.874996,10.3132368,10.3132368,269.140612975
OBJECT=1483,1882.571777,2925.618652,47.159557,18.9076008,35.2368924,267.421109922
OBJECT=12920,1898.871826,2924.103271,48.215149,0,346.2490176,0
OBJECT=984,1918.495483,2923.352539,55.319756,0.8594364,94.5380612958,261.405685375
OBJECT=8375,1929.737305,2918.541504,56.280724,28.3614012,2.5783092,253.670757775
OBJECT=17058,1954.235962,2907.318115,58.924194,18.0481644,347.108454,345.3895812
OBJECT=17324,1971.723389,2897.454102,61.785759,0,358.2811272,248.359498119
OBJECT=1675,1987.439209,2892.943848,66.961548,0,0,342.811272
OBJECT=1633,1764.111816,2851.471191,12.323278,353.9839452,0,180.000041454
OBJECT=1633,1764.172852,2844.924072,11.985337,0,0,0
OBJECT=6052,1772.986084,2842.260254,13.833577,0,3.4377456,17.0340867438
OBJECT=2780,1912.435791,2924.24585,54.318367,0,0,0
OBJECT=2780,1923.854248,2922.766357,54.161846,0,0,0
OBJECT=1318,1983.935425,2899.404053,70.628532,0,101.4134952,42.1123836
OBJECT=1318,1962.250854,2899.458252,71.63504,0,100.5540588,304.136634

