; Converted Sun, 27 Jun 10 08:49:30 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1988.9233,1334.4489,7.1875
Interior=1
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=Rocky Pass
Author=RTS and Laggy
Description=A nice custom map full of rocks dirt and road
RunTime=1000
Weather=0
Time=15:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=424

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-4781.869141,3986.62207,74.71167,114
SPAWN=-4765.060547,3939.305176,74.541992,88
SPAWN=-4797.381836,3978.891602,74.71167,114
SPAWN=-4813.451172,3970.553955,74.71167,114
SPAWN=-4829.007813,3962.457275,74.71167,114
SPAWN=-4841.577148,3955.880615,74.71167,114
SPAWN=-4806.819336,3973.977783,74.71167,114
SPAWN=-4775.92627,3939.17334,74.541992,88
SPAWN=-4788.361816,3939.132324,74.541992,88
SPAWN=-4802.977539,3938.849609,74.541992,88
SPAWN=-4815.937988,3938.513428,74.541992,88
SPAWN=-4827.600098,3938.940918,74.541992,88
SPAWN=-4781.364746,3899.009766,74.672852,64
SPAWN=-4794.348145,3904.275146,74.672852,64
SPAWN=-4808.225586,3909.679932,74.672852,64
SPAWN=-4821.560547,3914.798828,74.672852,64
SPAWN=-4828.773926,3917.560547,74.672852,64
SPAWN=-4839.128906,3921.531982,74.672852,64
SPAWN=-4793.531738,3870.843018,74.672852,55
SPAWN=-4804.803711,3878.508789,74.672852,55
SPAWN=-4819.501465,3888.282227,74.672852,55
SPAWN=-4831.441406,3896.217285,74.672852,55
SPAWN=-4839.302246,3901.567383,74.672852,55
SPAWN=-4787.01416,3867.045166,74.672852,55
SPAWN=-4816.088867,3836.434082,74.697754,41
SPAWN=-4822.181152,3844.369873,74.697754,41
SPAWN=-4829.599609,3854.508545,74.697754,41
SPAWN=-4835.376465,3862.141357,74.697754,41
SPAWN=-4842.207031,3871.494385,74.697754,41
SPAWN=-4850.38916,3882.562012,74.697754,41
SPAWN=-4772.544922,3895.538574,74.672852,74
SPAWN=-4790.29248,3982.045898,74.71167,117

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-5376.593262,3966.040283,35.110596,0,24,480
CP=-5363.849609,4447.260254,48.545898,1,24,444
CP=-5303.275391,4687.850098,88.70874,0,28
CP=-5355.163574,4817.132324,75.103516,1,24
CP=-5297.785645,4889.067383,70.646973,1,24
CP=-5287.58252,4922.55957,72.127197,0,24
CP=-5279.648926,4964.51416,62.866455,1,16
CP=-5259.365723,5001.553223,74.154541,0,24
CP=-5146.211914,5082.589355,73.54464,0,16,502
CP=-4590.022461,6678.451172,136.660522,1,16

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=18450,-4801.966797,3938.970703,73.537842,0,0,0
OBJECT=18450,-4807.605469,3909.293457,73.668701,0,0,338.51409
OBJECT=18450,-4818.820801,3887.747559,73.668701,0,0,326.4819804
OBJECT=18450,-4838.749512,3866.525391,73.693604,0,0,306.7149432
OBJECT=18450,-4810.050781,3972.207031,73.70752,0,0,27.5019075042
OBJECT=6959,-4859.960938,3944.020996,74.069336,0,0,0
OBJECT=6959,-4860.033691,3904.025879,74.069336,0,0,0
OBJECT=6959,-4901.300781,3904.025879,74.069336,0,0,0
OBJECT=6959,-4901.300781,3944.000977,74.069336,0,0,0
OBJECT=13105,-4998.001465,3943.173096,75.927734,0,0,202.500086406
OBJECT=16118,-4860.458984,3967.950439,65.540039,0,0,78.7501256491
OBJECT=16120,-4902.754395,3974.419922,73.464111,0,0,236.250096539
OBJECT=16113,-4895.617188,3882.83667,72.702393,0,0,11.250022476
OBJECT=16122,-4986.551758,3980.05249,84.178711,352.2650724,0.8594364,286.561331507
OBJECT=16121,-5035.992188,3989.269287,88.120361,0,0,236.250096539
OBJECT=9217,-5173.549805,4009.679688,51.064453,0,356.5622544,0
OBJECT=9217,-5177.251953,3910.132813,42.046387,355.702818,358.2811272,176.56215565
OBJECT=4843,-5150.848145,3978.869629,50.447998,0,6.0160548,348.749977524
OBJECT=4843,-5210.454102,3956.951172,43.437988,0,3.4377456,0
OBJECT=4843,-5228.094727,3958.785889,40.015137,0,4.297182,0
OBJECT=18450,-5305.566895,3966.165771,34.766846,0,0,0
OBJECT=18450,-5385.521973,3966.165771,34.766846,0,0,0
OBJECT=10903,-5384.565918,3936.288818,54.413574,0,0,90.240822
OBJECT=17864,-5275.78125,3938.461182,53.026611,268.8997416,0,268.0403052
OBJECT=17302,-5476.583984,3988.916016,41.174072,0,0,0
OBJECT=10903,-5560.393555,3935.538818,54.413574,0,0,90.240822
OBJECT=17119,-5520.17041,4102.208984,36.811523,0,0,215.614570208
OBJECT=10903,-5540.893555,4028.538818,54.413574,0,0,357.421748096
OBJECT=10903,-5532.393555,4086.813721,54.413574,0,0,317.887673696
OBJECT=10903,-5322.811035,3995.538818,54.413574,0,0,269.759120704
OBJECT=17864,-5212.593262,3993.330322,59.698242,268.8997416,0,268.0403052
OBJECT=10903,-5406.827637,4083.046631,58.087158,0,0,177.799425904
OBJECT=17864,-5414.416504,4062.016357,36.100098,290.385594304,91.8559004958,271.374886749
OBJECT=17864,-5432.318848,4062.217285,29.639404,268.0403052,91.8559004958,102.066259724
OBJECT=18609,-5453.505859,4059.59375,42.576172,264.6025596,0,0
OBJECT=18609,-5454.755859,4058.016113,40.527344,250.8515772,216.370842558,257.727125696
OBJECT=17864,-5500.787109,4042.519775,29.863525,273.1969236,91.8559004958,115.817585898
OBJECT=17864,-5474.229492,4051.48584,19.701904,304.136576704,91.8559004958,104.644626219
OBJECT=17864,-5465.249512,4124.567383,39.123047,184.675031696,164.048558096,229.158135887
OBJECT=17864,-5472.388672,4111.263184,35.365479,166.626924592,180.377906992,100.242618592
OBJECT=885,-5451.807617,4008.522705,39.513672,0,0,0
OBJECT=885,-5456.171875,4002.38208,39.240234,0,0,0
OBJECT=885,-5460.838379,3993.979248,39.612061,0,0,0
OBJECT=885,-5456.633301,4007.272217,39.466064,0,0,0
OBJECT=885,-5462.790527,4002.749023,39.592041,0,0,0
OBJECT=885,-5461.799316,4006.287842,39.375,0,0,0
OBJECT=885,-5461.128418,3999.069824,39.570557,0,0,0
OBJECT=885,-5451.342773,3996.30957,38.914063,0,0,0
OBJECT=885,-5449.960449,4003.230469,39.328369,0,0,0
OBJECT=885,-5459.336914,3999.811768,39.428711,0,0,0
OBJECT=885,-5468.547363,4005.04126,38.509277,0,0,0
OBJECT=885,-5465.260742,4006.971924,38.657959,0,0,0
OBJECT=885,-5456.333984,4012.484619,39.094238,0,0,0
OBJECT=885,-5449.271973,4006.469238,39.520508,0,0,0
OBJECT=885,-5459.434082,4009.014893,39.251221,0,0,0
OBJECT=885,-5447.773926,4000.415527,38.953857,0,0,0
OBJECT=885,-5465.048828,3997.419434,39.80249,0,0,0
OBJECT=885,-5463.804688,4000.425537,39.658936,0,0,0
OBJECT=884,-5466.685059,4003.149658,38.797119,0,0,0
OBJECT=884,-5465.952637,3999.519531,39.503418,0,0,0
OBJECT=884,-5458.45752,3996.277588,39.344238,0,0,0
OBJECT=884,-5457.993652,4005.366699,39.397461,0,0,0
OBJECT=884,-5516.987793,4004.127197,39.142334,0,0,0
OBJECT=884,-5515.547363,4011.390381,39.064209,0,0,0
OBJECT=884,-5515.521973,4006.94165,38.827881,0,0,0
OBJECT=884,-5512.660645,4017.503418,39.693359,0,0,0
OBJECT=884,-5508.382324,4018.796143,39.527832,0,0,0
OBJECT=884,-5509.347168,4013.008545,38.620361,0,0,0
OBJECT=884,-5512.440918,4010.620361,38.626221,0,0,0
OBJECT=884,-5503.977539,4013.985107,38.489746,0,0,0
OBJECT=884,-5502.948242,4019.797119,39.190674,0,0,0
OBJECT=884,-5503.998047,4025.132568,40.115723,0,0,0
OBJECT=884,-5509.255371,4022.700195,40.387207,0,0,0
OBJECT=884,-5515.772461,4017.492188,40.338623,0,0,0
OBJECT=884,-5517.563477,4012.093262,39.256836,0,0,0
OBJECT=884,-5511.037109,4006.838623,38.755127,0,0,0
OBJECT=884,-5502.12793,4016.601074,38.531494,0,0,0
OBJECT=884,-5500.595215,4020.244385,39.047607,0,0,0
OBJECT=884,-5506.034668,4011.733887,38.468262,0,0,0
OBJECT=883,-5518.431641,4002.062988,39.441406,0,0,0
OBJECT=883,-5512.791016,4005.487549,38.875977,0,0,0
OBJECT=883,-5515.304688,4014.447998,39.696777,0,0,0
OBJECT=883,-5513.057617,4013.943604,39.375488,0,0,0
OBJECT=883,-5516.857422,4013.864502,40.181885,0,0,0
OBJECT=883,-5508.405273,4009.982666,38.583496,0,0,0
OBJECT=883,-5510.082031,4015.930664,39.47583,0,0,0
OBJECT=883,-5511.515625,4019.792969,40.381836,0,0,0
OBJECT=883,-5506.086426,4022.498047,40.283203,0,0,0
OBJECT=883,-5504.847168,4018.785156,39.525391,0,0,0
OBJECT=885,-5510.379883,4009.645752,38.638184,0,0,0
OBJECT=885,-5506.038574,4016.395264,39.175049,0,0,0
OBJECT=885,-5508.258301,4014.552246,39.028564,0,0,0
OBJECT=885,-5509.165039,4017.805908,39.465332,0,0,0
OBJECT=885,-5511.734863,4016.504395,39.460693,0,0,0
OBJECT=885,-5516.275391,4011.705078,38.95752,0,0,0
OBJECT=885,-5517.26416,4008.748047,38.819336,0,0,0
OBJECT=885,-5499.081543,4018.290283,38.86499,0,0,0
OBJECT=885,-5503.375,4020.355469,39.691162,0,0,0
OBJECT=885,-5502.926758,4015.334717,38.658203,0,0,0
OBJECT=885,-5512.279297,4015.001465,39.513916,0,0,0
OBJECT=885,-5517.812988,3999.611572,39.631348,0,0,0
OBJECT=17864,-5467.005859,4137.745117,44.322021,169.205061904,159.7513188,230.877065983
OBJECT=882,-5498.55127,4053.905518,35.845459,0,0,0
OBJECT=882,-5497.344238,4048.985596,35.951416,0,0,0
OBJECT=882,-5491.458496,4052.243408,35.918945,0,0,0
OBJECT=882,-5486.14502,4052.556152,36.086914,0,0,0
OBJECT=882,-5479.147461,4053.792725,36.296631,0,0,0
OBJECT=882,-5482.108887,4054.466797,36.184082,0,0,0
OBJECT=882,-5486.213867,4056.831299,36.042236,0,0,0
OBJECT=882,-5481.486328,4058.063232,36.166016,0,0,0
OBJECT=882,-5489.843262,4056.144287,35.898193,0,0,0
OBJECT=882,-5494.061035,4054.810791,35.85083,0,0,0
OBJECT=882,-5491.873047,4048.590576,35.993652,0,0,0
OBJECT=882,-5488.478516,4049.828369,36.047119,0,0,0
OBJECT=882,-5494.40332,4049.937988,35.951416,0,0,0
OBJECT=882,-5496.790039,4046.119873,36.003906,0,0,0
OBJECT=882,-5483.959961,4057.396484,36.101563,0,0,0
OBJECT=882,-5483.754883,4053.605469,36.145264,0,0,0
OBJECT=882,-5477.994141,4058.475098,36.262451,0,0,0
OBJECT=881,-5482.909668,4055.082031,36.133545,0,0,0
OBJECT=881,-5487.655762,4055.852783,35.987305,0,0,0
OBJECT=881,-5496.279785,4051.25293,35.89209,0,0,0
OBJECT=881,-5490.682617,4052.745605,35.891113,0,0,0
OBJECT=881,-5478.658203,4057.290527,36.233887,0,0,0
OBJECT=881,-5480.693848,4055.689941,36.191162,0,0,0
OBJECT=881,-5488.334961,4054.491211,35.976074,0,0,0
OBJECT=881,-5480.244141,4056.287842,36.198242,0,0,0
OBJECT=881,-5483.717285,4050.688965,36.167725,0,0,0
OBJECT=881,-5481.385742,4051.230225,36.241211,0,0,0
OBJECT=881,-5485.940918,4051.286377,36.084229,0,0,0
OBJECT=881,-5432.505859,4120.168945,51.16626,0,0,0
OBJECT=881,-5431.864746,4114.994629,51.482422,0,0,0
OBJECT=881,-5432.850098,4109.876465,50.824707,0,0,0
OBJECT=881,-5432.635742,4100.430664,50.12207,0,0,0
OBJECT=881,-5433.247559,4104.986816,50.445801,0,0,0
OBJECT=881,-5433.515625,4094.525391,49.224854,0,0,0
OBJECT=881,-5433.280273,4087.49585,48.612793,0,0,0
OBJECT=881,-5434.038574,4079.853027,47.455322,0,0,0
