
Name=SanAndreas Free Ride
Author=Gaara
MinLevel=12
JoinCost=3000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=1075.416504,1428.443848,5.570313

RunTime=1400
WinBaseXP=1080000
WinBaseCash=1110000
Time=20:0
Weather=8

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=429

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=1099.074829,1428.604126,4.820313,0,
CP=1167.848877,1427.537598,4.820313,0,
CP=1158.160645,1374.124268,9.671877,0,
CP=1097.804932,1381.670288,9.820313,0,
CP=1091.930664,1448.339600,11.546875,0,
CP=1035.872314,1527.489014,11.546875,0,
CP=1098.973755,1615.730713,11.546875,0,
CP=1158.963501,1528.819336,11.546871,0,
CP=1101.445068,1448.624146,11.546875,0,
CP=1036.773682,1521.235107,11.546875,0,
CP=1098.621338,1618.744385,11.546875,0,
CP=1098.287476,1707.869263,9.820313,0,
CP=1070.724365,1801.096313,9.820313,0,
CP=1140.409790,1824.133545,9.651134,0,
CP=1217.323730,1974.626831,5.703125,0,
CP=1227.495850,2125.550781,5.742081,0,
CP=1271.963013,2384.018555,5.734375,0,
CP=1444.756470,2454.470947,5.734375,0,
CP=1659.539551,2460.648438,5.835938,0,
CP=1996.326416,2539.541748,5.789063,0,
CP=2152.030762,2582.345703,5.771488,0,
CP=2372.615967,2614.009277,5.739741,0,
CP=2672.379150,2435.628906,5.734375,0,
CP=2709.483154,2242.914795,5.742188,0,
CP=2709.201416,1964.223999,5.734375,0,
CP=2718.801514,1623.314209,5.707577,0,
CP=2794.927246,1474.906128,10.016268,0,
CP=2636.859863,1473.281494,10.058628,0,
CP=2548.749268,1468.461792,9.842122,0,
CP=2526.784180,1362.424438,9.671875,0,
CP=2528.372314,1254.704102,10.057219,0,
CP=2527.359375,1074.660645,10.065331,0,
CP=2430.780518,1068.383667,9.942760,0,
CP=2387.213379,1021.655762,9.820313,0,
CP=2354.827881,991.127991,9.777863,0,
CP=2146.002930,973.558044,9.852560,0,
CP=2066.245117,988.917542,9.671875,0,
CP=2066.408203,1191.511475,9.671875,0,
CP=2076.843750,1371.633667,9.658791,0,
CP=2106.880859,1389.505371,9.820313,0,
CP=2163.817871,1400.450317,9.820313,0,
CP=2148.137207,1434.909546,9.820313,0,
CP=2082.699951,1433.229370,9.671875,0,
CP=2067.411133,1641.282349,9.671875,0,
CP=2154.782959,1671.494751,9.687500,0,
CP=2088.570068,1722.241455,9.671875,0,
CP=1881.017456,1714.819702,9.979998,0,
CP=1797.243408,1874.437622,5.710743,0,
CP=1716.404541,1714.825073,10.059362,0,
CP=1589.037476,1723.513794,9.820312,0,
CP=1573.096924,1755.770142,9.802226,0,
CP=1577.357544,1833.464111,9.679672,0,
CP=1639.026611,1833.017944,9.729942,0,
CP=1649.467529,1713.172607,9.837673,0,
CP=1711.608643,1705.976807,9.779586,0,
CP=1705.179077,1607.681519,9.075678,0,
CP=1594.389404,1532.809448,9.824829,0,
CP=1584.356201,1490.517334,9.828372,0,
CP=1579.154663,1374.825317,9.848867,0,
CP=1426.681396,1267.438354,9.820312,0,
CP=1368.204590,1510.961426,14.225855,0,
CP=1302.931885,1521.417725,9.820313,0,
CP=1266.392090,1618.346924,9.820313,0,
CP=1320.801147,1667.430054,9.820313,0,
CP=1531.759888,1653.387329,9.820313,0,
CP=1698.408569,1610.542725,9.721680,0,
CP=1716.684814,1456.833130,9.799768,0,
CP=1711.208496,1273.250977,9.803301,0,
CP=1645.378296,1133.759766,9.839174,0,
CP=1448.074707,1142.687622,9.671875,0,
CP=1231.052490,1193.003418,12.602357,0,
CP=1009.535339,1197.568115,9.671876,0,
CP=1007.401733,1482.006592,9.671875,0,
CP=1007.782471,1733.196411,9.773438,0,
CP=1007.407227,1952.488281,10.079298,0,
CP=1007.650330,2292.330566,10.068787,0,
CP=1007.697510,2456.346436,9.773802,0,
CP=1002.352478,2564.030762,9.617521,0,
CP=728.674988,2619.856689,20.383762,0,
CP=643.451355,2319.970215,25.934141,0,
CP=574.428772,2273.290771,33.194538,0,
CP=354.172546,2235.769775,38.328415,0,
CP=265.465332,2282.942383,23.871838,0,
CP=236.753525,2409.717773,15.474927,0,
CP=325.698029,2514.291016,15.602427,0,
CP=203.383270,2560.066162,15.367188,0,
CP=-122.437561,2567.164551,19.607674,0,
CP=-173.322495,2488.539307,21.857399,0,
CP=-341.795410,2515.891602,34.643566,0,
CP=-560.167908,2420.184570,63.595165,0,
CP=-717.219727,2518.476074,74.073235,0,
CP=-740.422791,2646.838379,63.616112,0,
CP=-705.319641,2694.247559,54.491970,0,
CP=-778.949402,2722.852295,44.333809,0,
CP=-837.247253,2741.708740,44.712746,0,
CP=-871.740601,2755.171387,44.851563,0,
CP=-868.656067,2727.409424,44.844509,0,
CP=-1079.728760,2703.559326,44.867188,0,
CP=-1270.006714,2671.398438,47.641659,0,
CP=-1326.406616,2676.860840,49.062500,0,
CP=-1393.076294,2662.050049,54.464046,0,
CP=-1429.254761,2604.742676,54.687500,0,
CP=-1494.188599,2604.905762,54.684555,0,
CP=-1502.016846,2667.797852,54.687500,0,
CP=-1543.471436,2665.313477,54.687500,0,
CP=-1625.749756,2679.703125,53.505062,0,
CP=-1642.056763,2719.809082,57.425491,0,
CP=-1767.054810,2708.591309,58.436584,0,
CP=-1670.956055,2636.687744,72.167328,0,
CP=-1653.142944,2546.407715,84.121063,0,
CP=-1660.088135,2464.506836,85.594543,0,
CP=-1743.025757,2464.759766,72.183006,0,
