; Converted Wed, 07 Jul 10 22:36:58 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2396.1609,-1936.3352,21.3377
Interior=1
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000
DefaultViewDistance=250.0

Name=SanZoR 2 FTW
Author=SanZoR
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=5549.111328,-2313.003906,2501.35498,195
SPAWN=5552.495605,-2312.650391,2499.778076,193
SPAWN=5558.174316,-2311.372314,2499.778076,193
SPAWN=5563.979492,-2310.858398,2499.778076,193
SPAWN=5569.22168,-2310.109863,2499.778076,193
SPAWN=5574.163574,-2309.366943,2502.057373,193
SPAWN=5546.491699,-2301.679932,2501.623291,190
SPAWN=5551.172363,-2302.095215,2499.516846,190
SPAWN=5556.515137,-2301.471924,2499.516846,190
SPAWN=5561.951172,-2300.198242,2499.516846,190
SPAWN=5567.262207,-2299.550537,2499.516846,190
SPAWN=5572.108887,-2299.274902,2501.977783,190
SPAWN=5544.647461,-2291.276611,2501.612793,192
SPAWN=5549.399414,-2291.176758,2499.431152,191
SPAWN=5554.43457,-2290.444824,2499.431152,191
SPAWN=5560.135254,-2289.383301,2499.431152,191
SPAWN=5565.144531,-2288.644531,2499.431152,191
SPAWN=5570.161621,-2287.702881,2502.072998,190
SPAWN=5542.822266,-2282.162598,2501.699219,191
SPAWN=5547.480469,-2282.456055,2499.592773,191
SPAWN=5552.860352,-2280.959229,2499.592773,191
SPAWN=5558.563965,-2280.018555,2499.592773,191
SPAWN=5563.348145,-2279.210693,2499.592773,191
SPAWN=5568.82959,-2278.60376,2502.239014,190
SPAWN=5541.046875,-2272.703857,2501.734863,190
SPAWN=5545.996094,-2273.340332,2499.465332,190
SPAWN=5551.087402,-2272.22998,2499.465332,190
SPAWN=5557.165527,-2270.91748,2499.465332,190
SPAWN=5562.029297,-2270.445068,2499.465332,190
SPAWN=5567.172852,-2269.349365,2502.269775,187
SPAWN=5539.751465,-2264.302246,2501.58252,190
SPAWN=5544.922852,-2264.639893,2499.300049,192

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=5563.547363,-2325.649902,2497.447266,0,16
CP=5575.784668,-2387.120605,2461.63501,0,16
CP=5589.522461,-2462.73877,2416.923828,0,16
CP=5625.878906,-2658.692383,2330.682129,0,16
CP=5662.726563,-2857.424316,2353.041016,0,16
CP=5681.169434,-2953.231445,2356.998291,0,16
CP=5702.973633,-3074.461914,2363.26123,0,16
CP=5730.820801,-3223.694092,2370.842041,0,16
CP=5749.63916,-3321.160889,2368.541992,0,16,411
CP=5767.109375,-3415.49707,2368.579102,0,16
CP=5998.499512,-3614.397705,1805.36499,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=18449,5556.585449,-2288.679443,2497.103516,0,0,100.5540588
OBJECT=18449,5566.847656,-2286.709961,2499.4646,335.0763444,0,100.5540588
OBJECT=18449,5546.438965,-2290.57373,2499.417725,335.0763444,0,280.175979921
OBJECT=18449,5562.965332,-2325.012207,2.901163,353.9839452,0,100.5540588
OBJECT=18449,5570.255371,-2361.753418,2477.11792,0,329.919726,100.5540588
OBJECT=18449,5582.903809,-2429.438477,2437.14502,0,329.919726,100.5540588
OBJECT=18449,5595.240723,-2495.405273,2394.1604,0,145.140670817,100.5540588
OBJECT=18449,5609.163574,-2569.268555,2341.183838,0,145.140670817,100.5540588
OBJECT=18449,5613.729492,-2593.771973,2326.083496,0,159.751204208,100.5540588
OBJECT=18449,5614.789063,-2599.578857,2327.642578,0,176.9400468,100.5540588
OBJECT=18449,5614.658691,-2598.949463,2326.951172,0,193.269452992,100.5540588
OBJECT=18449,5617.439941,-2613.896729,2332.065186,0,210.458295583,100.5540588
OBJECT=18449,5617.894531,-2616.283447,2329.319336,0,236.241616766,100.5540588
OBJECT=18449,5648.802734,-2781.790039,2362.311523,0,182.955987008,100.5540588
OBJECT=18449,5647.609375,-2776.057861,2358.185059,0,182.955987008,100.5540588
OBJECT=18449,5646.126465,-2767.47168,2354.412354,0,182.955987008,100.5540588
OBJECT=18449,5644.666992,-2759.605957,2350.222412,0,182.955987008,100.5540588
OBJECT=18449,5642.282715,-2747.44873,2345.719971,0,182.955987008,100.5540588
OBJECT=18449,5656.779297,-2825.226074,2349.761719,0,182.955987008,100.5540588
OBJECT=18449,5671.32373,-2903.535889,2353.781006,0,182.955987008,100.5540588
OBJECT=18449,5685.888672,-2981.724609,2357.831787,0,182.955987008,100.5540588
OBJECT=18449,5700.277344,-3059.614746,2361.835938,0,182.955987008,100.5540588
OBJECT=18449,5714.749512,-3137.703613,2365.692627,0,182.955987008,100.5540588
OBJECT=18449,5729.333496,-3215.846924,2369.786133,0,182.955987008,100.5540588
OBJECT=18449,5747.777832,-3312.354004,2372.103271,0,0,100.5540588
OBJECT=18449,5746.161621,-3303.987793,2368.198242,0,0,100.5540588
OBJECT=18449,5760.756836,-3382.201172,2368.235352,0,0,100.5540588
OBJECT=18449,5773.021484,-3447.897705,2338.855225,0,312.731055296,100.5540588
OBJECT=18449,5773.093262,-3448.716797,2341.979004,0,312.731055296,100.5540588
OBJECT=18449,5782.78418,-3500.738281,2280.571533,0,312.731055296,100.5540588
OBJECT=1640,5792.778809,-3527.6521,2267.113525,322.1847984,357.4216908,10.3132368
OBJECT=1640,5792.575684,-3526.262207,2266.050049,322.1847984,357.4216908,10.3132368
OBJECT=1640,5791.588867,-3527.991455,2267.400391,358.2811272,310.1526888,274.05636
OBJECT=1640,5792.908691,-3525.210938,2265.116943,357.4216908,320.4659256,274.9157964
OBJECT=1640,5789.208008,-3525.813232,2265.18335,319.606546496,341.9518356,329.0602896
OBJECT=1640,5788.462402,-3527.038818,2266.367188,319.606546496,341.9518356,329.0602896
OBJECT=1640,5786.776367,-3527.678467,2266.121338,219.052373104,201.003979521,220.771131313
