; Converted Wed, 07 Jul 10 22:36:21 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1387.7440,-1294.1021,33.4674
Interior=1
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000
DefaultViewDistance=250.0

Name=SanZoR-FTW
Author=SanZoR
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=573

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=5929.803711,-2152.517578,982.744873,99
SPAWN=5927.329102,-2142.786133,982.744873,99
SPAWN=5928.100098,-2146.244873,982.744873,99
SPAWN=5923.288574,-2149.86499,982.744873,99
SPAWN=5919.883301,-2144.250977,982.744873,99
SPAWN=5919.337402,-2137.824463,982.744873,99
SPAWN=5919.993164,-2130.771484,982.744873,99
SPAWN=5932.477539,-2128.304443,982.744873,99
SPAWN=5933.756348,-2134.376465,982.744873,99
SPAWN=5933.751465,-2141.341797,982.744873,99
SPAWN=5940.112793,-2154.418457,982.744873,99
SPAWN=5943.185059,-2160.648193,982.744873,99
SPAWN=5944.828613,-2166.166016,982.744873,99
SPAWN=5944.325684,-2172.121826,982.744873,99
SPAWN=5939.718262,-2176.322754,982.744873,99
SPAWN=5931.646484,-2168.003418,982.744873,99
SPAWN=5927.144531,-2158.606445,982.744873,99
SPAWN=5928.171875,-2179.053955,982.744873,99
SPAWN=5960.268555,-2171.734863,982.744873,99
SPAWN=5975.562012,-2165.544434,982.744873,99
SPAWN=5988.128418,-2155.856934,982.744873,99
SPAWN=5991.147949,-2145.863037,982.744873,99
SPAWN=5972.638672,-2160.294189,982.744873,99
SPAWN=5957.40918,-2161.842773,982.744873,99
SPAWN=5952.300781,-2149.696533,982.744873,99
SPAWN=5951.095703,-2144.755127,982.744873,99
SPAWN=5949.825684,-2140.021973,982.744873,99
SPAWN=5947.737793,-2134.222168,982.744873,99
SPAWN=5947.679199,-2126.690186,982.744873,99
SPAWN=5941.592773,-2147.07959,982.744873,99
SPAWN=5952.356445,-2173.312256,982.744873,99
SPAWN=5928.219727,-2162.741455,982.744873,99

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=4864.57373,-2387.411621,1.015954,0,16,444
CP=4569.29834,-2455.68457,18.306871,0,16

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=5853,5959.685547,-2155.46167,983.529175,0,0,194.2326264
OBJECT=8356,5860.415527,-2163.735596,905.723267,54.1444359042,0,282.650724
OBJECT=2918,5863.172363,-2154.885254,913.976563,0,0,0
OBJECT=2918,5844.741211,-2173.792236,883.362427,0,0,0
OBJECT=2918,5843.329102,-2168.235596,882.685486,0,0,0
OBJECT=2918,5828.286621,-2169.648682,861.948364,0,0,0
OBJECT=2918,5818.687012,-2159.816406,851.96698,0,0,0
OBJECT=2918,5858.075684,-2151.289063,907.73053,0,0,0
OBJECT=2918,5887.551758,-2148.4104,948.399109,0,0,0
OBJECT=2918,5887.821777,-2167.367432,943.019043,0,0,0
OBJECT=2918,5871.904785,-2154.444336,925.458923,0,0,0
OBJECT=2918,5866.371094,-2176.906738,911.167358,0,0,0
OBJECT=2918,5813.939453,-2182.984619,838.536316,0,0,0
OBJECT=2918,5814.9375,-2167.365234,844.617676,0,0,0
OBJECT=2918,5844.11377,-2152.047363,888.650635,0,0,0
OBJECT=2918,5839.088379,-2159.072754,879.736694,0,0,0
OBJECT=2918,5858.629395,-2165.368652,904.211365,0,0,0
OBJECT=8356,5754.485352,-2187.512939,755.550354,54.1444359042,0,282.650724
OBJECT=2918,5796.614746,-2164.227783,820.880737,0,0,0
OBJECT=2918,5803.543945,-2180.381104,825.340759,0,0,0
OBJECT=2918,5796.702148,-2187.456055,813.959595,0,0,0
OBJECT=2918,5787.668945,-2178.841797,804.374023,0,0,0
OBJECT=2918,5781.80957,-2189.596191,793.204773,0,0,0
OBJECT=2918,5766.069336,-2179.754395,774.949341,0,0,0
OBJECT=2918,5762.970215,-2193.673096,766.533813,0,0,0
OBJECT=2918,5746.320801,-2193.275391,744.175537,0,0,0
OBJECT=2918,5724.29834,-2182.90918,717.584106,0,0,0
OBJECT=2918,5723.703613,-2200.083252,711.576904,0,0,0
OBJECT=2918,5781.870117,-2199.162109,790.387085,0,0,0
OBJECT=2918,5757.865234,-2203.9021,756.555237,0,0,0
OBJECT=2918,5764.8125,-2164.725098,777.793396,0,0,0
OBJECT=2918,5746.006836,-2169.594727,750.927979,0,0,0
OBJECT=8356,5649.762695,-2211.026855,606.946777,54.1444359042,0,282.650724
OBJECT=2918,5674.525391,-2192.786621,647.301392,0,0,0
OBJECT=2918,5675.783691,-2202.137451,646.166626,0,0,0
OBJECT=2918,5667.888672,-2202.204346,635.487366,0,0,0
OBJECT=2918,5674.097656,-2216.219727,639.622681,0,0,0
OBJECT=2918,5647.602051,-2222.087891,602.072144,0,0,0
